variable	value	Label
"Alter"	"Variable Label"	"<keine>"
"Alter"	"1"	"15-24 Jahre"
"Alter"	"2"	"25-29 Jahre"
"Alter"	"3"	"30-39 Jahre"
"Alter"	"4"	"40-49 Jahre"
"Alter"	"5"	"50-59 Jahre"
"Alter"	"6"	"60 u.m.Jahre"
"Beruf"	"Variable Label"	"S8 Berufsstellung"
"Beruf"	"1"	"Facharbeiter*in"
"Beruf"	"2"	"sonstige*r Arbeiter*in"
"Beruf"	"3"	"Landwirt*in"
"Beruf"	"4"	"leitende*r Angestellte*r"
"Beruf"	"5"	"nichtleitende*r Angestellte*r"
"Beruf"	"6"	"gehobene*r Beamte*r"
"Beruf"	"7"	"mittlere*r und einfache*r Arbeiter*in"
"Beruf"	"8"	"Geschäftsführer*in"
"Beruf"	"9"	"Handwerker*in"
"Beruf"	"10"	"freier Beruf"
"Bildung"	"Variable Label"	"S6 (höchster) Schulabschluss"
"Bildung"	"1"	"Volksschule/Hauptschule"
"Bildung"	"2"	"weiterführende Schule o.M."
"Bildung"	"3"	"Matura"
"Bildung"	"4"	"Universität/Hochschule"
"Bundesland"	"Variable Label"	"Bundesland"
"Bundesland"	"1"	"Oberösterreich"
"Bundesland"	"2"	"Salzburg"
"Bundesland"	"3"	"Niederösterreich"
"Bundesland"	"4"	"Wien"
"Bundesland"	"5"	"Burgenland"
"Bundesland"	"6"	"Steiermark"
"Bundesland"	"7"	"Kärnten"
"Bundesland"	"8"	"Tirol"
"Bundesland"	"9"	"Vorarlberg"
"CASENUM"	"Variable Label"	"Fragebogennummer"
"DATEI"	"Variable Label"	"Datei Männer - Frauen"
"doi"	"Variable Label"	"digital object identifier"
"Einkommen"	"Variable Label"	"S12 recodiert"
"Einkommen"	"1"	"sehr niedrig"
"Einkommen"	"2"	"niedrig"
"Einkommen"	"3"	"mäßig"
"Einkommen"	"4"	"gut"
"Einkommen"	"5"	"sehr gut"
"Einkommen"	"6"	"sehr hoch"
"F11"	"Variable Label"	"Einnahme von Medikamenten"
"F11"	"1"	"regelmäßig"
"F11"	"2"	"gelegentlich"
"F11"	"3"	"nehme keine"
"F11"	"4"	"keine Angabe"
"F12A"	"Variable Label"	"Ob Alkoholkonsum"
"F12A"	"1"	"ja"
"F12A"	"2"	"nein"
"F12B"	"Variable Label"	"Ausmaß des Alkoholkonsums"
