variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"6.3.- 10.3.1996"
"datum"	"2"	"11.3.- 13.3.1996"
"datum"	"3"	"14.3.- 17.3.1996"
"datum"	"4"	"18.3.- 20.3.1996"
"datum"	"5"	"21.3.- 25.3.1996"
"datum"	"6"	"K.A."
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Kompetenz Arbeitslosigkeit"
"v01"	"1"	"SPÖ"
"v01"	"2"	"ÖVP"
"v01"	"3"	"FPÖ"
"v01"	"4"	"GAL"
"v01"	"5"	"LIF"
"v01"	"6"	"Keine"
"v01"	"7"	"W.N./K.A."
"v02"	"Variable Label"	"Vertretung kleiner Leute"
"v02"	"1"	"SPÖ"
"v02"	"2"	"ÖVP"
"v02"	"3"	"FPÖ"
"v02"	"4"	"GAL"
"v02"	"5"	"LIF"
"v02"	"6"	"Keine"
"v02"	"7"	"W.N./K.A."
"v03"	"Variable Label"	"Anfällige Partei für Bonzentum"
"v03"	"1"	"SPÖ"
"v03"	"2"	"ÖVP"
"v03"	"3"	"FPÖ"
"v03"	"4"	"GAL"
"v03"	"5"	"LIF"
"v03"	"6"	"Keine"
"v03"	"7"	"Alle"
"v03"	"8"	"W.N./K.A."
"v04"	"Variable Label"	"Kompetenz im Kampf gegen Bonzentum"
"v04"	"1"	"SPÖ"
"v04"	"2"	"ÖVP"
"v04"	"3"	"FPÖ"
"v04"	"4"	"GAL"
"v04"	"5"	"LIF"
"v04"	"6"	"Keine"
"v04"	"7"	"W.N./K.A."
"v05"	"Variable Label"	"Kompetenz bei schwierigen Problemen"
"v05"	"1"	"SPÖ"
"v05"	"2"	"ÖVP"
"v05"	"3"	"FPÖ"
"v05"	"4"	"GAL"
"v05"	"5"	"LIF"
"v05"	"6"	"Keine"
"v05"	"7"	"W.N./K.A."
"v09"	"Variable Label"	"Haiders Eintreten für Arbeiter - nur Stimmenfang?"
"v09"	"1"	"Würde weiterhin für Arbeiter eintreten"
"v09"	"2"	"Würde sich nicht mehr um Arbeiter kümmern"
"v09"	"3"	"W.N./K.A."
"v10"	"Variable Label"	"Geschlecht"
"v10"	"1"	"Männlich"
"v10"	"2"	"Weiblich"
"v11"	"Variable Label"	"Beruf"
"v11"	"Variable Label"	"Andere"
"v11"	"1"	"Hilfsarbeiter"
"v11"	"2"	"Facharbeiter"
"v11"	"3"	"Leitende Ang./Beamte"
"v11"	"4"	"Angestellte"
"v11"	"5"	"Beamte"
"v11"	"6"	"Rentner/Pensionisten"
"v11"	"7"	"Hausfrauen"
"v11"	"8"	"Selbständige"
"v11"	"9"	"Landwirte"
"v12"	"Variable Label"	"Bundesland"
"v12"	"1"	"Wien"
"v12"	"2"	"Burgenland"
"v12"	"3"	"Niederösterreich"
"v12"	"4"	"Oberösterreich"
"v12"	"5"	"Salzburg"
"v12"	"6"	"Tirol"
"v12"	"7"	"Vorarlberg"
"v12"	"8"	"Steiermark"
"v12"	"9"	"Kärnten"
"v13"	"Variable Label"	"Alter"
"v13"	"1"	"Unter 20 Jahren"
"v13"	"2"	"20 bis 25 Jahre"
"v13"	"3"	"26 bis 35 Jahre"
"v13"	"4"	"36 bis 50 Jahre"
"v13"	"5"	"51 bis 65 Jahre"
"v13"	"6"	"Über 65 Jahre"
"v14"	"Variable Label"	"Bildung"
"v14"	"1"	"Volksschule"
"v14"	"2"	"Hauptschule"
"v14"	"3"	"Berufs- /Handelsschule"
"v14"	"4"	"Matura"
"v14"	"5"	"Abg. Hochschule"
"v15"	"Variable Label"	"Parteipräferenz"
"v15"	"1"	"FPÖ"
"v15"	"2"	"KPÖ"
"v15"	"3"	"ÖVP"
"v15"	"4"	"SPÖ"
"v15"	"5"	"GAL"
"v15"	"6"	"LIF"
"v15"	"7"	"Keine"
"v16a"	"Variable Label"	"Kornen-Zeitung"
"v16a"	"Variable Label"	"Nicht genannt"
"v16a"	"1"	"Genannt"
"v16b"	"Variable Label"	"Täglich Alles"
"v16b"	"Variable Label"	"Nicht genannt"
"v16b"	"1"	"Genannt"
"v16c"	"Variable Label"	"Kurier"
"v16c"	"Variable Label"	"Nicht genannt"
"v16c"	"1"	"Genannt"
"v16d"	"Variable Label"	"Presse"
"v16d"	"Variable Label"	"Nicht genannt"
"v16d"	"1"	"Genannt"
"v16e"	"Variable Label"	"SN"
"v16e"	"Variable Label"	"Nicht genannt"
"v16e"	"1"	"Genannt"
"v16f"	"Variable Label"	"Standard"
"v16f"	"Variable Label"	"Nicht genannt"
"v16f"	"1"	"Genannt"
"v16g"	"Variable Label"	"Kleine Zeitung"
"v16g"	"Variable Label"	"Nicht genannt"
"v16g"	"1"	"Genannt"
"v16h"	"Variable Label"	"Andere"
"v16h"	"Variable Label"	"Nicht genannt"
"v16h"	"1"	"Genannt"
