variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"f1"	"Variable Label"	"Entschluss Partei zu wählen"
"f1"	"1"	"vor Beginn des Wahlkampfes"
"f1"	"2"	"während des Wahlkampfes"
"f1"	"3"	"erst am Wahltag"
"f1"	"4"	"ich habe nicht gewählt"
"f1"	"5"	"weiß nicht"
"f2"	"Variable Label"	"Beurteilung der Regierungsumbildung"
"f2"	"1"	"Alleinregierung der SPÖ"
"f2"	"2"	"Koalitionsregierung SPÖ/ÖVP"
"f2"	"3"	"Koalitionsregierung SPÖ/FPÖ"
"f2"	"4"	"Konzentrationsregierung ÖVP/FPÖ/SPÖ"
"f2"	"5"	"ÖVP/FPÖ Regierung"
"f2"	"6"	"weiß nicht"
"f3"	"Variable Label"	"Ursache für den Wahlerfolg der SPÖ"
"f3"	"1"	"Kabinett Kreisky hat erfolgreich regiert"
"f3"	"2"	"Persönlichkeit des Bundeskanzlers Dr. Kreisky"
"f3"	"3"	"Persönlichkeit des Dr. Taus"
"f3"	"4"	"Stärke und Einigkeit der SPÖ"
"f3"	"5"	"Schwäche und Uneinigkeit der ÖVP"
"f3"	"6"	"wirtschaftliche Lage"
"f3"	"7"	"Propaganda der SPÖ"
"f3"	"8"	"Propaganda der ÖVP"
"f3"	"9"	"Zugkräftige Spitzenkanditaten (Team)"
"f3"	"10"	"Programme der ÖVP"
"f3"	"11"	"Programme der SPÖ"
"f3"	"12"	"weiß nicht"
"f4_0"	"Variable Label"	"Staribacher"
"f4_0"	"1"	"genannt"
"f4_1"	"Variable Label"	"Weiß nicht. Das sage ich nicht. Mir sind alle gleich egal. Keine"
"f4_1"	"1"	"genannt"
"f4_2"	"Variable Label"	"Mir sagt niemand zu"
"f4_2"	"1"	"genannt"
"f4_3"	"Variable Label"	"Kirchschläger"
"f4_3"	"1"	"genannt"
"f4_4"	"Variable Label"	"Kreisky"
"f4_4"	"1"	"genannt"
"f4_5"	"Variable Label"	"Benya"
"f4_5"	"1"	"genannt"
"f4_6"	"Variable Label"	"Androsch"
"f4_6"	"1"	"genannt"
"f4_7"	"Variable Label"	"Gratz"
"f4_7"	"1"	"genannt"
"f4_8"	"Variable Label"	"Häuser"
"f4_8"	"1"	"genannt"
"f4_9"	"Variable Label"	"Broda"
"f4_9"	"1"	"genannt"
"f4_a"	"Variable Label"	"Lanc"
"f4_a"	"1"	"genannt"
"f4_b"	"Variable Label"	"Lütgendorf"
"f4_b"	"1"	"genannt"
"f4_c"	"Variable Label"	"Marsch"
"f4_c"	"1"	"genannt"
"f4_d"	"Variable Label"	"Moser"
"f4_d"	"1"	"genannt"
"f4_e"	"Variable Label"	"Weihs"
"f4_e"	"1"	"genannt"
"f4_f"	"Variable Label"	"Sinowatz"
"f4_f"	"1"	"genannt"
"f4_g"	"Variable Label"	"Kery"
"f4_g"	"1"	"genannt"
"f4_h"	"Variable Label"	"Czettel"
"f4_h"	"1"	"genannt"
"f4_i"	"Variable Label"	"Taus"
"f4_i"	"1"	"genannt"
"f4_j"	"Variable Label"	"Busek"
"f4_j"	"1"	"genannt"
"f4_k"	"Variable Label"	"Kohlmaier"
"f4_k"	"1"	"genannt"
"f4_l"	"Variable Label"	"Koren"
"f4_l"	"1"	"genannt"
"f4_m"	"Variable Label"	"Maurer"
"f4_m"	"1"	"genannt"
"f4_min"	"Variable Label"	"Firnberg"
"f4_min"	"1"	"genannt"
"f4_n"	"Variable Label"	"Mock"
"f4_n"	"1"	"genannt"
"f4_o"	"Variable Label"	"Niederl"
"f4_o"	"1"	"genannt"
"f4_p"	"Variable Label"	"Sallinger"
"f4_p"	"1"	"genannt"
"f4_plus"	"Variable Label"	"Leodolter"
"f4_plus"	"1"	"genannt"
"f4_q"	"Variable Label"	"Waldheim"
"f4_q"	"1"	"genannt"
"f4_r"	"Variable Label"	"Wenzl"
"f4_r"	"1"	"genannt"
"f4_s"	"Variable Label"	"Hubinek"
"f4_s"	"1"	"genannt"
"f4_t"	"Variable Label"	"Withalm"
"f4_t"	"1"	"genannt"
"f4_u"	"Variable Label"	"Peter"
"f4_u"	"1"	"genannt"
"f4_v"	"Variable Label"	"Scrinzi"
"f4_v"	"1"	"genannt"
"f4_w"	"Variable Label"	"Broesigke"
"f4_w"	"1"	"genannt"
"f4_x"	"Variable Label"	"Zeillinger"
"f4_x"	"1"	"genannt"
"f4_y"	"Variable Label"	"Muhri"
"f4_y"	"1"	"genannt"
"f4_z"	"Variable Label"	"Andere"
"f4_z"	"1"	"genannt"
"f5"	"Variable Label"	"NRW 1975 genauso gewählt wie bei der NRW 1971"
"f5"	"1"	"ja"
"f5"	"2"	"nein"
"f5"	"3"	"ich habe 1971 nicht gewählt"
"f5"	"4"	"ich habe 1975 nicht gewählt"
"f5"	"5"	"ich habe 1971 und 1975 nicht gewählt"
"f6"	"Variable Label"	"Bedrohung durch Verbrechen"
"f6"	"1"	"sehr bedroht"
"f6"	"2"	"ziemlich bedroht"
"f6"	"3"	"ein wenig bedroht"
"f6"	"4"	"kaum bedroht"
"f6"	"5"	"praktisch gar nicht bedroht"
"f6"	"6"	"weiß nicht"
"f7"	"Variable Label"	"Persönliche Bedrohung durch Verbrechen"
"f7"	"1"	"Diebstahl, Einbruch, Raub"
"f7"	"2"	"Betrug, Gaunereien"
"f7"	"3"	"Mord"
"f7"	"4"	"Körperverletzung"
"f7"	"5"	"Vergewaltigung"
"f7"	"6"	"Entführung, Erpressung, Geiselnahme"
"f7"	"7"	"Kidnapping (Kindesentführung)"
"f7"	"8"	"Belästigung durch Banden von Jugendlichen"
"f7"	"9"	"Angriffe von Terroristen"
"f7"	"10"	"ich fürchte mich vor keinem Verbrechen"
"f8"	"Variable Label"	"Wahrnehmung von Verbrechen"
"f8"	"1"	"Unsicherheit durch Verbrechen nimmt wirklich ständig zu"
"f8"	"2"	"Reden und Schreiben über Verbrechn nimmt viel mehr zu als di"
"f8"	"3"	"weiß nicht"
"s1"	"Variable Label"	"Geschlecht"
"s1"	"1"	"männlich"
"s1"	"2"	"weiblich"
"s2"	"Variable Label"	"Beruf"
"s2"	"1"	"Hilfsarbeiter"
"s2"	"2"	"Facharbeiter"
"s2"	"3"	"leitender Angestellter oder leitender Beamter"
"s2"	"4"	"anderer Angestellter oder Beamter"
"s2"	"5"	"Rentner oder Pensionist"
"s2"	"6"	"Hausfrau"
"s2"	"7"	"Selbständiger"
"s2"	"8"	"Landwirt"
"s2"	"9"	"andere"
"s3"	"Variable Label"	"Bundesland"
"s3"	"1"	"Wien"
"s3"	"2"	"Burgenland"
"s3"	"3"	"Niederösterreich"
"s3"	"4"	"Oberösterreich"
"s3"	"5"	"Salzburg"
"s3"	"6"	"Tirol"
"s3"	"7"	"Vorarlberg"
"s3"	"8"	"Steiermark"
"s3"	"9"	"Kärnten"
"s4"	"Variable Label"	"Alter"
"s4"	"1"	"unter 20 Jahren"
"s4"	"2"	"20 bis 25 Jahre"
"s4"	"3"	"26 bis 35 Jahre"
"s4"	"4"	"36 bis 50 Jahre"
"s4"	"5"	"51 bis 65 Jahre"
"s4"	"6"	"über 65 Jahre"
"s5"	"Variable Label"	"Schulbildung"
"s5"	"1"	"Volksschule"
"s5"	"2"	"Hauptschule"
"s5"	"3"	"Berufs- und Handelsschule"
"s5"	"4"	"Mittelschule (Matura)"
"s5"	"5"	"abgeschlossene Hochschule"
"s6"	"Variable Label"	"Welche Partei sagt ihnen am meisten zu?"
"s6"	"1"	"FPÖ"
"s6"	"2"	"KPÖ"
"s6"	"3"	"ÖVP"
"s6"	"4"	"SPÖ"
"s6"	"5"	"Keine"
"version"	"Variable Label"	"AUSSDA archive version"
