variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"v1"	"Variable Label"	"Hat sich das Ansehen Österreichs in Europa verbessert, verschlechtert oder ist es gleichgeblieben?"
"v1"	"1"	"verbessert"
"v1"	"2"	"nichts Wesentliches verändert"
"v1"	"3"	"verschlechtert"
"v1"	"4"	"W.N./K.A."
"v10"	"Variable Label"	"Sollte man sie...?"
"v10"	"1"	"auflösen"
"v10"	"2"	"nicht auflösen"
"v10"	"3"	"ist mir egal"
"v10"	"4"	"W.N./K.A."
"v11a"	"Variable Label"	"Um die AK zur Sparsamkeit zu verpflichten"
"v11a"	"1"	"ja"
"v11a"	"2"	"nein"
"v11a"	"3"	"W.N./K.A."
"v11b"	"Variable Label"	"Um die AK entscheidend zu schwächen"
"v11b"	"1"	"ja"
"v11b"	"2"	"nein"
"v11b"	"3"	"W.N./K.A."
"v11c"	"Variable Label"	"Um damit die Sozialversicherung mitzufinanzieren"
"v11c"	"1"	"ja"
"v11c"	"2"	"nein"
"v11c"	"3"	"W.N./K.A."
"v12"	"Variable Label"	"Welcher Begriff passt auf Dr. Gusenbauer?"
"v12"	"1"	"1"
"v12"	"2"	"2"
"v12"	"3"	"3"
"v12"	"4"	"4"
"v12"	"5"	"5"
"v12"	"6"	"6"
"v12"	"7"	"7"
"v12"	"8"	"8"
"v12"	"9"	"9"
"v12"	"10"	"10"
"v12"	"11"	"11"
"v12"	"12"	"12"
"v12"	"13"	"13"
"v13a"	"Variable Label"	"Eigenschaft 1"
"v13a"	"1"	"kraftvoll"
"v13a"	"2"	"kraftlos"
"v13a"	"3"	"weder noch"
"v13b"	"Variable Label"	"Eigenschaft 2"
"v13b"	"1"	"modern"
"v13b"	"2"	"altmodisch"
"v13b"	"3"	"weder noch"
"v13c"	"Variable Label"	"Eigenschaft 3"
"v13c"	"1"	"sauber"
"v13c"	"2"	"korrupt"
"v13c"	"3"	"weder noch"
"v13d"	"Variable Label"	"Eigenschaft 4"
"v13d"	"1"	"erfolgreich"
"v13d"	"2"	"erfolglos"
"v13d"	"3"	"weder noch"
"v13e"	"Variable Label"	"Eigenschaft 5"
"v13e"	"1"	"sparsam"
"v13e"	"2"	"verschwenderisch"
"v13e"	"3"	"weder noch"
"v13f"	"Variable Label"	"Eigenschaft 6"
"v13f"	"1"	"zielbewusst"
"v13f"	"2"	"verworren"
"v13f"	"3"	"weder noch"
"v13g"	"Variable Label"	"Eigenschaft 7"
"v13g"	"1"	"energisch"
"v13g"	"2"	"lax"
"v13g"	"3"	"weder noch"
"v13h"	"Variable Label"	"Eigenschaft 8"
"v13h"	"1"	"einig"
"v13h"	"2"	"zerstritten"
"v13h"	"3"	"weder noch"
"v13i"	"Variable Label"	"Eigenschaft 9"
"v13i"	"1"	"zukunftsorientiert"
"v13i"	"2"	"vergangenheitsorientiert"
"v13i"	"3"	"weder noch"
"v14a"	"Variable Label"	"Aktien, Wertpapiere"
"v14a"	"1"	"ja"
"v14a"	"2"	"nein"
"v14a"	"3"	"W.N."
"v14b"	"Variable Label"	"Goldbarren"
"v14b"	"1"	"ja"
"v14b"	"2"	"nein"
"v14b"	"3"	"W.N."
"v14c"	"Variable Label"	"Sparbuch"
"v14c"	"1"	"ja"
"v14c"	"2"	"nein"
"v14c"	"3"	"W.N."
