variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"filter_$"	"Variable Label"	"v20 ~= v21 (FILTER)"
"filter_$"	"Variable Label"	"Nicht ausgewählt"
"filter_$"	"1"	"Ausgewählt"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"v10a"	"Variable Label"	"Deutsch"
"v10a"	"1"	"sehr wichtig"
"v10a"	"2"	"wichtig"
"v10a"	"3"	"eher unwichtig"
"v10a"	"4"	"überflüssig"
"v10a"	"5"	"W.N./K.A."
"v10b"	"Variable Label"	"Mathematik"
"v10b"	"1"	"sehr wichtig"
"v10b"	"2"	"wichtig"
"v10b"	"3"	"eher unwichtig"
"v10b"	"4"	"überflüssig"
"v10b"	"5"	"W.N./K.A."
"v10c"	"Variable Label"	"Religion"
"v10c"	"1"	"sehr wichtig"
"v10c"	"2"	"wichtig"
"v10c"	"3"	"eher unwichtig"
"v10c"	"4"	"überflüssig"
"v10c"	"5"	"W.N./K.A."
"v10d"	"Variable Label"	"Geschichte"
"v10d"	"1"	"sehr wichtig"
"v10d"	"2"	"wichtig"
"v10d"	"3"	"eher unwichtig"
"v10d"	"4"	"überflüssig"
"v10d"	"5"	"W.N./K.A."
"v10e"	"Variable Label"	"Naturwissenschaftliche Fächer (Geographie, Physik, Chemie, Biologie)"
"v10e"	"1"	"sehr wichtig"
"v10e"	"2"	"wichtig"
"v10e"	"3"	"eher unwichtig"
"v10e"	"4"	"überflüssig"
"v10e"	"5"	"W.N./K.A."
"v10f"	"Variable Label"	"Lebende Fremdsprachen (Englisch, Französisch)"
"v10f"	"1"	"sehr wichtig"
"v10f"	"2"	"wichtig"
"v10f"	"3"	"eher unwichtig"
"v10f"	"4"	"überflüssig"
"v10f"	"5"	"W.N./K.A."
"v10g"	"Variable Label"	"Tote Fremdsprachen (Latein, Altgriechisch)"
"v10g"	"1"	"sehr wichtig"
"v10g"	"2"	"wichtig"
"v10g"	"3"	"eher unwichtig"
"v10g"	"4"	"überflüssig"
"v10g"	"5"	"W.N./K.A."
"v10h"	"Variable Label"	"EDV (Computerkenntnisse)"
"v10h"	"1"	"sehr wichtig"
"v10h"	"2"	"wichtig"
"v10h"	"3"	"eher unwichtig"
"v10h"	"4"	"überflüssig"
"v10h"	"5"	"W.N./K.A."
"v10i"	"Variable Label"	"Künstlerische Fächer (Zeichnen, Musik)"
"v10i"	"1"	"sehr wichtig"
"v10i"	"2"	"wichtig"
"v10i"	"3"	"eher unwichtig"
"v10i"	"4"	"überflüssig"
"v10i"	"5"	"W.N./K.A."
"v10j"	"Variable Label"	"Sport"
"v10j"	"1"	"sehr wichtig"
"v10j"	"2"	"wichtig"
"v10j"	"3"	"eher unwichtig"
"v10j"	"4"	"überflüssig"
"v10j"	"5"	"W.N./K.A."
"v11a"	"Variable Label"	"Kritisches Denken"
"v11a"	"1"	"sehr wichtig"
"v11a"	"2"	"eher wichtig"
"v11a"	"3"	"eher unwichtig"
"v11a"	"4"	"überflüssig"
"v11a"	"5"	"W.N./K.A."
"v11b"	"Variable Label"	"Selbstwertgefühl"
"v11b"	"1"	"sehr wichtig"
"v11b"	"2"	"eher wichtig"
"v11b"	"3"	"eher unwichtig"
"v11b"	"4"	"überflüssig"
"v11b"	"5"	"W.N./K.A."
"v11c"	"Variable Label"	"Gute Umgangsformen"
"v11c"	"1"	"sehr wichtig"
"v11c"	"2"	"eher wichtig"
"v11c"	"3"	"eher unwichtig"
"v11c"	"4"	"überflüssig"
"v11c"	"5"	"W.N./K.A."
"v11d"	"Variable Label"	"Pflichtbewusstsein"
"v11d"	"1"	"sehr wichtig"
"v11d"	"2"	"eher wichtig"
"v11d"	"3"	"eher unwichtig"
"v11d"	"4"	"überflüssig"
"v11d"	"5"	"W.N./K.A."
"v11e"	"Variable Label"	"Verantwortungsbewusstsein"
"v11e"	"1"	"sehr wichtig"
"v11e"	"2"	"eher wichtig"
"v11e"	"3"	"eher unwichtig"
"v11e"	"4"	"überflüssig"
"v11e"	"5"	"W.N./K.A."
"v11f"	"Variable Label"	"Disziplin"
"v11f"	"1"	"sehr wichtig"
"v11f"	"2"	"eher wichtig"
"v11f"	"3"	"eher unwichtig"
"v11f"	"4"	"überflüssig"
"v11f"	"5"	"W.N./K.A."
"v11g"	"Variable Label"	"Gesundheitsbewusstsein"
"v11g"	"1"	"sehr wichtig"
"v11g"	"2"	"eher wichtig"
"v11g"	"3"	"eher unwichtig"
"v11g"	"4"	"überflüssig"
"v11g"	"5"	"W.N./K.A."
"v12"	"Variable Label"	"Sollte in Zukunft eine Aufnahmsprüfung den Zugang zur AHS regeln?"
"v12"	"1"	"ja, unbedingt"
"v12"	"2"	"eher schon"
"v12"	"3"	"eher nicht"
"v12"	"4"	"nein, auf keinen Fall"
"v12"	"5"	"W.N./K.A."
"v13"	"Variable Label"	"Werden private Schulen in Zukunft an Bedeutung gewinnen?"
"v13"	"1"	"ja, sicher"
"v13"	"2"	"eher schon"
"v13"	"3"	"eher nicht"
"v13"	"4"	"sicher nicht"
"v13"	"5"	"W.N./K.A."
"v14a"	"Variable Label"	"Aufnahmeprüfungen"
"v14a"	"1"	"ja"
"v14a"	"2"	"nein"
"v14a"	"3"	"W.N./K.A."
"v14b"	"Variable Label"	"Studiengebühren"
"v14b"	"1"	"ja"
"v14b"	"2"	"nein"
"v14b"	"3"	"W.N./K.A."
"v15"	"Variable Label"	"Geschlecht"
"v15"	"1"	"männlich"
"v15"	"2"	"weiblich"
"v16"	"Variable Label"	"Beruf"
"v16"	"1"	"Hilfsarbeiter"
"v16"	"2"	"Facharbeiter"
"v16"	"3"	"leit. Angestellter od. leit. Beamter"
"v16"	"4"	"Angestellter"
"v16"	"5"	"Beamter"
"v16"	"6"	"Rentner od. Pensionist"
"v16"	"7"	"Hausfrau"
"v16"	"8"	"Selbständiger"
"v16"	"9"	"Landwirt"
"v16"	"10"	"Andere"
"v17"	"Variable Label"	"Alter"
"v17"	"1"	"unter 20 Jahren"
"v17"	"2"	"20-25 Jahre"
"v17"	"3"	"26-35 Jahre"
"v17"	"4"	"36-50 Jahre"
"v17"	"5"	"51-65 Jahre"
"v17"	"6"	"über 65 Jahre"
"v18"	"Variable Label"	"Schulbildung"
"v18"	"1"	"Volksschule"
"v18"	"2"	"Hauptschule"
"v18"	"3"	"Berufs- od. Handelsschule"
"v18"	"4"	"Mittelschule"
"v18"	"5"	"abgeschl. Hochschule"
"v19"	"Variable Label"	"Bundesland"
"v19"	"1"	"Wien"
"v19"	"2"	"Burgenland"
"v19"	"3"	"Niederösterreich"
"v19"	"4"	"Oberösterreich"
"v19"	"5"	"Salzburg"
"v19"	"6"	"Tirol"
"v19"	"7"	"Vorarlberg"
"v19"	"8"	"Steiermark"
"v19"	"9"	"Kärnten"
"v1a1"	"Variable Label"	"W.N./K.A."
"v1a1"	"Variable Label"	"nicht genannt"
"v1a1"	"1"	"genannt"
"v1a10"	"Variable Label"	"Dr. Ferrero-Waldner"
"v1a10"	"Variable Label"	"nicht genannt"
"v1a10"	"1"	"genannt"
"v1a11"	"Variable Label"	"Dr. Fischer"
