variable	value	Label
"bhour"	"Variable Label"	"Interviewdaten: Startstunde"
"bld"	"Variable Label"	"Bundesland"
"bld"	"1"	"Burgenland"
"bld"	"2"	"Kärnten"
"bld"	"3"	"Niederösterreich"
"bld"	"4"	"Oberösterreich"
"bld"	"5"	"Salzburg"
"bld"	"6"	"Steiermark"
"bld"	"7"	"Tirol"
"bld"	"8"	"Vorarlberg"
"bld"	"9"	"Wien"
"bmin"	"Variable Label"	"Interviewdaten: Startminute"
"day"	"Variable Label"	"Interviewdaten: Tag"
"doi"	"Variable Label"	"digital object identifier"
"ehour"	"Variable Label"	"Interviewdaten: Endestunde"
"emin"	"Variable Label"	"Interviewdaten: Endeminute"
"f1"	"Variable Label"	"in die Schule gegangen"
"f1"	"1"	"sehr gern"
"f1"	"2"	"ziemlich gern"
"f1"	"3"	"weniger gern"
"f1"	"4"	"nicht gern"
"f1"	"5"	"weiß nicht/keine Angabe"
"f10_1"	"Variable Label"	"Lernen beim Lesen von Büchern, Zeitschriften"
"f10_1"	"1"	"eher viel"
"f10_1"	"2"	"eher wenig"
"f10_1"	"3"	"weiß nicht/keine Angabe"
"f10_2"	"Variable Label"	"Lernen beim Fernsehen, Radio hören oder Zeitung lesen"
"f10_2"	"1"	"eher viel"
"f10_2"	"2"	"eher wenig"
"f10_2"	"3"	"weiß nicht/keine Angabe"
"f10_3"	"Variable Label"	"Lernen im Erfahrungsaustausch mit Berufskollegen"
"f10_3"	"1"	"eher viel"
"f10_3"	"2"	"eher wenig"
"f10_3"	"3"	"weiß nicht/keine Angabe"
"f10_4"	"Variable Label"	"Lernen im Austausch mit Familienangehörigen"
"f10_4"	"1"	"eher viel"
"f10_4"	"2"	"eher wenig"
"f10_4"	"3"	"weiß nicht/keine Angabe"
"f10_5"	"Variable Label"	"Lernen im Austausch mit Freunden"
"f10_5"	"1"	"eher viel"
"f10_5"	"2"	"eher wenig"
"f10_5"	"3"	"weiß nicht/keine Angabe"
"f10_6"	"Variable Label"	"Lernen bei handwerklichen Tätigkeiten in Haus"
"f10_6"	"1"	"eher viel"
"f10_6"	"2"	"eher wenig"
"f10_6"	"3"	"weiß nicht/keine Angabe"
"f10_7"	"Variable Label"	"Lernen bei der Mitarbeit in Vereinen"
"f10_7"	"1"	"eher viel"
"f10_7"	"2"	"eher wenig"
"f10_7"	"3"	"weiß nicht/keine Angabe"
"f10_8"	"Variable Label"	"Lernen auf Reisen"
"f10_8"	"1"	"eher viel"
"f10_8"	"2"	"eher wenig"
"f10_8"	"3"	"weiß nicht/keine Angabe"
"f11_1"	"Variable Label"	"Kursbesuch"
"f11_1"	"0"	"nein"
"f11_1"	"1"	"ja"
"f11_2"	"Variable Label"	"Austausch mit Freunden, Familie"
"f11_2"	"0"	"nein"
"f11_2"	"1"	"ja"
"f11_3"	"Variable Label"	"versuche es allein"
"f11_3"	"0"	"nein"
"f11_3"	"1"	"ja"
"f11_4"	"Variable Label"	"nichts davon"
"f11_4"	"0"	"nein"
"f11_4"	"1"	"ja"
"f11_5"	"Variable Label"	"weiß nicht/keine Angabe"
"f11_5"	"0"	"nein"
"f11_5"	"1"	"ja"
"f12_1"	"Variable Label"	"Kursbesuch"
"f12_1"	"0"	"nein"
"f12_1"	"1"	"ja"
"f12_2"	"Variable Label"	"Austausch mit Freunden, Familie"
"f12_2"	"0"	"nein"
"f12_2"	"1"	"ja"
"f12_3"	"Variable Label"	"versuche es allein"
"f12_3"	"0"	"nein"
"f12_3"	"1"	"ja"
"f12_4"	"Variable Label"	"nichts davon"
"f12_4"	"0"	"nein"
"f12_4"	"1"	"ja"
"f12_5"	"Variable Label"	"weiß nicht/keine Angabe"
"f12_5"	"0"	"nein"
"f12_5"	"1"	"ja"
"f13_1"	"Variable Label"	"dass ich mir praktische Fertigkeiten aneigne"
"f13_1"	"1"	"trifft sehr zu"
"f13_1"	"2"	"trifft ziemlich zu"
"f13_1"	"3"	"trifft wenig zu"
"f13_1"	"4"	"trifft gar nicht zu"
"f13_1"	"5"	"weiß nicht/keine Angabe"
"f13_2"	"Variable Label"	"dass ich mehr Wissen habe"
"f13_2"	"1"	"trifft sehr zu"
"f13_2"	"2"	"trifft ziemlich zu"
"f13_2"	"3"	"trifft wenig zu"
"f13_2"	"4"	"trifft gar nicht zu"
"f13_2"	"5"	"weiß nicht/keine Angabe"
"f13_3"	"Variable Label"	"dass ich andere Menschen besser verstehe"
"f13_3"	"1"	"trifft sehr zu"
"f13_3"	"2"	"trifft ziemlich zu"
"f13_3"	"3"	"trifft wenig zu"
"f13_3"	"4"	"trifft gar nicht zu"
"f13_3"	"5"	"weiß nicht/keine Angabe"
"f13_4"	"Variable Label"	"dass ich mich und mein Leben besser verstehe"
"f13_4"	"1"	"trifft sehr zu"
"f13_4"	"2"	"trifft ziemlich zu"
"f13_4"	"3"	"trifft wenig zu"
"f13_4"	"4"	"trifft gar nicht zu"
"f13_4"	"5"	"weiß nicht/keine Angabe"
"f13_5"	"Variable Label"	"dass ich den Alltag besser bewältigen kann"
"f13_5"	"1"	"trifft sehr zu"
"f13_5"	"2"	"trifft ziemlich zu"
"f13_5"	"3"	"trifft wenig zu"
"f13_5"	"4"	"trifft gar nicht zu"
"f13_5"	"5"	"weiß nicht/keine Angabe"
"f13_6"	"Variable Label"	"dass ich kritischer gegenüber der Gesellschaft bin"
"f13_6"	"1"	"trifft sehr zu"
"f13_6"	"2"	"trifft ziemlich zu"
"f13_6"	"3"	"trifft wenig zu"
"f13_6"	"4"	"trifft gar nicht zu"
"f13_6"	"5"	"weiß nicht/keine Angabe"
"f14_1"	"Variable Label"	"Lesen"
"f14_1"	"1"	"ja"
"f14_1"	"2"	"nein"
"f14_10"	"Variable Label"	"Reisen"
"f14_10"	"1"	"ja"
"f14_10"	"2"	"nein"
"f14_2"	"Variable Label"	"Musik hören"
"f14_2"	"1"	"ja"
"f14_2"	"2"	"nein"
"f14_3"	"Variable Label"	"Einkaufen gehen"
"f14_3"	"1"	"ja"
"f14_3"	"2"	"nein"
"f14_4"	"Variable Label"	"Essen gehen"
"f14_4"	"1"	"ja"
"f14_4"	"2"	"nein"
"f14_5"	"Variable Label"	"Handwerken, Basteln"
"f14_5"	"1"	"ja"
"f14_5"	"2"	"nein"
"f14_6"	"Variable Label"	"Sammeln"
"f14_6"	"1"	"ja"
"f14_6"	"2"	"nein"
"f14_7"	"Variable Label"	"Kochen"
"f14_7"	"1"	"ja"
"f14_7"	"2"	"nein"
"f14_8"	"Variable Label"	"Gartenarbeit, Pflanzen"
"f14_8"	"1"	"ja"
"f14_8"	"2"	"nein"
"f14_9"	"Variable Label"	"Bewegung, Sport"
"f14_9"	"1"	"ja"
"f14_9"	"2"	"nein"
"f15a1"	"Variable Label"	"ausgeübt: Fernsehen, Radio hören, Zeitung lesen"
"f15a1"	"1"	"ja"
"f15a1"	"2"	"nein"
"f15a2"	"Variable Label"	"ausgeübt: Buch lesen"
"f15a2"	"1"	"ja"
"f15a2"	"2"	"nein"
"f15a3"	"Variable Label"	"ausgeübt: Nutzung Computer, Internet"
"f15a3"	"1"	"ja"
"f15a3"	"2"	"nein"
"f15a4"	"Variable Label"	"ausgeübt: Kochen"
"f15a4"	"1"	"ja"
"f15a4"	"2"	"nein"
"f15a5"	"Variable Label"	"ausgeübt: handwerkliche Tätigkeiten"
"f15a5"	"1"	"ja"
"f15a5"	"2"	"nein"
"f15a6"	"Variable Label"	"ausgeübt: Befassung mit Gesundheitszustand"
"f15a6"	"1"	"ja"
"f15a6"	"2"	"nein"
"f15b1"	"Variable Label"	"etwas gelernt: Fernsehen, Radio hören, Zeitung lesen"
"f15b1"	"1"	"ja"
"f15b1"	"2"	"nein"
"f15b2"	"Variable Label"	"etwas gelernt: Buch lesen"
"f15b2"	"1"	"ja"
"f15b2"	"2"	"nein"
"f15b3"	"Variable Label"	"etwas gelernt: Nutzung Computer, Internet"
"f15b3"	"1"	"ja"
"f15b3"	"2"	"nein"
"f15b4"	"Variable Label"	"etwas gelernt: Kochen"
"f15b4"	"1"	"ja"
"f15b4"	"2"	"nein"
"f15b5"	"Variable Label"	"etwas gelernt: handwerkliche Tätigkeiten"
"f15b5"	"1"	"ja"
"f15b5"	"2"	"nein"
"f15b6"	"Variable Label"	"etwas gelernt: Befassung mit Gesundheitszustand"
"f15b6"	"1"	"ja"
"f15b6"	"2"	"nein"
"f15c1_1"	"Variable Label"	"praktische Fertigkeiten"
"f15c1_1"	"0"	"nein"
"f15c1_1"	"1"	"ja"
"f15c1_2"	"Variable Label"	"neues Wissen"
"f15c1_2"	"0"	"nein"
"f15c1_2"	"1"	"ja"
"f15c1_3"	"Variable Label"	"Menschenverständnis"
"f15c1_3"	"0"	"nein"
"f15c1_3"	"1"	"ja"
"f15c1_4"	"Variable Label"	"Lebenshilfe"
"f15c1_4"	"0"	"nein"
