variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"CITATION"	"Variable Label"	"PLEASE CITE THE DATA AS FOLLOWS"
"FUNDING_ACKNOWLEDGEMENT"	"Variable Label"	"FUNDING ACKNOWLEDGEMENT"
"RESPID"	"Variable Label"	"RESPONDENT ID (RANDOM)"
"ENTRY_WAVE"	"Variable Label"	"ENTRY WAVE"
"W1_PANELIST"	"Variable Label"	"PANELIST WAVE 1"
"W2_PANELIST"	"Variable Label"	"PANELIST WAVE 2"
"W3_PANELIST"	"Variable Label"	"PANELIST WAVE 3"
"W4_PANELIST"	"Variable Label"	"PANELIST WAVE 4"
"W5_PANELIST"	"Variable Label"	"PANELIST WAVE 5"
"W6_PANELIST"	"Variable Label"	"PANELIST WAVE 6"
"W7_PANELIST"	"Variable Label"	"PANELIST WAVE 7"
"W8_PANELIST"	"Variable Label"	"PANELIST WAVE 8"
"W9_PANELIST"	"Variable Label"	"PANELIST WAVE 9"
"W10_PANELIST"	"Variable Label"	"PANELIST WAVE 10"
"W11_PANELIST"	"Variable Label"	"PANELIST WAVE 11"
"W12_PANELIST"	"Variable Label"	"PANELIST WAVE 12"
"W13_PANELIST"	"Variable Label"	"PANELIST WAVE 13"
"W14_PANELIST"	"Variable Label"	"PANELIST WAVE 14"
"W15_PANELIST"	"Variable Label"	"PANELIST WAVE 15"
"W16_PANELIST"	"Variable Label"	"PANELIST WAVE 16"
"W17_PANELIST"	"Variable Label"	"PANELIST WAVE 17"
"W18_PANELIST"	"Variable Label"	"PANELIST WAVE 18"
"W19_PANELIST"	"Variable Label"	"PANELIST WAVE 19"
"W20_PANELIST"	"Variable Label"	"PANELIST WAVE 20"
"W21_PANELIST"	"Variable Label"	"PANELIST WAVE 21"
"W22_PANELIST"	"Variable Label"	"PANELIST WAVE 22"
"W23_PANELIST"	"Variable Label"	"PANELIST WAVE 23"
"W24_PANELIST"	"Variable Label"	"PANELIST WAVE 24"
"W25_PANELIST"	"Variable Label"	"PANELIST WAVE 25"
"W26_PANELIST"	"Variable Label"	"PANELIST WAVE 26"
"W27_PANELIST"	"Variable Label"	"PANELIST WAVE 27"
"W28_PANELIST"	"Variable Label"	"PANELIST WAVE 28"
"W29_PANELIST"	"Variable Label"	"PANELIST WAVE 29"
"W30_PANELIST"	"Variable Label"	"PANELIST WAVE 30"
"W31_PANELIST"	"Variable Label"	"PANELIST WAVE 31"
"W32_PANELIST"	"Variable Label"	"PANELIST WAVE 32"
"W33_PANELIST"	"Variable Label"	"PANELIST WAVE 33"
"W34_PANELIST"	"Variable Label"	"PANELIST WAVE 34"
"W35_PANELIST"	"Variable Label"	"PANELIST WAVE 35"
"W1W10_PANELIST"	"Variable Label"	"PANELIST WAVE 1-10"
"W1W15_PANELIST"	"Variable Label"	"PANELIST WAVE 1-15"
"W1W20_PANELIST"	"Variable Label"	"PANELIST WAVE 1-20"
"W1W24_PANELIST"	"Variable Label"	"PANELIST WAVE 1-24"
"W1W30_PANELIST"	"Variable Label"	"PANELIST WAVE 1-30"
"W1W32_PANELIST"	"Variable Label"	"PANELIST WAVE 1-32"
"W1W35_PANELIST"	"Variable Label"	"PANELIST WAVE 1-35"
"W1_START_DATE"	"Variable Label"	"START DATE WAVE 1"
"W2_START_DATE"	"Variable Label"	"START DATE WAVE 2"
"W3_START_DATE"	"Variable Label"	"START DATE WAVE 3"
"W4_START_DATE"	"Variable Label"	"START DATE WAVE 4"
"W5_START_DATE"	"Variable Label"	"START DATE WAVE 5"
"W6_START_DATE"	"Variable Label"	"START DATE WAVE 6"
"W7_START_DATE"	"Variable Label"	"START DATE WAVE 7"
"W8_START_DATE"	"Variable Label"	"START DATE WAVE 8"
"W9_START_DATE"	"Variable Label"	"START DATE WAVE 9"
"W10_START_DATE"	"Variable Label"	"START DATE WAVE 10"
"W11_START_DATE"	"Variable Label"	"START DATE WAVE 11"
"W12_START_DATE"	"Variable Label"	"START DATE WAVE 12"
"W13_START_DATE"	"Variable Label"	"START DATE WAVE 13"
"W14_START_DATE"	"Variable Label"	"START DATE WAVE 14"
"W15_START_DATE"	"Variable Label"	"START DATE WAVE 15"
"W16_START_DATE"	"Variable Label"	"START DATE WAVE 16"
"W17_START_DATE"	"Variable Label"	"START DATE WAVE 17"
"W18_START_DATE"	"Variable Label"	"START DATE WAVE 18"
"W19_START_DATE"	"Variable Label"	"START DATE WAVE 19"
"W20_START_DATE"	"Variable Label"	"START DATE WAVE 20"
"W21_START_DATE"	"Variable Label"	"START DATE WAVE 21"
"W22_START_DATE"	"Variable Label"	"START DATE WAVE 22"
"W23_START_DATE"	"Variable Label"	"START DATE WAVE 23"
"W24_START_DATE"	"Variable Label"	"START DATE WAVE 24"
"W25_START_DATE"	"Variable Label"	"START DATE WAVE 25"
"W26_START_DATE"	"Variable Label"	"START DATE WAVE 26"
"W27_START_DATE"	"Variable Label"	"START DATE WAVE 27"
"W28_START_DATE"	"Variable Label"	"START DATE WAVE 28"
"W29_START_DATE"	"Variable Label"	"START DATE WAVE 29"
"W30_START_DATE"	"Variable Label"	"START DATE WAVE 30"
"W31_START_DATE"	"Variable Label"	"START DATE WAVE 31"
"W32_START_DATE"	"Variable Label"	"START DATE WAVE 32"
"W33_START_DATE"	"Variable Label"	"START DATE WAVE 33"
"W34_START_DATE"	"Variable Label"	"START DATE WAVE 34"
"W35_START_DATE"	"Variable Label"	"START DATE WAVE 35"
"W1_END_DATE"	"Variable Label"	"END DATE WAVE 1"
"W2_END_DATE"	"Variable Label"	"END DATE WAVE 2"
"W3_END_DATE"	"Variable Label"	"END DATE WAVE 3"
"W4_END_DATE"	"Variable Label"	"END DATE WAVE 4"
"W5_END_DATE"	"Variable Label"	"END DATE WAVE 5"
"W6_END_DATE"	"Variable Label"	"END DATE WAVE 6"
"W7_END_DATE"	"Variable Label"	"END DATE WAVE 7"
"W8_END_DATE"	"Variable Label"	"END DATE WAVE 8"
"W9_END_DATE"	"Variable Label"	"END DATE WAVE 9"
"W10_END_DATE"	"Variable Label"	"END DATE WAVE 10"
"W11_END_DATE"	"Variable Label"	"END DATE WAVE 11"
"W12_END_DATE"	"Variable Label"	"END DATE WAVE 12"
"W13_END_DATE"	"Variable Label"	"END DATE WAVE 13"
"W14_END_DATE"	"Variable Label"	"END DATE WAVE 14"
"W15_END_DATE"	"Variable Label"	"END DATE WAVE 15"
"W16_END_DATE"	"Variable Label"	"END DATE WAVE 16"
"W17_END_DATE"	"Variable Label"	"END DATE WAVE 17"
"W18_END_DATE"	"Variable Label"	"END DATE WAVE 18"
"W19_END_DATE"	"Variable Label"	"END DATE WAVE 19"
"W20_END_DATE"	"Variable Label"	"END DATE WAVE 20"
"W21_END_DATE"	"Variable Label"	"END DATE WAVE 21"
"W22_END_DATE"	"Variable Label"	"END DATE WAVE 22"
"W23_END_DATE"	"Variable Label"	"END DATE WAVE 23"
"W24_END_DATE"	"Variable Label"	"END DATE WAVE 24"
"W25_END_DATE"	"Variable Label"	"END DATE WAVE 25"
"W26_END_DATE"	"Variable Label"	"END DATE WAVE 26"
"W27_END_DATE"	"Variable Label"	"END DATE WAVE 27"
"W28_END_DATE"	"Variable Label"	"END DATE WAVE 28"
"W29_END_DATE"	"Variable Label"	"END DATE WAVE 29"
"W30_END_DATE"	"Variable Label"	"END DATE WAVE 30"
"W31_END_DATE"	"Variable Label"	"END DATE WAVE 31"
"W32_END_DATE"	"Variable Label"	"END DATE WAVE 32"
"W33_END_DATE"	"Variable Label"	"END DATE WAVE 33"
"W34_END_DATE"	"Variable Label"	"END DATE WAVE 34"
"W35_END_DATE"	"Variable Label"	"END DATE WAVE 35"
"W1_INTDUR"	"Variable Label"	"INTERVIEW DURATION WAVE 1"
"W2_INTDUR"	"Variable Label"	"INTERVIEW DURATION WAVE 2"
"W3_INTDUR"	"Variable Label"	"INTERVIEW DURATION WAVE 3"
"W4_INTDUR"	"Variable Label"	"INTERVIEW DURATION WAVE 4"
"W5_INTDUR"	"Variable Label"	"INTERVIEW DURATION WAVE 5"
"W6_INTDUR"	"Variable Label"	"INTERVIEW DURATION WAVE 6"
"W7_INTDUR"	"Variable Label"	"INTERVIEW DURATION WAVE 7"
"W8_INTDUR"	"Variable Label"	"INTERVIEW DURATION WAVE 8"
