variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"GESIS_za_nr"	"Variable Label"	"GESIS study number"
"GESIS_version"	"Variable Label"	"GESIS version"
"GESIS_doi"	"Variable Label"	"GESIS doi"
"resp_id"	"Variable Label"	"RESPONDENT ID (RANDOM)"
"week"	"Variable Label"	"WOCHE"
"month"	"Variable Label"	"MONAT"
"day"	"Variable Label"	"TAG (LAUT DATUM)"
"iday"	"Variable Label"	"TAG (LAUT ZEITPLAN)"
"date"	"Variable Label"	"DATUMSVARIABLE (RCS)"
"rdd"	"Variable Label"	"RDD NUMMER"
"rdd"	"1"	"ja"
"rdd"	"2"	"nein"
"atag"	"Variable Label"	"AUSGABETAG"
"scheibe"	"Variable Label"	"SCHEIBE"
"intnr"	"Variable Label"	"INTERVIEWERNUMMER"
"iage"	"Variable Label"	"ALTER INTERVIEWER (IN JAHREN)"
"ibild"	"Variable Label"	"BILDUNG INTERVIEWER"
"ibild"	"1"	"Lehre/BMS"
"ibild"	"2"	"Matura"
"ibild"	"3"	"Hochschule"
"iexp"	"Variable Label"	"INTERVIEWER ERFAHRUNG (IN JAHREN)"
"iexp"	"1"	"unter 1 Jahr"
"iexp"	"2"	"1 bis <5 Jahre"
"iexp"	"3"	"5 bis <10 Jahre"
"iexp"	"4"	"10+ Jahre"
"iproj"	"Variable Label"	"INTERVIEWER ERFAHRUNG (ZAHL PROJEKTE)"
"iproj"	"1"	"unter 20 Projekte"
"iproj"	"2"	"20 bis <100 Projekte"
"iproj"	"3"	"100 bis <200 Projekte"
"iproj"	"4"	"200+ Projekte"
"igend"	"Variable Label"	"GESCHLECHT INTERVIEWER"
"igend"	"1"	"männlich"
"igend"	"2"	"weiblich"
"i1"	"Variable Label"	"(INT:) DEUTSCHKENNTNISSE BEFRAGTE/R"
"i1"	"0"	"sehr schlecht"
"i1"	"10"	"sehr gut"
"i2"	"Variable Label"	"(INT:) BEFRAGTE/R BEMUEHT, FRAGEN BESTMOEGLICH ZU BEANTWORTEN"
"i2"	"1"	"sehr oft"
"i2"	"2"	"oft"
"i2"	"3"	"hin und wieder"
"i2"	"4"	"fast nie"
"i2"	"5"	"nie"
"i3"	"Variable Label"	"(INT:) ANZAHL DER KONTAKTVERSUCHE"
"i3"	"1"	"1 Kontaktversuch"
"i3"	"2"	"2 Kontaktversuche"
"i3"	"3"	"3 Kontaktversuche"
"i3"	"4"	"4 Kontaktversuche"
"i3"	"5"	"5 Kontaktversuche"
"i3"	"6"	"6 Kontaktversuche"
"i3"	"7"	"7 Kontaktversuche"
"i3"	"8"	"8 Kontaktversuche"
"i3"	"9"	"9+ Kontaktversuche"
"w1_contact"	"Variable Label"	"INTERVIEW: MOBILTELEFON/FESTNETZ"
"w1_contact"	"0"	"Festnetz"
"w1_contact"	"1"	"Mobilnetz"
"w1_q1"	"Variable Label"	"STAATSBUERGERSCHAFT OESTERREICH"
"w1_q1"	"1"	"ja"
"w1_q1"	"2"	"nein"
"w1_q1"	"88"	"weiss nicht"
"w1_q1"	"99"	"keine Angabe"
"w1_q2"	"Variable Label"	"GEBURTSJAHR"
"w1_q4"	"Variable Label"	"GESCHLECHT"
"w1_q4"	"1"	"maennlich"
"w1_q4"	"2"	"weiblich"
"w1_q5"	"Variable Label"	"WICHTIGSTES THEMA (NENNUNG NEIN/JA)"
"w1_q5"	"1"	"Thema genannt"
"w1_q5"	"88"	"weiss nicht"
"w1_q5"	"99"	"keine Angabe"
"w1_q5txt"	"Variable Label"	"WICHTIGSTES THEMA (STRING)"
"w1_q5x1"	"Variable Label"	"WICHTIGSTES THEMA: CODIERUNG LEVEL 1"
"w1_q5x1"	"10000"	"Wirtschaft"
"w1_q5x1"	"11000"	"Wohlfahrtsstaat"
"w1_q5x1"	"12000"	"Budget"
"w1_q5x1"	"13000"	"Bildung und Kultur"
"w1_q5x1"	"14000"	"Sicherheit"
"w1_q5x1"	"15000"	"Bundesheer"
"w1_q5x1"	"16000"	"Außenpolitik"
"w1_q5x1"	"17000"	"Europa"
"w1_q5x1"	"18000"	"Infrastruktur"
"w1_q5x1"	"19000"	"Gesellschaft"
"w1_q5x1"	"20000"	"Umweltschutz"
"w1_q5x1"	"21000"	"Institutionenreform"
"w1_q5x1"	"22000"	"Immigration"
"w1_q5x1"	"23000"	"Regierungsbildung"
"w1_q5x1"	"24000"	"Ideologie"
"w1_q5x1"	"25000"	"Politics"
"w1_q5x1"	"26000"	"Politiker in der allg. Berichterstattung"
"w1_q5x1"	"77777"	"Mehrfachnennung"
"w1_q5x1"	"99998"	"es gibt kein Problem in Österreich"
"w1_q5x1"	"99999"	"nicht einordenbar"
"w1_q5x2"	"Variable Label"	"WICHTIGSTES THEMA: CODIERUNG LEVEL 2"
"w1_q5x2"	"10100"	"Wirtschaft (allgem.)"
"w1_q5x2"	"10200"	"Arbeitsmarkt/Arbeitslosigkeit"
"w1_q5x2"	"10300"	"Markt/Liberalisierung/Deregulierung"
"w1_q5x2"	"10400"	"Globalisierung"
"w1_q5x2"	"10500"	"Finanzsektor/Banken"
"w1_q5x2"	"10600"	"Wirtschaft: Unternehmen"
"w1_q5x2"	"10700"	"Wirtschaft: Arbeitnehmer"
"w1_q5x2"	"10800"	"Konsumenten/Wohnen"
"w1_q5x2"	"10900"	"Landwirtschaft"
"w1_q5x2"	"11100"	"Wohlfahrtsstaat (allgem.)"
"w1_q5x2"	"11200"	"Unterstützung von Arbeitslosen"
"w1_q5x2"	"11300"	"Gesundheitssystem"
"w1_q5x2"	"11400"	"Gesundheit: Rechte/Pflichte von Individuen"
"w1_q5x2"	"11500"	"Pflege & Betreuung/Behinderte"
"w1_q5x2"	"11600"	"Pension"
"w1_q5x2"	"11700"	"Familien/Kinder/Jugendliche"
"w1_q5x2"	"11900"	"Gefahrenschutz/Katastrophen"
"w1_q5x2"	"11950"	"Sport/Freizeit"
"w1_q5x2"	"12100"	"Budget, Staatsverschuldung"
"w1_q5x2"	"12200"	"Steuern allgemein"
"w1_q5x2"	"12300"	"Steuern für Individuen"
"w1_q5x2"	"12400"	"Steuern für Unternehmen"
"w1_q5x2"	"13100"	"Bildung allgemein"
"w1_q5x2"	"13200"	"Kindergarten"
"w1_q5x2"	"13300"	"Schule"
"w1_q5x2"	"13400"	"Universität und Fachhochschule"
"w1_q5x2"	"13500"	"Lehre"
"w1_q5x2"	"13600"	"Erwachsenenbildung/Bildung und Beruf"
"w1_q5x2"	"13700"	"Kultur"
"w1_q5x2"	"14100"	"Kriminalitätsbekämpfung (allgem.)"
"w1_q5x2"	"14200"	"Strafverfolgung"
"w1_q5x2"	"14300"	"Strafausmaß/Strafvollzug"
"w1_q5x2"	"14400"	"Kriminalitätsprävention"
"w1_q5x2"	"14500"	"Wirtschaftskriminalität"
"w1_q5x2"	"14600"	"Terrorismus"
"w1_q5x2"	"15100"	"Heer: allgemein und Inneneinsatz"
"w1_q5x2"	"15200"	"Heer: Reform/Strukturveränderung"
"w1_q5x2"	"15300"	"Heer: Ausland"
"w1_q5x2"	"16100"	"internationale Zusammenarbeit"
"w1_q5x2"	"16200"	"bilaterale Beziehungen"
"w1_q5x2"	"16300"	"Krieg und Frieden"
"w1_q5x2"	"17100"	"EU: allgemein"
"w1_q5x2"	"17200"	"EU: Verträge/Integrationsschritte/Euro"
"w1_q5x2"	"17300"	"EU: Erweiterung"
"w1_q5x2"	"17400"	"EU: Partizipation/Demokratie"
"w1_q5x2"	"17500"	"EU: Policies"
"w1_q5x2"	"18100"	"Straßenverkehr"
"w1_q5x2"	"18200"	"Schienenverkehr"
"w1_q5x2"	"18300"	"Luftverkehr/Schifffahrt"
"w1_q5x2"	"18400"	"Energieversorgung"
"w1_q5x2"	"18500"	"Telekommunikation"
"w1_q5x2"	"18600"	"Infrastruktur (allgem.)"
"w1_q5x2"	"19100"	"Gleichberechtigung"
"w1_q5x2"	"19200"	"Partnerschaft und sexuelle Orientierung"
"w1_q5x2"	"19300"	"Abtreibung und bioethische Fragen"
"w1_q5x2"	"19400"	"Religion"
"w1_q5x2"	"19500"	"Zensur"
"w1_q5x2"	"19600"	"NS-Zeit/Rechtsextremismus"
"w1_q5x2"	"19700"	"autochthone Minderheiten"
"w1_q5x2"	"19800"	"Bürgerrechte/Menschenrechte/Grundrechte"
