variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v03"	"Variable Label"	"Persönliche Inanspruchnahme von Arbeitsmarktförderungen"
"v03"	"1"	"Ja"
"v03"	"2"	"Nein"
"v03"	"3"	"W.N./K.A."
"v04"	"Variable Label"	"Erfolgskontrolle von Maßnahmen der Arbeitsmarktförderung"
"v04"	"1"	"Ja"
"v04"	"2"	"Nein"
"v04"	"3"	"W.N./K.A."
"v06"	"Variable Label"	"Arbeitsvermittlung durch private Firmen?"
"v06"	"1"	"Auch Private sollen vermitteln"
"v06"	"2"	"Nur Arbeitsämter sollen vermitteln"
"v06"	"3"	"W.N./K.A."
"v07"	"Variable Label"	"Reichen Mittel zur Arbeitsmarktförderung aus?"
"v07"	"1"	"Zu viel"
"v07"	"2"	"Gerade ausreichend"
"v07"	"3"	"Zu wenig"
"v07"	"4"	"W.N./K.A."
"v08"	"Variable Label"	"Bereitschaft zu höherem Beitrag zur Arbeitslosenversicherung"
"v08"	"1"	"Ja"
"v08"	"2"	"Nein"
"v08"	"3"	"Bin nicht sozialversichert"
"v08"	"4"	"W.N./K.A."
"v09"	"Variable Label"	"Geschlecht"
"v09"	"1"	"Männlich"
"v09"	"2"	"Weiblich"
"v10"	"Variable Label"	"Alter"
"v10"	"1"	"16 bis 24 Jahre"
"v10"	"2"	"25 bis 39 Jahre"
"v10"	"3"	"40 bis 59 Jahre"
"v10"	"4"	"Ab 60 Jahre"
"v11"	"Variable Label"	"Bildung"
"v11"	"1"	"Matura/Universität"
"v11"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v11"	"3"	"Pflichtschule ohne weiterer Ausbildung"
"v12"	"Variable Label"	"Tätigkeit"
"v12"	"1"	"In Ausbildung"
"v12"	"2"	"Nicht berufstätig"
"v12"	"3"	"Pension"
"v12"	"4"	"Selbständig/Landwirt"
"v12"	"5"	"Arbeiter"
"v12"	"6"	"Angestellte"
"v13"	"Variable Label"	"Parteipräferenz"
"v13"	"1"	"SPÖ"
"v13"	"2"	"ÖVP"
"v13"	"3"	"FPÖ"
"v13"	"4"	"KPÖ"
"v13"	"5"	"Grüne-Alternative"
"v13"	"6"	"Andere"
"v13"	"7"	"Keine"
"v13"	"8"	"K.A."
"v14"	"Variable Label"	"Bundesland"
"v14"	"1"	"Wien"
"v14"	"2"	"Niederösterreich"
"v14"	"3"	"Burgenland"
"v14"	"4"	"Steiermark"
"v14"	"5"	"Kärnten"
"v14"	"6"	"Oberösterreich"
"v14"	"7"	"Salzburg"
"v14"	"8"	"Tirol"
"v14"	"9"	"Vorarlberg"
