variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"gewicht"	"Variable Label"	"<keine>"
"v1"	"Variable Label"	"Haben Sie von Abwertung des EURO gehört od.  gelesen?"
"v1"	"1"	"Ja"
"v1"	"2"	"Nein"
"v1"	"3"	"W.N./K.A."
"v10"	"Variable Label"	"Sollte Österreich Mitglied der EU bleiben?"
"v10"	"1"	"bei EU bleiben"
"v10"	"2"	"wieder austreten"
"v10"	"3"	"W.N./K.A."
"v11"	"Variable Label"	"Geschlecht"
"v11"	"1"	"männlich"
"v11"	"2"	"weiblich"
"v12"	"Variable Label"	"Alter"
"v12"	"1"	"16-24 Jahre"
"v12"	"2"	"25-39 Jahre"
"v12"	"3"	"40-59 Jahre"
"v12"	"4"	"ab 60 Jahre"
"v13"	"Variable Label"	"Bildung"
"v13"	"1"	"Matura, Universität"
"v13"	"2"	"Pflichtschule mit weiterer Ausbildung (Lehre, Fachschule)"
"v13"	"3"	"Pflichtschule ohne weitere Ausbildung"
"v14"	"Variable Label"	"Tätigkeit"
"v14"	"1"	"in Ausbildung"
"v14"	"2"	"nicht berufstätig"
"v14"	"3"	"Pension"
"v14"	"4"	"selbständig (auch Landwirte)"
"v14"	"5"	"Arbeiter"
"v14"	"6"	"Angestellte"
"v14"	"7"	"Beamte"
"v15"	"Variable Label"	"Parteipräferenz"
"v15"	"1"	"SPÖ"
"v15"	"2"	"ÖVP"
"v15"	"3"	"FPÖ"
"v15"	"4"	"KPÖ"
"v15"	"5"	"GAL"
"v15"	"6"	"LIF"
"v15"	"7"	"Keine"
"v15"	"8"	"K. A."
"v16"	"Variable Label"	"Bundesland"
"v16"	"1"	"Wien"
"v16"	"2"	"Niederösterreich"
"v16"	"3"	"Burgenland"
"v16"	"4"	"Steiermark"
"v16"	"5"	"Kärnten"
"v16"	"6"	"Oberösterreich"
"v16"	"7"	"Salzburg"
"v16"	"8"	"Tirol"
"v16"	"9"	"Vorarlberg"
"v2a"	"Variable Label"	"Für die Exporteure"
"v2a"	"1"	"Vorteil"
"v2a"	"2"	"Nachteil"
"v2a"	"3"	"weder noch"
"v2a"	"4"	"W.N./K.A."
"v2b"	"Variable Label"	"Für die Importeure"
"v2b"	"1"	"Vorteil"
"v2b"	"2"	"Nachteil"
"v2b"	"3"	"weder noch"
"v2b"	"4"	"W.N./K.A."
"v2c"	"Variable Label"	"Für den österreichischen Fremdenverkehr"
"v2c"	"1"	"Vorteil"
"v2c"	"2"	"Nachteil"
"v2c"	"3"	"weder noch"
"v2c"	"4"	"W.N./K.A."
"v2d"	"Variable Label"	"Für Leute, die außerhalb Europas, z. B. in der Karibik oder den USA, Urlaub machen"
"v2d"	"1"	"Vorteil"
"v2d"	"2"	"Nachteil"
"v2d"	"3"	"weder noch"
"v2d"	"4"	"W.N./K.A."
"v2e"	"Variable Label"	"Für die österreichische Wirtschaft als Ganzes"
"v2e"	"1"	"Vorteil"
"v2e"	"2"	"Nachteil"
"v2e"	"3"	"weder noch"
"v2e"	"4"	"W.N./K.A."
"v3a"	"Variable Label"	"Der Bankenverband"
"v3a"	"1"	"Ja"
"v3a"	"2"	"Nein"
"v3a"	"3"	"W.N./K.A."
"v3b"	"Variable Label"	"Der Finanzminister"
"v3b"	"1"	"Ja"
"v3b"	"2"	"Nein"
