variable	value	Label
"a"	"Variable Label"	"Ihr Geschlecht?"
"a"	"1"	"männlich"
"a"	"2"	"weiblich"
"alter"	"Variable Label"	"Alter, 10-Jahresschritte"
"alter"	"1"	"14 bis 19 Jahre"
"alter"	"2"	"20 bis 29 Jahre"
"alter"	"3"	"30 bis 39 Jahre"
"alter"	"4"	"40 bis 49 Jahre"
"alter"	"5"	"50 bis 59 Jahre"
"alter"	"6"	"60 bis 69 Jahre"
"alter"	"7"	"70 Jahre und älter"
"alter4"	"Variable Label"	"Alter, 4 Gruppen"
"alter4"	"1"	"bis 29 Jahre"
"alter4"	"2"	"30 bis 44 Jahre"
"alter4"	"3"	"45 bis 59 Jahre"
"alter4"	"4"	"60 Jahre und älter"
"bundesland"	"Variable Label"	"Bundesland"
"bundesland"	"1"	"Burgenland"
"bundesland"	"2"	"Kärnten"
"bundesland"	"3"	"Niederösterreich"
"bundesland"	"4"	"Oberösterreich"
"bundesland"	"5"	"Salzburg"
"bundesland"	"6"	"Steiermark"
"bundesland"	"7"	"Tirol"
"bundesland"	"8"	"Vorarlberg"
"bundesland"	"9"	"Wien"
"c"	"Variable Label"	"Was ist Ihre höchste bereits abgeschlossene Schulbildung?"
"c"	"1"	"Pflichtschule"
"c"	"2"	"Lehre"
"c"	"3"	"Berufsbildende mittlere Schule (ohne Matura)"
"c"	"4"	"allgemeine oder berufsbildende höhere Schule (AHS/BHS, mit Matura)"
"c"	"5"	"Universität, Fachhochschule"
"d"	"Variable Label"	"Soweit Sie wissen, hat Ihre Mutter/Ihr Vater Matura?"
"d"	"1"	"ja, meine Mutter"
"d"	"2"	"ja, mein Vater"
"d"	"3"	"ja, beide"
"d"	"4"	"nein, keiner von beiden"
"d"	"5"	"keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"e_rec"	"Variable Label"	"Sind Sie derzeit...?"
"e_rec"	"1"	"Berufstätig (aber kein Lehrling)"
"e_rec"	"2"	"Schüler/in, Student/in, in Ausbildung"
"e_rec"	"3"	"in Pension"
"e_rec"	"4"	"Sonstiges"
"f"	"Variable Label"	"Beruf: Sind Sie derzeit...?"
"f"	"1"	"ArbeiterIn"
"f"	"2"	"Angestellte/r"
"f"	"3"	"öffentlich Bedienstete/r"
"f"	"4"	"selbständig, freiberuflich"
"g"	"Variable Label"	"Kurzarbeit"
"g"	"1"	"ja"
"g"	"2"	"nein"
"g"	"3"	"keine Angabe"
"gew"	"Variable Label"	"Gewicht roh"
"gew_cut"	"Variable Label"	"Gewicht zugeschnitten (windsored)"
"h"	"Variable Label"	"Arbeiten Sie Voll- oder Teilzeit?"
"h"	"1"	"Vollzeit"
"h"	"2"	"Teilzeit"
"h"	"3"	"keine Angabe"
"i"	"Variable Label"	"Aussagen zu Geld"
"i"	"1"	"Ich habe genug Geld, um mir immer alles leisten zu können, was ich möchte."
"i"	"2"	"Ab und an muss ich nachdenken, wofür genau ich Geld ausgebe."
"i"	"3"	"Ich muss mir mein Geld genau einteilen."
"i"	"4"	"keine Angabe"
"id"	"Variable Label"	"Identifikationsnummer des Interviews"
"k"	"Variable Label"	"Sind Sie Mitglied einer politischen Partei?"
"k"	"1"	"ja"
"k"	"2"	"nein"
"k"	"3"	"keine Angabe"
"l"	"Variable Label"	"Sind Sie Mitglied der Gewerkschaft?"
"l"	"1"	"ja"
"l"	"2"	"nein"
"l"	"3"	"keine Angabe"
"m"	"Variable Label"	"Sind Sie in Ihrer Freizeit in irgendeinem Verein aktiv?"
"m"	"1"	"ja"
"m"	"2"	"nein"
"m"	"3"	"keine Angabe"
"n_rec"	"Variable Label"	"Welcher Glaubensgemeinschaft gehören Sie an?"
"n_rec"	"1"	"römisch-katholisch"
"n_rec"	"2"	"evangelisch"
"n_rec"	"3"	"islamisch"
"n_rec"	"4"	"anderer"
"n_rec"	"5"	"keiner, ohne Bekenntnis"
"n_rec"	"6"	"keine Angabe"
"o"	"Variable Label"	"Wie häufig gehen Sie in ein Gebetshaus Ihrer Religion?"
"o"	"1"	"praktisch nie"
"o"	"2"	"einmal im Jahr oder seltener"
"o"	"3"	"ein paar Mal im Jahr"
"o"	"4"	"zumindest einmal pro Monat"
"o"	"5"	"zumindest einmal pro Woche"
"o"	"6"	"häufiger"
"o"	"7"	"keine Angabe"
"p"	"Variable Label"	"Sind Sie in Österreich geboren?"
"p"	"1"	"ja"
"p"	"2"	"nein"
"p"	"3"	"keine Angabe"
"q1"	"Variable Label"	"Wie hat sich Österreich in den vergangenen zwölf Monaten entwickelt?"
"q1"	"1"	"eher positiv"
"q1"	"2"	"eher negativ"
"q1"	"3"	"es hat sich nichts verändert"
"q1"	"4"	"keine Angabe"
"q10"	"Variable Label"	"Waren Sie bei der Nationalratswahl 2019 wahlberechtigt?"
"q10"	"1"	"ja"
"q10"	"2"	"nein"
"q10"	"3"	"keine Angabe"
"q11"	"Variable Label"	"Welcher Partei haben Sie da Ihre Stimme gegeben?"
"q11"	"1"	"ÖVP"
"q11"	"2"	"SPÖ"
"q11"	"3"	"FPÖ"
"q11"	"4"	"GRÜNE"
"q11"	"5"	"NEOS"
"q11"	"6"	"Jetzt/Liste Pilz"
"q11"	"7"	"KPÖ"
"q11"	"8"	"andere Partei"
"q11"	"9"	"ungültig gewählt"
"q11"	"10"	"war nicht wählen"
"q11"	"11"	"keine Angabe"
"q12_1"	"Variable Label"	"Wahrscheinlichkeit Parteiwahl ÖVP"
"q12_1"	"0"	"sehr unwahrscheinlich"
"q12_1"	"10"	"sehr wahrscheinlich"
"q12_1"	"11"	"keine Angabe"
"q12_2"	"Variable Label"	"Wahrscheinlichkeit Parteiwahl SPÖ"
"q12_2"	"0"	"sehr unwahrscheinlich"
"q12_2"	"10"	"sehr wahrscheinlich"
"q12_2"	"11"	"keine Angabe"
"q12_3"	"Variable Label"	"Wahrscheinlichkeit Parteiwahl FPÖ"
"q12_3"	"0"	"sehr unwahrscheinlich"
"q12_3"	"10"	"sehr wahrscheinlich"
"q12_3"	"11"	"keine Angabe"
"q12_4"	"Variable Label"	"Wahrscheinlichkeit Parteiwahl GRÜNE"
"q12_4"	"0"	"sehr unwahrscheinlich"
"q12_4"	"10"	"sehr wahrscheinlich"
"q12_4"	"11"	"keine Angabe"
"q12_5"	"Variable Label"	"Wahrscheinlichkeit Parteiwahl NEOS"
"q12_5"	"0"	"sehr unwahrscheinlich"
"q12_5"	"10"	"sehr wahrscheinlich"
"q12_5"	"11"	"keine Angabe"
"q13_1"	"Variable Label"	"Einordung Parteien politische links-rechts-Skala ÖVP"
"q13_1"	"0"	"sehr weit links"
"q13_1"	"10"	"sehr weit rechts"
"q13_2"	"Variable Label"	"Einordung Parteien politische links-rechts-Skala SPÖ"
"q13_2"	"0"	"sehr weit links"
"q13_2"	"10"	"sehr weit rechts"
"q13_3"	"Variable Label"	"Einordung Parteien politische links-rechts-Skala FPÖ"
"q13_3"	"0"	"sehr weit links"
"q13_3"	"10"	"sehr weit rechts"
"q13_4"	"Variable Label"	"Einordung Parteien politische links-rechts-Skala GRÜNE"
"q13_4"	"0"	"sehr weit links"
"q13_4"	"10"	"sehr weit rechts"
"q13_5"	"Variable Label"	"Einordung Parteien politische links-rechts-Skala NEOS"
"q13_5"	"0"	"sehr weit links"
"q13_5"	"10"	"sehr weit rechts"
"q14"	"Variable Label"	"Stehen Sie im Allgemeinen einer politischen Partei nahe?"
"q14"	"1"	"ja"
"q14"	"2"	"nein"
"q14"	"3"	"keine Angabe"
"q15"	"Variable Label"	"Stehen Sie einer Partei ein näher als den anderen Parteien?"
"q15"	"1"	"ja"
"q15"	"2"	"nein"
"q15"	"3"	"keine Angabe"
"q16"	"Variable Label"	"Welche Partei ist das?"
"q16"	"1"	"ÖVP"
"q16"	"2"	"SPÖ"
"q16"	"3"	"FPÖ"
"q16"	"4"	"GRÜNE"
"q16"	"5"	"NEOS"
"q16"	"6"	"MFG"
"q16"	"7"	"andere Partei"
"q16"	"8"	"keine Angabe"
"q17"	"Variable Label"	"Stehen Sie dieser Partei sehr, ziemlich oder nicht sehr nahe?"
"q17"	"1"	"sehr nahe"
"q17"	"2"	"ziemlich nahe"
"q17"	"3"	"nicht sehr nahe"
"q17"	"4"	"keine Angabe"
"q18"	"Variable Label"	"Persönlich wichtig dieser Partei nahezustehen"
"q18"	"1"	"sehr wichtig"
"q18"	"2"	"eher wichtig"
"q18"	"3"	"eher nicht wichtig"
"q18"	"4"	"gar nicht wichtig"
"q18"	"5"	"keine Angabe"
"q19"	"Variable Label"	"Partei, wie oft sagen Sie dann „wir“ statt „die“?"
"q19"	"1"	"praktisch immer"
"q19"	"2"	"häufig"
"q19"	"3"	"selten"
"q19"	"4"	"praktisch nie"
"q19"	"5"	"keine Angabe"
"q2"	"Variable Label"	"Was erwarten Sie, wie wird sich Österreich in den kommenden Jahren entwickeln?"
"q2"	"1"	"eher positiv"
"q2"	"2"	"eher negativ"
"q2"	"3"	"es wird sich nur wenig ändern"
"q2"	"4"	"keine Angabe"
"q20_1"	"Variable Label"	"Sympathie Wählergruppe ÖVP"
"q20_1"	"0"	"gar nicht sympathisch"
"q20_1"	"10"	"sehr sympathisch"
"q20_1"	"11"	"weiß nicht"
"q20_1"	"12"	"keine Angabe"
"q20_2"	"Variable Label"	"Sympathie Wählergruppe SPÖ"
"q20_2"	"0"	"gar nicht sympathisch"
"q20_2"	"10"	"sehr sympathisch"
"q20_2"	"11"	"weiß nicht"
"q20_2"	"12"	"keine Angabe"
"q20_3"	"Variable Label"	"Sympathie Wählergruppe FPÖ"
"q20_3"	"0"	"gar nicht sympathisch"
"q20_3"	"10"	"sehr sympathisch"
"q20_3"	"11"	"weiß nicht"
"q20_3"	"12"	"keine Angabe"
"q20_4"	"Variable Label"	"Sympathie Wählergruppe GRÜNE"
"q20_4"	"0"	"gar nicht sympathisch"
"q20_4"	"10"	"sehr sympathisch"
"q20_4"	"11"	"weiß nicht"
"q20_4"	"12"	"keine Angabe"
