version	doi	age	SEX	POP	YL	YAF	YS	YR	Y	TGYL	TGYS	TGYA	TGC	TGO	YN	TGSOAIC	TGSDIC	TGSFIC	TGSUIC	TGSXIC	TGXIC	TFB	TGIC	YD	TFW	TFWI	TFWO	YDF	CGH	CGE	CGS	CGX	CG	YDFA	YDA	CF	SF	YAG	TGNF	SG	PH	PHHW	PHCC	CH	CHHW	CHCC	THOHW	THIHW	THOCC	THICC	THO	THI	PHM	PHHWM	PHCCM	CHHWM	CHCCM	THOHWM	THIHWM	THOCCM	THICCM	THOM	THIM
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	0.0	0.0	83341.0	0.0	0.0	0.0	0.0452805	0.0452805	0.0	0.0	0.0	1505.575	1505.575	-1505.5297	0.887875	234.2569	0.0	0.0	21.95913	0.0	0.0	257.1038	-1248.4259	7739.019	7739.019	7.9421225E-6	6490.5933	4300.063	99.54169	365.4658	2571.9583	7337.028	13827.621	-1148.8843	5616.664	873.9291	-32.91801	-36.15824	19.30673	0.0	0.0	0.0	429.03906	102.87346	326.1656	0.0	102.87346	0.0	326.1656	0.0	429.03906	0.0	0.0	0.0	9568.981	26467.156	0.0	9568.981	0.0	26467.156	0.0	36036.137
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	1.0	0.0	82449.0	0.0	0.0	0.0	0.1325141	0.1325141	0.0	0.0	0.0	1638.793	1638.793	-1638.6604	2.530788	58.51162	0.0	0.0	21.95913	0.0	0.0	83.00153	-1555.6588	7209.934	7209.934	1.6363896E-5	5654.2754	987.8906	809.7168	311.1412	2571.958	4680.706	10334.981	-745.942	6028.853	-374.57788	-35.8307	-39.35763	21.01505	0.0	0.0	0.0	379.89456	100.58455	279.31003	0.0	100.58455	0.0	279.31003	0.0	379.89456	0.0	0.0	0.0	9356.073	22664.994	0.0	9356.073	0.0	22664.994	0.0	32021.068
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	2.0	0.0	81855.5	0.0	0.0	0.0	0.2197476	0.2197476	0.0	0.0	0.0	1508.249	1508.249	-1508.0293	3.116303	61.36188	0.0	0.0	21.95913	0.0	0.0	86.43731	-1421.592	7075.4014	7075.4014	1.5068028E-5	5653.8096	987.8906	2475.696	312.0286	2571.9575	6347.573	12001.383	1054.104	5597.695	56.11458	-32.97648	-36.22246	19.34102	0.0	0.0	0.0	308.40924	98.29564	210.11359	0.0	98.29564	0.0	210.11359	0.0	308.40924	0.0	0.0	0.0	9143.166	17049.955	0.0	9143.166	0.0	17049.955	0.0	26193.121
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	3.0	0.0	82316.5	0.0	0.0	0.0	0.3062076	0.3062076	0.0	0.0	0.0	1516.831	1516.831	-1516.5249	6.357736	64.46989	0.0374307	0.0	21.95913	0.0	0.0	92.8242	-1423.7007	7308.6875	7308.6875	8.397211E-6	5884.987	987.8906	4637.613	313.0273	2571.9578	8510.488	14395.475	3213.912	5676.141	208.84575	-33.16412	-36.42857	19.45108	0.0	0.0	0.0	291.65295	96.95665	194.6963	0.0	96.95665	0.0	194.6963	0.0	291.65295	0.0	0.0	0.0	9018.617	15798.898	0.0	9018.617	0.0	15798.898	0.0	24817.516
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	4.0	0.0	81771.5	0.0	0.0	0.0	0.4710846	0.4710846	0.0	0.0	0.0	1478.957	1478.957	-1478.486	8.294416	69.73859	0.0	0.0	21.95913	0.0	0.0	99.99214	-1378.4938	7542.2417	7542.2417	1.3872895E-5	6163.748	987.8906	5819.57	314.6728	2571.9583	9694.091	15857.839	4441.076	5598.918	564.82996	-32.33603	-35.51897	18.96539	0.0	0.0	0.0	268.34546	96.37642	171.96904	0.0	96.37642	0.0	171.96904	0.0	268.34546	0.0	0.0	0.0	8964.646	13954.664	0.0	8964.646	0.0	13954.664	0.0	22919.31
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	5.0	0.0	82736.0	0.0	0.0	0.0	0.6485115	0.6485115	0.0	0.83505917	0.0	1599.209	1600.0441	-1599.3955	10.74303	71.46855	0.150446	0.0	21.95913	0.0	0.0	104.3211	-1495.0745	7808.044	7824.666	16.622034	6312.9697	817.6255	5863.954	315.2485	2571.9575	9568.786	15881.756	4368.88	6050.744	262.22537	-34.9835	-38.42704	20.51816	0.0	0.0	0.0	262.59213	97.48939	165.10275	0.0	97.48939	0.0	165.10275	0.0	262.59213	0.0	0.0	0.0	9068.171	13397.49	0.0	9068.171	0.0	13397.49	0.0	22465.66
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	6.0	0.0	80324.0	0.0	0.0	0.0	0.8892969	0.8892969	0.0	0.86013466	0.0	1719.464	1720.3241	-1719.4348	13.26693	71.00906	0.0438417	0.0	21.95913	0.0	0.0	106.279	-1613.1558	8189.601	8189.601	1.9194333E-5	6576.4453	817.6255	7637.32	315.123	2571.958	11342.03	17918.477	6024.164	6505.722	70.723076	-37.61331	-41.31571	22.06057	1.7711692	1.7711692	0.0	249.02242	98.91353	150.10889	0.13140535	97.273766	0.0	150.10889	0.13140535	247.38266	164.74884	164.74884	0.0	9200.641	12180.793	12.222932	9048.114	0.0	12180.793	12.222932	21228.906
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	7.0	0.0	81728.0	0.0	0.0	0.0	0.9757317	0.9757317	0.0	0.84535843	0.0	1841.602	1842.4474	-1841.4717	24.37527	87.62038	0.1596969	0.0	21.95913	0.0	0.0	134.1145	-1707.3572	8682.419	8703.041	20.622026	6975.0615	817.6255	8284.053	320.3882	2571.9578	11994.02	18969.082	6576.6953	6969.541	5.520754	-40.28343	-44.24865	23.62662	5.2885566	5.2885566	0.0	238.80412	101.67776	137.12636	0.4278714	96.81707	0.0	137.12636	0.4278714	233.94344	491.92566	491.92566	0.0	9457.761	11127.307	39.799316	9005.634	0.0	11127.307	39.799316	20132.94
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	8.0	0.0	80549.5	0.0	0.0	0.0	1.06396	1.06396	0.0	0.8577267	0.0	1964.292	1965.1497	-1964.0857	33.96243	97.53066	0.1324227	0.0	21.95913	0.0	0.0	153.5846	-1810.5011	9340.2295	9342.314	2.085445	7529.7285	817.6255	8623.204	323.5475	2571.9575	12336.33	19866.059	6812.703	7437.767	91.961235	-42.96619	-47.19549	25.20008	10.22584	10.22584	0.0	220.64868	104.22523	116.42345	0.8404941	94.83988	0.0	116.42345	0.8404941	211.26334	951.17694	951.17694	0.0	9694.719	9447.341	78.18024	8821.722	0.0	9447.341	78.18024	18269.062
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	9.0	0.0	82233.0	0.0	0.0	0.0	0.9839179	0.9839179	0.0	0.84016705	0.0	2084.209	2085.049	-2084.0652	39.75322	102.0831	0.1190371	0.0	21.95913	0.0	0.0	163.9146	-1920.1506	9936.999	9943.03	6.0311418	8016.8486	817.6255	8486.961	325.0167	2571.9585	12201.56	20218.408	6566.8105	7900.824	116.02417	-45.58769	-50.07503	26.73762	17.881657	17.881657	0.0	207.49582	108.385574	99.11024	1.7851125	92.28903	0.0	99.11024	1.7851125	191.39928	1663.2981	1663.2981	0.0	10081.702	8042.4365	166.0458	8584.449	0.0	8042.4365	166.0458	16626.885
