version	doi	variable	data	sex	age0	age1	age2	age3	age4	age5	age6	age7	age8	age9	age10	age11	age12	age13	age14	age15	age16	age17	age18	age19	age20	age21	age22	age23	age24	age25	age26	age27	age28	age29	age30	age31	age32	age33	age34	age35	age36	age37	age38	age39	age40	age41	age42	age43	age44	age45	age46	age47	age48	age49	age50	age51	age52	age53	age54	age55	age56	age57	age58	age59	age60	age61	age62	age63	age64	age65	age66	age67	age68	age69	age70	age71	age72	age73	age74	age75	age76	age77	age78	age79	age80	age81	age82	age83	age84	age85	age86	age87	age88	age89	age90
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"CF"	"NTA"	0	5616.664	6028.853	5597.695	5676.141	5598.918	6050.744	6505.722	6969.541	7437.767	7900.824	8372.48	8879.156	9380.685	9891.243	10427.92	11035.93	11723.46	12377.32	13035.23	13554.67	14006.68	14524.53	14983.13	15533.25	16084.99	16615.36	17035.85	17348.35	17609.81	17809.03	17851.87	17872.27	17818.42	17774.28	17656.09	17615.89	17544.63	17547.29	17696.3	17897.16	18061.71	18283.94	18472.98	18394.63	18303.68	18161.23	18051.36	18073.72	18354.73	18694.28	19159.23	19558.11	19805.11	19883.14	20020.38	20126.35	20308.17	20576.2	20916.45	21116.81	21256.98	21384.15	21466.11	21533.01	21661.55	21814.43	21848.21	21859.35	21823.11	21689.69	21464.05	21266.82	20962.66	20528.25	19998.72	19514.03	19063.13	18704.13	18438.36	18367.06	18327.94	18342.66	18409.65	18586.14	18744.99	18901.24	19067.12	19248.0	19363.14	19543.96	20217.58
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"CG"	"NTA"	0	7337.028	4680.706	6347.573	8510.488	9694.091	9568.786	11342.03	11994.02	12336.33	12201.56	13292.63	13688.87	14192.88	13653.56	14664.8	14280.16	14287.53	13364.03	11053.09	8265.475	7300.683	6869.904	6529.716	6297.538	6032.607	6026.676	5842.983	5598.029	5456.869	5324.923	5346.026	5278.099	5232.563	5177.104	5133.338	5109.688	5108.828	5095.277	5082.379	5070.537	5126.963	5145.417	5191.378	5210.234	5245.378	5287.548	5326.859	5376.777	5432.309	5502.422	5554.54	5644.045	5742.965	5843.961	5951.579	6022.895	6142.901	6273.091	6401.219	6534.403	6658.292	6811.212	6987.287	7151.766	7328.527	7518.951	7715.945	7927.49	8152.17	8389.345	8646.838	8867.683	9073.129	9244.558	9393.437	9505.833	9650.44	9823.609	10023.65	10243.07	10495.84	10731.97	10949.01	11137.32	11305.6	11457.91	11590.18	11700.38	11770.44	11861.38	12050.73
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"CGE"	"NTA"	0	99.54169	809.7168	2475.696	4637.613	5819.57	5863.954	7637.32	8284.053	8623.204	8486.961	9486.568	9883.78	10387.4	9848.443	10859.12	10327.55	10332.94	9400.618	7080.846	4264.803	3181.026	2719.186	2365.096	2124.454	1852.33	1628.25	1440.303	1183.467	1031.427	887.4637	765.6356	680.6893	619.9896	547.2286	485.6125	419.6862	403.5067	376.6016	354.0326	333.0222	310.1705	288.6294	293.6002	269.6175	259.9216	248.2404	231.2594	218.3663	203.3539	193.4062	161.2109	160.8041	161.3713	162.9042	164.7556	125.8268	126.8497	128.2158	128.888	129.5164	112.7683	113.5371	114.0604	114.3265	115.1233	110.7652	110.7459	110.4864	110.4128	112.6751	114.861	111.5154	111.7593	111.9673	110.4863	99.54169	99.54169	99.54169	99.54169	99.54169	99.54169	99.54169	99.54169	99.54169	99.54169	99.54169	99.54169	99.54169	99.54169	99.54169	99.54169
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"CGH"	"NTA"	0	4300.063	987.8906	987.8906	987.8906	987.8906	817.6255	817.6255	817.6255	817.6255	817.6255	905.7278	905.7278	905.7278	905.7278	905.7278	1049.773	1049.773	1049.773	1049.773	1049.773	1129.276	1129.276	1129.276	1129.276	1129.276	1333.51	1333.51	1333.51	1333.51	1333.51	1453.863	1453.863	1453.863	1453.863	1453.863	1481.2	1481.2	1481.2	1481.2	1481.2	1551.928	1583.436	1621.736	1666.816	1718.988	1778.253	1843.63	1915.946	1994.643	2080.753	2174.549	2271.61	2372.247	2476.066	2584.855	2698.341	2816.117	2938.186	3064.021	3194.507	3327.782	3471.838	3626.676	3792.216	3965.862	4148.59	4339.558	4540.186	4753.112	4979.05	5217.284	5430.735	5617.98	5777.956	5908.524	6011.289	6131.379	6268.796	6423.54	6595.609	6785.004	6945.095	7075.879	7177.359	7249.534	7292.403	7309.812	7301.761	7268.25	7209.278	6955.981
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"CGS"	"NTA"	0	365.4658	311.1412	312.0286	313.0273	314.6728	315.2485	315.123	320.3882	323.5475	325.0167	328.3788	327.4065	327.7894	327.4262	327.9958	330.8743	332.8585	341.6842	350.5128	378.9413	418.422	449.4836	463.3859	471.8497	479.0422	492.9578	497.2122	509.0938	519.9733	531.9909	554.5695	571.5881	586.7527	604.0546	621.9048	636.8434	652.1639	665.5176	675.1888	684.3572	692.9065	701.3947	704.0839	701.843	694.5113	689.0969	680.0125	670.5076	662.3542	656.3052	646.8226	639.6735	637.3886	633.0331	630.0104	626.7703	627.9757	634.7309	636.3519	638.4211	645.7839	653.8795	674.5933	673.266	675.5842	687.6376	693.6837	704.8594	716.6873	725.6622	742.7346	753.4746	771.4315	782.6759	802.4681	823.0443	847.5615	883.3137	928.6118	975.9653	1039.338	1115.377	1201.628	1288.459	1384.566	1494.004	1608.869	1727.117	1830.695	1980.608	2423.249
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"CGX"	"NTA"	0	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.957	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.957	2571.958	2571.957	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.957	2571.957	2571.958	2571.958	2571.958	2571.958	2571.957	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.957	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.957	2571.957	2571.958	2571.958	2571.958	2571.958	2571.958	2571.957	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.958	2571.957	2571.957	2571.957	2571.958
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"POP"	"NTA"	0	83341.0	82449.0	81855.5	82316.5	81771.5	82736.0	80324.0	81728.0	80549.5	82233.0	82529.5	83860.5	82543.5	84741.5	82620.0	86019.0	86410.0	89881.0	93401.5	99217.5	101152.5	105915.0	110003.5	112833.0	115825.0	115501.5	115744.5	116626.0	115067.5	115440.5	115839.5	117263.0	117057.5	120311.0	119757.0	116590.0	110563.0	108516.5	108159.0	108952.5	113121.5	115898.0	116124.5	122914.5	127264.5	130459.0	138592.5	142303.0	142107.5	142366.0	143208.0	144159.0	142836.5	139381.0	135424.0	129854.5	124990.0	119035.5	116309.0	113870.5	105671.5	99867.0	96267.5	94534.5	89700.5	91542.0	91699.5	93873.5	94509.5	78229.5	63625.5	81403.5	79778.0	78442.5	89057.5	93836.5	88836.0	59589.0	52369.5	49727.0	46978.5	44749.0	43688.5	42385.5	39705.5	37776.5	33508.5	30088.0	25967.5	23577.0	85465.0
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"SF"	"NTA"	0	873.9291	-374.5779	56.11458	208.8457	564.83	262.2254	70.72308	5.520754	91.96124	116.0242	232.4212	220.2673	90.01948	-225.8133	-720.689	-1079.182	-873.2848	-659.3589	-572.3651	-806.5798	-811.1968	-535.8986	-577.9415	-873.4918	-1127.397	-1553.538	-1679.129	-1817.99	-2033.613	-2319.026	-2461.92	-2525.126	-2192.171	-1737.509	-1057.886	-678.5573	121.2798	590.8207	1418.891	1719.477	1860.656	2704.639	2966.946	3914.22	4514.729	5089.122	5647.904	6082.867	6392.605	6423.205	6491.666	6709.179	7485.528	8411.737	9029.415	10059.75	10334.26	10893.61	9872.722	9572.853	11061.0	8648.67	8378.963	4213.1	2526.208	3530.887	1970.594	1487.256	1256.65	1565.464	2456.251	3216.354	3686.415	4356.114	4998.92	5283.606	5324.814	4627.453	4723.907	3878.485	3875.555	4141.3	4035.066	4300.167	4699.297	5210.145	6344.028	6212.994	7398.965	7348.906	7964.708
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"SG"	"NTA"	0	19.30673	21.01505	19.34102	19.45108	18.96539	20.51816	22.06057	23.62662	25.20008	26.73762	28.29998	30.00339	31.67599	33.4014	35.26684	38.63797	43.99383	50.98703	61.4818	76.54184	94.33846	114.0023	129.799	143.0004	155.6885	167.4155	179.0539	191.3416	199.44	206.5737	212.561	217.785	224.3436	230.3187	237.983	247.2088	254.6826	262.8035	275.2127	284.6713	301.4083	301.7707	308.6372	316.1981	324.8684	326.994	335.3326	339.5008	346.5327	349.7585	357.4324	357.8279	361.2782	366.1394	370.8009	375.8482	369.0949	357.6142	348.0523	331.6233	302.9005	269.2047	204.5858	167.6211	152.3212	130.1624	112.6847	108.9054	106.8001	108.4377	106.1415	106.3244	104.5178	103.5474	101.6341	99.32095	96.13462	96.11935	90.45714	88.08838	85.82208	84.42355	82.86328	82.3639	82.58287	82.89528	82.91251	83.44533	83.6754	84.01086	86.22055
"1.0 (2020-10-16)"	"doi:10.11587/4EOXZO"	"TFB"	"NTA"	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.641293	3.88254	6.146631	6.63874	8.064926	9.067375	10.09407	12.04321	13.4672	13.42041	14.73119	14.62678	15.94347	17.25276	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159	17.98159
