variable	value	Label
"age"	"Variable Label"	"<none>"
"CF"	"Variable Label"	"Private consumption"
"CG"	"Variable Label"	"Total public consumption"
"CGE"	"Variable Label"	"Public consumption, education"
"CGH"	"Variable Label"	"Public consumption, health"
"CGS"	"Variable Label"	"Public consumption, social protection"
"CGX"	"Variable Label"	"Public consumption, collective"
"CH"	"Variable Label"	"non-market consumption"
"CHCC"	"Variable Label"	"childcare consumption"
"CHCCM"	"Variable Label"	"<none>"
"CHHW"	"Variable Label"	"housework consumption"
"CHHWM"	"Variable Label"	"<none>"
"doi"	"Variable Label"	"digital object identifier"
"PH"	"Variable Label"	"non-market production"
"PHCC"	"Variable Label"	"childcare production"
"PHCCM"	"Variable Label"	"<none>"
"PHHW"	"Variable Label"	"housework production"
"PHHWM"	"Variable Label"	"<none>"
"PHM"	"Variable Label"	"<none>"
"POP"	"Variable Label"	"Population number"
"SEX"	"Variable Label"	"<none>"
"SF"	"Variable Label"	"Net saving of private sector"
"SG"	"Variable Label"	"Net saving of public sector"
"TFB"	"Variable Label"	"Private transfers from rest-of-the-world sector"
"TFW"	"Variable Label"	"Net transfers within households"
"TFWI"	"Variable Label"	"Transfers received from other household members"
"TFWO"	"Variable Label"	"Transfers paid to other household memebrs"
"TGC"	"Variable Label"	"Public contributions paid on consumption"
"TGIC"	"Variable Label"	"<none>"
"TGNF"	"Variable Label"	"Net public transfers from rest-of-the-world sector"
"TGO"	"Variable Label"	"Total public contributions (taxes and social contributions)"
"TGSDIC"	"Variable Label"	"Social protection, disability, cash"
"TGSFIC"	"Variable Label"	"Social protection, family, cash"
"TGSOAIC"	"Variable Label"	"Social protection, old age, cash"
"TGSUIC"	"Variable Label"	"Social protection, unemployment, cash"
"TGSXIC"	"Variable Label"	"Social protection, other, cash"
"TGXIC"	"Variable Label"	"Other public benefits in cash"
"TGYA"	"Variable Label"	"Public contributions paid on assets and asset income"
"TGYL"	"Variable Label"	"Public contributions paid on labour"
"TGYS"	"Variable Label"	"Public contributions on income of self-employed"
"THI"	"Variable Label"	"non-market transfer benefits"
"THICC"	"Variable Label"	"non-market transfer benefits, childcare"
"THICCM"	"Variable Label"	"<none>"
"THIHW"	"Variable Label"	"non-market transfer benefits, housework"
"THIHWM"	"Variable Label"	"<none>"
"THIM"	"Variable Label"	"<none>"
"THO"	"Variable Label"	"non market transfer contributions"
"THOCC"	"Variable Label"	"non-market transfer contributions, childcare"
"THOCCM"	"Variable Label"	"<none>"
"THOHW"	"Variable Label"	"non-market transfer contributions, housework"
"THOHWM"	"Variable Label"	"<none>"
"THOM"	"Variable Label"	"<none>"
"version"	"Variable Label"	"AUSSDA archive version"
"Y"	"Variable Label"	"Primary income, private sector"
"YAF"	"Variable Label"	"Asset income, private sector"
"YAG"	"Variable Label"	"Asset income of public sector"
"YD"	"Variable Label"	"Disposable income"
"YDA"	"Variable Label"	"Adjusted disposable income"
"YDF"	"Variable Label"	"<none>"
"YDFA"	"Variable Label"	"<none>"
"YL"	"Variable Label"	"Labour income"
"YN"	"Variable Label"	"Net primary income"
"YR"	"Variable Label"	"<none>"
"YS"	"Variable Label"	"Income from self-employment"
