variable	value	Label
"day"	"Variable Label"	"TAG"
"doi"	"Variable Label"	"digital object identifier"
"gemgr_gr"	"Variable Label"	"GEMEINDEGROESSE"
"gemgr_gr"	"1"	"<2.000"
"gemgr_gr"	"2"	"2.000-<5.000"
"gemgr_gr"	"3"	"5.000-<10.000"
"gemgr_gr"	"4"	"10.000-<20.000"
"gemgr_gr"	"5"	"20.000-<50.000"
"gemgr_gr"	"6"	"50.000-<1.000.000"
"gemgr_gr"	"7"	">1.000.000"
"GESIS_doi"	"Variable Label"	"digital object identifier"
"GESIS_version"	"Variable Label"	"GESIS archive version"
"GESIS_za_nr"	"Variable Label"	"study number"
"gew"	"Variable Label"	"GEWICHT"
"i123_1"	"Variable Label"	"INTERVIWER GESCHLECHT"
"i123_1"	"1"	"maennlich"
"i123_1"	"2"	"weiblich"
"i123_2"	"Variable Label"	"INTERVIEWER GEBURTSJAHR"
"i123_3"	"Variable Label"	"INTERVIEWER BILDUNGSGRAD"
"i123_3"	"1"	"Pflichtschule"
"i123_3"	"2"	"Lehre"
"i123_3"	"3"	"BMS"
"i123_3"	"4"	"Matura"
"i123_3"	"5"	"Universitaet"
"i124"	"Variable Label"	"INTERVIEWER: DEUTSCHKENNTNISSE BEFRAGTER"
"i124"	"0"	"sehr schlecht"
"i124"	"10"	"sehr gut"
"i124"	"88"	"weiß nicht"
"i124"	"99"	"verweigert"
"i125"	"Variable Label"	"TELEFONBUCH ODER RDD"
"i125"	"1"	"Telefonbuch"
"i125"	"2"	"RDD"
"id"	"Variable Label"	"RESPONDENT ID"
"month"	"Variable Label"	"MONAT"
"q1"	"Variable Label"	"STAASBUERGERSCHAFT OESTERREICH"
"q1"	"1"	"ja"
"q1"	"2"	"nein"
"q1"	"88"	"weiß nicht"
"q1"	"99"	"verweigert"
"q10"	"Variable Label"	"VERAENDERUNG DER WIRTSCHAFTSLAGE REGION (VERGLEICH ZU GESAMTOESTERREICH): VIEL"
"q10"	"1"	"viel besser"
"q10"	"2"	"etwas besser"
"q10"	"88"	"weiss nicht"
"q10"	"99"	"verweigert"
"q100"	"Variable Label"	"PARTNER: LETZTE BERUFSTAETIGKEIT"
"q100"	"1"	"Vollzeit oder Teilzeit"
"q100"	"2"	"weder noch"
"q100"	"88"	"weiss nicht"
"q100"	"99"	"verweigert"
"q101"	"Variable Label"	"PARTNER: LETZTE BERUFLICHE STELLUNG"
"q101"	"1"	"Angestellter"
"q101"	"2"	"Arbeiter"
"q101"	"3"	"Beamter"
"q101"	"4"	"Vertragsbediensteter"
"q101"	"5"	"Selbststaendige oder Freiberufliche ohne Mitarbeiter"
"q101"	"6"	"Selbststaendige oder Freiberufliche mit Mitarbeitern"
"q101"	"7"	"freier Dienstnehmer"
"q101"	"8"	"Landwirt"
"q101"	"88"	"weiss nicht"
"q101"	"99"	"verweigert"
"q102"	"Variable Label"	"PARTNER: LETZTE BERUFLICHE TAETIGKEIT (STRING)"
"q102"	"11"	"Offiziere in regulaeren Streitkraeften"
"q102"	"21"	"Unteroffiziere in regulaeren Streitkraeften"
"q102"	"31"	"Angehoerige der regulaeren Streitkraefte in sonstigen Raengen"
"q102"	"111"	"Angehoerige gesetzgebender Koerperschaften und leitende Verwaltungsbedienstete"
"q102"	"112"	"Geschaeftsfuehrerinnen und Geschaeftsfuehrer und Vorstaende"
"q102"	"121"	"Fuehrungskraefte in der betrieblichen Verwaltung und in unternehmensbezogenen Dienstleistungen"
"q102"	"122"	"Fuehrungskraefte in Vertrieb, Marketing und Entwicklung"
"q102"	"131"	"Fuehrungskraefte in der Produktion in Land- und Forstwirtschaft und Fischerei"
"q102"	"132"	"Fuehrungskraefte in der Produktion bei der Herstellung von Waren, im Bergbau und im Bau sowie in der Logistik"
"q102"	"133"	"Fuehrungskraefte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie"
"q102"	"134"	"Fuehrungskraefte in der Erbringung von speziellen Dienstleistungen"
"q102"	"141"	"Fuehrungskraefte in Hotels und Restaurants"
"q102"	"142"	"Fuehrungskraefte in Gross- und Einzelhandel"
"q102"	"143"	"Fuehrungskraefte in der Erbringung sonstiger Dienstleistungen"
"q102"	"211"	"Physikerinnen und Physiker, Chemikerinnen und Chemiker, Geologinnen und Geologen und verwandte Berufe"
"q102"	"212"	"Mathematikerinnen und Mathematiker,Versicherungsmathematikerinnen und Versicherungsmathematiker und Statistikerinnen und"
"q102"	"213"	"Biowissenschaftlerinnen und Biowissenschaftler"
"q102"	"214"	"Ingenieurwissenschaftlerinnen und Ingenieurwissenschaftler (ohne Elektrotechnik,Elektronik und Telekommunikation)"
"q102"	"215"	"Ingenieurinnen und Ingenieure in den Bereichen Elektrotechnik, Elektronik und Telekommunikationstechnik"
"q102"	"216"	"Architektinnen und Architekten, Raum-, Stadt- und Verkehrsplanerinnen und -planer,Vermessungsingenieurinnen und Vermessu"
"q102"	"221"	"Aerztinnen und Aerzte"
"q102"	"222"	"Akademische und vergleichbare Krankenpflege- und Geburtshilfefachkraefte"
"q102"	"223"	"Akademische und vergleichbare Fachkraefte in der traditionellen und komplementaeren Medizin"
"q102"	"224"	"Feldscherinnen und Feldscher und vergleichbare paramedizinische Praktikerinnen und Praktiker"
"q102"	"225"	"Tieraerztinnen und Tieraerzte"
"q102"	"226"	"Sonstige akademische und verwandte Gesundheitsberufe"
"q102"	"231"	"Universitaets- und Hochschullehrerinnen und -lehrer"
"q102"	"232"	"Lehrkraefte im Bereich Berufsbildung"
"q102"	"233"	"Lehrkraefte im Sekundarbereich"
"q102"	"234"	"Lehrkraefte im Primar- und Vorschulbereich"
"q102"	"235"	"Sonstige Lehrkraefte"
"q102"	"241"	"Akademische und vergleichbare Fachkraefte im Bereich Finanzen"
"q102"	"242"	"Akademische und vergleichbare Fachkraefte in der betrieblichen Verwaltung"
"q102"	"243"	"Akademische und vergleichbare Fachkraefte in Vertrieb,Marketing und Oeffentlichkeitsarbeit"
"q102"	"251"	"Entwicklerinnen und Entwickler und Analytikerinnen und Analytiker von Software und Anwendungen"
"q102"	"252"	"Akademische und vergleichbare Fachkraefte fuer Datenbanken und Netzwerke"
"q102"	"261"	"Juristinnen und Juristen"
"q102"	"262"	"Archiv-, Bibliotheks- und Museumswissenschaftlerinnen und -wissenschaftler"
"q102"	"263"	"Sozialwissenschaftlerinnen und Sozialwissenschaftler,Geistliche und Seelsorgerinnen und Seelsorger"
"q102"	"264"	"Autorinnen und Autoren, Journalistinnen und Journalisten und Linguistinnen und Linguisten"
"q102"	"265"	"Bildende und darstellende Kuenstlerinnen und Kuenstler"
"q102"	"311"	"Material- und ingenieurtechnische Fachkraefte"
"q102"	"312"	"Produktionsleiterinnen und Produktionsleiter im Bergbau, bei der Herstellung von Waren und im Bau"
"q102"	"313"	"Technikerinnen und Techniker in der Prozesssteuerung"
"q102"	"314"	"Biotechnikerinnen und Biotechniker und verwandte technische Berufe"
"q102"	"315"	"Schiffsfuehrerinnen und Schiffsfuehrer,Flugzeugfuehrerinnen und Flugzeugfuehrer und verwandte Berufe"
"q102"	"321"	"Medizinische und pharmazeutische Fachberufe"
"q102"	"322"	"Nicht akademische Krankenpflege- und Geburtshilfefachkraefte"
"q102"	"323"	"Nicht akademische Fachkraefte in traditioneller und komplementaerer Medizin"
"q102"	"324"	"Veterinaermedizinische Fachkraefte und Assistentinnen und Assistenten"
"q102"	"325"	"Sonstige Assistenzberufe im Gesundheitswesen"
"q102"	"331"	"Nicht akademische Fachkraefte im Bereich Finanzen und mathematische Verfahren"
"q102"	"332"	"Vertriebsagentinnen und Vertriebsagenten,Einkaeuferinnen und Einkaeufer und Handelsmaklerinnen und Handelsmakler"
"q102"	"333"	"Fachkraefte fuer unternehmensbezogene Dienstleistungen"
"q102"	"334"	"Sekretariatsfachkraefte"
"q102"	"335"	"Fachkraefte in der oeffentlichen Verwaltung"
"q102"	"341"	"Nicht akademische, juristische, sozialpflegerische und religioese Berufe"
"q102"	"342"	"Fachkraefte im Bereich Sport und Fitness"
"q102"	"343"	"Fachkraefte in Gestaltung und Kultur sowie Kuechenchefinnen und Kuechenchefs"
"q102"	"351"	"Technikerinnen und Techniker fuer den Betrieb von Informations- und Kommunikationstechnologie und fuer die Anwenderbetre"
"q102"	"352"	"Telekommunikations- und Rundfunktechnikerinnen und - techniker"
"q102"	"411"	"Allgemeine Buerokraefte"
"q102"	"412"	"Sekretariatskraefte (allgemein)"
"q102"	"413"	"Schreibkraefte und Datenerfasserinnen und Datenerfasser"
"q102"	"421"	"Schalterbedienstete, Inkassobeauftragte und verwandte Berufe"
"q102"	"422"	"Berufe im Bereich Kundeninformation"
"q102"	"431"	"Buerokraefte im Finanz- und Rechnungswesen und in der Statistik"
"q102"	"432"	"Buerokraefte im Bereich Materialwirtschaft und Transport und verwandte Berufe"
"q102"	"441"	"Sonstige Buerokraefte und verwandte Berufe"
"q102"	"511"	"Reisebegleiterinnen und Reisebegleiter, Schaffnerinnen und Schaffner und Reiseleiterinnen und Reiseleiter"
"q102"	"512"	"Koechinnen und Koeche"
"q102"	"513"	"Kellnerinnen und Kellner und Barkeeperinnen und Barkeeper"
"q102"	"514"	"Friseurinnen und Friseure, Kosmetikerinnen und Kosmetiker und verwandte Berufe"
"q102"	"515"	"Hauswartinnen und Hauswarte und Hauswirtschaftsleiterinnen und Hauswirtschaftsleiter"
"q102"	"516"	"Sonstige Berufe im Bereich personenbezogener Dienstleistungen"
"q102"	"521"	"Strassen- und Marktverkaeuferinnen und -verkaeufer"
"q102"	"522"	"Strassen- und Marktverkaeuferinnen und -verkaeufer"
"q102"	"523"	"Kassierinnen und Kassierer und Kartenverkaeuferinnen und Kartenverkaeufer"
"q102"	"524"	"Sonstige Verkaufskraefte"
"q102"	"531"	"Kinder- und Lernbetreuerinnen und -betreuer"
"q102"	"532"	"Betreuungsberufe im Gesundheitswesen"
"q102"	"541"	"Schutzkraefte und Sicherheitsbedienstete"
"q102"	"611"	"Gaertnerinnen und Gaertner und Ackerbaeuerinnen und Ackerbauern"
"q102"	"612"	"Tierhalterinnen und Tierhalter"
"q102"	"613"	"Landwirtinnen und Landwirte mit Ackerbau und Tierhaltung (ohne ausgepraegten Schwerpunkt)"
"q102"	"621"	"Forstarbeitskraefte und verwandte Berufe"
"q102"	"622"	"Fischerinnen und Fischer, Jaegerinnen und Jaeger und Fallenstellerinnen und Fallensteller"
"q102"	"631"	"Ackerbaeuerinnen und Ackerbauern fuer den Eigenbedarf"
"q102"	"632"	"Nutztierhalterinnen und Nutztierhalter fuer den Eigenbedarf"
"q102"	"633"	"Ackerbaeuerinnen und Ackerbauern und Nutztierhalterinnen und Nutztierhalter (ohne ausgepraegten Schwerpunkt) fuer den Ei"
"q102"	"634"	"Fischerinnen und Fischer, Jaegerinnen und Jaeger, Fallenstellerinnen und Fallensteller und Sammlerinnen und Sammler fuer"
