variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"16.6.-19.6.1994"
"datum"	"2"	"20.6.-22.6.1994"
"datum"	"3"	"23.6.-26.6.1994"
"datum"	"4"	"27.6.-29.6.1994"
"datum"	"5"	"30.6.- 4.7.1994"
"datum"	"6"	"Keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Zufriedenheit mit Abstimmungsergebnis"
"v01"	"1"	"sehr zufrieden"
"v01"	"2"	"eher schon zufrieden"
"v01"	"3"	"eher nicht zufrieden"
"v01"	"4"	"gar nicht zufrieden"
"v01"	"5"	"weiß nicht"
"v05"	"Variable Label"	"Bietet EU-Mitgliedschaft Schutz vor Rußland?"
"v05"	"1"	"Großen Schutz"
"v05"	"2"	"Geringen Schutz"
"v05"	"3"	"So gut wie keinen Schutz"
"v05"	"4"	"Von Rußland ist keine Bedrohung zu erwarten"
"v05"	"5"	"Weiß nicht"
"v06"	"Variable Label"	"Wahrscheinlichkeit in Konflikte gezogen zu werden"
"v06"	"1"	"sehr wahrscheinlich"
"v06"	"2"	"eher schon wahrscheinlich"
"v06"	"3"	"eher nicht wahrscheinlich"
"v06"	"4"	"gar nicht wahrscheinlich"
"v06"	"5"	"weiß nicht"
"v07"	"Variable Label"	"Gemeinsam mit Skandinavien höhere Sozial-u.Umweltstandards?"
"v07"	"1"	"Glaube ich sehr"
"v07"	"2"	"Glaube ich eher schon"
"v07"	"3"	"Glaube ich eher nicht"
"v07"	"4"	"Glaube ich gar nicht"
"v07"	"5"	"Weiß nicht"
"v08"	"Variable Label"	"Wann hat sich Abstimmungsverhalten entschieden?"
"v08"	"1"	"Vor Beginn der Verhandlungen"
"v08"	"2"	"Nach Abschluß der Verhandlungen"
"v08"	"3"	"Erst in letzter Woche vor Abstimmung"
"v08"	"4"	"Habe an Volksabstimmung nicht teilgenommen"
"v08"	"5"	"Keine Angabe"
"v09"	"Variable Label"	"Geschlecht"
"v09"	"1"	"Männlich"
"v09"	"2"	"Weiblich"
"v10"	"Variable Label"	"Beruf"
"v10"	"Variable Label"	"Andere"
"v10"	"1"	"Hilfsarbeiter"
"v10"	"2"	"Facharbeiter"
"v10"	"3"	"Leitende Ang./Beamte"
"v10"	"4"	"Angestellte"
"v10"	"5"	"Beamte"
"v10"	"6"	"Rentner/Pensionisten"
"v10"	"7"	"Hausfrauen"
"v10"	"8"	"Selbständige"
"v10"	"9"	"Landwirte"
"v11"	"Variable Label"	"Bundesland"
"v11"	"1"	"Wien"
"v11"	"2"	"Burgenland"
"v11"	"3"	"Niederösterreich"
"v11"	"4"	"Oberösterreich"
"v11"	"5"	"Salzburg"
"v11"	"6"	"Tirol"
"v11"	"7"	"Vorarlberg"
"v11"	"8"	"Steiermark"
"v11"	"9"	"Kärnten"
"v12"	"Variable Label"	"Alter"
"v12"	"1"	"Unter 20 Jahren"
"v12"	"2"	"20 bis 25 Jahre"
"v12"	"3"	"26 bis 35 Jahre"
"v12"	"4"	"36 bis 50 Jahre"
"v12"	"5"	"51 bis 65 Jahre"
"v12"	"6"	"Über 65 Jahre"
"v13"	"Variable Label"	"Schulbildung"
