variable	value	Label
"age"	"Variable Label"	"ALTER"
"age"	"1"	"UNTER 20"
"age"	"2"	"20-25"
"age"	"3"	"26-35"
"age"	"4"	"36-50"
"age"	"5"	"51-65"
"age"	"6"	"UEBER 65"
"bdl"	"Variable Label"	"BUNDESLAND"
"bdl"	"1"	"WIEN"
"bdl"	"2"	"BURGENL"
"ber"	"Variable Label"	"BERUF"
"ber"	"1"	"HILFSARBEITER"
"ber"	"2"	"FACHARBEITER"
"ber"	"3"	"LEIT.ANG.,BEA"
"bild"	"Variable Label"	"SCHULBILDUNG"
"bild"	"1"	"VOLKSSCHULE"
"bild"	"2"	"HAUPTSCHULE"
"bild"	"3"	"BERUFSSCHULE"
"bild"	"4"	"MITTELSCHULE"
"bild"	"5"	"ABG.HOCHSCH"
"doi"	"Variable Label"	"digital object identifier"
"f1"	"Variable Label"	"W. OESTERR. FRIEDENSTRUPPE FUER OESTERR"
"f1"	"1"	"WICHTIG FUER ANSEHEN"
"f1"	"2"	"BEDEUTUNGSLOS"
"f1"	"3"	"EHER SCHAEDLICH"
"f1"	"4"	"W. N"
"f2"	"Variable Label"	"SOLL STAAT MEHR GELD FUER BUNDESHEER AU"
"f2"	"1"	"JA"
"f2"	"2"	"NEIN"
"f2"	"3"	"W. N"
"f3m1"	"Variable Label"	"ENTLASSUNG VERT. MIN"
"f3m1"	"1"	"WICHTIGST"
"f3m1"	"2"	"ZWEITW"
"f3m2"	"Variable Label"	"WECHSEL BEI DEN HOEHEREN OFFIZIEREN"
"f3m2"	"1"	"WICHTIGST"
"f3m2"	"2"	"ZWEITW"
"f3m3"	"Variable Label"	"BESSERE AUSBILDUNG DER SOLDATEN"
"f3m3"	"1"	"WICHTIGST"
"f3m3"	"2"	"ZWEITW"
"f3m4"	"Variable Label"	"ZWECKMAESSIGERE AUSRUESTUNG"
"f3m4"	"1"	"WICHTIGST"
"f3m4"	"2"	"ZWEITW"
"f3m5"	"Variable Label"	"VERLAENGERUNG DER WEHRDIENSTZEIT"
"f3m5"	"1"	"WICHTIGST"
"f3m5"	"2"	"ZWEITW"
"f3m6"	"Variable Label"	"KEINE MASSNAHME KANN ANSEHEN  VERBESSER"
"f3m6"	"1"	"WEISS NICHT"
"f3m6"	"2"	"?? K.A.??"
"f4"	"Variable Label"	"W. AUFGABE DER BUNDESREG. IM KOMMENDEN"
"f4"	"1"	"VOLLBESCHAEFTIGUNG"
"f4"	"2"	"ERHOEH.PERNSIONEN"
"f4"	"3"	"PREISSTEIGERUNGEN"
"f4"	"4"	"UMWELTSCHUTZ U. -VER"
"f4"	"5"	"BILDUNGSEINRICHTUNGE"
"f4"	"6"	"GESUNDHEITSMASSNAHEM"
"f4"	"7"	"LOHN- U. GEHALTSERHO"
"f4"	"8"	"RUNDFUNKREFORM"
"f4"	"9"	"WOHNUNGSBAU"
"f4"	"10"	"MITBESTIMMUNG IN DEN"
"f4"	"11"	"W.N"
"f5"	"Variable Label"	"WAS SOLL DURCH ORF-REFORM ERREICHT WERD"
"f5"	"1"	"BESSERES PROGRAMM"
"f5"	"2"	"ENTPOLITISIERUNG DES"
"f5"	"3"	"AUSSCHALTUNG DER VP"
"f5"	"4"	"PERSONELLE VERAENDER"
"f5"	"5"	"ANDERE MASSNAHMEN"
"f5"	"6"	"W. N"
"f6"	"Variable Label"	"WIE ZUR BESCHLUSSFASSUNG DES NEUEN ORF-"
"f6"	"1"	"SEHR BEFRIEDIGT"
"f6"	"2"	"BEFRIEDIGT"
"f6"	"3"	"GLEICHGUELTIG"
"f6"	"4"	"ENTTAEUSCHT"
"f6"	"5"	"ERBOST"
"f6"	"6"	"W. N"
"f7m01"	"Variable Label"	"W.SCHAETZEN S.- W.N"
"f7m02"	"Variable Label"	"W.SCHAETZEN S.- NIEMAND"
"f7m03"	"Variable Label"	"W.SCHAETZEN S.- KIRCHSCHLAEGER"
"f7m04"	"Variable Label"	"W.SCHAETZEN S.- KREISKY"
"f7m05"	"Variable Label"	"W.SCHAETZEN S.- BENYA"
"f7m06"	"Variable Label"	"W.SCHAETZEN S.- ANDROSCH"
"f7m07"	"Variable Label"	"W.SCHAETZEN S.- GRATZ"
"f7m08"	"Variable Label"	"W.SCHAETZEN S.- HAEUSER"
"f7m09"	"Variable Label"	"W.SCHAETZEN S.- BRODA"
"f7m10"	"Variable Label"	"W.SCHAETZEN S.- STARIBACHER"
"f7m11"	"Variable Label"	"W.SCHAETZEN S.- FIRNBERG"
"f7m12"	"Variable Label"	"W.SCHAETZEN S.- LEODOLTER"
"f7r01"	"Variable Label"	"1.RANG PERSOENLICHKEITEN-"
"f7r01"	"1"	"WEISS NICHT,NIEMAND,EGAL"
"f7r01"	"2"	"KEINEN"
"f7r01"	"3"	"KIRCHSCHLAEGER"
"f7r01"	"4"	"KREISKY"
"f7r01"	"5"	"BENYA"
"f7r01"	"6"	"ANDROSCH"
"f7r01"	"7"	"GRATZ"
"f7r01"	"8"	"HAEUSER"
"f7r01"	"9"	"BRODA"
"f7r01"	"10"	"ANDERE"
"f7r01"	"11"	"FIRNBERG"
"f7r01"	"12"	"LEODOLTER"
"f7r01"	"13"	"LANC"
"f7r01"	"14"	"LUETGENDORF"
"f7r01"	"15"	"MARSCH"
"f7r01"	"16"	"CZETTEL"
"f7r01"	"17"	"SINOWATZ"
"f7r01"	"18"	"KERY"
"f7r01"	"19"	"FISCHER"
"f7r01"	"20"	"MUHRI"
"f7r01"	"21"	"BLECHA"
"f7r01"	"22"	"KIENZL"
"f7r01"	"23"	"KOHLMAIER"
"f7r01"	"24"	"KOREN"
"f7r01"	"25"	"LUGGER"
"f7r01"	"27"	"MALETA"
"f7r01"	"28"	"MAURER"
"f7r01"	"29"	"MOCK"
"f7r01"	"30"	"STARIBACHER"
"f7r01"	"32"	"NIEDERL"
"f7r01"	"33"	"SALLINGER"
"f7r01"	"34"	"SCHLEINZER"
"f7r01"	"35"	"TAUS"
"f7r01"	"36"	"WALDHEIM"
"f7r01"	"37"	"WITHALM"
"f7r01"	"38"	"PETER"
"f7r01"	"39"	"ZEILINGER"
"f7r01a"	"Variable Label"	"01.RANG W.SCHAETZEN S"
"f7r01b"	"Variable Label"	"01.RANG W.SCHAETZEN S"
"f7r02"	"Variable Label"	"2.RANG PERSOENLICHKEITEN-"
"f7r02"	"1"	"WEISS NICHT,NIEMAND,EGAL"
"f7r02"	"2"	"KEINEN"
"f7r02"	"3"	"KIRCHSCHLAEGER"
"f7r02"	"4"	"KREISKY"
"f7r02"	"5"	"BENYA"
"f7r02"	"6"	"ANDROSCH"
"f7r02"	"7"	"GRATZ"
"f7r02"	"8"	"HAEUSER"
"f7r02"	"9"	"BRODA"
"f7r02"	"10"	"ANDERE"
"f7r02"	"11"	"FIRNBERG"
"f7r02"	"12"	"LEODOLTER"
"f7r02"	"13"	"LANC"
"f7r02"	"14"	"LUETGENDORF"
"f7r02"	"15"	"MARSCH"
"f7r02"	"16"	"CZETTEL"
"f7r02"	"17"	"SINOWATZ"
"f7r02"	"18"	"KERY"
"f7r02"	"19"	"FISCHER"
"f7r02"	"20"	"MUHRI"
"f7r02"	"21"	"BLECHA"
"f7r02"	"22"	"KIENZL"
"f7r02"	"23"	"KOHLMAIER"
"f7r02"	"24"	"KOREN"
"f7r02"	"25"	"LUGGER"
"f7r02"	"27"	"MALETA"
"f7r02"	"28"	"MAURER"
"f7r02"	"29"	"MOCK"
"f7r02"	"30"	"STARIBACHER"
"f7r02"	"32"	"NIEDERL"
"f7r02"	"33"	"SALLINGER"
"f7r02"	"34"	"SCHLEINZER"
"f7r02"	"35"	"TAUS"
"f7r02"	"36"	"WALDHEIM"
"f7r02"	"37"	"WITHALM"
"f7r02"	"38"	"PETER"
"f7r02"	"39"	"ZEILINGER"
"f7r02a"	"Variable Label"	"02.RANG W.SCHAETZEN S"
"f7r02b"	"Variable Label"	"02.RANG W.SCHAETZEN S"
"f7r03"	"Variable Label"	"3.RANG PERSOENLICHKEITEN-"
"f7r03"	"1"	"WEISS NICHT,NIEMAND,EGAL"
"f7r03"	"2"	"KEINEN"
"f7r03"	"3"	"KIRCHSCHLAEGER"
"f7r03"	"4"	"KREISKY"
"f7r03"	"5"	"BENYA"
"f7r03"	"6"	"ANDROSCH"
"f7r03"	"7"	"GRATZ"
"f7r03"	"8"	"HAEUSER"
"f7r03"	"9"	"BRODA"
"f7r03"	"10"	"ANDERE"
"f7r03"	"11"	"FIRNBERG"
"f7r03"	"12"	"LEODOLTER"
"f7r03"	"13"	"LANC"
"f7r03"	"14"	"LUETGENDORF"
"f7r03"	"15"	"MARSCH"
"f7r03"	"16"	"CZETTEL"
"f7r03"	"17"	"SINOWATZ"
"f7r03"	"18"	"KERY"
"f7r03"	"19"	"FISCHER"
"f7r03"	"20"	"MUHRI"
"f7r03"	"21"	"BLECHA"
"f7r03"	"22"	"KIENZL"
"f7r03"	"23"	"KOHLMAIER"
"f7r03"	"24"	"KOREN"
"f7r03"	"25"	"LUGGER"
"f7r03"	"27"	"MALETA"
"f7r03"	"28"	"MAURER"
"f7r03"	"29"	"MOCK"
"f7r03"	"30"	"STARIBACHER"
"f7r03"	"32"	"NIEDERL"
"f7r03"	"33"	"SALLINGER"
"f7r03"	"34"	"SCHLEINZER"
"f7r03"	"35"	"TAUS"
"f7r03"	"36"	"WALDHEIM"
"f7r03"	"37"	"WITHALM"
"f7r03"	"38"	"PETER"
"f7r03"	"39"	"ZEILINGER"
"f7r03a"	"Variable Label"	"03.RANG W.SCHAETZEN S"
"f7r03b"	"Variable Label"	"03.RANG W.SCHAETZEN S"
"f7r04"	"Variable Label"	"4.RANG PERSOENLICHKEITEN-"
"f7r04"	"1"	"WEISS NICHT,NIEMAND,EGAL"
"f7r04"	"2"	"KEINEN"
"f7r04"	"3"	"KIRCHSCHLAEGER"
"f7r04"	"4"	"KREISKY"
"f7r04"	"5"	"BENYA"
"f7r04"	"6"	"ANDROSCH"
"f7r04"	"7"	"GRATZ"
"f7r04"	"8"	"HAEUSER"
"f7r04"	"9"	"BRODA"
"f7r04"	"10"	"ANDERE"
"f7r04"	"11"	"FIRNBERG"
"f7r04"	"12"	"LEODOLTER"
"f7r04"	"13"	"LANC"
"f7r04"	"14"	"LUETGENDORF"
"f7r04"	"15"	"MARSCH"
"f7r04"	"16"	"CZETTEL"
"f7r04"	"17"	"SINOWATZ"
"f7r04"	"18"	"KERY"
"f7r04"	"19"	"FISCHER"
"f7r04"	"20"	"MUHRI"
"f7r04"	"21"	"BLECHA"
"f7r04"	"22"	"KIENZL"
"f7r04"	"23"	"KOHLMAIER"
"f7r04"	"24"	"KOREN"
"f7r04"	"25"	"LUGGER"
"f7r04"	"27"	"MALETA"
"f7r04"	"28"	"MAURER"
"f7r04"	"29"	"MOCK"
"f7r04"	"30"	"STARIBACHER"
"f7r04"	"32"	"NIEDERL"
"f7r04"	"33"	"SALLINGER"
"f7r04"	"34"	"SCHLEINZER"
"f7r04"	"35"	"TAUS"
"f7r04"	"36"	"WALDHEIM"
"f7r04"	"37"	"WITHALM"
"f7r04"	"38"	"PETER"
"f7r04"	"39"	"ZEILINGER"
"f7r04a"	"Variable Label"	"04.RANG W.SCHAETZEN S"
"f7r04b"	"Variable Label"	"04.RANG W.SCHAETZEN S"
"f7r05"	"Variable Label"	"5.RANG PERSOENLICHKEITEN-"
"f7r05"	"1"	"WEISS NICHT,NIEMAND,EGAL"
"f7r05"	"2"	"KEINEN"
"f7r05"	"3"	"KIRCHSCHLAEGER"
"f7r05"	"4"	"KREISKY"
"f7r05"	"5"	"BENYA"
"f7r05"	"6"	"ANDROSCH"
