variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"bint_st"	"Variable Label"	"Interview start time"
"bint_pr"	"Variable Label"	"Presence of others at interview"
"bint_pr"	"-4"	"unknown"
"bint_pr"	"-3"	"not applicable/no response"
"bint_pr"	"-2"	"refusal"
"bint_pr"	"-1"	"does not know"
"bint_pr"	"1"	"yes"
"bint_pr"	"2"	"no"
"bcountry"	"Variable Label"	"Country"
"bcountry"	"-4"	"-4. -4 unknown"
"bcountry"	"-3"	"-3. -3 not applicable/no response"
"bcountry"	"-2"	"-2. -2 refusal"
"bcountry"	"-1"	"-1. -1 does not know"
"bcountry"	"11"	"11. Bulgaria"
"bcountry"	"12"	"12. Russia"
"bcountry"	"13"	"13. Georgia"
"bcountry"	"14"	"14. Germany"
"bcountry"	"15"	"15. France"
"bcountry"	"16"	"16. Hungary"
"bcountry"	"17"	"17. Italy"
"bcountry"	"18"	"18. Netherlands"
"bcountry"	"19"	"19. Romania"
"bcountry"	"20"	"20. Norway"
"bcountry"	"21"	"21. Austria"
"bcountry"	"22"	"22. Estonia"
"bcountry"	"23"	"23. Belgium"
"bcountry"	"24"	"24. Australia"
"bcountry"	"25"	"25. Lithuania"
"bcountry"	"28"	"28. CzechRepublic"
"brid"	"Variable Label"	"R identification number"
"bweight_p"	"Variable Label"	"Panel weight"
"bweight_cs"	"Variable Label"	"Cross-sectional weight"
"bpanelparticipants"	"Variable Label"	"Panel participant Yes/No"
"bpanelparticipants"	"1"	"Yes"
"bpanelparticipants"	"2"	"No"
"bmonth"	"Variable Label"	"Mnth of interview"
"bmonth"	"-4"	"-4. -4 unknown"
"bmonth"	"-3"	"-3. -3 not applicable/no response"
"bmonth"	"-2"	"-2. -2 refusal"
"bmonth"	"-1"	"-1. -1 does not know"
"bmonth"	"1"	"1. January"
"bmonth"	"2"	"2. February"
"bmonth"	"3"	"3. March"
"bmonth"	"4"	"4. April"
"bmonth"	"5"	"5. May"
"bmonth"	"6"	"6. June"
"bmonth"	"7"	"7. July"
"bmonth"	"8"	"8. August"
"bmonth"	"9"	"9. September"
"bmonth"	"10"	"10. October"
"bmonth"	"11"	"11. November"
"bmonth"	"12"	"12. December"
"bmonth"	"21"	"21. winter months at the beginning of the year (January, February)"
"bmonth"	"22"	"22. spring"
"bmonth"	"23"	"23. summer"
"bmonth"	"24"	"24. autumn"
"bmonth"	"25"	"25. winter at the end of the year (December)"
"bmonth"	"96"	"96. Not possible to determine"
"bmonth"	"97"	"97. does not know"
"bmonth"	"98"	"98. refusal"
"bmonth"	"99"	"99. not applicable/no response"
"bmonth"	"109"	"109. Partner not interviewed"
"bmonth"	"1501"	"1501. winter"
"bmonth"	"2401"	"2401. Date of birth not asked, over 24 yrs old"
"byear"	"Variable Label"	"Yr of interview"
"byear"	"-4"	"-4. -4 unknown"
"byear"	"-3"	"-3. -3 not applicable/no response"
"byear"	"-2"	"-2. -2 refusal"
"byear"	"-1"	"-1. -1 does not know"
"byear"	"2401"	"2401. Date of birth not asked, over 24 yrs old"
"byear"	"9997"	"9997. does not know"
"byear"	"9998"	"9998. refusal"
"byear"	"9999"	"9999. not applicable/no response"
"bnnumdissol"	"Variable Label"	"Number of partnership dissolutions since {wave 1}"
"bnnumdissol"	"-4"	"-4. -4 unknown"
"bnnumdissol"	"-3"	"-3. -3 not applicable/no response"
"bnnumdissol"	"-2"	"-2. -2 refusal"
"bnnumdissol"	"-1"	"-1. -1 does not know"
"bnnumdissol"	"96"	"96. unknown, missing in original dataset"
"bnnumdissol"	"97"	"97. does not know"
"bnnumdissol"	"98"	"98. refusal"
"bnnumdissol"	"99"	"99. not applicable/no response"
"bnumdissol"	"Variable Label"	"Total number of partnership dissolutions"
"bnumdissol"	"-4"	"-4. -4 unknown"
"bnumdissol"	"-3"	"-3. -3 not applicable/no response"
"bnumdissol"	"-2"	"-2. -2 refusal"
"bnumdissol"	"-1"	"-1. -1 does not know"
"bnumdissol"	"96"	"96. unknown, missing in original dataset"
"bnumdissol"	"97"	"97. does not know"
"bnumdissol"	"98"	"98. refusal"
"bnumdissol"	"99"	"99. not applicable/no response"
"bnnumdivorce"	"Variable Label"	"Number of partnerships ending in divorce since {wave 1}"
"bnnumdivorce"	"-4"	"-4. -4 unknown"
"bnnumdivorce"	"-3"	"-3. -3 not applicable/no response"
"bnnumdivorce"	"-2"	"-2. -2 refusal"
"bnnumdivorce"	"-1"	"-1. -1 does not know"
"bnnumdivorce"	"96"	"96. unknown, missing in original dataset"
"bnnumdivorce"	"97"	"97. does not know"
"bnnumdivorce"	"98"	"98. refusal"
"bnnumdivorce"	"99"	"99. not applicable/no response"
"bnumdivorce"	"Variable Label"	"Total number of partnerships ending in divorce"
"bnumdivorce"	"-4"	"-4. -4 unknown"
"bnumdivorce"	"-3"	"-3. -3 not applicable/no response"
"bnumdivorce"	"-2"	"-2. -2 refusal"
"bnumdivorce"	"-1"	"-1. -1 does not know"
"bnumdivorce"	"96"	"96. unknown, missing in original dataset"
"bnumdivorce"	"97"	"97. does not know"
"bnumdivorce"	"98"	"98. refusal"
"bnumdivorce"	"99"	"99. not applicable/no response"
"blivingwithpartner"	"Variable Label"	"Respondent is living with their current partner"
"blivingwithpartner"	"-4"	"-4. -4 unknown"
"blivingwithpartner"	"-3"	"-3. -3 not applicable/no response"
"blivingwithpartner"	"-2"	"-2. -2 refusal"
"blivingwithpartner"	"-1"	"-1. -1 does not know"
"blivingwithpartner"	"1"	"1. Yes"
"blivingwithpartner"	"2"	"2. No"
"bnrespartafterw1"	"Variable Label"	"Starting living with current partner after {wave 1}"
"bnrespartafterw1"	"-4"	"-4. -4 unknown"
"bnrespartafterw1"	"-3"	"-3. -3 not applicable/no response"
"bnrespartafterw1"	"-2"	"-2. -2 refusal"
"bnrespartafterw1"	"-1"	"-1. -1 does not know"
"bnrespartafterw1"	"1"	"1. Yes"
"bnrespartafterw1"	"2"	"2. No"
"bnnummarriage"	"Variable Label"	"Number of marriages since {wave 1}"
"bnnummarriage"	"-4"	"-4. -4 unknown"
"bnnummarriage"	"-3"	"-3. -3 not applicable/no response"
"bnnummarriage"	"-2"	"-2. -2 refusal"
"bnnummarriage"	"-1"	"-1. -1 does not know"
"bnnummarriage"	"96"	"96. unknown, missing in original dataset"
"bnnummarriage"	"97"	"97. does not know"
"bnnummarriage"	"98"	"98. refusal"
"bnnummarriage"	"99"	"99. not applicable/no response"
"bnummarriage"	"Variable Label"	"Total number of marriages"
"bnummarriage"	"-4"	"-4. -4 unknown"
"bnummarriage"	"-3"	"-3. -3 not applicable/no response"
"bnummarriage"	"-2"	"-2. -2 refusal"
"bnummarriage"	"-1"	"-1. -1 does not know"
"bnummarriage"	"96"	"96. unknown, missing in original dataset"
"bnummarriage"	"97"	"97. does not know"
"bnummarriage"	"98"	"98. refusal"
"bnummarriage"	"99"	"99. not applicable/no response"
"bnnumpartnerships"	"Variable Label"	"Number of co-resident partners Respondent had since {wave 1} (including current"
"bnnumpartnerships"	"-4"	"-4. -4 unknown"
"bnnumpartnerships"	"-3"	"-3. -3 not applicable/no response"
"bnnumpartnerships"	"-2"	"-2. -2 refusal"
"bnnumpartnerships"	"-1"	"-1. -1 does not know"
"bnnumpartnerships"	"96"	"96. unknown, missing in original dataset"
"bnnumpartnerships"	"97"	"97. does not know"
"bnnumpartnerships"	"98"	"98. refusal"
"bnnumpartnerships"	"99"	"99. not applicable/no response"
"bnumpartnerships"	"Variable Label"	"Number of co-resident partners Respondent ever had (including current if one)"
"bnumpartnerships"	"-4"	"-4. -4 unknown"
"bnumpartnerships"	"-3"	"-3. -3 not applicable/no response"
"bnumpartnerships"	"-2"	"-2. -2 refusal"
"bnumpartnerships"	"-1"	"-1. -1 does not know"
"bnumpartnerships"	"96"	"96. unknown, missing in original dataset"
"bnumpartnerships"	"97"	"97. does not know"
"bnumpartnerships"	"98"	"98. refusal"
"bnumpartnerships"	"99"	"99. not applicable/no response"
"bnchildprevp"	"Variable Label"	"Any children from partneships since {wave 1}"
"bnchildprevp"	"-4"	"-4. -4 unknown"
"bnchildprevp"	"-3"	"-3. -3 not applicable/no response"
"bnchildprevp"	"-2"	"-2. -2 refusal"
"bnchildprevp"	"-1"	"-1. -1 does not know"
"bnchildprevp"	"1"	"1. Yes"
