variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"3.10.- 6.19.1991"
"datum"	"2"	"7.10.- 9.10.1991"
"datum"	"3"	"10.10.-13.10.1991"
"datum"	"4"	"14.10.-16.10.1991"
"datum"	"5"	"17.10.-20.10.1991"
"datum"	"6"	"21.10.-23.10.1991"
"datum"	"7"	"24.10. und später"
"datum"	"8"	"Keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"v05"	"Variable Label"	"Verwaltung des eigenen Bundeslandes"
"v05"	"1"	"Eher besser"
"v05"	"2"	"Eher schlechter"
"v05"	"3"	"Gleich"
"v05"	"4"	"Weiß nicht"
"v08"	"Variable Label"	"Geschlecht"
"v08"	"1"	"Männlich"
"v08"	"2"	"Weiblich"
"v09"	"Variable Label"	"Beruf"
"v09"	"Variable Label"	"Andere"
"v09"	"1"	"Hilfsarbeiter"
"v09"	"2"	"Facharbeiter"
"v09"	"3"	"Leitende Ang./Beamte"
"v09"	"4"	"Angestellte"
"v09"	"5"	"Beamte"
"v09"	"6"	"Rentner/Pensionisten"
"v09"	"7"	"Hausfrauen"
"v09"	"8"	"Selbständige"
"v09"	"9"	"Landwirte"
"v10"	"Variable Label"	"Bundesland"
"v10"	"1"	"Wien"
"v10"	"2"	"Burgenland"
"v10"	"3"	"Niederösterreich"
"v10"	"4"	"Oberösterreich"
"v10"	"5"	"Salzburg"
"v10"	"6"	"Tirol"
"v10"	"7"	"Vorarlberg"
"v10"	"8"	"Steiermark"
"v10"	"9"	"Kärnten"
"v11"	"Variable Label"	"Alter"
"v11"	"1"	"Unter 20 Jahren"
"v11"	"2"	"20 bis 25 Jahre"
"v11"	"3"	"26 bis 35 Jahre"
"v11"	"4"	"36 bis 50 Jahre"
"v11"	"5"	"51 bis 65 Jahre"
"v11"	"6"	"Über 65 Jahre"
"v12"	"Variable Label"	"Bildung"
"v12"	"1"	"Volksschule"
"v12"	"2"	"Hauptschule"
"v12"	"3"	"Berufs-/Handelsschule"
"v12"	"4"	"Matura"
"v12"	"5"	"Abg.Hochschule"
"v13"	"Variable Label"	"Parteipräferenz"
"v13"	"1"	"FPÖ"
"v13"	"2"	"KPÖ"
"v13"	"3"	"ÖVP"
"v13"	"4"	"SPÖ"
"v13"	"5"	"GAL"
"v13"	"6"	"Andere"
"v13"	"7"	"Keine"
"v14"	"Variable Label"	"Foregger"
"v14"	"Variable Label"	"Nicht genannt"
"v14"	"1"	"Genannt"
"v15"	"Variable Label"	"Foregger"
"v15"	"Variable Label"	"Nicht genannt"
"v15"	"1"	"Genannt"
"v1a0"	"Variable Label"	"Weiß nicht"
"v1a0"	"Variable Label"	"Nicht genannt"
"v1a0"	"1"	"Genannt"
"v1a1"	"Variable Label"	"Niemand"
"v1a1"	"Variable Label"	"Nicht genannt"
"v1a1"	"1"	"Genannt"
"v1a2"	"Variable Label"	"Andere"
"v1a2"	"Variable Label"	"Nicht genannt"
"v1a2"	"1"	"Genannt"
"v1a3"	"Variable Label"	"Busek"
"v1a3"	"Variable Label"	"Nicht genannt"
"v1a3"	"1"	"Genannt"
"v1a4"	"Variable Label"	"Cap"
"v1a4"	"Variable Label"	"Nicht genannt"
"v1a4"	"1"	"Genannt"
"v1a5"	"Variable Label"	"Dohnal"
"v1a5"	"Variable Label"	"Nicht genannt"
"v1a5"	"1"	"Genannt"
"v1a6"	"Variable Label"	"Ettl"
"v1a6"	"Variable Label"	"Nicht genannt"
"v1a6"	"1"	"Genannt"
"v1a7"	"Variable Label"	"Feldgrill-Zankl"
"v1a7"	"Variable Label"	"Nicht genannt"
"v1a7"	"1"	"Genannt"
"v1a8"	"Variable Label"	"Fasslabend"
"v1a8"	"Variable Label"	"Nicht genannt"
"v1a8"	"1"	"Genannt"
"v1a9"	"Variable Label"	"Fekter"
"v1a9"	"Variable Label"	"Nicht genannt"
"v1a9"	"1"	"Genannt"
"v1am"	"Variable Label"	"Fischer"
"v1am"	"Variable Label"	"Nicht genannt"
"v1am"	"1"	"Genannt"
"v1ap"	"Variable Label"	"Fischler"
"v1ap"	"Variable Label"	"Nicht genannt"
"v1ap"	"1"	"Genannt"
"v1b0"	"Variable Label"	"Flemming"
"v1b0"	"Variable Label"	"Nicht genannt"
"v1b0"	"1"	"Genannt"
"v1b1"	"Variable Label"	"Gugerbauer"
"v1b1"	"Variable Label"	"Nicht genannt"
"v1b1"	"1"	"Genannt"
"v1b2"	"Variable Label"	"Haider"
"v1b2"	"Variable Label"	"Nicht genannt"
"v1b2"	"1"	"Genannt"
"v1b3"	"Variable Label"	"Hesoun"
"v1b3"	"Variable Label"	"Nicht genannt"
"v1b3"	"1"	"Genannt"
"v1b4"	"Variable Label"	"Katschthaler"
