variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"filter_werte"	"Variable Label"	"Filter Werteskala (>=100s)"
"filter_werte"	"0"	"trifft nicht zu"
"filter_werte"	"1"	"trifft zu"
"ID_U0"	"Variable Label"	"Id-Nummer"
"ISCO1"	"Variable Label"	"International Standard Classification of Occuption 2008, One Digit"
"ISCO1_Partner"	"Variable Label"	"International Standard Classification of Occuption 2008, One Digit (Partner)"
"ISCO2"	"Variable Label"	"International Standard Classification of Occuption 2008, Two Digits"
"ISCO2_Partner"	"Variable Label"	"International Standard Classification of Occuption 2008, Two Digits (Partner)"
"ISCO3"	"Variable Label"	"International Standard Classification of Occuption 2008, Three Digits"
"ISCO3_Partner"	"Variable Label"	"International Standard Classification of Occuption 2008, Three Digits (Partner)"
"Issue_Sum"	"Variable Label"	"Number of inconsistencies comparing single waves and data provided entering the online access panel"
"LOI_75_76_77"	"Variable Label"	"Bearbeitungsdauer für die Werteskala (Welle 2) in Sekunden"
"LOIQ111"	"Variable Label"	"Dauer Ideologieskala 1 (bipolare Items) in Sekunden"
"LOIQ112"	"Variable Label"	"Dauer Ideologieskala 2 (Likert.Skala) in Sekunden"
"Teilnahme_W1"	"Variable Label"	"VIC Welle 1 (Mai 2020)"
"Teilnahme_W1"	"0"	"nein"
"Teilnahme_W1"	"1"	"ja"
"Teilnahme_W12"	"Variable Label"	"VIC Welle 1 und 2 Panel"
"Teilnahme_W12"	"0"	"nein"
"Teilnahme_W12"	"1"	"ja"
"Teilnahme_W2"	"Variable Label"	"VIC Welle 2 (März/April 2021)"
"Teilnahme_W2"	"0"	"nein"
"Teilnahme_W2"	"1"	"ja"
"version"	"Variable Label"	"AUSSDA archive version"
"VIC_birthyear_ges"	"Variable Label"	"Geburtsjahr (Welle 1 und Welle 2 kombiniert)"
"VIC_birthyear_ges"	"1940"	"1920 - 1940"
"VIC_birthyear_ges"	"1942"	"1941 - 1942"
"VIC_birthyear_ges"	"1944"	"1943 - 1944"
"VIC_birthyear_ges"	"1946"	"1945 - 1946"
"VIC_birthyear_ges"	"1947"	"1947"
"VIC_birthyear_ges"	"1948"	"1948"
"VIC_birthyear_ges"	"1949"	"1949"
"VIC_birthyear_ges"	"1951"	"1950 - 1951"
"VIC_birthyear_ges"	"1953"	"1952 - 1953"
"VIC_birthyear_ges"	"1954"	"1954"
"VIC_birthyear_ges"	"1955"	"1955"
"VIC_birthyear_ges"	"1956"	"1956"
"VIC_birthyear_ges"	"1957"	"1957"
"VIC_birthyear_ges"	"1958"	"1958"
"VIC_birthyear_ges"	"1959"	"1959"
"VIC_birthyear_ges"	"1960"	"1960"
"VIC_birthyear_ges"	"1961"	"1961"
"VIC_birthyear_ges"	"1962"	"1962"
"VIC_birthyear_ges"	"1963"	"1963"
"VIC_birthyear_ges"	"1964"	"1964"
"VIC_birthyear_ges"	"1965"	"1965"
"VIC_birthyear_ges"	"1966"	"1966"
"VIC_birthyear_ges"	"1967"	"1967"
"VIC_birthyear_ges"	"1968"	"1968"
"VIC_birthyear_ges"	"1969"	"1969"
"VIC_birthyear_ges"	"1970"	"1970"
"VIC_birthyear_ges"	"1971"	"1971"
"VIC_birthyear_ges"	"1972"	"1972"
"VIC_birthyear_ges"	"1973"	"1973"
"VIC_birthyear_ges"	"1974"	"1974"
"VIC_birthyear_ges"	"1975"	"1975"
"VIC_birthyear_ges"	"1976"	"1976"
"VIC_birthyear_ges"	"1977"	"1977"
"VIC_birthyear_ges"	"1978"	"1978"
"VIC_birthyear_ges"	"1979"	"1979"
"VIC_birthyear_ges"	"1980"	"1980"
"VIC_birthyear_ges"	"1981"	"1981"
"VIC_birthyear_ges"	"1982"	"1982"
"VIC_birthyear_ges"	"1983"	"1983"
