variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Alter"
"v10a"	"Variable Label"	"Ich würde meinen Arbeitsplatz sofort wechseln, wenn ich eine andere Arbeit bekäme."
"v10a"	"1"	"trifft voll und ganz zu"
"v10a"	"2"	"trifft eher zu"
"v10a"	"3"	"weder noch"
"v10a"	"4"	"trifft eher nicht zu"
"v10a"	"5"	"trifft gar nicht zu"
"v10b"	"Variable Label"	"Manchmal habe ich das Gefühl,  dass meine Arbeit in meiner Firma wenig zählt."
"v10b"	"1"	"trifft voll und ganz zu"
"v10b"	"2"	"trifft eher zu"
"v10b"	"3"	"weder noch"
"v10b"	"4"	"trifft eher nicht zu"
"v10b"	"5"	"trifft gar nicht zu"
"v10c"	"Variable Label"	"Ich habe Freude an der Arbeit."
"v10c"	"1"	"trifft voll und ganz zu"
"v10c"	"2"	"trifft eher zu"
"v10c"	"3"	"weder noch"
"v10c"	"4"	"trifft eher nicht zu"
"v10c"	"5"	"trifft gar nicht zu"
"v10d"	"Variable Label"	"Meine Erfahrung und mein Wissen werden in meinem Betrieb geschätzt."
"v10d"	"1"	"trifft voll und ganz zu"
"v10d"	"2"	"trifft eher zu"
"v10d"	"3"	"weder noch"
"v10d"	"4"	"trifft eher nicht zu"
"v10d"	"5"	"trifft gar nicht zu"
"v10e"	"Variable Label"	"Meine Erfahrung und mein Wissen werden in meinem Betrieb genutzt."
"v10e"	"1"	"trifft voll und ganz zu"
"v10e"	"2"	"trifft eher zu"
"v10e"	"3"	"weder noch"
"v10e"	"4"	"trifft eher nicht zu"
"v10e"	"5"	"trifft gar nicht zu"
"v10f"	"Variable Label"	"In meinem Betrieb wird auf die Bedürfnisse älterer ArbeitnehmerInnen Rücksicht genommen."
"v10f"	"1"	"trifft voll und ganz zu"
"v10f"	"2"	"trifft eher zu"
"v10f"	"3"	"weder noch"
"v10f"	"4"	"trifft eher nicht zu"
"v10f"	"5"	"trifft gar nicht zu"
"v10g"	"Variable Label"	"Ältere ArbeitnehmerInnen stehen in meinem Betrieb mehr als die anderen unter Leistungsdruck."
"v10g"	"1"	"trifft voll und ganz zu"
"v10g"	"2"	"trifft eher zu"
"v10g"	"3"	"weder noch"
"v10g"	"4"	"trifft eher nicht zu"
"v10g"	"5"	"trifft gar nicht zu"
"v10h"	"Variable Label"	"Das Verhältnis zwischen älteren und jüngeren ArbeitnehmerInnen ist angespannt."
"v10h"	"1"	"trifft voll und ganz zu"
"v10h"	"2"	"trifft eher zu"
"v10h"	"3"	"weder noch"
"v10h"	"4"	"trifft eher nicht zu"
"v10h"	"5"	"trifft gar nicht zu"
"v10i"	"Variable Label"	"Die Stärken älterer ArbeitnehmerInnen (wie beispielsweise Disziplin. Loyalität, Erfahrung, Wissen etc.) werden am Arbeitsmarkt nachgefragt."
"v10i"	"1"	"trifft voll und ganz zu"
"v10i"	"2"	"trifft eher zu"
"v10i"	"3"	"weder noch"
"v10i"	"4"	"trifft eher nicht zu"
"v10i"	"5"	"trifft gar nicht zu"
"v10j"	"Variable Label"	"Durch Maßnahmen speziell für ältere ArbeitnehmerInnen fühle ich mich im Betrieb ausgegrenzt."
"v10j"	"1"	"trifft voll und ganz zu"
"v10j"	"2"	"trifft eher zu"
"v10j"	"3"	"weder noch"
"v10j"	"4"	"trifft eher nicht zu"
"v10j"	"5"	"trifft gar nicht zu"
"v10k"	"Variable Label"	"Der Betrieb nutzt jede Gelegenheit, um ältere MitarbeiterInnen abzubauen."
"v10k"	"1"	"trifft voll und ganz zu"
"v10k"	"2"	"trifft eher zu"
"v10k"	"3"	"weder noch"
"v10k"	"4"	"trifft eher nicht zu"
"v10k"	"5"	"trifft gar nicht zu"
"v10l"	"Variable Label"	"Ich arbeite gerne mit jüngeren KollegInnen in einem Team."
"v10l"	"1"	"trifft voll und ganz zu"
"v10l"	"2"	"trifft eher zu"
"v10l"	"3"	"weder noch"
"v10l"	"4"	"trifft eher nicht zu"
"v10l"	"5"	"trifft gar nicht zu"
"v11neu"	"Variable Label"	"Haben Sie die Möglichkeit, an Weiterbildungsprogrammen teilzunehmen?"
"v11neu"	"1"	"Ja"
"v11neu"	"2"	"Nein"
"v11neu"	"3"	"W.N./K.A."
"v12_neu"	"Variable Label"	"Haben Sie persönlich in den letzten 2 Jahren an einem Weiterbildungsprogramm teilgenommen?"
"v12_neu"	"1"	"Ja"
"v12_neu"	"2"	"Nein"
"v12_neu"	"3"	"W.N./K.A."
"v13a"	"Variable Label"	"Sind Sie mit Ihrem Arbeitsplatz zufrieden?"
"v13a"	"1"	"sehr zufrieden"
"v13a"	"2"	"zufrieden"
"v13a"	"3"	"weder noch"
"v13a"	"4"	"ziemlich unzufrieden"
"v13a"	"5"	"sehr  unzufrieden"
"v13b"	"Variable Label"	"Sind Sie mit Ihren Aufstiegsmöglichkeiten zufrieden?"
"v13b"	"1"	"sehr zufrieden"
"v13b"	"2"	"zufrieden"
"v13b"	"3"	"weder noch"
"v13b"	"4"	"ziemlich unzufrieden"
"v13b"	"5"	"sehr  unzufrieden"
"v13c"	"Variable Label"	"Sind Sie mit den Arbeitsbedingungen zufrieden?"
"v13c"	"1"	"sehr zufrieden"
"v13c"	"2"	"zufrieden"
"v13c"	"3"	"weder noch"
"v13c"	"4"	"ziemlich unzufrieden"
"v13c"	"5"	"sehr  unzufrieden"
"v13d"	"Variable Label"	"Sind Sie mit dem Betriebsklima zufrieden...?"
"v13d"	"1"	"sehr zufrieden"
"v13d"	"2"	"zufrieden"
"v13d"	"3"	"weder noch"
"v13d"	"4"	"ziemlich unzufrieden"
"v13d"	"5"	"sehr  unzufrieden"
"v13e"	"Variable Label"	"Sind Sie mit der Bezahlung zufrieden?"
"v13e"	"1"	"sehr zufrieden"
"v13e"	"2"	"zufrieden"
"v13e"	"3"	"weder noch"
"v13e"	"4"	"ziemlich unzufrieden"
"v13e"	"5"	"sehr  unzufrieden"
"v13f"	"Variable Label"	"Sind Sie zufrieden mit der Bezahlung, wenn Sie sie vergleichen mit der Ihrer Kollegen?"
"v13f"	"1"	"sehr zufrieden"
"v13f"	"2"	"zufrieden"
"v13f"	"3"	"weder noch"
"v13f"	"4"	"ziemlich unzufrieden"
"v13f"	"5"	"sehr  unzufrieden"
"v13g"	"Variable Label"	"Sind Sie mit Ihrer Freizeit zufrieden?"
"v13g"	"1"	"sehr zufrieden"
"v13g"	"2"	"zufrieden"
"v13g"	"3"	"weder noch"
"v13g"	"4"	"ziemlich unzufrieden"
"v13g"	"5"	"sehr  unzufrieden"
"v13h"	"Variable Label"	"Sind Sie mit Ihrer Gesundheit zufrieden?"
"v13h"	"1"	"sehr zufrieden"
"v13h"	"2"	"zufrieden"
"v13h"	"3"	"weder noch"
"v13h"	"4"	"ziemlich unzufrieden"
"v13h"	"5"	"sehr  unzufrieden"
"v13i"	"Variable Label"	"Sind Sie mit Ihrem Privatleben zufrieden?"
"v13i"	"1"	"sehr zufrieden"
"v13i"	"2"	"zufrieden"
"v13i"	"3"	"weder noch"
"v13i"	"4"	"ziemlich unzufrieden"
"v13i"	"5"	"sehr  unzufrieden"
"v14a"	"Variable Label"	"Lärm?"
"v14a"	"1"	"fast immer"
"v14a"	"2"	"oft"
"v14a"	"3"	"manchmal"
"v14a"	"4"	"selten"
"v14a"	"5"	"nie"
"v14b"	"Variable Label"	"einseitige körperliche Belastung bzw. schwere körperliche Arbeit?"
"v14b"	"1"	"fast immer"
"v14b"	"2"	"oft"
"v14b"	"3"	"manchmal"
"v14b"	"4"	"selten"
"v14b"	"5"	"nie"
"v14c"	"Variable Label"	"widersprüchlichen bzw. unklaren Anforderungen?"
"v14c"	"1"	"fast immer"
"v14c"	"2"	"oft"
"v14c"	"3"	"manchmal"
"v14c"	"4"	"selten"
"v14c"	"5"	"nie"
"v14d"	"Variable Label"	"isoliertem Arbeiten?"
"v14d"	"1"	"fast immer"
"v14d"	"2"	"oft"
"v14d"	"3"	"manchmal"
"v14d"	"4"	"selten"
"v14d"	"5"	"nie"
"v14e"	"Variable Label"	"dauerndem sich Umstellen?"
"v14e"	"1"	"fast immer"
"v14e"	"2"	"oft"
"v14e"	"3"	"manchmal"
"v14e"	"4"	"selten"
"v14e"	"5"	"nie"
"v14f"	"Variable Label"	"langweiligen (monotonen) Tätigkeiten?"
"v14f"	"1"	"fast immer"
"v14f"	"2"	"oft"
"v14f"	"3"	"manchmal"
"v14f"	"4"	"selten"
"v14f"	"5"	"nie"
"v14g"	"Variable Label"	"ständigem Zeitdruck?"
"v14g"	"1"	"fast immer"
"v14g"	"2"	"oft"
"v14g"	"3"	"manchmal"
"v14g"	"4"	"selten"
"v14g"	"5"	"nie"
"v14h"	"Variable Label"	"hoher Verantwortung?"
"v14h"	"1"	"fast immer"
"v14h"	"2"	"oft"
"v14h"	"3"	"manchmal"
"v14h"	"4"	"selten"
"v14h"	"5"	"nie"
"v14i"	"Variable Label"	"häufigen Konflikten?"
"v14i"	"1"	"fast immer"
"v14i"	"2"	"oft"
"v14i"	"3"	"manchmal"
"v14i"	"4"	"selten"
"v14i"	"5"	"nie"
"v14j"	"Variable Label"	"Zuwenig Pausen"
"v14j"	"1"	"fast immer"
"v14j"	"2"	"oft"
"v14j"	"3"	"manchmal"
"v14j"	"4"	"selten"
"v14j"	"5"	"nie"
"v14k"	"Variable Label"	"Sonstiges"
"v14k"	"Variable Label"	"nicht genannt"
"v14k"	"9"	"genannt"
"v15neu"	"Variable Label"	"Sind Sie in Ihren täglichen Aktivitäten durch chronische gesundheitliche Probleme, Krankheiten oder Behinderungen beeinträchtigt?"
"v15neu"	"1"	"Ja, sehr"
"v15neu"	"2"	"Ja,etwas"
"v15neu"	"3"	"kaum"
"v15neu"	"4"	"gar nicht"
