variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"M1"	"Variable Label"	"Am I currently speaking to the person who took part in the survey?"
"M1"	"1"	"Yes"
"M1"	"2"	"No"
"M1"	"99"	"Refusal"
"M11"	"Variable Label"	"Were there interruptions during the interview?"
"M11"	"1"	"No"
"M11"	"2"	"Yes, there were short interruptions (minutes)"
"M11"	"3"	"Yes, there was a longer break (new appointment)"
"M11"	"77"	"Other"
"M12"	"Variable Label"	"Interviewer: Who answered the questions?"
"M12"	"1"	"Only the person interviewed"
"M12"	"2"	"The respondent gave the phone to somebody else"
"M12"	"3"	"The respondent occasionally gave the phone to somebody else"
"M12"	"4"	"The respondent occasionally discussed the replies with somebody else in the background"
"M12"	"5"	"The phone's loudspeaker was turned on - a number of people replied."
"M12"	"77"	"Other"
"M2"	"Variable Label"	"Would you like to participate in the survey?"
"M2"	"1"	"Yes"
"M2"	"2"	"No"
"M2"	"99"	"Refusal"
"M6"	"Variable Label"	"Interviewer: How many times did you attempt to contact the person until the ..."
"M8"	"Variable Label"	"Interviewer: Which language was the interview mainly conducted in?"
"M8"	"1"	"Arabic"
"M8"	"2"	"Persian"
"M8"	"3"	"Kurdish"
"M8"	"4"	"English"
"M8"	"5"	"German"
"M8"	"77"	"Other"
"M9"	"Variable Label"	"Interviewer: Please select the gender of the person interviewed"
"M9"	"1"	"Male"
"M9"	"2"	"Female"
"Q1_age_group"	"Variable Label"	"Would you please tell me your birth date once more?"
"Q1_age_group"	"3"	"Below 18"
"Q1_age_group"	"4"	"18-19"
"Q1_age_group"	"5"	"20-24"
"Q1_age_group"	"6"	"25-29"
"Q1_age_group"	"7"	"30-34"
"Q1_age_group"	"8"	"35-39"
"Q1_age_group"	"9"	"40-44"
"Q1_age_group"	"10"	"45-49"
"Q1_age_group"	"11"	"50-54"
"Q1_age_group"	"12"	"55-59"
"Q1_age_group"	"13"	"60-64"
"Q1_age_group"	"14"	"65-69"
"Q1_age_group"	"15"	"70-74"
"Q1_age_group"	"16"	"75-80"
"Q10"	"Variable Label"	"How strong was your physical pain over the past four weeks?"
"Q10"	"1"	"Very mild"
"Q10"	"2"	"Mild"
"Q10"	"3"	"Moderate"
"Q10"	"4"	"Severe"
"Q10"	"5"	"Extreme"
"Q10"	"66"	"Question not asked"
"Q10"	"88"	"Don't know"
"Q10"	"99"	"Refusal"
"Q11"	"Variable Label"	"I have little interest or take little pleasure in doing things"
"Q11"	"1"	"Not at all"
"Q11"	"2"	"Several days"
"Q11"	"3"	"More than half the days"
"Q11"	"4"	"Nearly every day"
"Q11"	"88"	"Don't know"
"Q11"	"99"	"Refusal"
"Q12"	"Variable Label"	"I feel down, depressed, or hopeless."
"Q12"	"1"	"Not at all"
"Q12"	"2"	"Several days"
"Q12"	"3"	"More than half the days"
"Q12"	"4"	"Nearly every day"
"Q12"	"88"	"Don't know"
"Q12"	"99"	"Refusal"
"Q13"	"Variable Label"	"I have trouble falling asleep or staying alseep, or sleeping too much."
"Q13"	"1"	"Not at all"
"Q13"	"2"	"Several days"
"Q13"	"3"	"More than half the days"
"Q13"	"4"	"Nearly every day"
"Q13"	"88"	"Don't know"
"Q13"	"99"	"Refusal"
"Q14"	"Variable Label"	"I feel tired or have little energy."
"Q14"	"1"	"Not at all"
"Q14"	"2"	"Several days"
"Q14"	"3"	"More than half the days"
"Q14"	"4"	"Nearly every day"
"Q14"	"88"	"Don't know"
"Q14"	"99"	"Refusal"
"Q15"	"Variable Label"	"I have poor appetite or I am overeating."
"Q15"	"1"	"Not at all"
"Q15"	"2"	"Several days"
"Q15"	"3"	"More than half the days"
"Q15"	"4"	"Nearly every day"
"Q15"	"88"	"Don't know"
