variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"Bis 31.Mai"
"datum"	"2"	"Ab 1.Juni"
"datum"	"3"	"Keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"v01a1"	"Variable Label"	"Weiß nicht"
"v01a1"	"Variable Label"	"Nicht genannt"
"v01a1"	"1"	"Genannt"
"v01a2"	"Variable Label"	"Niemand"
"v01a2"	"Variable Label"	"Nicht genannt"
"v01a2"	"1"	"Genannt"
"v01a3"	"Variable Label"	"Andere"
"v01a3"	"Variable Label"	"Nicht genannt"
"v01a3"	"1"	"Genannt"
"v01a4"	"Variable Label"	"Ambrozy"
"v01a4"	"Variable Label"	"Nicht genannt"
"v01a4"	"1"	"Genannt"
"v01a5"	"Variable Label"	"Androsch"
"v01a5"	"Variable Label"	"Nicht genannt"
"v01a5"	"1"	"Genannt"
"v01a6"	"Variable Label"	"Benya"
"v01a6"	"Variable Label"	"Nicht genannt"
"v01a6"	"1"	"Genannt"
"v01a7"	"Variable Label"	"Blecha"
"v01a7"	"Variable Label"	"Nicht genannt"
"v01a7"	"1"	"Genannt"
"v01a8"	"Variable Label"	"Busek"
"v01a8"	"Variable Label"	"Nicht genannt"
"v01a8"	"1"	"Genannt"
"v01a9"	"Variable Label"	"Cap"
"v01a9"	"Variable Label"	"Nicht genannt"
"v01a9"	"1"	"Genannt"
"v01ao"	"Variable Label"	"Dohnal"
"v01ao"	"Variable Label"	"Nicht genannt"
"v01ao"	"1"	"Genannt"
"v01aomi"	"Variable Label"	"Fischer"
"v01aomi"	"Variable Label"	"Nicht genannt"
"v01aomi"	"1"	"Genannt"
"v01aopl"	"Variable Label"	"Fischler"
"v01aopl"	"Variable Label"	"Nicht genannt"
"v01aopl"	"1"	"Genannt"
"v01b1"	"Variable Label"	"Flemming"
"v01b1"	"Variable Label"	"Nicht genannt"
"v01b1"	"1"	"Genannt"
"v01b2"	"Variable Label"	"Foregger"
"v01b2"	"Variable Label"	"Nicht genannt"
"v01b2"	"1"	"Genannt"
"v01b3"	"Variable Label"	"Geppert"
"v01b3"	"Variable Label"	"Nicht genannt"
"v01b3"	"1"	"Genannt"
"v01b4"	"Variable Label"	"Graf"
"v01b4"	"Variable Label"	"Nicht genannt"
"v01b4"	"1"	"Genannt"
"v01b5"	"Variable Label"	"Graff"
"v01b5"	"Variable Label"	"Nicht genannt"
"v01b5"	"1"	"Genannt"
"v01b6"	"Variable Label"	"Guggerbauer"
"v01b6"	"Variable Label"	"Nicht genannt"
"v01b6"	"1"	"Genannt"
"v01b7"	"Variable Label"	"Haider"
"v01b7"	"Variable Label"	"Nicht genannt"
"v01b7"	"1"	"Genannt"
"v01b8"	"Variable Label"	"Katschthaler"
"v01b8"	"Variable Label"	"Nicht genannt"
"v01b8"	"1"	"Genannt"
"v01b9"	"Variable Label"	"Kirchschläger"
"v01b9"	"Variable Label"	"Nicht genannt"
"v01b9"	"1"	"Genannt"
"v01bo"	"Variable Label"	"König"
"v01bo"	"Variable Label"	"Nicht genannt"
"v01bo"	"1"	"Genannt"
"v01bomi"	"Variable Label"	"Krainer"
"v01bomi"	"Variable Label"	"Nicht genannt"
"v01bomi"	"1"	"Genannt"
"v01bopl"	"Variable Label"	"Kreisky"
"v01bopl"	"Variable Label"	"Nicht genannt"
"v01bopl"	"1"	"Genannt"
"v01c1"	"Variable Label"	"Kukacka"
"v01c1"	"Variable Label"	"Nicht genannt"
"v01c1"	"1"	"Genannt"
"v01c2"	"Variable Label"	"Lacina"
"v01c2"	"Variable Label"	"Nicht genannt"
"v01c2"	"1"	"Genannt"
"v01c3"	"Variable Label"	"Lichal"
"v01c3"	"Variable Label"	"Nicht genannt"
"v01c3"	"1"	"Genannt"
"v01c4"	"Variable Label"	"Löschnak"
"v01c4"	"Variable Label"	"Nicht genannt"
"v01c4"	"1"	"Genannt"
"v01c5"	"Variable Label"	"Ludwig"
"v01c5"	"Variable Label"	"Nicht genannt"
"v01c5"	"1"	"Genannt"
"v01c6"	"Variable Label"	"Meissner-Blau"
"v01c6"	"Variable Label"	"Nicht genannt"
"v01c6"	"1"	"Genannt"
"v01c7"	"Variable Label"	"Mock"
"v01c7"	"Variable Label"	"Nicht genannt"
"v01c7"	"1"	"Genannt"
"v01c8"	"Variable Label"	"Partl"
"v01c8"	"Variable Label"	"Nicht genannt"
"v01c8"	"1"	"Genannt"
"v01c9"	"Variable Label"	"Pilz"
