variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"10.6.-12.6.1991"
"datum"	"2"	"13.6.-16.6.1991"
"datum"	"3"	"17.6.-19.6.1991"
"datum"	"4"	"20.6.-23.6.1991"
"datum"	"5"	"24.6.-26.6.1991"
"datum"	"6"	"27.6.-28.6.1991"
"datum"	"7"	"Keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Österreichs Strategien in bezug auf EXPO in Budapest"
"v01"	"1"	"NÖ und BGLD sollten Teilnahme an EXPO anstreben"
"v01"	"2"	"Ostösterreich sollte sich nur um Fremdenverkehr bemühen"
"v01"	"3"	"Österreich sollte mit Milleniumsfeier EXPO entgegentreten"
"v01"	"4"	"Österreich sollte EXPO in Budapest zur Kenntnis nehmen"
"v01"	"5"	"Weiß nicht"
"v02"	"Variable Label"	"Interesse an AK-Reformdiskussion"
"v02"	"1"	"Ich verfolge die Diskussion"
"v02"	"2"	"Ich habe kein Interesse daran"
"v02"	"3"	"Andere Antworten"
"v02"	"4"	"Weiß nicht"
"v03"	"Variable Label"	"Ergebnis der AK-Reformbemühungen"
"v03"	"1"	"Es wird zu Reformen kommen"
"v03"	"2"	"Bemühungen werden im Sand verlaufen"
"v03"	"3"	"Andere Antworten"
"v03"	"4"	"Weiß nicht"
"v05"	"Variable Label"	"Wieviele Tote forderte Unfall in Tschernobyl?"
"v05"	"1"	"Weniger als 100"
"v05"	"2"	"Zw. 100 und 1.000"
"v05"	"3"	"Zw. 1.000 und 10.000"
"v05"	"4"	"Zw. 10.000 und 100.000"
"v05"	"5"	"Zw. 100.000 und einer Million"
"v05"	"6"	"Mehr als eine Million"
"v05"	"7"	"Weiß nicht"
"v06"	"Variable Label"	"Welches Ereignis hat mehr Todesopfer gefordert?"
"v06"	"1"	"Reaktorunfall in Tschernobyl"
"v06"	"2"	"Golfkrieg"
"v06"	"3"	"Weiß nicht"
"v07"	"Variable Label"	"Welches Ereignis hat die Umwelt stärker belasetet?"
"v07"	"1"	"Reaktorunfall in Tschernobyl"
"v07"	"2"	"Golfkrieg"
"v07"	"3"	"Weiß nicht"
"v09"	"Variable Label"	"Pro oder kontra EG-Beitritt?"
"v09"	"1"	"Dafür"
"v09"	"2"	"Dagegen"
"v09"	"3"	"Weiß nicht"
"v10"	"Variable Label"	"Zeitpunkt einer Volksabstimmung über EG-Beitritt"
"v10"	"1"	"Vor Beginn der Verhandlungen"
"v10"	"2"	"Nach Abschluß der Verhandlungen"
"v10"	"3"	"Weiß nicht"
"v11"	"Variable Label"	"Persönlicher Informationsgrad über EG-Beitrittsfolgen"
"v11"	"1"	"Ja"
"v11"	"2"	"Nur bedingt"
"v11"	"3"	"Nein"
"v11"	"4"	"Weiß nicht"
"v12"	"Variable Label"	"Mehr Vor- oder mehr Nachteile durch EG-Beitritt?"
"v12"	"1"	"Mehr Vorteile"
"v12"	"2"	"Mehr Nachteile"
"v12"	"3"	"Es wird sich die Waage halten"
"v12"	"4"	"Weiß nicht"
"v13"	"Variable Label"	"Geschlecht"
"v13"	"1"	"Männlich"
"v13"	"2"	"Weiblich"
"v14"	"Variable Label"	"Tätigkeit"
"v14"	"Variable Label"	"Andere"
"v14"	"1"	"Hilfsarbeiter"
"v14"	"2"	"Facharbeiter"
"v14"	"3"	"Leitende Ang./Beamte"
"v14"	"4"	"Angestellte"
"v14"	"5"	"Beamte"
"v14"	"6"	"Rentner/Pensionisten"
"v14"	"7"	"Hausfrauen"
"v14"	"8"	"Selbständige"
"v14"	"9"	"Landwirte"
"v15"	"Variable Label"	"Bundesland"
"v15"	"1"	"Wien"
"v15"	"2"	"Burgenland"
"v15"	"3"	"Niederösterreich"
"v15"	"4"	"Oberösterreich"
"v15"	"5"	"Salzburg"
"v15"	"6"	"Tirol"
"v15"	"7"	"Vorarlberg"
"v15"	"8"	"Steiermark"
"v15"	"9"	"Kärnten"
"v16"	"Variable Label"	"Alter"
"v16"	"1"	"Unter 20 Jahren"
"v16"	"2"	"20 bis 25 Jahre"
"v16"	"3"	"26 bis 35 Jahre"
"v16"	"4"	"36 bis 50 Jahre"
"v16"	"5"	"51 bis 65 Jahre"
"v16"	"6"	"Über 65 Jahre"
"v17"	"Variable Label"	"Bildung"
"v17"	"1"	"Volksschule"
"v17"	"2"	"Hauptschule"
"v17"	"3"	"Berufs-/Handelsschule"
"v17"	"4"	"Matura"
"v17"	"5"	"Abg.Hochschule"
"v18"	"Variable Label"	"Parteipräferenz"
"v18"	"1"	"FPÖ"
"v18"	"2"	"KPÖ"
"v18"	"3"	"ÖVP"
"v18"	"4"	"SPÖ"
"v18"	"5"	"Grüne-Alternative"
"v18"	"6"	"Andere"
"v18"	"7"	"Keine"
"v4a"	"Variable Label"	"Einstellung gegenüber Isreal"
"v4a"	"1"	"Hat sich verbessert"
"v4a"	"2"	"Ist gleichgeblieben"
"v4a"	"3"	"Hat sich verschlechtert"
"v4a"	"4"	"Keine Angabe"
"v4b"	"Variable Label"	"Einstellung gegenüber Juden"
"v4b"	"1"	"Hat sich verbessert"
"v4b"	"2"	"Ist gleichgeblieben"
"v4b"	"3"	"Hat sich verschlechtert"
"v4b"	"4"	"Keine Angabe"
"v8a"	"Variable Label"	"Ergebnis des Golfkriegs für USA und Verbündete"
"v8a"	"1"	"Erfolg"
"v8a"	"2"	"Mißerfolg"
"v8a"	"3"	"Weder noch"
"v8a"	"4"	"Weiß nicht"
"v8b"	"Variable Label"	"Ergebnis des Golfkriegs für die UNO"
"v8b"	"1"	"Erfolg"
"v8b"	"2"	"Mißerfolg"
"v8b"	"3"	"Weder noch"
"v8b"	"4"	"Weiß nicht"
"v8c"	"Variable Label"	"Ergebnis des Golfkriegs für den Irak"
"v8c"	"1"	"Erfolg"
"v8c"	"2"	"Mißerfolg"
"v8c"	"3"	"Weder noch"
"v8c"	"4"	"Weiß nicht"
"v8d"	"Variable Label"	"Ergebnis des Golfkriegs für Israel"
"v8d"	"1"	"Erfolg"
"v8d"	"2"	"Mißerfolg"
"v8d"	"3"	"Weder noch"
"v8d"	"4"	"Weiß nicht"
"v8e"	"Variable Label"	"Ergebnis des Golfkriegs für die Palästinenser"
"v8e"	"1"	"Erfolg"
"v8e"	"2"	"Mißerfolg"
"v8e"	"3"	"Weder noch"
"v8e"	"4"	"Weiß nicht"
"v8f"	"Variable Label"	"Ergebnis des Golfkriegs für Kuwait"
"v8f"	"1"	"Erfolg"
"v8f"	"2"	"Mißerfolg"
"v8f"	"3"	"Weder noch"
"v8f"	"4"	"Weiß nicht"
"version"	"Variable Label"	"AUSSDA archive version"
