variable	value	Label
"a"	"Variable Label"	"Ihr Geschlecht?"
"a"	"1"	"männlich"
"a"	"2"	"weiblich"
"alter"	"Variable Label"	"Alter, 10-Jahresschritte"
"alter"	"1"	"14 bis 19 Jahre"
"alter"	"2"	"20 bis 29 Jahre"
"alter"	"3"	"30 bis 39 Jahre"
"alter"	"4"	"40 bis 49 Jahre"
"alter"	"5"	"50 bis 59 Jahre"
"alter"	"6"	"60 bis 69 Jahre"
"alter"	"7"	"70 Jahre und älter"
"alter4"	"Variable Label"	"Alter, 4 Gruppen"
"alter4"	"1"	"14 bis 29 Jahre"
"alter4"	"2"	"30 bis 44 Jahre"
"alter4"	"3"	"45 bis 59 Jahre"
"alter4"	"4"	"60 Jahre und älter"
"bundesland"	"Variable Label"	"Bundesland"
"bundesland"	"1"	"Burgenland"
"bundesland"	"2"	"Kärnten"
"bundesland"	"3"	"Niederösterreich"
"bundesland"	"4"	"Oberösterreich"
"bundesland"	"5"	"Salzburg"
"bundesland"	"6"	"Steiermark"
"bundesland"	"7"	"Tirol"
"bundesland"	"8"	"Vorarlberg"
"bundesland"	"9"	"Wien"
"c"	"Variable Label"	"Was ist Ihre höchste bereits abgeschlossene Schulbildung?"
"c"	"1"	"Pflichtschule"
"c"	"2"	"Lehre"
"c"	"3"	"berufsbildende mittlere Schule (ohne Matura)"
"c"	"4"	"allgemeine oder berufsbildende höhere Schule (AHS/BHS, mit Matura)"
"c"	"5"	"Universität, Fachhochschule"
"d_rec"	"Variable Label"	"Sind Sie derzeit..."
"d_rec"	"1"	"berufstätig (aber kein Lehrling)"
"d_rec"	"2"	"Schüler/in, Student/in, in Ausbildung"
"d_rec"	"3"	"in Pension"
"d_rec"	"4"	"Sonstiges"
"doi"	"Variable Label"	"digital object identifier"
"e"	"Variable Label"	"Sind Sie derzeit…"
"e"	"1"	"ArbeiterIn"
"e"	"2"	"Angestellte/r"
"e"	"3"	"öffentlich Bedienstete/r"
"e"	"4"	"selbständig, freiberuflich"
"f"	"Variable Label"	"Arbeiten Sie Voll- oder Teilzeit?"
"f"	"1"	"Vollzeit"
"f"	"2"	"Teilzeit"
"f"	"3"	"keine Angabe"
"gew"	"Variable Label"	"Gewicht roh"
"gewcut"	"Variable Label"	"Gewicht zugeschnitten (windsored)"
"h"	"Variable Label"	"Sind Sie Mitglied der Gewerkschaft?"
"h"	"1"	"ja"
"h"	"2"	"nein"
"h"	"3"	"keine Angabe"
"i"	"Variable Label"	"Sind Sie in Ihrer Freizeit in irgendeinem Verein aktiv, z.B. einem Sport-, Musik oder Kulturverein? Gemeint sind hier nur Vereine, die sich nicht speziell mit Politik beschäftigen."
"i"	"1"	"ja"
"i"	"2"	"nein"
"i"	"3"	"keine Angabe"
"id"	"Variable Label"	"Identifikationsnummer des Interviews"
"j_rec"	"Variable Label"	"Welcher Glaubensgemeinschaft gehören Sie an?"
"j_rec"	"1"	"römisch-katholisch"
"j_rec"	"2"	"evangelisch"
"j_rec"	"3"	"islamisch"
"j_rec"	"4"	"anderer"
"j_rec"	"5"	"keiner, ohne Bekenntnis"
"j_rec"	"6"	"keine Angabe"
"k"	"Variable Label"	"Wie häufig gehen Sie in ein Gebetshaus Ihrer Religion?"
"k"	"1"	"praktisch nie"
"k"	"2"	"einmal im Jahr oder seltener"
"k"	"3"	"ein paar Mal im Jahr"
"k"	"4"	"zumindest einmal pro Monat"
"k"	"5"	"zumindest einmal pro Woche"
"k"	"6"	"häufiger"
"k"	"7"	"keine Angabe"
"l"	"Variable Label"	"Sind Sie in Österreich geboren?"
"l"	"1"	"ja"
"l"	"2"	"nein"
"l"	"3"	"keine Angabe"
"n"	"Variable Label"	"Ist Ihre Mutter in Österreich geboren?"
"n"	"1"	"ja"
"n"	"2"	"nein"
"n"	"3"	"keine Angabe"
"o"	"Variable Label"	"Ist Ihr Vater in Österreich geboren?"
"o"	"1"	"ja"
"o"	"2"	"nein"
"o"	"3"	"keine Angabe"
"p"	"Variable Label"	"Sind Sie aktuell bei Nationalratswahlen in Österreich wahlberechtigt?"
"p"	"1"	"ja"
"p"	"2"	"nein"
"q"	"Variable Label"	"Werden Sie bei der EU-Wahl 2019 wahlberechtigt sein?"
"q"	"1"	"ja"
"q"	"2"	"nein"
"q1"	"Variable Label"	"Wie hat sich Österreich in den vergangenen zwölf Monaten entwickelt?"
"q1"	"1"	"eher positiv"
"q1"	"2"	"eher negativ"
"q1"	"3"	"es hat sich nichts verändert"
"q1"	"4"	"keine Angabe"
"q10_1"	"Variable Label"	"Die Demokratie mag Probleme mit sich bringen, ist aber besser als jede andere Regierungsform."
"q10_1"	"1"	"stimme sehr zu"
"q10_1"	"2"	"stimme eher zu"
"q10_1"	"3"	"stimme eher nicht zu"
"q10_1"	"4"	"stimme gar nicht zu"
"q10_1"	"5"	"keine Angabe"
"q10_2"	"Variable Label"	"Die Demokratie in Österreich ist gefestigt und kann auch Krisen gut überstehen."
"q10_2"	"1"	"stimme sehr zu"
"q10_2"	"2"	"stimme eher zu"
"q10_2"	"3"	"stimme eher nicht zu"
"q10_2"	"4"	"stimme gar nicht zu"
"q10_2"	"5"	"keine Angabe"
"q11"	"Variable Label"	"Waren Sie bei der Nationalratswahl 2017 wahlberechtigt?"
"q11"	"1"	"ja"
"q11"	"2"	"nein"
"q11"	"3"	"keine Angabe"
"q12"	"Variable Label"	"Welcher Partei haben Sie da Ihre Stimme gegeben?"
"q12"	"1"	"ÖVP"
"q12"	"2"	"SPÖ"
"q12"	"3"	"FPÖ"
"q12"	"4"	"NEOS"
"q12"	"5"	"Liste Pilz"
"q12"	"6"	"Grüne"
"q12"	"7"	"andere"
"q12"	"8"	"ungültig gewählt"
"q12"	"9"	"war nicht wählen"
"q12"	"10"	"keine Angabe"
"q13_1"	"Variable Label"	"Europäische Politik ist manchmal so kompliziert, dass Leute wie ich kaum noch verstehen, was passiert."
"q13_1"	"1"	"stimme sehr zu"
"q13_1"	"2"	"stimme eher zu"
"q13_1"	"3"	"stimme eher nicht zu"
"q13_1"	"4"	"stimme gar nicht zu"
"q13_1"	"5"	"keine Angabe"
"q13_2"	"Variable Label"	"Menschen wie ich haben keinen Einfluss darauf, was die EU tut."
"q13_2"	"1"	"stimme sehr zu"
"q13_2"	"2"	"stimme eher zu"
"q13_2"	"3"	"stimme eher nicht zu"
"q13_2"	"4"	"stimme gar nicht zu"
"q13_2"	"5"	"keine Angabe"
"q13_3"	"Variable Label"	"Ich traue mir zu, mich an einem Gespräch zu EU-Fragen aktiv zu beteiligen."
"q13_3"	"1"	"stimme sehr zu"
"q13_3"	"2"	"stimme eher zu"
"q13_3"	"3"	"stimme eher nicht zu"
"q13_3"	"4"	"stimme gar nicht zu"
"q13_3"	"5"	"keine Angabe"
"q13_4"	"Variable Label"	"Die Politiker in der EU kümmern sich nicht darum, was Menschen wie ich denken."
"q13_4"	"1"	"stimme sehr zu"
"q13_4"	"2"	"stimme eher zu"
"q13_4"	"3"	"stimme eher nicht zu"
"q13_4"	"4"	"stimme gar nicht zu"
"q13_4"	"5"	"keine Angabe"
"q13_5"	"Variable Label"	"Den meisten Menschen in der Europäischen Union kann man vertrauen."
"q13_5"	"1"	"stimme sehr zu"
"q13_5"	"2"	"stimme eher zu"
"q13_5"	"3"	"stimme eher nicht zu"
"q13_5"	"4"	"stimme gar nicht zu"
"q13_5"	"5"	"keine Angabe"
"q15"	"Variable Label"	"Sprechen wir über die EU ganz allgemein: Jeder hat wahrscheinlich eine ungefähre Vorstellung, wie für sie oder ihn ein ideales Europa aussehen würde. Auf einer Skala von 0 bis 10, inwieweit entspricht die jetzige EU Ihrer Idealvorstellung? 0 bedeutet"
"q15"	"1"	"0 = gar nicht"
"q15"	"2"	"1"
"q15"	"3"	"2"
"q15"	"4"	"3"
"q15"	"5"	"4"
"q15"	"6"	"5"
"q15"	"7"	"6"
"q15"	"8"	"7"
"q15"	"9"	"8"
"q15"	"10"	"9"
"q15"	"11"	"10 = vollkommen"
"q15"	"12"	"keine Angabe"
"q16_1"	"Variable Label"	"Die EU soll mit den bisherigen Strukturen und Zuständigkeiten weiterarbeiten."
"q16_1"	"1"	"entspricht meiner Vorstellung sehr"
"q16_1"	"2"	"entspricht meiner Vorstellung eher schon"
"q16_1"	"3"	"entspricht meiner Vorstellung eher nicht"
"q16_1"	"4"	"entspricht meiner Vorstellung gar nicht"
"q16_1"	"5"	"keine Angabe"
"q16_2"	"Variable Label"	"Die EU soll sich ausschließlich auf den Binnenmarkt, also den gemeinsamen Wirtschaftsraum, konzentrieren und alle anderen Zuständigkeiten an die Mitgliedsstaaten abgeben."
"q16_2"	"1"	"entspricht meiner Vorstellung sehr"
"q16_2"	"2"	"entspricht meiner Vorstellung eher schon"
"q16_2"	"3"	"entspricht meiner Vorstellung eher nicht"
"q16_2"	"4"	"entspricht meiner Vorstellung gar nicht"
"q16_2"	"5"	"keine Angabe"
"q16_3"	"Variable Label"	"Einzelne Mitgliedstaaten, die dies wünschen, sollen innerhalb der EU in bestimmten Bereichen enger zusammenarbeiten können."
"q16_3"	"1"	"entspricht meiner Vorstellung sehr"
"q16_3"	"2"	"entspricht meiner Vorstellung eher schon"
"q16_3"	"3"	"entspricht meiner Vorstellung eher nicht"
"q16_3"	"4"	"entspricht meiner Vorstellung gar nicht"
"q16_3"	"5"	"keine Angabe"
"q16_4"	"Variable Label"	"Die EU soll sich auf einige wenige ausgewählte Politikbereiche konzentrieren und in allen anderen Bereichen ihre Zuständigkeiten an die Mitgliedsstaaten abgeben."
"q16_4"	"1"	"entspricht meiner Vorstellung sehr"
"q16_4"	"2"	"entspricht meiner Vorstellung eher schon"
"q16_4"	"3"	"entspricht meiner Vorstellung eher nicht"
"q16_4"	"4"	"entspricht meiner Vorstellung gar nicht"
"q16_4"	"5"	"keine Angabe"
