variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"17.2.-19.2.1997"
"datum"	"2"	"20.2.-23.2.1997"
"datum"	"3"	"24.2.-26.2.1997"
"datum"	"4"	"27.2.- 2.3.1997"
"datum"	"5"	"3.3.- 5.3.1997"
"datum"	"6"	"K.A."
"doi"	"Variable Label"	"digital object identifier"
"f314v1a0"	"Variable Label"	"W.N./K.A."
"f314v1a0"	"Variable Label"	"Nicht genannt"
"f314v1a0"	"1"	"Genannt"
"f314v1a1"	"Variable Label"	"Niemand"
"f314v1a1"	"Variable Label"	"Nicht genannt"
"f314v1a1"	"1"	"Genannt"
"f314v1a2"	"Variable Label"	"Andere"
"f314v1a2"	"Variable Label"	"Nicht genannt"
"f314v1a2"	"1"	"Genannt"
"f314v1a3"	"Variable Label"	"Androsch"
"f314v1a3"	"Variable Label"	"Nicht genannt"
"f314v1a3"	"1"	"Genannt"
"f314v1a4"	"Variable Label"	"Bartenstein"
"f314v1a4"	"Variable Label"	"Nicht genannt"
"f314v1a4"	"1"	"Genannt"
"f314v1a5"	"Variable Label"	"Benya"
"f314v1a5"	"Variable Label"	"Nicht genannt"
"f314v1a5"	"1"	"Genannt"
"f314v1a6"	"Variable Label"	"Dietz"
"f314v1a6"	"Variable Label"	"Nicht genannt"
"f314v1a6"	"1"	"Genannt"
"f314v1a7"	"Variable Label"	"Ederer"
"f314v1a7"	"Variable Label"	"Nicht genannt"
"f314v1a7"	"1"	"Genannt"
"f314v1a8"	"Variable Label"	"Edlinger"
"f314v1a8"	"Variable Label"	"Nicht genannt"
"f314v1a8"	"1"	"Genannt"
"f314v1a9"	"Variable Label"	"Einem"
"f314v1a9"	"Variable Label"	"Nicht genannt"
"f314v1a9"	"1"	"Genannt"
"f314v1am"	"Variable Label"	"Fasslabend"
"f314v1am"	"Variable Label"	"Nicht genannt"
"f314v1am"	"1"	"Genannt"
"f314v1ap"	"Variable Label"	"Fischer"
"f314v1ap"	"Variable Label"	"Nicht genannt"
"f314v1ap"	"1"	"Genannt"
"f314v1b0"	"Variable Label"	"Fischler"
"f314v1b0"	"Variable Label"	"Nicht genannt"
"f314v1b0"	"1"	"Genannt"
"f314v1b1"	"Variable Label"	"Frischenschlager"
"f314v1b1"	"Variable Label"	"Nicht genannt"
"f314v1b1"	"1"	"Genannt"
"f314v1b2"	"Variable Label"	"Gehrer"
"f314v1b2"	"Variable Label"	"Nicht genannt"
"f314v1b2"	"1"	"Genannt"
"f314v1b3"	"Variable Label"	"Haider"
"f314v1b3"	"Variable Label"	"Nicht genannt"
"f314v1b3"	"1"	"Genannt"
"f314v1b4"	"Variable Label"	"Häupl"
"f314v1b4"	"Variable Label"	"Nicht genannt"
"f314v1b4"	"1"	"Genannt"
"f314v1b5"	"Variable Label"	"Hostasch"
"f314v1b5"	"Variable Label"	"Nicht genannt"
"f314v1b5"	"1"	"Genannt"
"f314v1b6"	"Variable Label"	"Khol"
"f314v1b6"	"Variable Label"	"Nicht genannt"
"f314v1b6"	"1"	"Genannt"
"f314v1b7"	"Variable Label"	"Klasnic"
"f314v1b7"	"Variable Label"	"Nicht genannt"
"f314v1b7"	"1"	"Genannt"
"f314v1b8"	"Variable Label"	"Klestil"
"f314v1b8"	"Variable Label"	"Nicht genannt"
"f314v1b8"	"1"	"Genannt"
"f314v1b9"	"Variable Label"	"Klima"
"f314v1b9"	"Variable Label"	"Nicht genannt"
"f314v1b9"	"1"	"Genannt"
"f314v1bm"	"Variable Label"	"Kostelka"
"f314v1bm"	"Variable Label"	"Nicht genannt"
"f314v1bm"	"1"	"Genannt"
"f314v1bp"	"Variable Label"	"Maderthaner"
"f314v1bp"	"Variable Label"	"Nicht genannt"
"f314v1bp"	"1"	"Genannt"
"f314v1c0"	"Variable Label"	"Mock"
