variable	value	Label
country	Variable Label	ISO 3166 Ländercode
doi	Variable Label	digital object identifier
evs_main	Variable Label	Datenquelle
evs_main	1	EVS Hauptstudie
evs_main	2	MigrantInnen-Aufstockung
id	Variable Label	id - Kennzahl
MigHint	Variable Label	Migrationshintergrund
MigHint	1	Türkei
MigHint	2	bks
MigHint	3	andere
MigHint	4	nein
MigHint2	Variable Label	Migrationshintergrund - West/Ost - andere
MigHint2	1	West
MigHint2	2	Ost
MigHint2	3	nicht Europa
MigHint2	4	kein Migrationshintergrund
mode	Variable Label	Datenerhebungsmethode
mode	1	capi
mode	2	papi
mode	3	cawi
mode	4	E-Mail
mode	5	Andere
PSU_ID	Variable Label	Primary Sampling Unit
PSU_ID	-9	not available
STRAT_PSU	Variable Label	Stratification of PSUs
v1	Variable Label	Wie wichtig in Ihrem Leben: Arbeit (Q1A)
v1	1	Sehr wichtig
v1	2	Ziemlich wichtig
v1	3	Nicht wichtig
v1	4	Überhaupt nicht wichtig
v1	8	Weiß nicht
v1	9	Keine Antwort
v1_at	Variable Label	Es gibt einen Gott, der sich mit jedem Menschen persönlich befasst. (Q1AT_A)
v1_at	1	Stimme voll und ganz zu
v1_at	2	Stimme eher zu
v1_at	3	Stimme eher nicht zu
v1_at	4	Stimme gar nicht zu
v1_at	8	Weiß nicht
v1_at	9	Keine Antwort
v10	Variable Label	Zugehörigkeit zu: Organisationen oder Vereinen für Bildung, Kunst, Musik und
v10	1	Genannt
v10	2	Nicht genannt
v10	8	Weiß nicht
v10	9	Keine Antwort
v10_at	Variable Label	Welche Partei haben Sie bei der letzten Nationalratswahl am 15. Oktober 2017 ge
v10_at	1	spö
v10_at	2	Liste Kurz/ ÖVP
v10_at	3	fpö
v10_at	4	Die Grünen
v10_at	5	neos
v10_at	6	Liste Peter Pilz
v10_at	26	andere Partei
v10_at	27	ich war nicht wählen
v10_at	77	nicht wahlberechtigt
v10_at	88	Weiß nicht
v10_at	99	Keine Antwort
v100	Variable Label	Politische Aktion: Teilnahme an einer genehmigten Demonstration (Q30C)
v100	1	Schon einmal beteiligt
v100	2	Vielleicht einmal tun
v100	3	Unter keinen Umständen
v100	8	Weiß nicht
v100	9	Keine Antwort
v101	Variable Label	Politische Aktion: Beteiligung an einem nicht genehmigten Streik (Q30D)
v101	1	Schon einmal beteiligt
v101	2	Vielleicht einmal tun
v101	3	Unter keinen Umständen
v101	8	Weiß nicht
v101	9	Keine Antwort
v102	Variable Label	Politische Position: Links-Rechts (Q31)
v102	1	1 Links
v102	2	2
v102	3	3
v102	4	4
v102	5	5
v102	6	6
v102	7	7
v102	8	8
v102	9	9
v102	10	10 Rechts
v102	88	Weiß nicht
v102	99	Keine Antwort
v103	Variable Label	Individuelle vs. staatliche Verantwortung (Q32A)
v103	1	1 Jeder Bürger sollte mehr Verantwortung für sich selbst übernehmen.
v103	2	2
v103	3	3
v103	4	4
v103	5	5
v103	6	6
v103	7	7
v103	8	8
v103	9	9
v103	10	10 Der Staat sollte mehr Verantwortung dafür übernehmen, dass jeder Bürger ab
v103	88	Weiß nicht
v103	99	Keine Antwort
v104	Variable Label	Jede Arbeit vs. Recht auf Ablehnung wenn arbeitslos (Q32B)
v104	1	1 Arbeitslose sollten jede Arbeit machen müssen, die sie bekommen, oder ihre Ar
v104	2	2
v104	3	3
v104	4	4
v104	5	5
v104	6	6
v104	7	7
v104	8	8
v104	9	9
v104	10	10 Arbeitslose sollten Arbeit, die sie nicht machen möchten, ablehnen können.
v104	88	Weiß nicht
v104	99	Keine Antwort
v105	Variable Label	Wettbewerb ist gut vs. schädlich (Q32C)
v105	1	1 Wettbewerb ist gut.
v105	2	2
v105	3	3
v105	4	4
v105	5	5
v105	6	6
v105	7	7
v105	8	8
v105	9	9
v105	10	10 Wettbewerb ist schädlich.
v105	88	Weiß nicht
v105	99	Keine Antwort
v106	Variable Label	Einkommen angleichen vs. Anreize für individuelle Leistung (Q32D)
v106	1	1 Einkommen sollten einander stärker angeglichen werden.
v106	2	2
v106	3	3
v106	4	4
v106	5	5
v106	6	6
v106	7	7
v106	8	8
v106	9	9
v106	10	10 Es sollte größere Anreize für individuelle Leistung geben.
v106	88	Weiß nicht
v106	99	Keine Antwort
v107	Variable Label	Privates vs. staatliches Eigentum an Unternehmen (Q32E)
v107	1	1 Mehr staatliche Unternehmen sollten privatisiert werden.
v107	2	2
v107	3	3
v107	4	4
v107	5	5
v107	6	6
v107	7	7
v107	8	8
v107	9	9
v107	10	10 Mehr private Unternehmen sollten verstaatlicht werden.
v107	88	Weiß nicht
v107	99	Keine Antwort
v108	Variable Label	Ziele des Landes: Wichtigstes (Q33)
v108	1	A - Ein hohes Wirtschaftswachstum
v108	2	B - Für eine starke Landesverteidigung sorgen
v108	3	C - Dafür sorgen, dass die Menschen mehr Mitbestimmung an ihrem Arbeitsplatz un
v108	4	D - Verschönerung der Städte und Landschaften
v108	8	Weiß nicht
v108	9	Keine Antwort
v109	Variable Label	Ziele des Landes: Zweitwichtigstes (Q33A)
v109	1	A - Ein hohes Wirtschaftswachstum
v109	2	B - Für eine starke Landesverteidigung sorgen
v109	3	C - Dafür sorgen, dass die Menschen mehr Mitbestimmung an ihrem Arbeitsplatz un
v109	4	D - Verschönerung der Städte und Landschaften
v109	8	Weiß nicht
v109	9	Keine Antwort
v10a_at	Variable Label	Welche Partei haben Sie bei der letzten Nationalratswahl am 15. Oktober 2017 ge
v11	Variable Label	Zugehörigkeit zu: Gewerkschaften (Q4C)
v11	1	Genannt
v11	2	Nicht genannt
v11	8	Weiß nicht
v11	9	Keine Antwort
v11_at	Variable Label	Begrüße ich/Lehne ich ab: Mehr für den technischen Fortschritt tun (Q37C_AT)
v11_at	1	Begrüße ich
v11_at	2	Lehne ich ab
v11_at	3	 Ist mir egal
v11_at	8	Weiß nicht
v11_at	9	Keine Antwort
v110	Variable Label	Ziele des Landes: Wichtigstes (Q34)
v110	1	A - Aufrechterhaltung von Ruhe und Ordnung
v110	2	B - Mehr Einfluss der Bürger auf Entscheidungen der Regierung
v110	3	C - Kampf gegen steigende Preise
v110	4	D - Das Recht auf Meinungsfreiheit schützen
v110	8	Weiß nicht
v110	9	Keine Antwort
v111	Variable Label	Ziele des Landes: Zweitwichtigstes (Q35)
v111	1	A - Aufrechterhaltung von Ruhe und Ordnung
v111	2	B - Mehr Einfluss der Bürger auf Entscheidungen der Regierung
v111	3	C - Kampf gegen steigende Preise
v111	4	D - Das Recht auf Meinungsfreiheit schützen
v111	8	Weiß nicht
v111	9	Keine Antwort
v112	Variable Label	Wären Sie bereit, für Ihr Land zu kämpfen? (Q36)
v112	1	Ja
v112	2	Nein
v112	8	Weiß nicht
v112	9	Keine Antwort
v113	Variable Label	Begrüße ich/Lehne ich ab: Arbeit weniger wichtig nehmen (Q37A)
v113	1	Begrüße ich
v113	2	Lehne ich ab
v113	3	 Ist mir egal
v113	8	 weiß nicht
v113	9	Keine Antwort
v114	Variable Label	Begrüße ich/Lehne ich ab: Mehr Respekt vor Autoritäten (Q37B)
v114	1	Begrüße ich
v114	2	Lehne ich ab
v114	3	 Ist mir egal
v114	8	 weiß nicht
v114	9	Keine Antwort
v115	Variable Label	Vertrauen in: Die Kirche (Q38A)
v115	1	Sehr viel Vertrauen
v115	2	Ziemlich viel Vertrauen
v115	3	Wenig Vertrauen
v115	4	Überhaupt kein Vertrauen
v115	8	Weiß nicht
v115	9	Keine Antwort
v116	Variable Label	Vertrauen in: Das Bundesheer (Q38B)
v116	1	Sehr viel Vertrauen
v116	2	Ziemlich viel Vertrauen
v116	3	Wenig Vertrauen
v116	4	Überhaupt kein Vertrauen
v116	8	Weiß nicht
v116	9	Keine Antwort
v117	Variable Label	Vertrauen in: Das Bildungssystem (Q38C)
v117	1	Sehr viel Vertrauen
v117	2	Ziemlich viel Vertrauen
v117	3	Wenig Vertrauen
v117	4	Überhaupt kein Vertrauen
v117	8	Weiß nicht
v117	9	Keine Antwort
v118	Variable Label	Vertrauen in: Die Presse und das Zeitungswesen (Q38D)
v118	1	Sehr viel Vertrauen
v118	2	Ziemlich viel Vertrauen
v118	3	Wenig Vertrauen
v118	4	Überhaupt kein Vertrauen
v118	8	Weiß nicht
v118	9	Keine Antwort
v119	Variable Label	Vertrauen in: Die Gewerkschaften (Q38E)
v119	1	Sehr viel Vertrauen
v119	2	Ziemlich viel Vertrauen
v119	3	Wenig Vertrauen
v119	4	Überhaupt kein Vertrauen
v119	8	Weiß nicht
v119	9	Keine Antwort
v12	Variable Label	Zugehörigkeit zu: Parteien oder politische Gruppen (Q4D)
v12	1	Genannt
v12	2	Nicht genannt
v12	8	Weiß nicht
v12	9	Keine Antwort
v12_at	Variable Label	Begrüße ich/Lehne ich ab: Die persönliche Entfaltung fördern (Q37D_AT)
v12_at	1	Begrüße ich
v12_at	2	Lehne ich ab
v12_at	3	 Ist mir egal
v12_at	8	Weiß nicht
v12_at	9	Keine Antwort
v120	Variable Label	Vertrauen in: Die Polizei (Q38F)
v120	1	Sehr viel Vertrauen
v120	2	Ziemlich viel Vertrauen
v120	3	Wenig Vertrauen
v120	4	Überhaupt kein Vertrauen
v120	8	Weiß nicht
v120	9	Keine Antwort
v121	Variable Label	Vertrauen in: Das Parlament (Q38G)
v121	1	Sehr viel Vertrauen
v121	2	Ziemlich viel Vertrauen
v121	3	Wenig Vertrauen
v121	4	Überhaupt kein Vertrauen
v121	8	Weiß nicht
v121	9	Keine Antwort
v122	Variable Label	Vertrauen in: Die Verwaltung (Q38H)
v122	1	Sehr viel Vertrauen
v122	2	Ziemlich viel Vertrauen
v122	3	Wenig Vertrauen
v122	4	Überhaupt kein Vertrauen
v122	8	Weiß nicht
v122	9	Keine Antwort
v123	Variable Label	Vertrauen in: Das System der Sozialversicherung (Q38I)
v123	1	Sehr viel Vertrauen
v123	2	Ziemlich viel Vertrauen
v123	3	Wenig Vertrauen
v123	4	Überhaupt kein Vertrauen
v123	8	Weiß nicht
v123	9	Keine Antwort
v124	Variable Label	Vertrauen in: Die Europäische Union (EU) (Q38J)
v124	1	Sehr viel Vertrauen
v124	2	Ziemlich viel Vertrauen
v124	3	Wenig Vertrauen
v124	4	Überhaupt kein Vertrauen
v124	8	Weiß nicht
v124	9	Keine Antwort
v125	Variable Label	Vertrauen in: Die Vereinten Nationen (UNO) (Q38J)
v125	1	Sehr viel Vertrauen
v125	2	Ziemlich viel Vertrauen
v125	3	Wenig Vertrauen
v125	4	Überhaupt kein Vertrauen
v125	8	Weiß nicht
v125	9	Keine Antwort
v126	Variable Label	Vertrauen in: Das Gesundheitswesen (Q38L)
v126	1	Sehr viel Vertrauen
v126	2	Ziemlich viel Vertrauen
v126	3	Wenig Vertrauen
v126	4	Überhaupt kein Vertrauen
v126	8	Weiß nicht
v126	9	Keine Antwort
v127	Variable Label	Vertrauen in: Das Rechtssystem (Q38M)
v127	1	Sehr viel Vertrauen
v127	2	Ziemlich viel Vertrauen
v127	3	Wenig Vertrauen
v127	4	Überhaupt kein Vertrauen
v127	8	Weiß nicht
v127	9	Keine Antwort
v128	Variable Label	Vertrauen in: Große Wirtschaftsunternehmen (Q38N)
v128	1	Sehr viel Vertrauen
v128	2	Ziemlich viel Vertrauen
v128	3	Wenig Vertrauen
v128	4	Überhaupt kein Vertrauen
v128	8	Weiß nicht
v128	9	Keine Antwort
v129	Variable Label	Vertrauen in: Umweltschutzorganisationen (Q38O)
v129	1	Sehr viel Vertrauen
v129	2	Ziemlich viel Vertrauen
v129	3	Wenig Vertrauen
v129	4	Überhaupt kein Vertrauen
v129	8	Weiß nicht
v129	9	Keine Antwort
v13	Variable Label	Zugehörigkeit zu: Ökologie- und Umweltgruppen oder Tierschutzvereinen und -gr
v13	1	Genannt
v13	2	Nicht genannt
v13	8	Weiß nicht
v13	9	Keine Antwort
v13_at	Variable Label	Begrüße ich/Lehne ich ab: Mehr Wert auf das Familienleben legen (Q37E_AT)
v13_at	1	Begrüße ich
v13_at	2	Lehne ich ab
v13_at	3	 Ist mir egal
v13_at	8	Weiß nicht
v13_at	9	Keine Antwort
v130	Variable Label	Vertrauen in: Politische Parteien (Q38P)
v130	1	Sehr viel Vertrauen
v130	2	Ziemlich viel Vertrauen
v130	3	Wenig Vertrauen
v130	4	Überhaupt kein Vertrauen
v130	8	Weiß nicht
v130	9	Keine Antwort
v131	Variable Label	Vertrauen in: Die Regierung (Q38Q)
v131	1	Sehr viel Vertrauen
v131	2	Ziemlich viel Vertrauen
v131	3	Wenig Vertrauen
v131	4	Überhaupt kein Vertrauen
v131	8	Weiß nicht
v131	9	Keine Antwort
v132	Variable Label	Vertrauen in: Die sozialen Medien (Q38R)
v132	1	Sehr viel Vertrauen
v132	2	Ziemlich viel Vertrauen
v132	3	Wenig Vertrauen
v132	4	Überhaupt kein Vertrauen
v132	8	Weiß nicht
v132	9	Keine Antwort
v133	Variable Label	Demokratie: Der Staat besteuert die Reichen und unterstützt die Armen. (Q39A)
v133	0	Das widerspricht demokratischen Grundsätzen
v133	1	1 In keinem Fall ein notwendiger Bestandteil einer Demokratie
v133	2	 2
v133	3	 3
v133	4	 4
v133	5	 5
v133	6	 6
v133	7	 7
v133	8	 8
v133	9	 9
v133	10	10 Ein notwendiger Bestandteil für eine Demokratie
v133	88	Weiß nicht
v133	99	Keine Antwort
v134	Variable Label	Demokratie: Religiöse Vertreter bestimmen letztlich die Auslegung der Gesetze.
v134	0	Das widerspricht demokratischen Grundsätzen
v134	1	1 In keinem Fall ein notwendiger Bestandteil einer Demokratie
v134	2	 2
v134	3	 3
v134	4	 4
v134	5	 5
v134	6	 6
v134	7	 7
v134	8	 8
v134	9	 9
v134	10	10 Ein notwendiger Bestandteil für eine Demokratie
v134	88	Weiß nicht
v134	99	Keine Antwort
v135	Variable Label	Demokratie: Das Volk wählt seine Repräsentanten in freien Wahlen. (Q39C)
v135	0	Das widerspricht demokratischen Grundsätzen
v135	1	1 In keinem Fall ein notwendiger Bestandteil einer Demokratie
v135	2	 2
v135	3	 3
v135	4	 4
v135	5	 5
v135	6	 6
v135	7	 7
v135	8	 8
v135	9	 9
v135	10	10 Ein notwendiger Bestandteil für eine Demokratie
v135	88	Weiß nicht
v135	99	Keine Antwort
v136	Variable Label	Demokratie: Arbeitslose erhalten Unterstützung vom Staat. (Q39D)
v136	0	Das widerspricht demokratischen Grundsätzen
v136	1	1 In keinem Fall ein notwendiger Bestandteil einer Demokratie
v136	2	 2
v136	3	 3
v136	4	 4
v136	5	 5
v136	6	 6
v136	7	 7
v136	8	 8
v136	9	 9
v136	10	10 Ein notwendiger Bestandteil für eine Demokratie
v136	88	Weiß nicht
v136	99	Keine Antwort
v137	Variable Label	Demokratie: Das Militär übernimmt die Führung des Landes, wenn sich die Regi
v137	0	Das widerspricht demokratischen Grundsätzen
v137	1	1 In keinem Fall ein notwendiger Bestandteil einer Demokratie
v137	2	 2
v137	3	 3
v137	4	 4
v137	5	 5
v137	6	 6
v137	7	 7
v137	8	 8
v137	9	 9
v137	10	10 Ein notwendiger Bestandteil für eine Demokratie
v137	88	Weiß nicht
v137	99	Keine Antwort
v138	Variable Label	Demokratie: Bürgerrechte schützen die Menschen vor staatlicher Unterdrückung
v138	0	Das widerspricht demokratischen Grundsätzen
v138	1	1 In keinem Fall ein notwendiger Bestandteil einer Demokratie
v138	2	 2
v138	3	 3
v138	4	 4
v138	5	 5
v138	6	 6
v138	7	 7
v138	8	 8
v138	9	 9
v138	10	10 Ein notwendiger Bestandteil für eine Demokratie
v138	88	Weiß nicht
v138	99	Keine Antwort
v139	Variable Label	Demokratie: Der Staat gleicht die Einkommen seiner Bürger an. (Q39G)
v139	0	Das widerspricht demokratischen Grundsätzen
v139	1	1 In keinem Fall ein notwendiger Bestandteil einer Demokratie
v139	2	 2
v139	3	 3
v139	4	 4
v139	5	 5
v139	6	 6
v139	7	 7
v139	8	 8
v139	9	 9
v139	10	10 Ein notwendiger Bestandteil für eine Demokratie
v139	88	Weiß nicht
v139	99	Keine Antwort
v14	Variable Label	Zugehörigkeit zu: Berufsverbänden (Q4F)
v14	1	Genannt
v14	2	Nicht genannt
v14	8	Weiß nicht
v14	9	Keine Antwort
v14_at	Variable Label	Begrüße ich/Lehne ich ab: Einfacher und natürlicher leben (Q37F_AT)
v14_at	1	Begrüße ich
v14_at	2	Lehne ich ab
v14_at	3	 Ist mir egal
v14_at	8	Weiß nicht
v14_at	9	Keine Antwort
v140	Variable Label	Demokratie: Das Volk gehorcht seinen Machthabern. (Q39H)
v140	0	Das widerspricht demokratischen Grundsätzen
v140	1	1 In keinem Fall ein notwendiger Bestandteil einer Demokratie
v140	2	 2
v140	3	 3
v140	4	 4
v140	5	 5
v140	6	 6
v140	7	 7
v140	8	 8
v140	9	 9
v140	10	10 Ein notwendiger Bestandteil für eine Demokratie
v140	88	Weiß nicht
v140	99	Keine Antwort
v141	Variable Label	Demokratie: Frauen haben dieselben Rechte wie Männer. (Q39I)
v141	0	Das widerspricht demokratischen Grundsätzen
v141	1	1 In keinem Fall ein notwendiger Bestandteil einer Demokratie
v141	2	 2
v141	3	 3
v141	4	 4
v141	5	 5
v141	6	 6
v141	7	 7
v141	8	 8
v141	9	 9
v141	10	10 Ein notwendiger Bestandteil für eine Demokratie
v141	88	Weiß nicht
v141	99	Keine Antwort
v142	Variable Label	Wichtigkeit der Demokratie (Q40)
v142	1	1 Überhaupt nicht wichtig
v142	2	2
v142	3	3
v142	4	4
v142	5	5
v142	6	6
v142	7	7
v142	8	8
v142	9	9
v142	10	10 Absolut wichtig
v142	88	Weiß nicht
v142	99	Keine Antwort
v143	Variable Label	Demokratie im eigenen Land (Q41)
v143	1	1 Überhaupt nicht demokratisch
v143	2	2
v143	3	3
v143	4	4
v143	5	5
v143	6	6
v143	7	7
v143	8	8
v143	9	9
v143	10	10 Vollkommen demokratisch
v143	88	Weiß nicht
v143	99	Keine Antwort
v144	Variable Label	Zufriedenheit mit dem politischen System (Q42)
v144	1	1 Überhaupt nicht zufrieden
v144	2	2
v144	3	3
v144	4	4
v144	5	5
v144	6	6
v144	7	7
v144	8	8
v144	9	9
v144	10	10 Vollkommen zufrieden
v144	88	Weiß nicht
v144	99	Keine Antwort
v145	Variable Label	Politisches System: Starker Führer (Q43A)
v145	1	Sehr gut
v145	2	Ziemlich gut
v145	3	Ziemlich schlecht
v145	4	Sehr schlecht
v145	8	Weiß nicht
v145	9	Keine Antwort
v146	Variable Label	Politisches System: Experten entscheiden (Q43B)
v146	1	Sehr gut
v146	2	Ziemlich gut
v146	3	Ziemlich schlecht
v146	4	Sehr schlecht
v146	8	Weiß nicht
v146	9	Keine Antwort
v147	Variable Label	Politisches System: Militär soll regieren (Q43C)
v147	1	Sehr gut
v147	2	Ziemlich gut
v147	3	Ziemlich schlecht
v147	4	Sehr schlecht
v147	8	Weiß nicht
v147	9	Keine Antwort
v148	Variable Label	Politisches System: Demokratisch (Q43D)
v148	1	Sehr gut
v148	2	Ziemlich gut
