variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"18.4.-21.4.1991"
"datum"	"2"	"22.4.-24.4.1991"
"datum"	"3"	"25.4.-28.4.1991"
"datum"	"4"	"29.4.- 1.5.1991"
"datum"	"5"	"2.5.- 5.5.1991"
"datum"	"6"	"6.5.- 8.5.1991"
"datum"	"7"	"Keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Interesse an außenpolitischen Fragen"
"v01"	"1"	"sehr interessiert"
"v01"	"2"	"eher interessiert"
"v01"	"3"	"mäßig interessiert"
"v01"	"4"	"eher wenig interessiert"
"v01"	"5"	"völlig uninteressiert"
"v01"	"6"	"weiß nicht"
"v02"	"Variable Label"	"Durch außenpolitische Entscheidungen persönlich betroffen?"
"v02"	"1"	"Ja, in hohem Maße"
"v02"	"2"	"Ja, aber nur in geringem Maße"
"v02"	"3"	"Nein, überhaupt nicht"
"v02"	"4"	"Weiß nicht"
"v05"	"Variable Label"	"Waldheim kontra Fischer"
"v05"	"1"	"Dr.Kurt Waldheim"
"v05"	"2"	"Dr.Heinz Fischer"
"v05"	"3"	"Würde ungültig wählen"
"v05"	"4"	"Würde nicht wählen gehen"
"v05"	"5"	"Weiß nicht"
"v06"	"Variable Label"	"Waldheim kontra Zilk"
"v06"	"1"	"Dr.Kurt Waldheim"
"v06"	"2"	"Dr.Helmut Zilk"
"v06"	"3"	"Würde ungültig wählen"
"v06"	"4"	"Würde nicht wählen gehen"
"v06"	"5"	"Weiß nicht"
"v07"	"Variable Label"	"Steiner kontra Fischer"
"v07"	"1"	"Dr.Ludwig Steiner"
"v07"	"2"	"Dr.Heinz Fischer"
"v07"	"3"	"Würde ungültig wählen"
"v07"	"4"	"Würde nicht wählen gehen"
"v07"	"5"	"Weiß nicht"
"v08"	"Variable Label"	"Geschlecht"
"v08"	"1"	"Männlich"
"v08"	"2"	"Weiblich"
"v09"	"Variable Label"	"Beruf"
"v09"	"Variable Label"	"Andere"
"v09"	"1"	"Hilfsarbeiter"
"v09"	"2"	"Facharbeiter"
"v09"	"3"	"Leitende Ang./Beamte"
"v09"	"4"	"Angestellte"
"v09"	"5"	"Beamte"
"v09"	"6"	"Rentner/Pensionisten"
"v09"	"7"	"Hausfrauen"
"v09"	"8"	"Selbständige"
"v09"	"9"	"Landwirte"
"v10"	"Variable Label"	"Bundesland"
"v10"	"1"	"Wien"
"v10"	"2"	"Burgenland"
"v10"	"3"	"Niederösterreich"
"v10"	"4"	"Oberösterreich"
"v10"	"5"	"Salzburg"
"v10"	"6"	"Tirol"
"v10"	"7"	"Vorarlberg"
"v10"	"8"	"Steiermark"
"v10"	"9"	"Kärnten"
"v11"	"Variable Label"	"Alter"
"v11"	"1"	"Unter 20 Jahren"
"v11"	"2"	"20 bis 25 Jahre"
"v11"	"3"	"26 bis 35 Jahre"
"v11"	"4"	"36 bis 50 Jahre"
"v11"	"5"	"51 bis 65 Jahre"
"v11"	"6"	"Über 65 Jahre"
"v12"	"Variable Label"	"Bildung"
"v12"	"1"	"Volksschule"
"v12"	"2"	"Hauptschule"
"v12"	"3"	"Berufs-/Handelsschule"
"v12"	"4"	"Matura"
"v12"	"5"	"Abg.Hochschule"
