variable	value	Label
"Alter"	"Variable Label"	"Alter der Kinder"
"Alter"	"1"	"0-3 (Kinderkrippe)"
"Alter"	"2"	"3-6 (Kindergarten)"
"doi"	"Variable Label"	"digital object identifier"
"Erhebungsdatum"	"Variable Label"	"Erhebungsdatum"
"Erhebungssprache"	"Variable Label"	"Erhebungssprache"
"Erhebungssprache"	"1"	"deutsch"
"Erhebungssprache"	"2"	"englisch"
"EV_Land"	"Variable Label"	"Erhebungsland"
"EV_Land"	"1"	"Österreich"
"EV_Land"	"2"	"Deutschland"
"EV_Land"	"3"	"Ungarn"
"EV_Land"	"4"	"Slowenien"
"EV_Land"	"5"	"Italien"
"EV_Land"	"6"	"Portugal"
"G01_01_1"	"Variable Label"	"Qualitätsstufe 1"
"G01_01_1"	"0"	"nein"
"G01_01_1"	"1"	"ja"
"G01_01_1"	"9"	"nicht anwendbar"
"G01_01_3"	"Variable Label"	"Qualitätsstufe 3"
"G01_01_3"	"0"	"nein"
"G01_01_3"	"1"	"ja"
"G01_01_3"	"9"	"nicht anwendbar"
"G01_01_5"	"Variable Label"	"Qualitätsstufe 5"
"G01_01_5"	"0"	"nein"
"G01_01_5"	"1"	"ja"
"G01_01_5"	"9"	"nicht anwendbar"
"G01_01_7"	"Variable Label"	"Qualitätsstufe 7"
"G01_01_7"	"0"	"nein"
"G01_01_7"	"1"	"ja"
"G01_01_7"	"9"	"nicht anwendbar"
"G01_01_g"	"Variable Label"	"Präsent sein - Emotionale Verfügbarkeit, Gesamtwert"
"G01_01_g"	"1"	"unzureichend"
"G01_01_g"	"3"	"minimal"
"G01_01_g"	"4"	"minimal mit Bonus"
"G01_01_g"	"5"	"gut"
"G01_01_g"	"7"	"ausgezeichnet"
"G01_01_g"	"9"	"NA"
"G01_02_1"	"Variable Label"	"Qualitätsstufe 1"
"G01_02_1"	"0"	"nein"
"G01_02_1"	"1"	"ja"
"G01_02_1"	"9"	"nicht anwendbar"
"G01_02_3"	"Variable Label"	"Qualitätsstufe 3"
"G01_02_3"	"0"	"nein"
"G01_02_3"	"1"	"ja"
"G01_02_3"	"9"	"nicht anwendbar"
"G01_02_5"	"Variable Label"	"Qualitätsstufe 5"
"G01_02_5"	"0"	"nein"
"G01_02_5"	"1"	"ja"
"G01_02_5"	"9"	"nicht anwendbar"
"G01_02_7"	"Variable Label"	"Qualitätsstufe 7"
"G01_02_7"	"0"	"nein"
"G01_02_7"	"1"	"ja"
"G01_02_7"	"9"	"nicht anwendbar"
"G01_02_g"	"Variable Label"	"Präsent sein - Wertschätzung, Gesamtwert"
"G01_02_g"	"1"	"unzureichend"
"G01_02_g"	"3"	"minimal"
"G01_02_g"	"4"	"minimal mit Bonus"
"G01_02_g"	"5"	"gut"
"G01_02_g"	"7"	"ausgezeichnet"
"G01_02_g"	"9"	"NA"
