variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"interv"	"Variable Label"	"Interviewer"
"interv"	"1"	"SWS"
"interv"	"2"	"ARGE-INFO"
"v1"	"Variable Label"	"Sollte Österreich Mitglied der EU bleiben oder wieder austreten?"
"v1"	"1"	"Bei EU bleiben"
"v1"	"2"	"Wieder austreten"
"v1"	"3"	"W.N./K.A."
"v10"	"Variable Label"	"Ist die Wirtschafts- u. Sozialpartnerschaft für Österreich...?"
"v10"	"1"	"... vorteilhaft"
"v10"	"2"	"... nachteilig"
"v10"	"3"	"weder noch"
"v10"	"4"	"W.N./K.A."
"v11"	"Variable Label"	"Wird die Wirtschafts- u. Sozialpartnerschaft in Österreich zukünftig...?"
"v11"	"1"	"Wichtiger sein als jetzt"
"v11"	"2"	"Weniger wichtig"
"v11"	"3"	"Es wird sich nichts ändern"
"v11"	"4"	"W.N./K.A."
"v12"	"Variable Label"	"Soll es eine Wirtschafts- u. Sozialpartnerschaft auf europäischer Ebene geben?"
"v12"	"1"	"dafür"
"v12"	"2"	"dagegen"
"v12"	"3"	"egal"
"v12"	"4"	"W.N./K.A."
"v13a1"	"Variable Label"	"W.N./K.A."
"v13a1"	"Variable Label"	"nicht genannt"
"v13a1"	"1"	"genannt"
"v13a10"	"Variable Label"	"Dr. Einem"
"v13a10"	"Variable Label"	"nicht genannt"
"v13a10"	"1"	"genannt"
"v13a11"	"Variable Label"	"BM Dr. Ferrero-Waldner"
"v13a11"	"Variable Label"	"nicht genannt"
"v13a11"	"1"	"genannt"
"v13a12"	"Variable Label"	"Präs. Fiedler"
"v13a12"	"Variable Label"	"nicht genannt"
"v13a12"	"1"	"genannt"
"v13a2"	"Variable Label"	"Niemand"
"v13a2"	"Variable Label"	"nicht genannt"
"v13a2"	"1"	"genannt"
"v13a3"	"Variable Label"	"Andere"
"v13a3"	"Variable Label"	"nicht genannt"
"v13a3"	"1"	"genannt"
"v13a4"	"Variable Label"	"NR-Abg. Anschober"
"v13a4"	"Variable Label"	"nicht genannt"
"v13a4"	"1"	"genannt"
"v13a5"	"Variable Label"	"BM Dr. Bartenstein"
"v13a5"	"Variable Label"	"nicht genannt"
"v13a5"	"1"	"genannt"
"v13a6"	"Variable Label"	"Mag. Dr. Bleckmann"
"v13a6"	"Variable Label"	"nicht genannt"
"v13a6"	"1"	"genannt"
"v13a7"	"Variable Label"	"NR-Abg. Broukal"
"v13a7"	"Variable Label"	"nicht genannt"
"v13a7"	"1"	"genannt"
"v13a8"	"Variable Label"	"Dr. Cap"
"v13a8"	"Variable Label"	"nicht genannt"
"v13a8"	"1"	"genannt"
"v13a9"	"Variable Label"	"Mag. Darabos"
"v13a9"	"Variable Label"	"nicht genannt"
"v13a9"	"1"	"genannt"
"v13b1"	"Variable Label"	"Dr. Fischer"
"v13b1"	"Variable Label"	"nicht genannt"
"v13b1"	"1"	"genannt"
"v13b10"	"Variable Label"	"Bgm. Dr. Häupl"
"v13b10"	"Variable Label"	"nicht genannt"
"v13b10"	"1"	"genannt"
"v13b11"	"Variable Label"	"Mag. Haupt"
"v13b11"	"Variable Label"	"nicht genannt"
"v13b11"	"1"	"genannt"
"v13b12"	"Variable Label"	"Dr. Khol"
"v13b12"	"Variable Label"	"nicht genannt"
"v13b12"	"1"	"genannt"
"v13b2"	"Variable Label"	"Dr. Fischler"
"v13b2"	"Variable Label"	"nicht genannt"
"v13b2"	"1"	"genannt"
"v13b3"	"Variable Label"	"Dr. Glawischnig"
"v13b3"	"Variable Label"	"nicht genannt"
"v13b3"	"1"	"genannt"
"v13b4"	"Variable Label"	"BM Dr. Gorbach"
"v13b4"	"Variable Label"	"nicht genannt"
"v13b4"	"1"	"genannt"
"v13b5"	"Variable Label"	"BM Mag. Grasser"
"v13b5"	"Variable Label"	"nicht genannt"
"v13b5"	"1"	"genannt"
"v13b6"	"Variable Label"	"Dr. Gusenbauer"
"v13b6"	"Variable Label"	"nicht genannt"
"v13b6"	"1"	"genannt"
"v13b7"	"Variable Label"	"Erich Haider"
"v13b7"	"Variable Label"	"nicht genannt"
"v13b7"	"1"	"genannt"
"v13b8"	"Variable Label"	"Dr. Jörg Haider"
"v13b8"	"Variable Label"	"nicht genannt"
"v13b8"	"1"	"genannt"
"v13b9"	"Variable Label"	"Ursula Haubner"
"v13b9"	"Variable Label"	"nicht genannt"
"v13b9"	"1"	"genannt"
"v13c1"	"Variable Label"	"Mag. Kogler"
"v13c1"	"Variable Label"	"nicht genannt"
"v13c1"	"1"	"genannt"
"v13c10"	"Variable Label"	"Prof. Van der Bellen"
"v13c10"	"Variable Label"	"nicht genannt"
"v13c10"	"1"	"genannt"
"v13c11"	"Variable Label"	"Präs. Verzetnitsch"
"v13c11"	"Variable Label"	"nicht genannt"
"v13c11"	"1"	"genannt"
"v13c12"	"Variable Label"	"Franz Vobes"
"v13c12"	"Variable Label"	"nicht genannt"
"v13c12"	"1"	"genannt"
"v13c2"	"Variable Label"	"Präs. Leitl"
"v13c2"	"Variable Label"	"nicht genannt"
"v13c2"	"1"	"genannt"
"v13c3"	"Variable Label"	"Dr. Matznetter"
"v13c3"	"Variable Label"	"nicht genannt"
"v13c3"	"1"	"genannt"
"v13c4"	"Variable Label"	"Mag. Molterer"
"v13c4"	"Variable Label"	"nicht genannt"
"v13c4"	"1"	"genannt"
"v13c5"	"Variable Label"	"Öllinger"
"v13c5"	"Variable Label"	"nicht genannt"
"v13c5"	"1"	"genannt"
"v13c6"	"Variable Label"	"Dr. Pilz"
"v13c6"	"Variable Label"	"nicht genannt"
"v13c6"	"1"	"genannt"
"v13c7"	"Variable Label"	"BK Dr. Schüssel"
"v13c7"	"Variable Label"	"nicht genannt"
"v13c7"	"1"	"genannt"
"v13c8"	"Variable Label"	"Strache"
"v13c8"	"Variable Label"	"nicht genannt"
"v13c8"	"1"	"genannt"
"v13c9"	"Variable Label"	"BM Dr. Strasser"
"v13c9"	"Variable Label"	"nicht genannt"
"v13c9"	"1"	"genannt"
"v14a1"	"Variable Label"	"W.N./K.A."
"v14a1"	"Variable Label"	"nicht genannt"
"v14a1"	"1"	"genannt"
"v14a10"	"Variable Label"	"Dr. Einem"
"v14a10"	"Variable Label"	"nicht genannt"
"v14a10"	"1"	"genannt"
"v14a11"	"Variable Label"	"BM Dr. Ferrero-Waldner"
"v14a11"	"Variable Label"	"nicht genannt"
"v14a11"	"1"	"genannt"
"v14a12"	"Variable Label"	"Präs. Fiedler"
"v14a12"	"Variable Label"	"nicht genannt"
"v14a12"	"1"	"genannt"
"v14a2"	"Variable Label"	"Niemand"
"v14a2"	"Variable Label"	"nicht genannt"
"v14a2"	"1"	"genannt"
"v14a3"	"Variable Label"	"Andere"
"v14a3"	"Variable Label"	"nicht genannt"
"v14a3"	"1"	"genannt"
"v14a4"	"Variable Label"	"NR-Abg. Anschober"
"v14a4"	"Variable Label"	"nicht genannt"
"v14a4"	"1"	"genannt"
"v14a5"	"Variable Label"	"BM Dr. Bartenstein"
"v14a5"	"Variable Label"	"nicht genannt"
"v14a5"	"1"	"genannt"
"v14a6"	"Variable Label"	"Mag. Dr. Bleckmann"
"v14a6"	"Variable Label"	"nicht genannt"
"v14a6"	"1"	"genannt"
"v14a7"	"Variable Label"	"NR-Abg. Broukal"
"v14a7"	"Variable Label"	"nicht genannt"
"v14a7"	"1"	"genannt"
"v14a8"	"Variable Label"	"Dr. Cap"
"v14a8"	"Variable Label"	"nicht genannt"
"v14a8"	"1"	"genannt"
"v14a9"	"Variable Label"	"Mag. Darabos"
"v14a9"	"Variable Label"	"nicht genannt"
"v14a9"	"1"	"genannt"
"v14b1"	"Variable Label"	"Dr. Fischer"
"v14b1"	"Variable Label"	"nicht genannt"
"v14b1"	"1"	"genannt"
"v14b10"	"Variable Label"	"Bgm. Dr. Häupl"
"v14b10"	"Variable Label"	"nicht genannt"
"v14b10"	"1"	"genannt"
"v14b11"	"Variable Label"	"Mag. Haupt"
"v14b11"	"Variable Label"	"nicht genannt"
"v14b11"	"1"	"genannt"
"v14b12"	"Variable Label"	"Dr. Khol"
"v14b12"	"Variable Label"	"nicht genannt"
"v14b12"	"1"	"genannt"
"v14b2"	"Variable Label"	"Dr. Fischler"
"v14b2"	"Variable Label"	"nicht genannt"
"v14b2"	"1"	"genannt"
"v14b3"	"Variable Label"	"Dr. Glawischnig"
"v14b3"	"Variable Label"	"nicht genannt"
"v14b3"	"1"	"genannt"
"v14b4"	"Variable Label"	"BM Dr. Gorbach"
"v14b4"	"Variable Label"	"nicht genannt"
"v14b4"	"1"	"genannt"
"v14b5"	"Variable Label"	"BM Mag. Grasser"
"v14b5"	"Variable Label"	"nicht genannt"
"v14b5"	"1"	"genannt"
"v14b6"	"Variable Label"	"Dr. Gusenbauer"
"v14b6"	"Variable Label"	"nicht genannt"
"v14b6"	"1"	"genannt"
"v14b7"	"Variable Label"	"Erich Haider"
"v14b7"	"Variable Label"	"nicht genannt"
"v14b7"	"1"	"genannt"
"v14b8"	"Variable Label"	"Dr. Jörg Haider"
"v14b8"	"Variable Label"	"nicht genannt"
"v14b8"	"1"	"genannt"
"v14b9"	"Variable Label"	"Ursula Haubner"
"v14b9"	"Variable Label"	"nicht genannt"
"v14b9"	"1"	"genannt"
"v14c1"	"Variable Label"	"Mag. Kogler"
"v14c1"	"Variable Label"	"nicht genannt"
"v14c1"	"1"	"genannt"
"v14c10"	"Variable Label"	"Prof. Van der Bellen"
"v14c10"	"Variable Label"	"nicht genannt"
"v14c10"	"1"	"genannt"
"v14c11"	"Variable Label"	"Präs. Verzetnitsch"
"v14c11"	"Variable Label"	"nicht genannt"
"v14c11"	"1"	"genannt"
"v14c12"	"Variable Label"	"Franz Vobes"
