variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v02"	"Variable Label"	"Chancen von Lugner-Partei"
"v02"	"1"	"weniger als 10%"
"v02"	"2"	"rund 10%"
"v02"	"3"	"mehr als 10%"
"v02"	"4"	"W.N./K.A."
"v03"	"Variable Label"	"Welcher Partei würde Lugner-Partei schaden"
"v03"	"1"	"FPÖ"
"v03"	"2"	"ÖVP"
"v03"	"3"	"SPÖ"
"v03"	"4"	"GAL"
"v03"	"5"	"LIF"
"v03"	"6"	"Nichtwählern"
"v03"	"7"	"W.N./K.A."
"v04"	"Variable Label"	"Würden Sie Lugner-Partei begrüßen?"
"v04"	"1"	"begrüßen"
"v04"	"2"	"ist mir egal"
"v04"	"3"	"ablehnen"
"v04"	"4"	"W.N./K.A."
"v05"	"Variable Label"	"Würden Sie Lugner-Partei wählen?"
"v05"	"1"	"ja"
"v05"	"2"	"nein"
"v05"	"3"	"W.N./K.A."
"v08"	"Variable Label"	"Auswirkung der Steuerreform auf die Wirtschaft"
"v08"	"1"	"wachsen"
"v08"	"2"	"schrumpfen"
"v08"	"3"	"weder noch"
"v08"	"4"	"W.N./K.A."
"v09"	"Variable Label"	"Auswirkung der Steuerreform auf Budgetdefizit"
"v09"	"1"	"größer werden"
"v09"	"2"	"kleiner werden"
"v09"	"3"	"weder noch"
"v09"	"4"	"W.N./K.A."
"v10"	"Variable Label"	"Macht Steuerreform neues Sprapaket notwendig"
"v10"	"1"	"ja"
"v10"	"2"	"nein"
"v10"	"3"	"W.N./K.A."
"v11"	"Variable Label"	"Macht Steuerreform neue Pensionsreform notwendig?"
"v11"	"1"	"ja"
"v11"	"2"	"nein"
"v11"	"3"	"W.N./K.A."
"v12"	"Variable Label"	"Geschlecht"
"v12"	"1"	"Männlich"
"v12"	"2"	"Weiblich"
"v13"	"Variable Label"	"Beruf"
"v13"	"Variable Label"	"Andere"
"v13"	"1"	"Hilfsarbeiter"
"v13"	"2"	"Facharbeiter"
"v13"	"3"	"Leitende Ang./Beamte"
"v13"	"4"	"Angestellte"
"v13"	"5"	"Beamte"
"v13"	"6"	"Rentner/Pensionisten"
"v13"	"7"	"Hausfrauen"
"v13"	"8"	"Selbständige"
"v13"	"9"	"Landwirte"
"v14"	"Variable Label"	"Bundesland"
"v14"	"1"	"Wien"
"v14"	"2"	"Burgenland"
"v14"	"3"	"Niederösterreich"
"v14"	"4"	"Oberösterreich"
"v14"	"5"	"Salzburg"
"v14"	"6"	"Tirol"
"v14"	"7"	"Vorarlberg"
"v14"	"8"	"Steiermark"
"v14"	"9"	"Kärnten"
"v15"	"Variable Label"	"Alter"
"v15"	"1"	"Unter 20 Jahren"
"v15"	"2"	"20 bis 25 Jahre"
"v15"	"3"	"26 bis 35 Jahre"
"v15"	"4"	"36 bis 50 Jahre"
"v15"	"5"	"51 bis 65 Jahre"
"v15"	"6"	"über 65 Jahre"
"v16"	"Variable Label"	"Schulbildung"
"v16"	"1"	"Volksschule"
"v16"	"2"	"Hauptschule"
"v16"	"3"	"Berufs-/Handelsschule"
"v16"	"4"	"Matura"
"v16"	"5"	"Abg.Hochschule"
"v17"	"Variable Label"	"Parteipräferenz heute"
"v17"	"1"	"FPÖ"
"v17"	"2"	"KPÖ"
"v17"	"3"	"ÖVP"
"v17"	"4"	"SPÖ"
"v17"	"5"	"GAL"
"v17"	"6"	"LIF"
"v17"	"7"	"Keine"
"v18"	"Variable Label"	"Parteipräferenz früher"
"v18"	"1"	"FPÖ"
"v18"	"2"	"KPÖ"
"v18"	"3"	"ÖVP"
"v18"	"4"	"SPÖ"
"v18"	"5"	"GAL"
"v18"	"6"	"LIF"
"v18"	"7"	"Keine"
"v19a"	"Variable Label"	"Partei vertritt nicht mehr Leute wie mich"
"v19a"	"Variable Label"	"Nicht genannt"
"v19a"	"1"	"Genannt"
"v19b"	"Variable Label"	"Weil man den Politikern dieser Partei nicht vertrauen kann"
"v19b"	"Variable Label"	"Nicht genannt"
"v19b"	"1"	"Genannt"
"v19c"	"Variable Label"	"Die Partei hat keine klare Linie mehr"
"v19c"	"Variable Label"	"Nicht genannt"
"v19c"	"1"	"Genannt"
