variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"exfpoe"	"Variable Label"	"Ex-FPÖ-Sympathisanten"
"exfpoe"	"1"	"Ex-FPÖ-S."
"exgal"	"Variable Label"	"Ex-GAL-Sympathisanten"
"exgal"	"1"	"Ex-GAL-S."
"exkeine"	"Variable Label"	"Ex-Sympathisanten keiner Partei"
"exkeine"	"1"	"Ex-S. keiner P."
"exlif"	"Variable Label"	"Ex-LIF-Sympathisanten"
"exlif"	"1"	"Ex-LIF-S."
"exoevp"	"Variable Label"	"Ex-ÖVP-Sympathisanten"
"exoevp"	"1"	"Ex-ÖVP-S."
"exspoe"	"Variable Label"	"Ex-SPÖ-Sympathisanten"
"exspoe"	"1"	"Ex-SPÖ-S."
"filter_$"	"Variable Label"	"v10a = 3 & v10d = 1 (FILTER)"
"filter_$"	"Variable Label"	"Nicht ausgewählt"
"filter_$"	"1"	"Ausgewählt"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"oevpzgal"	"Variable Label"	"Wechsel ÖVP zu GAL"
"oevpzgal"	"1"	"ÖVP-GAL"
"oevpzufp"	"Variable Label"	"Wechsel ÖVP zu FPÖ"
"oevpzufp"	"1"	"ÖVP-FPÖ"
"oevpzus"	"Variable Label"	"Wechsel ÖVP zu SPÖ"
"oevpzus"	"1"	"ÖVP-SPÖ"
"ovpzkein"	"Variable Label"	"Wechsel ÖVP zu keiner Partei"
"ovpzkein"	"1"	"ÖVP-keine P."
"spzufgal"	"Variable Label"	"Wechsel SPÖ zu GAL"
"spzufgal"	"1"	"SPÖ-GAL"
"spzufpoe"	"Variable Label"	"Wechsel SPÖ zu FPÖ"
"spzukein"	"Variable Label"	"Wechsel SPÖ zu keiner Partei"
"spzukein"	"1"	"SPÖ-keine P."
"spzuoevp"	"Variable Label"	"Wechsel SPÖ-ÖVP"
"spzuoevp"	"1"	"SPÖ-ÖVP"
"v1"	"Variable Label"	"Hat Klestil  Wahlversprechen gehalten?"
"v1"	"1"	"Ja, total"
"v1"	"2"	"weitgehend"
"v1"	"3"	"kaum"
"v1"	"4"	"gar nicht"
"v1"	"5"	"W.N./K.A."
"v10a"	"Variable Label"	"Zwangsarbeiter, die gesundheitliche Schäden erlitten haben"
"v10a"	"1"	"Ja"
"v10a"	"2"	"Nein"
"v10a"	"3"	"W.N./K.A."
"v10b"	"Variable Label"	"Zigeuner, die im KZ waren"
"v10b"	"1"	"Ja"
"v10b"	"2"	"Nein"
"v10b"	"3"	"W.N./K.A."
"v10c"	"Variable Label"	"Juden, die im KZ waren"
"v10c"	"1"	"Ja"
"v10c"	"2"	"Nein"
"v10c"	"3"	"W.N./K.A."
"v10d"	"Variable Label"	"Alle Zwangsarbeiter, die noch leben"
"v10d"	"1"	"Ja"
"v10d"	"2"	"Nein"
"v10d"	"3"	"W.N./K.A."
"v10e"	"Variable Label"	"Auch Hinterbliebene"
"v10e"	"1"	"Ja"
"v10e"	"2"	"Nein"
"v10e"	"3"	"W.N./K.A."
"v11"	"Variable Label"	"Einfluss der Regierungsverhandlungen auf die Meinung der Ö. über die Politiker"
"v11"	"1"	"verbessert"
"v11"	"2"	"verschlechtert"
"v11"	"3"	"unverändert"
"v11"	"4"	"W.N./K.A."
"v12a1"	"Variable Label"	"W.N./K.A."
"v12a1"	"Variable Label"	"nicht genannt"
"v12a1"	"1"	"genannt"
"v12a10"	"Variable Label"	"Ao. z. NR Nürnberger"
"v12a10"	"Variable Label"	"nicht genannt"
"v12a10"	"1"	"genannt"
"v12a11"	"Variable Label"	"LH Dr. Pröll"
"v12a11"	"Variable Label"	"nicht genannt"
"v12a11"	"1"	"genannt"
"v12a12"	"Variable Label"	"Mag. Schlögl"
"v12a12"	"Variable Label"	"nicht genannt"
"v12a12"	"1"	"genannt"
"v12a13"	"Variable Label"	"Dr. Schüssel"
"v12a13"	"Variable Label"	"nicht genannt"
"v12a13"	"1"	"genannt"
"v12a14"	"Variable Label"	"Dr. Van der Bellen"
"v12a14"	"Variable Label"	"nicht genannt"
"v12a14"	"1"	"genannt"
"v12a15"	"Variable Label"	"Präs. Verzetnitsch"
"v12a15"	"Variable Label"	"nicht genannt"
"v12a15"	"1"	"genannt"
