version	doi	court_source	court_target	year_source	nr_citations
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1951"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1952"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1953"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1956"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1957"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1958"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1960"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1962"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1964"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1966"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1967"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1969"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1970"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1971"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1972"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1974"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1975"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1976"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1977"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1978"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1979"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1981"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1982"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1983"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1984"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1985"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1986"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1987"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1990"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1991"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1992"	2.0
