version	doi	court_source	court_target	year_target	nr_citations
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1964"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1980"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1984"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1986"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1987"	11.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1988"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1989"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1990"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1991"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1992"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1993"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1995"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1996"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1997"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"1998"	7.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2002"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2003"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2004"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2005"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2006"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2007"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2008"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2009"	8.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2011"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2012"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2013"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2014"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2015"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2016"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2017"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"AUT"	"2018"	6.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1973"	3.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1974"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1975"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1978"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1981"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1982"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1983"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1984"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1985"	17.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1986"	45.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1987"	31.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1988"	34.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1989"	26.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1990"	7.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1991"	15.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1992"	15.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1993"	20.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1994"	34.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1995"	41.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1996"	11.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1997"	27.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1998"	81.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"1999"	29.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2000"	37.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2001"	63.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2002"	63.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2003"	85.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2004"	109.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2005"	54.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2006"	80.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2007"	93.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2008"	90.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2009"	162.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2010"	122.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2011"	115.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2012"	156.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2013"	127.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2014"	144.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2015"	98.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2016"	118.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2017"	116.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECHR"	"AUT"	"2018"	122.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"1984"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"1990"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"1993"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"1995"	10.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"1996"	9.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"1997"	31.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"1998"	39.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"1999"	30.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2000"	45.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2001"	96.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2002"	27.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2003"	69.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2004"	47.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2005"	38.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2006"	46.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2007"	36.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2008"	41.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2009"	59.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2010"	49.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2011"	82.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2012"	76.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2013"	70.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2014"	47.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2015"	77.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2016"	107.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2017"	54.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"AUT"	"2018"	65.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"PRT"	"AUT"	"2017"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"BEL"	"1993"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"BEL"	"2001"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"DEU"	"BEL"	"2013"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"1989"	2.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"1990"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"1993"	1.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"1995"	5.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"1997"	7.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"1998"	4.0
"1.0 (2022-08-01)"	"doi:10.11587/AYUJTC"	"ECJ"	"BEL"	"1999"	5.0
