variable	value	Label
"datum"	"Variable Label"	"Datum des Interviews"
"datum"	"1"	"20.04.-01.05."
"datum"	"2"	"02.05.-10.05."
"datum"	"3"	"K.A."
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Informationsstand über die BAWAG-Diskussion"
"v1"	"1"	"Ja, ich habe davon gehört bzw. gelesen"
"v1"	"2"	"Ja, ich habe auch mit anderen Leuten darüber gesprochen"
"v1"	"3"	"Nein, ich habe davon nichts gehört"
"v1"	"4"	"W.N./K.A."
"v10"	"Variable Label"	"Wenn die Sozialdemokraten über mehr Steuermittel verfügen könnten, würden sie dann mehr für Leute wie mich tun?"
"v10"	"1"	"stimmt"
"v10"	"2"	"stimmt nicht"
"v10"	"3"	"W.N./K.A."
"v11a"	"Variable Label"	".. mehr für die Beschäftigung von Arbeitslosen einsetzen"
"v11a"	"1"	"Ja"
"v11a"	"2"	"Nein"
"v11a"	"3"	"W.N./K.A."
"v11b"	"Variable Label"	".. mehr einsetzen um den Sozialstaat zu erhalten"
"v11b"	"1"	"Ja"
"v11b"	"2"	"Nein"
"v11b"	"3"	"W.N./K.A."
"v12"	"Variable Label"	"Manche Leute sagen, die ÖVP unterstützt ihre Wählergruppen, also Bauern und Beamte sowie Unternehmer mit  Steuermitteln stärker und erfolgreicher als die SPÖ ihre Wählergruppen."
"v12"	"1"	"stimmt"
"v12"	"2"	"stimmt nicht"
"v12"	"3"	"W.N./K.A."
"v13"	"Variable Label"	"Meinen Sie, die Sozialdemokraten haben eine leichte Hand beim Geld ausgeben?"
"v13"	"1"	"Ja"
"v13"	"2"	"Nein"
"v13"	"3"	"W.N./K.A."
"v14"	"Variable Label"	"Und meinen Sie, die ÖVP hat eine leichte Hand beim Geld ausgeben?"
"v14"	"1"	"Ja"
"v14"	"2"	"Nein"
"v14"	"3"	"W.N./K.A."
"v15"	"Variable Label"	"Manche Österreicherinnen und Österreicher wollen neue Parteien und neue Politiker. Würden diese neuen Politiker erfolgreicher sein als unsere gegenwärtigen Politiker?"
"v15"	"1"	"Sie würden erfolgreicher sein"
"v15"	"2"	"Sie würden erfolgloser sein"
"v15"	"3"	"Genauso wie die jetzigen Politiker"
"v15"	"4"	"W.N./K.A."
