variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"id_var"	"Variable Label"	"id_var"
"Typ"	"Variable Label"	"Typ"
"Typ"	"1"	"Partei"
"Typ"	"2"	"Person"
"Nachname"	"Variable Label"	"Nachname"
"Vorname"	"Variable Label"	"Vorname"
"Gender"	"Variable Label"	"Gender"
"Gender"	"1"	"männlich"
"Gender"	"2"	"weiblich"
"Geburtsjahr"	"Variable Label"	"Geburtsjahr"
"Partei"	"Variable Label"	"Partei"
"Partei"	"1"	"ÖVP"
"Partei"	"2"	"SPÖ"
"Partei"	"3"	"FPÖ"
"Partei"	"4"	"GRÜNE"
"Partei"	"5"	"NEOS"
"Partei"	"6"	"Team Kärnten - Liste Köfer"
"Partei"	"7"	"KPÖ PLUS"
"Partei"	"8"	"FRITZ"
"Partei"	"9"	"MFG"
"Partei"	"10"	"KPÖ"
"Partei"	"11"	"parteilos"
"Region"	"Variable Label"	"Region"
"Region"	"0"	"Österreich"
"Region"	"1"	"Burgenland"
"Region"	"2"	"Kärnten"
"Region"	"3"	"Niederösterreich"
"Region"	"4"	"Oberösterreich"
"Region"	"5"	"Salzburg"
"Region"	"6"	"Steiermark"
"Region"	"7"	"Tirol"
"Region"	"8"	"Vorarlberg"
"Region"	"9"	"Wien"
"Region"	"10"	"EU"
"Funktion"	"Variable Label"	"Funktion"
"Funktion"	"1"	"Landtag"
"Funktion"	"2"	"Landesregierung"
"Funktion"	"3"	"Nationalrat"
"Funktion"	"4"	"Bundesrat"
"Funktion"	"5"	"Bundesregierung"
"Funktion"	"6"	"EP"
"TikTok"	"Variable Label"	"TikTok"
"TikTok"	"1"	"ja"
"TikTok"	"2"	"nein"
"TikTok_Link"	"Variable Label"	"TikTok_Link"
"Instagram"	"Variable Label"	"Instagram"
"Instagram"	"1"	"ja"
"Instagram"	"2"	"nein"
"Facebook"	"Variable Label"	"Facebook"
"Facebook"	"1"	"ja"
"Facebook"	"2"	"nein"
"TikTok_Follower"	"Variable Label"	"TikTok_Follower"
"TikTok_Alter"	"Variable Label"	"TikTok_Alter"
"TikTok_Videos"	"Variable Label"	"TikTok_Videos"
"TikTok_Likes"	"Variable Label"	"TikTok_Likes"
"TikTok_Bio"	"Variable Label"	"TikTok_Bio"
"V1_Link"	"Variable Label"	"V1_Link"
"V1_Views"	"Variable Label"	"V1_Views"
"V1_Likes"	"Variable Label"	"V1_Likes"
"V1_Kommentare"	"Variable Label"	"V1_Kommentare"
"V1_Shares"	"Variable Label"	"V1_Shares"
"V1_Setting"	"Variable Label"	"V1_Setting"
"V1_Setting"	"1"	"Arbeit"
"V1_Setting"	"2"	"Privat"
"V1_Selfie"	"Variable Label"	"V1_Selfie"
"V1_Selfie"	"1"	"ja"
"V1_Selfie"	"2"	"nein"
"V1_Kleidung"	"Variable Label"	"V1_Kleidung"
"V1_Kleidung"	"1"	"formal"
"V1_Kleidung"	"2"	"leger"
"V1_Call"	"Variable Label"	"V1_Call"
"V1_Call"	"1"	"ja"
"V1_Call"	"2"	"nein"
"V1_Musik"	"Variable Label"	"V1_Musik"
"V1_Musik"	"1"	"ja"
"V1_Musik"	"2"	"nein"
"V1_Familie"	"Variable Label"	"V1_Familie"
"V1_Familie"	"1"	"ja"
"V1_Familie"	"2"	"nein"
"V1_Partei"	"Variable Label"	"V1_Partei"
"V1_Partei"	"1"	"erkennbar"
"V1_Partei"	"2"	"nicht erkennbar"
"V1_Trend"	"Variable Label"	"V1_Trend"
"V1_Trend"	"1"	"ja"
"V1_Trend"	"2"	"nein"
"V2_Link"	"Variable Label"	"V2_Link"
"V2_Views"	"Variable Label"	"V2_Views"
"V2_Likes"	"Variable Label"	"V2_Likes"
"V2_Kommentare"	"Variable Label"	"V2_Kommentare"
"V2_Shares"	"Variable Label"	"V2_Shares"
"V2_Setting"	"Variable Label"	"V2_Setting"
"V2_Setting"	"1"	"Arbeit"
"V2_Setting"	"2"	"Privat"
"V2_Selfie"	"Variable Label"	"V2_Selfie"
"V2_Selfie"	"1"	"ja"
"V2_Selfie"	"2"	"nein"
"V2_Kleidung"	"Variable Label"	"V2_Kleidung"
"V2_Kleidung"	"1"	"formal"
"V2_Kleidung"	"2"	"leger"
"V2_Call"	"Variable Label"	"V2_Call"
"V2_Call"	"1"	"ja"
"V2_Call"	"2"	"nein"
"V2_Musik"	"Variable Label"	"V2_Musik"
"V2_Musik"	"1"	"ja"
"V2_Musik"	"2"	"nein"
"V2_Familie"	"Variable Label"	"V2_Familie"
"V2_Familie"	"1"	"ja"
"V2_Familie"	"2"	"nein"
"V2_Partei"	"Variable Label"	"V2_Partei"
"V2_Partei"	"1"	"erkennbar"
"V2_Partei"	"2"	"nicht erkennbar"
"V2_Trend"	"Variable Label"	"V2_Trend"
"V2_Trend"	"1"	"ja"
"V2_Trend"	"2"	"nein"
"V3_Link"	"Variable Label"	"V3_Link"
"V3_Views"	"Variable Label"	"V3_Views"
"V3_Likes"	"Variable Label"	"V3_Likes"
"V3_Kommentare"	"Variable Label"	"V3_Kommentare"
"V3_Shares"	"Variable Label"	"V3_Shares"
"V3_Setting"	"Variable Label"	"V3_Setting"
"V3_Setting"	"1"	"Arbeit"
"V3_Setting"	"2"	"Privat"
"V3_Selfie"	"Variable Label"	"V3_Selfie"
"V3_Selfie"	"1"	"ja"
"V3_Selfie"	"2"	"nein"
"V3_Kleidung"	"Variable Label"	"V3_Kleidung"
"V3_Kleidung"	"1"	"formal"
"V3_Kleidung"	"2"	"leger"
"V3_Call"	"Variable Label"	"V3_Call"
"V3_Call"	"1"	"ja"
"V3_Call"	"2"	"nein"
"V3_Musik"	"Variable Label"	"V3_Musik"
"V3_Musik"	"1"	"ja"
"V3_Musik"	"2"	"nein"
"V3_Familie"	"Variable Label"	"V3_Familie"
"V3_Familie"	"1"	"ja"
"V3_Familie"	"2"	"nein"
"V3_Partei"	"Variable Label"	"V3_Partei"
"V3_Partei"	"1"	"erkennbar"
"V3_Partei"	"2"	"nicht erkennbar"
"V3_Trend"	"Variable Label"	"V3_Trend"
"V3_Trend"	"1"	"ja"
"V3_Trend"	"2"	"nein"
"V4_Link"	"Variable Label"	"V4_Link"
"V4_Views"	"Variable Label"	"V4_Views"
"V4_Likes"	"Variable Label"	"V4_Likes"
"V4_Kommentare"	"Variable Label"	"V4_Kommentare"
"V4_Shares"	"Variable Label"	"V4_Shares"
"V4_Setting"	"Variable Label"	"V4_Setting"
"V4_Setting"	"1"	"Arbeit"
"V4_Setting"	"2"	"Privat"
"V4_Selfie"	"Variable Label"	"V4_Selfie"
"V4_Selfie"	"1"	"ja"
"V4_Selfie"	"2"	"nein"
"V4_Kleidung"	"Variable Label"	"V4_Kleidung"
"V4_Kleidung"	"1"	"formal"
"V4_Kleidung"	"2"	"leger"
"V4_Call"	"Variable Label"	"V4_Call"
"V4_Call"	"1"	"ja"
"V4_Call"	"2"	"nein"
"V4_Musik"	"Variable Label"	"V4_Musik"
"V4_Musik"	"1"	"ja"
"V4_Musik"	"2"	"nein"
"V4_Familie"	"Variable Label"	"V4_Familie"
"V4_Familie"	"1"	"ja"
"V4_Familie"	"2"	"nein"
"V4_Partei"	"Variable Label"	"V4_Partei"
"V4_Partei"	"1"	"erkennbar"
"V4_Partei"	"2"	"nicht erkennbar"
"V4_Trend"	"Variable Label"	"V4_Trend"
"V4_Trend"	"1"	"ja"
"V4_Trend"	"2"	"nein"
"V5_Link"	"Variable Label"	"V5_Link"
"V5_Views"	"Variable Label"	"V5_Views"
"V5_Likes"	"Variable Label"	"V5_Likes"
"V5_Kommentare"	"Variable Label"	"V5_Kommentare"
"V5_Shares"	"Variable Label"	"V5_Shares"
"V5_Setting"	"Variable Label"	"V5_Setting"
"V5_Setting"	"1"	"Arbeit"
"V5_Setting"	"2"	"Privat"
"V5_Selfie"	"Variable Label"	"V5_Selfie"
"V5_Selfie"	"1"	"ja"
"V5_Selfie"	"2"	"nein"
"V5_Kleidung"	"Variable Label"	"V5_Kleidung"
"V5_Kleidung"	"1"	"formal"
"V5_Kleidung"	"2"	"leger"
"V5_Call"	"Variable Label"	"V5_Call"
"V5_Call"	"1"	"ja"
"V5_Call"	"2"	"nein"
"V5_Musik"	"Variable Label"	"V5_Musik"
"V5_Musik"	"1"	"ja"
