variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"START_DATE"	"Variable Label"	"START DATE SURVEY"
"END_DATE"	"Variable Label"	"END DATE SURVEY"
"A1"	"Variable Label"	"ID COMPONENT - RESPONDENT WITHIN ELECTION STUDY"
"A4a"	"Variable Label"	"DATUM DER FRAGEBOGEN-DURCHFUEHRUNG - MONAT"
"A4a"	"9"	"SEPTEMBER"
"A4a"	"10"	"OKTOBER"
"A4b"	"Variable Label"	"DATUM DER FRAGEBOGEN-DURCHFUEHRUNG - TAG"
"A4c"	"Variable Label"	"DATUM DER FRAGEBOGEN-DURCHFUEHRUNG - JAHR"
"A4c"	"2024"	"JAHR"
"A6"	"Variable Label"	"SPRACHE DER FRAGEBOGEN-DURCHFUEHRUNG"
"D01b"	"Variable Label"	"GEBURTSJAHR R."
"D01b"	"1942"	"1942 ODER FRUEHER"
"D01b"	"2006"	"2006-2007"
"D02"	"Variable Label"	"GESCHLECHT"
"D02"	"1"	"MANN"
"D02"	"2"	"FRAU"
"D02"	"5"	"ANDERE"
"D02"	"7"	"KEINE ANGABE"
"D02"	"9"	"MISSING"
"D03"	"Variable Label"	"HOECHSTER SCHUL- ODER BILDUNGSABSCHLUSS (RECODED)"
"D03"	"1"	"ISCED LEVEL 2 - SEKUNDARSTUFE I (UNTERSTUFE)"
"D03"	"2"	"ISCED LEVEL 3 - SEKUNDARSTUFE II (OBERSTUFE)"
"D03"	"3"	"ISCED LEVEL 4 - POST-SEKUNDAERBEREICH, NICHT TERTIAERE BILDUNG"
"D03"	"4"	"ISCED LEVEL 5 - KURZZYKLISCHE ZERTIAERE BILDUNG"
"D03"	"5"	"ISCED LEVEL 6 - BACHELOR ODER GLEICHWERTIG"
"D03"	"6"	"ISCED LEVEL 7 - MASTER ODER GLEICHWERTIG"
"D03"	"7"	"ISCED LEVEL 8 - DOKTORAT ODER GLEICHWERTIG"
"D03"	"95"	"SONSTIGES: NICHT ANGEGEBEN"
"D03"	"99"	"MISSING"
"D04"	"Variable Label"	"FAMILIENSTAND"
"D04"	"1"	"VERHEIRATET/MIT PARTNER:IN LEBEND"
"D04"	"2"	"VERWITWET"
"D04"	"3"	"GESCHIEDEN/GETRENNT LEBEND"
"D04"	"4"	"LEDIG"
"D04"	"7"	"KEINE ANGABE"
"D04"	"9"	"MISSING"
"D05"	"Variable Label"	"GEWERKSCHAFTSMITGLIED"
"D05"	"1"	"JA"
"D05"	"2"	"NEIN"
"D05"	"8"	"WEISS NICHT"
"D05"	"9"	"MISSING"
"D07"	"Variable Label"	"BERUF (RECODED)"
"D07"	"1"	"Offiziere in regulaeren Streitkraeften"
"D07"	"2"	"Unteroffiziere in regulaeren Streitkraeften"
"D07"	"3"	"Angehoerige der regulaeren Streitkraefte in sonstigen Raengen"
"D07"	"11"	"Geschaeftsfuehrerinnen und Geschaeftsfuehrer, Vorstaende, leitende Verwaltungsbedienstete und Angehoerige gesetzgebender"
"D07"	"12"	"Fuehrungskraefte im kaufmaennischen Bereich"
"D07"	"13"	"Fuehrungskraefte in der Produktion und bei speziellen Dienstleistungen"
"D07"	"14"	"Fuehrungskraefte in Hotels und Restaurants, im Handel und in der Erbringung sonstiger Dienstleistungen"
"D07"	"21"	"Naturwissenschaftlerinnen und Naturwissenschaftler, Mathematikerinnen und Mathematiker und Ingenieurinnen und Ingenieure"
"D07"	"22"	"Akademische und verwandte Gesundheitsberufe"
"D07"	"23"	"Lehrkraefte"
"D07"	"24"	"Betriebswirtinnen und Betriebswirte und vergleichbare akademische Berufe"
"D07"	"25"	"Akademische und vergleichbare Fachkraefte in der Informations- und Kommunikationstechnologie"
"D07"	"26"	"Juristinnen und Juristen, Sozialwissenschaftlerinnen und Sozialwissenschaftler und Kulturberufe"
"D07"	"31"	"Ingenieurtechnische und vergleichbare Fachkraefte"
"D07"	"32"	"Assistenzberufe im Gesundheitswesen"
"D07"	"33"	"Nicht akademische betriebswirtschaftliche und kaufmaennische Fachkraefte und Verwaltungsfachkraefte"
"D07"	"34"	"Nicht akademische juristische, sozialpflegerische, kulturelle und verwandte Fachkraefte"
"D07"	"35"	"Informations- und Kommunikationstechnikerinnen und -techniker"
"D07"	"41"	"Allgemeine Buero- und Sekretariatskraefte"
"D07"	"42"	"Buerokraefte mit Kundenkontakt"
"D07"	"43"	"Buerokraefte im Finanz- und Rechnungswesen, in der Statistik und in der Materialwirtschaft"
"D07"	"44"	"Sonstige Buerokraefte und verwandte Berufe"
"D07"	"51"	"Berufe im Bereich personenbezogener Dienstleistungen"
"D07"	"52"	"Verkaufskraefte"
"D07"	"53"	"Betreuungsberufe"
"D07"	"54"	"Schutzkraefte und Sicherheitsbedienstete"
"D07"	"61"	"Fachkraefte in der Landwirtschaft"
"D07"	"62"	"Fachkraefte in Forstwirtschaft, Fischerei und Jagd - Marktproduktion"
"D07"	"63"	"Landwirtinnen und Landwirte, Fischerinnen und Fischer, Jaegerinnen und Jaeger und Sammlerinnen und Sammler fuer den Eige"
"D07"	"71"	"Bau- und Ausbaufachkraefte sowie verwandte Berufe, ausgenommen Elektrikerinnen und Elektriker"
"D07"	"72"	"Metallarbeiterinnen und Metallarbeiter, Mechanikerinnen und Mechaniker und verwandte Berufe"
"D07"	"73"	"Praezisionshandwerkerinnen und Praezisionshandwerker, Druckerinnen und Drucker und kunsthandwerkliche Berufe"
"D07"	"74"	"Elektrikerinnen und Elektriker und Elektronikerinnen und Elektroniker"
"D07"	"75"	"Berufe in der Nahrungsmittelverarbeitung, Holzverarbeitung und Bekleidungsherstellung und verwandte handwerkliche Fachkr"
"D07"	"81"	"Bedienerinnen und Bediener stationaerer Anlagen und Maschinen"
"D07"	"82"	"Montageberufe"
"D07"	"83"	"Fahrzeugfuehrerinnen und Fahrzeugfuehrer und Bedienerinnen und Bediener mobiler Anlagen"
"D07"	"91"	"Reinigungspersonal und Hilfsarbeitskraefte"
"D07"	"92"	"Hilfsarbeiterinnen und Hilfsarbeiter in der Land- und Forstwirtschaft und Fischerei"
"D07"	"93"	"Hilfsarbeiterinnen und Hilfsarbeiter im Bergbau, im Bau, bei der Herstellung von Waren und im Transportwesen"
"D07"	"94"	"Hilfskraefte in der Nahrungsmittelzubereitung"
"D07"	"95"	"Straßenhaendler und auf der Straße arbeitende Dienstleisungskraefte"
"D07"	"96"	"Abfallentsorgungsarbeiterinnen und Abfallentsorgungsarbeiter und sonstige Hilfsarbeitskraefte"
"D07"	"99"	"missing"
"D07a"	"Variable Label"	"SOZIOOEKONOMISCHER STATUS (RECODED)"
"D07a"	"1"	"BUEROARBEITER:IN"
"D07a"	"2"	"ARBEITER:IN"
"D07a"	"3"	"LANDWIRT:IN"
"D07a"	"4"	"SELBSTSTAENDIG"
"D07a"	"7"	"KEINE ANGABE"
"D07a"	"8"	"WEISS NICHT"
"D07a"	"9"	"MISSING"
"D08"	"Variable Label"	"BESCHAEFTIGUNGSART - OEFFENTLICH ODER PRIVAT"
"D08"	"1"	"OEFFENTLICHER DIENST"
"D08"	"2"	"PRIVATWIRTSCHAFTLICHES UNTERNEHMEN"
"D08"	"3"	"UNTERNEHMEN, DAS UEBERWIEGEND ODER VOLLSTAENDIG DEM BUND, EINEM LAND ODER EINER GEMEINDE GEHOERT"
"D08"	"4"	"GEMEINNUETZIGES UNTERNEHMEN"
"D08"	"7"	"KEINE ANGABE"
"D08"	"8"	"WEISS NICHT"
"D08"	"9"	"MISSING"
"D10"	"Variable Label"	"RELIGIONSZUGEHOERIGKEIT (RECODED)"
"D10"	"1101"	"ROEMISCH-KATHOLISCH"
"D10"	"1200"	"PROTESTANTISCH, KEINE KONFESSION ANGEGEGEBEN"
"D10"	"1600"	"OSTORTHODOX"
"D10"	"2000"	"JUEDISCH"
"D10"	"3000"	"MUSLIMISCH; MOHAMMEDANISCH; ISLAM (KEINE KONFESSION ANGEGEBEN)"
"D10"	"8300"	"KEINE"
"D10"	"9600"	"SONSTIGES: NICHT ANGEGEBEN"
"D10"	"9997"	"KEINE ANGABE"
"D10"	"9999"	"MISSING"
"D11"	"Variable Label"	"BESUCH GOTTESDIENST"
"D11"	"1"	"NIE"
"D11"	"2"	"EINMAL IM JAHR"
"D11"	"3"	"ZWEI BIS ELF MAL IM JAHR"
