variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v0"	"Variable Label"	"Artikel-ID"
"v1"	"Variable Label"	"Headline"
"v10"	"Variable Label"	"Mobilisierung"
"v10"	"0"	"nein, keine mobilisierenden Elemente"
"v10"	"1"	"ja, mindestens ein Element mobilisierender Berichterstattung"
"v10"	"2"	"ja, ueberwiegend mobilisierende Berichterstattung"
"v11"	"Variable Label"	"Einzelschicksale"
"v11"	"0"	"nein, keine Beschreibung von Einzelschicksalen"
"v11"	"1"	"ja, mindestens eine Beschreibung eines Einzelschicksals vorhanden"
"v11"	"2"	"ja, Beschreibung eines oder mehrerer Einzelschicksale ueberwiegen im Beitrag"
"v12"	"Variable Label"	"Substantielle politische Information"
"v12"	"0"	"keine weiterfuehrende Policy-Information (ausser evtl. Nennung des Themas)"
"v12"	"1"	"Policy-Information wird nur oberflaechlich gegeben oder am Rande behandelt"
"v12"	"2"	"Policy-Information wird gegeben, in mehreren Saetzen wird das Thema substantiell diskutiert"
"v12"	"3"	"Policy-Information wird im Beitrag substantiell und ueberwiegend diskutiert"
"v13"	"Variable Label"	"Sichtweisen"
"v13"	"0"	"nein, nicht mehr als eine Sichtweise"
"v13"	"1"	"ja, mehr als eine Sichtweise"
"v14"	"Variable Label"	"Argumentation"
"v14"	"0"	"nein, nicht mehr als ein Argument"
"v14"	"1"	"ja, mehr als ein Argument"
"v15"	"Variable Label"	"Quellen mit O-Ton"
"v2"	"Variable Label"	"Byline"
"v3_l1"	"Variable Label"	"Medium (Ebene 1)"
"v3_l1"	"1000"	"TV"
"v3_l1"	"2000"	"Radio"
"v3_l1"	"3000"	"Tagespresse"
"v3_l1"	"4000"	"Wochenpresse"
"v3_l1"	"5000"	"Websites"
"v3_l2"	"Variable Label"	"Medium (Ebene 2)"
"v3_l2"	"1100"	"TV (ORF)"
"v3_l2"	"1200"	"TV (Privat)"
"v3_l2"	"2100"	"Radio (ORF)"
"v3_l2"	"3100"	"Qualitaetszeitungen"
"v3_l2"	"3200"	"Boulevardzeitungen"
"v3_l2"	"3300"	"Midrange-Zeitungen"
"v3_l2"	"3400"	"Bundeslaenderzeitungen"
"v3_l2"	"4100"	"Magazine"
"v3_l2"	"4200"	"Regionalpresse (woechentlich)"
"v3_l2"	"5100"	"Websites (Medien)"
"v3_l2"	"5200"	"Websites (allgem.)"
"v3_l3"	"Variable Label"	"Medium (Ebene 3)"
"v3_l3"	"1101"	"ZiB"
"v3_l3"	"1102"	"ZiB2"
"v3_l3"	"1103"	"ZiB20"
"v3_l3"	"1104"	"ZiB24"
"v3_l3"	"1105"	"ZiB Magazin"
"v3_l3"	"1201"	"ATV Aktuell"
"v3_l3"	"1202"	"Guten Abend OEsterreich"
"v3_l3"	"1203"	"Sat.1 Austria News"
"v3_l3"	"1204"	"Pro7 Austria News"
"v3_l3"	"2101"	"OE1 Mittagsjournal"
"v3_l3"	"3101"	"Der Standard"
"v3_l3"	"3102"	"Die Presse + Die Presse am Sonntag"
"v3_l3"	"3103"	"Salzburger Nachrichten"
"v3_l3"	"3104"	"Wirtschaftsblatt"
"v3_l3"	"3201"	"Kronen Zeitung"
"v3_l3"	"3202"	"Oesterreich"
"v3_l3"	"3203"	"Heute"
"v3_l3"	"3301"	"Kurier"
"v3_l3"	"3401"	"Kleine Zeitung"
"v3_l3"	"3402"	"OOE Nachrichten"
"v3_l3"	"3403"	"Tiroler Tageszeitung"
"v3_l3"	"3404"	"VN Vorarlberger Nachrichten"
"v3_l3"	"3405"	"Wiener Zeitung"
"v3_l3"	"3406"	"Kaerntner Tageszeitung"
"v3_l3"	"3407"	"Neue Vorarlberger Tageszeitung"
"v3_l3"	"3408"	"Neues Volksblatt"
"v3_l3"	"3409"	"TT Kompakt"
"v3_l3"	"3410"	"SV Salzburger Volkszeitung"
"v3_l3"	"4101"	"News"
"v3_l3"	"4102"	"Format"
"v3_l3"	"4103"	"Falter"
"v3_l3"	"4104"	"Profil"
"v3_l3"	"4105"	"Die ganze WOCHE"
"v3_l3"	"4211"	"Woche Graz"
"v3_l3"	"4212"	"Woche Obersteiermark"
"v3_l3"	"4213"	"Woche HBZ"
"v3_l3"	"4214"	"Woche Weiz"
"v3_l3"	"4215"	"Woche Suedweststeiermark"
"v3_l3"	"4216"	"Woche Murtaler Zeitung"
"v3_l3"	"4217"	"Woche Bildpost"
"v3_l3"	"4218"	"Woche Kaernten"
"v3_l3"	"4219"	"Salzburger Woche"
"v3_l3"	"4220"	"Rundschau - Oberlaender Wochenzeitung"
"v3_l3"	"4230"	"NOEN Niederoesterreichische Nachrichten"
"v3_l3"	"4240"	"derGrazer"
"v3_l3"	"4250"	"BVZ - Burgenlaendische Volkszeitung"
"v3_l3"	"5101"	"orf.at"
"v3_l3"	"5102"	"derstandard.at"
"v3_l3"	"5103"	"diepresse.com"
"v3_l3"	"5104"	"salzburg.com"
"v3_l3"	"5105"	"krone.at"
"v3_l3"	"5106"	"oe24.at"
"v3_l3"	"5107"	"heute.at"
"v3_l3"	"5108"	"kurier.at"
"v3_l3"	"5109"	"kleinezeitung.at"
"v3_l3"	"5110"	"nachrichten.at"
"v3_l3"	"5111"	"tt.com"
"v3_l3"	"5112"	"vol.at"
"v3_l3"	"5113"	"vienna.at"
"v3_l3"	"5114"	"news.at"
"v3_l3"	"5115"	"noen.at"
"v3_l3"	"5201"	"news.google.at"
"v3_l3"	"5202"	"gmx.at"
"v4a"	"Variable Label"	"Datum"
"v4b"	"Variable Label"	"Zeit"
"v5"	"Variable Label"	"Seite"
"v6a"	"Variable Label"	"Tendenz: SPOE"
"v6a"	"-2"	"eindeutig negativ"
"v6a"	"-1"	"eher negativ"
"v6a"	"0"	"ambivalent/sowohl positiv als auch negativ"
"v6a"	"1"	"eher positiv"
"v6a"	"2"	"eindeutig positiv"
"v6a"	"77"	"neutral/keine Tendenz"
"v6a"	"99"	"Akteur kommt nicht vor"
"v6a_occurrence"	"Variable Label"	"Vorkommen: SPOE"
"v6a_occurrence"	"0"	"kommt nicht vor"
"v6a_occurrence"	"1"	"kommt vor"
"v6a_tone"	"Variable Label"	"Nur Tendenz: SPOE"
"v6a_tone"	"-2"	"eindeutig negativ"
"v6a_tone"	"-1"	"eher negativ"
"v6a_tone"	"0"	"ambivalent/sowohl positiv als auch negativ"
"v6a_tone"	"1"	"eher positiv"
"v6a_tone"	"2"	"eindeutig positiv"
"v6b"	"Variable Label"	"Tendenz: Werner Faymann"
"v6b"	"-2"	"eindeutig negativ"
"v6b"	"-1"	"eher negativ"
"v6b"	"0"	"ambivalent/sowohl positiv als auch negativ"
"v6b"	"1"	"eher positiv"
"v6b"	"2"	"eindeutig positiv"
"v6b"	"77"	"neutral/keine Tendenz"
"v6b"	"99"	"Akteur kommt nicht vor"
"v6b_occurrence"	"Variable Label"	"Vorkommen: Werner Faymann"
