variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v0"	"Variable Label"	"Article ID"
"v1"	"Variable Label"	"Headline"
"v10"	"Variable Label"	"Mobilization"
"v10"	"0"	"no, no elements of mobilization"
"v10"	"1"	"yes, at least one element of mobilization"
"v10"	"2"	"yes, elements of mobilization dominate the coverage"
"v11"	"Variable Label"	"Human interest"
"v11"	"0"	"no, no elements of human interest"
"v11"	"1"	"yes, at least one element of human interest"
"v11"	"2"	"yes, elements of human interest dominate the coverage"
"v12"	"Variable Label"	"Policy relevant information"
"v12"	"0"	"no further policy information (apart from perhaps mentioning the topic)"
"v12"	"1"	"policy information receives marginal attention or are only superficially covered"
"v12"	"2"	"policy information given, issue covered in several sentences"
"v12"	"3"	"policy information dominates the coverage"
"v13"	"Variable Label"	"Perspectives"
"v13"	"0"	"no, not more than one perspective"
"v13"	"1"	"yes, more than one perspective"
"v14"	"Variable Label"	"Arguments"
"v14"	"0"	"no, not more than one argument"
"v14"	"1"	"yes, more than one argument"
"v15"	"Variable Label"	"Sources with quote"
"v2"	"Variable Label"	"Byline"
"v3_l1"	"Variable Label"	"Media outlet (level 1)"
"v3_l1"	"1000"	"TV"
"v3_l1"	"2000"	"Radio"
"v3_l1"	"3000"	"Daily newspapers"
"v3_l1"	"4000"	"Weekly newspapers"
"v3_l1"	"5000"	"Websites"
"v3_l2"	"Variable Label"	"Media outlet (level 2)"
"v3_l2"	"1100"	"TV (public service)"
"v3_l2"	"1200"	"TV (commercial broadcasting)"
"v3_l2"	"2100"	"Radio (public service)"
"v3_l2"	"3100"	"Quality newspapers"
"v3_l2"	"3200"	"Tabloids"
"v3_l2"	"3300"	"Midrange newspapers"
"v3_l2"	"3400"	"Regional newspapers"
"v3_l2"	"4100"	"Magazines"
"v3_l2"	"4200"	"Regional press (weekly)"
"v3_l2"	"5100"	"Websites (media)"
"v3_l2"	"5200"	"Websites (in general)"
"v3_l3"	"Variable Label"	"Media outlet (level 3)"
"v3_l3"	"1101"	"ZiB"
"v3_l3"	"1102"	"ZiB2"
"v3_l3"	"1103"	"ZiB20"
"v3_l3"	"1104"	"ZiB24"
"v3_l3"	"1105"	"ZiB Magazin"
"v3_l3"	"1201"	"ATV Aktuell"
"v3_l3"	"1202"	"Guten Abend OEsterreich"
"v3_l3"	"1203"	"Sat.1 Austria News"
"v3_l3"	"1204"	"Pro7 Austria News"
"v3_l3"	"2101"	"OE1 Mittagsjournal"
"v3_l3"	"3101"	"Der Standard"
"v3_l3"	"3102"	"Die Presse + Die Presse am Sonntag"
"v3_l3"	"3103"	"Salzburger Nachrichten"
"v3_l3"	"3104"	"Wirtschaftsblatt"
"v3_l3"	"3201"	"Kronen Zeitung"
"v3_l3"	"3202"	"Oesterreich"
"v3_l3"	"3203"	"Heute"
"v3_l3"	"3301"	"Kurier"
"v3_l3"	"3401"	"Kleine Zeitung"
"v3_l3"	"3402"	"OOE Nachrichten"
"v3_l3"	"3403"	"Tiroler Tageszeitung"
"v3_l3"	"3404"	"VN Vorarlberger Nachrichten"
"v3_l3"	"3405"	"Wiener Zeitung"
"v3_l3"	"3406"	"Kaerntner Tageszeitung"
"v3_l3"	"3407"	"Neue Vorarlberger Tageszeitung"
"v3_l3"	"3408"	"Neues Volksblatt"
"v3_l3"	"3409"	"TT Kompakt"
"v3_l3"	"3410"	"SV Salzburger Volkszeitung"
"v3_l3"	"4101"	"News"
"v3_l3"	"4102"	"Format"
"v3_l3"	"4103"	"Falter"
"v3_l3"	"4104"	"Profil"
"v3_l3"	"4105"	"Die ganze WOCHE"
"v3_l3"	"4211"	"Woche Graz"
"v3_l3"	"4212"	"Woche Obersteiermark"
"v3_l3"	"4213"	"Woche HBZ"
"v3_l3"	"4214"	"Woche Weiz"
"v3_l3"	"4215"	"Woche Suedweststeiermark"
"v3_l3"	"4216"	"Woche Murtaler Zeitung"
"v3_l3"	"4217"	"Woche Bildpost"
"v3_l3"	"4218"	"Woche Kaernten"
"v3_l3"	"4219"	"Salzburger Woche"
"v3_l3"	"4220"	"Rundschau - Oberlaender Wochenzeitung"
"v3_l3"	"4230"	"NOEN Niederoesterreichische Nachrichten"
"v3_l3"	"4240"	"derGrazer"
"v3_l3"	"4250"	"BVZ - Burgenlaendische Volkszeitung"
"v3_l3"	"5101"	"orf.at"
"v3_l3"	"5102"	"derstandard.at"
"v3_l3"	"5103"	"diepresse.com"
"v3_l3"	"5104"	"salzburg.com"
"v3_l3"	"5105"	"krone.at"
"v3_l3"	"5106"	"oe24.at"
"v3_l3"	"5107"	"heute.at"
"v3_l3"	"5108"	"kurier.at"
"v3_l3"	"5109"	"kleinezeitung.at"
"v3_l3"	"5110"	"nachrichten.at"
"v3_l3"	"5111"	"tt.com"
"v3_l3"	"5112"	"vol.at"
"v3_l3"	"5113"	"vienna.at"
"v3_l3"	"5114"	"news.at"
"v3_l3"	"5115"	"noen.at"
"v3_l3"	"5201"	"news.google.at"
"v3_l3"	"5202"	"gmx.at"
"v4a"	"Variable Label"	"Date"
"v4b"	"Variable Label"	"Time"
"v5"	"Variable Label"	"Page"
"v6a"	"Variable Label"	"Tone: SPOE"
"v6a"	"-2"	"negative"
"v6a"	"-1"	"rather negative"
"v6a"	"0"	"both positive and negative"
"v6a"	"1"	"rather positive"
"v6a"	"2"	"positive"
"v6a"	"77"	"neutral/no evaluation"
"v6a"	"99"	"not mentioned"
"v6a_occurrence"	"Variable Label"	"Occurrence: SPOE"
"v6a_occurrence"	"0"	"not mentioned"
"v6a_occurrence"	"1"	"mentioned"
"v6a_tone"	"Variable Label"	"Tone only: SPOE"
"v6a_tone"	"-2"	"negative"
"v6a_tone"	"-1"	"rather negative"
"v6a_tone"	"0"	"both positive and negative"
"v6a_tone"	"1"	"rather positive"
"v6a_tone"	"2"	"positive"
"v6b"	"Variable Label"	"Tone: Werner Faymann"
"v6b"	"-2"	"negative"
"v6b"	"-1"	"rather negative"
"v6b"	"0"	"both positive and negative"
"v6b"	"1"	"rather positive"
"v6b"	"2"	"positive"
"v6b"	"77"	"neutral/no evaluation"
"v6b"	"99"	"not mentioned"
"v6b_occurrence"	"Variable Label"	"Occurrence: Werner Faymann"
"v6b_occurrence"	"0"	"not mentioned"
"v6b_occurrence"	"1"	"mentioned"
"v6b_tone"	"Variable Label"	"Tone only: Werner Faymann"
"v6b_tone"	"-2"	"negative"
"v6b_tone"	"-1"	"rather negative"
"v6b_tone"	"0"	"both positive and negative"
