variable	value	Label
"a"	"Variable Label"	"Ihr Geschlecht?"
"a"	"1"	"männlich"
"a"	"2"	"weiblich"
"alter"	"Variable Label"	"Alter, 10-Jahresschritte"
"alter"	"1"	"14 bis 19 Jahre"
"alter"	"2"	"20 bis 29 Jahre"
"alter"	"3"	"30 bis 39 Jahre"
"alter"	"4"	"40 bis 49 Jahre"
"alter"	"5"	"50 bis 59 Jahre"
"alter"	"6"	"60 bis 69 Jahre"
"alter"	"7"	"70 Jahre und älter"
"alter4"	"Variable Label"	"Alter, 4 Gruppen"
"alter4"	"1"	"14 bis 29 Jahre"
"alter4"	"2"	"30 bis 44 Jahre"
"alter4"	"3"	"45 bis 59 Jahre"
"alter4"	"4"	"60 Jahre und älter"
"bundesland"	"Variable Label"	"Bundesland"
"bundesland"	"1"	"Burgenland"
"bundesland"	"2"	"Kärnten"
"bundesland"	"3"	"Niederösterreich"
"bundesland"	"4"	"Oberösterreich"
"bundesland"	"5"	"Salzburg"
"bundesland"	"6"	"Steiermark"
"bundesland"	"7"	"Tirol"
"bundesland"	"8"	"Vorarlberg"
"bundesland"	"9"	"Wien"
"c"	"Variable Label"	"Ihre höchste abgeschlossene Schulbildung"
"c"	"1"	"Pflichtschule"
"c"	"2"	"Lehre"
"c"	"3"	"berufsbildende mittlere Schule (ohne Matura)"
"c"	"4"	"allgemeine oder berufsbildende höhere Schule (AHS/BHS, mit Matura)"
"c"	"5"	"Universität, Fachhochschule"
"d_rec"	"Variable Label"	"Sind Sie derzeit .?"
"d_rec"	"1"	"Berufstätig (aber kein Lehrling)"
"d_rec"	"2"	"Schüler/in, Student/in, in Ausbildung"
"d_rec"	"3"	"In Pension"
"d_rec"	"4"	"Sonstiges"
"doi"	"Variable Label"	"digital object identifier"
"e"	"Variable Label"	"Beruf: Sind Sie derzeit .?"
"e"	"1"	"ArbeiterIn"
"e"	"2"	"Angestellte/r"
"e"	"3"	"öffentlich Bedienstete/r"
"e"	"4"	"selbständig, freiberuflich"
"f"	"Variable Label"	"Arbeiten Sie Voll- oder Teilzeit?"
"f"	"1"	"Vollzeit"
"f"	"2"	"Teilzeit"
"f"	"3"	"keine Angabe"
"gew"	"Variable Label"	"Gewicht roh"
"gewcut"	"Variable Label"	"Gewicht zugeschnitten (windsored)"
"h"	"Variable Label"	"Sind Sie Mitglied einer politischen Partei?"
"h"	"1"	"ja"
"h"	"2"	"nein"
"h"	"3"	"keine Angabe"
"i"	"Variable Label"	"Sind Sie Mitglied einer Organisation, die einer politischen Partei nahesteht?"
"i"	"1"	"ja"
"i"	"2"	"nein"
"i"	"3"	"keine Angabe"
"id"	"Variable Label"	"Identifikationsnummer des Interviews"
"j"	"Variable Label"	"Sind Sie Mitglied der Gewerkschaft?"
"j"	"1"	"ja"
"j"	"2"	"nein"
"j"	"3"	"keine Angabe"
"k"	"Variable Label"	"Sind Sie in Ihrer Freizeit in irgendeinem Verein aktiv, z.B. einem Sport-, Musik oder Kulturverein? Gemeint sind hier nur Vereine, die sich nicht speziell mit Politik beschäftigen."
"k"	"1"	"ja"
"k"	"2"	"nein"
"k"	"3"	"keine Angabe"
"l_rec"	"Variable Label"	"Welcher Glaubensgemeinschaft gehören Sie an?"
"l_rec"	"1"	"römisch-katholisch"
"l_rec"	"2"	"evangelisch"
"l_rec"	"3"	"islamisch"
"l_rec"	"4"	"anderer"
"l_rec"	"5"	"keiner, ohne Bekenntnis"
"l_rec"	"6"	"keine Angabe"
"m"	"Variable Label"	"Wie häufig gehen Sie in ein Gebetshaus Ihrer Religion?"
"m"	"1"	"praktisch nie"
"m"	"2"	"einmal im Jahr oder seltener"
"m"	"3"	"ein paar Mal im Jahr"
"m"	"4"	"zumindest einmal pro Monat"
"m"	"5"	"zumindest einmal pro Woche"
"m"	"6"	"häufiger"
"m"	"7"	"keine Angabe"
"n"	"Variable Label"	"Sind Sie in Österreich geboren?"
"n"	"1"	"ja"
"n"	"2"	"nein"
"n"	"3"	"keine Angabe"
"p"	"Variable Label"	"Ist Ihre Mutter in Österreich geboren?"
"p"	"1"	"ja"
"p"	"2"	"nein"
"p"	"3"	"keine Angabe"
"q"	"Variable Label"	"Ist Ihr Vater in Österreich geboren?"
"q"	"1"	"ja"
"q"	"2"	"nein"
"q"	"3"	"keine Angabe"
"q1"	"Variable Label"	"Wie hat sich Österreich in den vergangenen zwölf Monaten entwickelt?"
"q1"	"1"	"eher positiv"
"q1"	"2"	"eher negativ"
"q1"	"3"	"es hat sich nichts verändert"
"q1"	"4"	"keine Angabe"
"q10"	"Variable Label"	"Und funktioniert die Demokratie in Ihrem Bundesland aus Ihrer Sicht alles in allem...?"
"q10"	"1"	"sehr gut"
"q10"	"2"	"eher gut"
"q10"	"3"	"eher schlecht"
"q10"	"4"	"sehr schlecht"
"q10"	"5"	"keine Angabe"
"q11_1"	"Variable Label"	"Die Demokratie mag Probleme mit sich bringen, ist aber besser als jede andere Regierungsform."
"q11_1"	"1"	"stimme sehr zu"
"q11_1"	"2"	"stimme eher zu"
"q11_1"	"3"	"stimme eher nicht zu"
"q11_1"	"4"	"stimme gar nicht zu"
"q11_1"	"5"	"keine Angabe"
"q11_2"	"Variable Label"	"Die Demokratie in Österreich ist gefestigt und kann auch Krisen gut überstehen."
"q11_2"	"1"	"stimme sehr zu"
"q11_2"	"2"	"stimme eher zu"
"q11_2"	"3"	"stimme eher nicht zu"
"q11_2"	"4"	"stimme gar nicht zu"
"q11_2"	"5"	"keine Angabe"
"q12"	"Variable Label"	"In den vergangenen Monaten hat in Österreich eine Übergangsregierung unter Kanzlerin Bierlein regiert. Wenn Sie einmal an diese Übergangsregierung denken, welcher der folgenden Aussage stimmen Sie eher zu?"
"q12"	"1"	"Es ist gut, dass wieder gewählt wurde (...)."
"q12"	"2"	"Das Vorziehen der Wahl war eigentlich überflüssig (...)."
"q12"	"3"	"keine Angabe"
"q13"	"Variable Label"	"Waren Sie bei der Nationalratswahl 2019 wahlberechtigt?"
"q13"	"1"	"ja"
"q13"	"2"	"nein"
"q13"	"3"	"keine Angabe"
"q14"	"Variable Label"	"Welcher Partei haben Sie da Ihre Stimme gegeben?"
"q14"	"1"	"ÖVP"
"q14"	"2"	"SPÖ"
"q14"	"3"	"FPÖ"
"q14"	"4"	"NEOS"
"q14"	"5"	"Jetzt/Liste Pilz"
"q14"	"6"	"Grüne"
"q14"	"7"	"andere Partei"
"q14"	"8"	"ungültig gewählt"
"q14"	"9"	"war nicht wählen"
"q14"	"10"	"keine Angabe"
"q15"	"Variable Label"	"In der Politik spricht man häufig von links und rechts. Wo würden Sie die Partei, die Sie bei der Nationalratswahl 2019 gewählt haben, zum Zeitpunkt der Wahl einordnen? 0 bedeutet sehr weit links, 10 bedeutet sehr weit rechts."
"q15"	"1"	"0 = sehr weit links"
"q15"	"2"	"1"
"q15"	"3"	"2"
"q15"	"4"	"3"
"q15"	"5"	"4"
"q15"	"6"	"5"
"q15"	"7"	"6"
"q15"	"8"	"7"
"q15"	"9"	"8"
"q15"	"10"	"9"
"q15"	"11"	"10 = sehr weit rechts"
"q15"	"12"	"keine Angabe"
"q16"	"Variable Label"	"Bleiben wir bei der Partei, die Sie bei der Nationalratswahl gewählt haben, sprechen wir allerdings über diese Partei in Ihrem Bundesland. Wie würden Sie die entsprechende Landespartei zwischen links und rechts einordnen?"
"q16"	"1"	"0 = sehr weit links"
"q16"	"2"	"1"
"q16"	"3"	"2"
"q16"	"4"	"3"
"q16"	"5"	"4"
"q16"	"6"	"5"
"q16"	"7"	"6"
"q16"	"8"	"7"
"q16"	"9"	"8"
"q16"	"10"	"9"
"q16"	"11"	"10 = sehr weit rechts"
"q16"	"12"	"keine Angabe"
"q17"	"Variable Label"	"Bleiben wir noch kurz bei Ihrem Bundesland: Wenn am kommenden Sonntag Landtagswahlen wären, welcher Partei würden Sie Ihre Stimme geben?"
"q17"	"1"	"ÖVP"
"q17"	"2"	"SPÖ"
"q17"	"3"	"FPÖ"
"q17"	"4"	"NEOS"
"q17"	"5"	"Liste Pilz/Jetzt"
"q17"	"6"	"Grüne"
"q17"	"7"	"KPÖ"
"q17"	"8"	"Liste Fritz"
"q17"	"9"	"LBL/Liste Burgenland"
"q17"	"10"	"Team Kärnten/Köfer"
"q17"	"11"	"andere"
"q17"	"12"	"keine"
"q17"	"13"	"würde nicht wählen gehen"
"q17"	"14"	"würde ungültig wählen"
"q17"	"15"	"das weiß ich derzeit nicht"
"q18"	"Variable Label"	"Welche Partei käme noch am ehesten für Sie in Frage?"
"q18"	"1"	"ÖVP"
"q18"	"2"	"SPÖ"
"q18"	"3"	"FPÖ"
"q18"	"4"	"NEOS"
"q18"	"5"	"Liste Pilz/Jetzt"
"q18"	"6"	"Grüne"
"q18"	"7"	"KPÖ"
"q18"	"8"	"Liste Fritz"
"q18"	"9"	"LBL/Liste Burgenland"
"q18"	"10"	"Team Kärnten/Köfer"
"q18"	"11"	"andere"
"q18"	"12"	"keine"
"q18"	"13"	"würde nicht wählen gehen"
"q2"	"Variable Label"	"Wie hat sich Ihr Bundesland in den vergangenen zwölf Monaten entwickelt?"
"q2"	"1"	"eher positiv"
"q2"	"2"	"eher negativ"
"q2"	"3"	"es hat sich nichts verändert"
"q2"	"4"	"keine Angabe"
"q20_1"	"Variable Label"	"Was würden Sie sagen, fühlen Sie sich in erster Linie als BürgerIn Ihrer Gemeinde, Ihres Bundeslandes, von Österreich oder von der EU? - BürgerIn meiner Gemeinde bzw. Stadt"
"q20_1"	"1"	"nein/nicht ausgewählt"
"q20_1"	"2"	"ja/ausgewählt"
"q20_2"	"Variable Label"	"Was würden Sie sagen, fühlen Sie sich in erster Linie als BürgerIn Ihrer Gemeinde, Ihres Bundeslandes, von Österreich oder von der EU? - BürgerIn meines Bundeslandes"
"q20_2"	"1"	"nein/nicht ausgewählt"
"q20_2"	"2"	"ja/ausgewählt"
