variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"filter_$"	"Variable Label"	"spökeine = 1 (FILTER)"
"filter_$"	"Variable Label"	"Nicht ausgewählt"
"filter_$"	"1"	"Ausgewählt"
"fpöw"	"Variable Label"	"<keine>"
"galw"	"Variable Label"	"<keine>"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"keinew"	"Variable Label"	"<keine>"
"kpöw"	"Variable Label"	"<keine>"
"lifw"	"Variable Label"	"<keine>"
"övpw"	"Variable Label"	"<keine>"
"spöfpö"	"Variable Label"	"<keine>"
"spögal"	"Variable Label"	"<keine>"
"spökeine"	"Variable Label"	"<keine>"
"spökpö"	"Variable Label"	"<keine>"
"spölif"	"Variable Label"	"<keine>"
"spöövp"	"Variable Label"	"<keine>"
"spöw"	"Variable Label"	"<keine>"
"v10"	"Variable Label"	"Ist diese Methode sicher?"
"v10"	"1"	"ja"
"v10"	"2"	"nein"
"v10"	"3"	"W.N./K.A."
"v11"	"Variable Label"	"Geschlecht"
"v11"	"1"	"männlich"
"v11"	"2"	"weiblich"
"v12"	"Variable Label"	"Beruf"
"v12"	"1"	"Hilfsarbeiter"
"v12"	"2"	"Facharbeiter"
"v12"	"3"	"leit. Angestellter od. leit. Beamter"
"v12"	"4"	"Angestellter"
"v12"	"5"	"Beamter"
"v12"	"6"	"Rentner od. Pensionist"
"v12"	"7"	"Hausfrau"
"v12"	"8"	"Selbständiger"
"v12"	"9"	"Landwirt"
"v12"	"10"	"Andere"
"v13"	"Variable Label"	"Bundesland"
"v13"	"1"	"Wien"
"v13"	"2"	"Burgenland"
"v13"	"3"	"Niederösterreich"
"v13"	"4"	"Oberösterreich"
"v13"	"5"	"Salzburg"
"v13"	"6"	"Tirol"
"v13"	"7"	"Vorarlberg"
"v13"	"8"	"Steiermark"
"v13"	"9"	"Kärnten"
"v14"	"Variable Label"	"Alter"
"v14"	"1"	"unter 20 Jahren"
"v14"	"2"	"20-25 Jahre"
"v14"	"3"	"26-35 Jahre"
"v14"	"4"	"36-50 Jahre"
"v14"	"5"	"51-65 Jahre"
"v14"	"6"	"über 65 Jahre"
"v15"	"Variable Label"	"Schulbildung"
"v15"	"1"	"Volksschule"
"v15"	"2"	"Hauptschule"
