variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"27.9.-29.8.1990"
"datum"	"2"	"30.8.- 2.9.1990"
"datum"	"3"	"3.9.- 5.9.1990"
"datum"	"4"	"6.9.- 9.9.1990"
"datum"	"5"	"10.9.-12.9.1990"
"datum"	"6"	"13.9.-15.9.1990"
"datum"	"7"	"Keine Angabe"
"doi"	"Variable Label"	"digital object identifier"
"v01a0"	"Variable Label"	"Weiß nicht"
"v01a0"	"Variable Label"	"Nicht genannt"
"v01a0"	"1"	"Genannt"
"v01a1"	"Variable Label"	"Niemand"
"v01a1"	"Variable Label"	"Nicht genannt"
"v01a1"	"1"	"Genannt"
"v01a2"	"Variable Label"	"Andere"
"v01a2"	"Variable Label"	"Nicht genannt"
"v01a2"	"1"	"Genannt"
"v01a3"	"Variable Label"	"Androsch"
"v01a3"	"Variable Label"	"Nicht genannt"
"v01a3"	"1"	"Genannt"
"v01a4"	"Variable Label"	"Benya"
"v01a4"	"Variable Label"	"Nicht genannt"
"v01a4"	"1"	"Genannt"
"v01a5"	"Variable Label"	"Busek"
"v01a5"	"Variable Label"	"Nicht genannt"
"v01a5"	"1"	"Genannt"
"v01a6"	"Variable Label"	"Cap"
"v01a6"	"Variable Label"	"Nicht genannt"
"v01a6"	"1"	"Genannt"
"v01a7"	"Variable Label"	"Dohnal"
"v01a7"	"Variable Label"	"Nicht genannt"
"v01a7"	"1"	"Genannt"
"v01a8"	"Variable Label"	"Ettl"
"v01a8"	"Variable Label"	"Nicht genannt"
"v01a8"	"1"	"Genannt"
"v01a9"	"Variable Label"	"Fischer"
"v01a9"	"Variable Label"	"Nicht genannt"
"v01a9"	"1"	"Genannt"
"v01ami"	"Variable Label"	"Fischler"
"v01ami"	"Variable Label"	"Nicht genannt"
"v01ami"	"1"	"Genannt"
"v01apl"	"Variable Label"	"Flemming"
"v01apl"	"Variable Label"	"Nicht genannt"
"v01apl"	"1"	"Genannt"
"v01b0"	"Variable Label"	"Foregger"
"v01b0"	"Variable Label"	"Nicht genannt"
"v01b0"	"1"	"Genannt"
"v01b1"	"Variable Label"	"Geppert"
"v01b1"	"Variable Label"	"Nicht genannt"
"v01b1"	"1"	"Genannt"
"v01b2"	"Variable Label"	"Graff"
"v01b2"	"Variable Label"	"Nicht genannt"
"v01b2"	"1"	"Genannt"
"v01b3"	"Variable Label"	"Grossmann"
"v01b3"	"Variable Label"	"Nicht genannt"
"v01b3"	"1"	"Genannt"
"v01b4"	"Variable Label"	"Guggerbauer"
"v01b4"	"Variable Label"	"Nicht genannt"
"v01b4"	"1"	"Genannt"
"v01b5"	"Variable Label"	"Haider"
"v01b5"	"Variable Label"	"Nicht genannt"
"v01b5"	"1"	"Genannt"
"v01b6"	"Variable Label"	"Hawlicek"
"v01b6"	"Variable Label"	"Nicht genannt"
"v01b6"	"1"	"Genannt"
"v01b7"	"Variable Label"	"Kirchschläger"
"v01b7"	"Variable Label"	"Nicht genannt"
