variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v10"	"Variable Label"	"Anzahl der in den letzten 3 Monaten gelesenen Bücher"
"v10"	"1"	"Keines"
"v10"	"2"	"1 bis 2"
"v10"	"3"	"3 bis 5"
"v10"	"4"	"mehr als 5"
"v10"	"9"	"K.A."
"v11"	"Variable Label"	"Aktuelle Weiterbildung"
"v11"	"1"	"Ja"
"v11"	"2"	"Nein"
"v11"	"9"	"K.A."
"v12a"	"Variable Label"	"Offen reden mit..."
"v12a"	"1"	"niemandem"
"v12a"	"2"	"1 Person"
"v12a"	"3"	"2-5 Personen"
"v12a"	"4"	"6-9 Personen"
"v12a"	"5"	"10-20 Personen"
"v12a"	"6"	"mehr als 20 Personen"
"v12a"	"9"	"K.A."
"v12b"	"Variable Label"	"Hilfe bekommen von..."
"v12b"	"1"	"niemandem"
"v12b"	"2"	"1 Person"
"v12b"	"3"	"2-5 Personen"
"v12b"	"4"	"6-9 Personen"
"v12b"	"5"	"10-20 Personen"
"v12b"	"6"	"mehr als 20 Personen"
"v12b"	"9"	"K.A."
"v13a"	"Variable Label"	"In Österreich"
"v13a"	"1"	"sehr stark"
"v13a"	"2"	"eher stark"
"v13a"	"3"	"eher schwach"
"v13a"	"4"	"gar nicht"
"v13a"	"9"	"K.A."
"v13b"	"Variable Label"	"In der EU"
"v13b"	"1"	"sehr stark"
"v13b"	"2"	"eher stark"
"v13b"	"3"	"eher schwach"
"v13b"	"4"	"gar nicht"
"v13b"	"9"	"K.A."
"v13c"	"Variable Label"	"Global"
"v13c"	"1"	"sehr stark"
"v13c"	"2"	"eher stark"
"v13c"	"3"	"eher schwach"
"v13c"	"4"	"gar nicht"
"v13c"	"9"	"K.A."
"v14"	"Variable Label"	"Geschlecht"
"v14"	"1"	"männlich"
"v14"	"2"	"weiblich"
"v14"	"9"	"K.A."
"v15"	"Variable Label"	"Alter"
"v15"	"1"	"bis 30 Jahre"
"v15"	"2"	"31-40 Jahre"
"v15"	"3"	"41-60 Jahre"
"v15"	"4"	"über 60 Jahre"
"v15"	"9"	"K.A."
"v16"	"Variable Label"	"Schulbildung"
"v16"	"1"	"Matura"
"v16"	"2"	"ohne Matura"
"v16"	"9"	"K.A."
"v17"	"Variable Label"	"Lebensform"
"v17"	"1"	"allein, Single"
"v17"	"2"	"Alleinerziehend"
"v17"	"3"	"mit Partner/in allein"
"v17"	"4"	"mit Partner/in und Kind(ern)"
"v17"	"5"	"Mehrpersonenhaushalt"
"v17"	"6"	"Wohngemeinschaft"
"v17"	"9"	"K.A."
"v18"	"Variable Label"	"Tätigkeit"
"v18"	"1"	"Vollzeit erwerbstätig"
"v18"	"2"	"Teilzeit erwerbstätig"
"v18"	"3"	"Haushalt"
"v18"	"4"	"vorwiegend in Ausbildung"
"v18"	"5"	"Arbeitslos"
"v18"	"6"	"Pension"
"v18"	"9"	"K.A."
"v19"	"Variable Label"	"Aktuelle Parteipräferenz"
"v19"	"1"	"SPÖ"
"v19"	"2"	"FPÖ"
"v19"	"3"	"ÖVP"
"v19"	"4"	"Grüne"
"v19"	"5"	"LIF"
"v19"	"6"	"KPÖ"
"v19"	"7"	"Keine"
"v19"	"8"	"K.A."
"v1a"	"Variable Label"	"Umweltschutz"
"v1a"	"1"	"zufrieden"
"v1a"	"2"	"weniger zufrieden"
"v1a"	"3"	"gar nicht zufrieden"
"v1a"	"9"	"K.A."
"v1b"	"Variable Label"	"Gentechnik"
"v1b"	"1"	"zufrieden"
"v1b"	"2"	"weniger zufrieden"
"v1b"	"3"	"gar nicht zufrieden"
"v1b"	"9"	"K.A."
"v1c"	"Variable Label"	"Tierschutz"
"v1c"	"1"	"zufrieden"
"v1c"	"2"	"weniger zufrieden"
"v1c"	"3"	"gar nicht zufrieden"
"v1c"	"9"	"K.A."
