variable	value	label
"version"	"Variable Label"	"AUSSDA archive version"
"doi"	"Variable Label"	"digital object identifier"
"RespondentID"	"Variable Label"	"Respondent ID"
"Submitted"	"Variable Label"	"Submitted"
"Submitted"	"1"	"true"
"Submitted"	"2"	"false"
"Language"	"Variable Label"	"Sprache"
"Language"	"1"	"de"
"Language"	"2"	"en"
"Language"	"3"	"sr"
"Language"	"4"	"hu"
"Language"	"5"	"tr"
"Language"	"6"	"en / de"
"Latitude_qu3"	"Variable Label"	"Wo im 15. Bezirk sind Maßnahmen zur Abkühlung notwendig?"
"Longitude_qu3"	"Variable Label"	"Wo im 15. Bezirk sind Maßnahmen zur Abkühlung notwendig?"
"WKT_qu3"	"Variable Label"	"Wo im 15. Bezirk sind Maßnahmen zur Abkühlung notwendig?"
"GeoJSON_qu3"	"Variable Label"	"Wo im 15. Bezirk sind Maßnahmen zur Abkühlung notwendig?"
