variable	value	Label
A001	Variable Label	Important in life: Family
A001	-5	Missing; Unknown
A001	-4	Not asked in survey
A001	-3	Not applicable
A001	-2	No answer
A001	-1	Don´t know
A001	1	Very important
A001	2	Quite important
A001	3	Not important
A001	4	Not at all important
A002	Variable Label	Important in life: Friends
A002	-5	Missing; Unknown
A002	-4	Not asked in survey
A002	-3	Not applicable
A002	-2	No answer
A002	-1	Don´t know
A002	1	Very important
A002	2	Quite important
A002	3	Not important
A002	4	Not at all important
A003	Variable Label	Important in life: Leisure time
A003	-5	Missing; Unknown
A003	-4	Not asked in survey
A003	-3	Not applicable
A003	-2	No answer
A003	-1	Don´t know
A003	1	Very important
A003	2	Quite important
A003	3	Not important
A003	4	Not at all important
A004	Variable Label	Important in life: Politics
A004	-5	Missing; Unknown
A004	-4	Not asked in survey
A004	-3	Not applicable
A004	-2	No answer
A004	-1	Don´t know
A004	1	Very important
A004	2	Quite important
A004	3	Not important
A004	4	Not at all important
A005	Variable Label	Important in life: Work
A005	-5	Missing; Unknown
A005	-4	Not asked in survey
A005	-3	Not applicable
A005	-2	No answer
A005	-1	Don´t know
A005	1	Very important
A005	2	Quite important
A005	3	Not important
A005	4	Not at all important
A006	Variable Label	Important in life: Religion
A006	-5	Missing; Unknown
A006	-4	Not asked in survey
A006	-3	Not applicable
A006	-2	No answer
A006	-1	Don´t know
A006	1	Very important
A006	2	Quite important
A006	3	Not important
A006	4	Not at all important
A008	Variable Label	Feeling of happiness
A008	-5	Missing; Unknown
A008	-4	Not asked in survey
A008	-3	Not applicable
A008	-2	No answer
A008	-1	Don´t know
A008	1	Very happy
A008	2	Quite happy
A008	3	Not very happy
A008	4	Not at all happy
A009	Variable Label	State of health (subjective)
A009	-5	Missing; Unknown
A009	-4	Not asked in survey
A009	-3	Not applicable
A009	-2	No answer
A009	-1	Don´t know
A009	1	Very good
A009	2	Good
A009	3	Fair
A009	4	Poor
A009	5	Very poor
A010	Variable Label	Ever felt very excited or interested
A010	-5	Missing; Unknown
A010	-4	Not asked in survey
A010	-3	Not applicable
A010	-2	No answer
A010	-1	Don´t know
A010	0	No
A010	1	Yes
A011	Variable Label	Ever felt restless
A011	-5	Missing; Unknown
A011	-4	Not asked in survey
A011	-3	Not applicable
A011	-2	No answer
A011	-1	Don´t know
A011	0	No
A011	1	Yes
A012	Variable Label	Ever felt proud because someone complimented you
A012	-5	Missing; Unknown
A012	-4	Not asked in survey
A012	-3	Not applicable
A012	-2	No answer
A012	-1	Don´t know
A012	0	No
A012	1	Yes
A013	Variable Label	Ever felt very lonely or remote from other people
A013	-5	Missing; Unknown
A013	-4	Not asked in survey
A013	-3	Not applicable
A013	-2	No answer
A013	-1	Don´t know
A013	0	No
A013	1	Yes
A014	Variable Label	Ever felt pleased about having accomplished something
A014	-5	Missing; Unknown
A014	-4	Not asked in survey
A014	-3	Not applicable
A014	-2	No answer
A014	-1	Don´t know
A014	0	No
A014	1	Yes
A015	Variable Label	Ever felt bored
A015	-5	Missing; Unknown
A015	-4	Not asked in survey
A015	-3	Not applicable
A015	-2	No answer
A015	-1	Don´t know
A015	0	No
A015	1	Yes
A016	Variable Label	Ever felt on top of the world
A016	-5	Missing; Unknown
A016	-4	Not asked in survey
A016	-3	Not applicable
A016	-2	No answer
A016	-1	Don´t know
A016	0	No
A016	1	Yes
A017	Variable Label	Ever felt depressed or very unhappy
A017	-5	Missing; Unknown
A017	-4	Not asked in survey
A017	-3	Not applicable
A017	-2	No answer
A017	-1	Don´t know
A017	0	No
A017	1	Yes
A018	Variable Label	Ever felt that things were going your way
A018	-5	Missing; Unknown
A018	-4	Not asked in survey
A018	-3	Not applicable
A018	-2	No answer
A018	-1	Don´t know
A018	0	No
A018	1	Yes
A019	Variable Label	Ever felt upset because somebody criticized you
A019	-5	Missing; Unknown
A019	-4	Not asked in survey
A019	-3	Not applicable
A019	-2	No answer
A019	-1	Don´t know
A019	0	No
A019	1	Yes
A025	Variable Label	Respect and love for parents
A025	-5	Missing; Unknown
A025	-4	Not asked in survey
A025	-3	Not applicable
A025	-2	No answer
A025	-1	Don´t know
A025	1	Always respect
A025	2	Respect if earned
A025	3	Neither
A026	Variable Label	Parents responsibilities to their children
A026	-5	Missing; Unknown
A026	-4	Not asked in survey
A026	-3	Not applicable
A026	-2	No answer
A026	-1	Don´t know
A026	1	Parents' duty is to do their best for their children even at the expense of their own well-being
A026	2	Parents have a life of their own and should not be asked to sacrifice their own well-being for the sake of their childre
A026	3	Neither
A026_01	Variable Label	Children responsibilities to their parents in need at expense of/not sacrifice
A026_01	-5	Missing; Unknown
A026_01	-4	Not asked in survey
A026_01	-3	Not applicable
A026_01	-2	No answer
A026_01	-1	Don´t know
A026_01	1	Duty to provide long-term care
A026_01	2	No sacrifice of well-being
A026_01	3	Neither
A027	Variable Label	Important child qualities: good manners
A027	-5	Missing; Unknown
A027	-4	Not asked in survey
A027	-3	Not applicable
A027	-2	No answer
A027	-1	Don´t know
A027	0	Not mentioned
A027	1	Important
A029	Variable Label	Important child qualities: independence
A029	-5	Missing; Unknown
A029	-4	Not asked in survey
A029	-3	Not applicable
A029	-2	No answer
A029	-1	Don´t know
A029	0	Not mentioned
A029	1	Important
A030	Variable Label	Important child qualities: hard work
A030	-5	Missing; Unknown
A030	-4	Not asked in survey
A030	-3	Not applicable
A030	-2	No answer
A030	-1	Don´t know
A030	0	Not mentioned
A030	1	Important
A032	Variable Label	Important child qualities: feeling of responsibility
A032	-5	Missing; Unknown
A032	-4	Not asked in survey
A032	-3	Not applicable
A032	-2	No answer
A032	-1	Don´t know
A032	0	Not mentioned
A032	1	Important
A034	Variable Label	Important child qualities: imagination
A034	-5	Missing; Unknown
A034	-4	Not asked in survey
A034	-3	Not applicable
A034	-2	No answer
A034	-1	Don´t know
A034	0	Not mentioned
A034	1	Important
A035	Variable Label	Important child qualities: tolerance and respect for other people
A035	-5	Missing; Unknown
A035	-4	Not asked in survey
A035	-3	Not applicable
A035	-2	No answer
A035	-1	Don´t know
A035	0	Not mentioned
A035	1	Important
A038	Variable Label	Important child qualities: thrift saving money and things
A038	-5	Missing; Unknown
A038	-4	Not asked in survey
A038	-3	Not applicable
A038	-2	No answer
A038	-1	Don´t know
A038	0	Not mentioned
A038	1	Important
A039	Variable Label	Important child qualities: determination perseverance
A039	-5	Missing; Unknown
A039	-4	Not asked in survey
A039	-3	Not applicable
A039	-2	No answer
A039	-1	Don´t know
A039	0	Not mentioned
A039	1	Important
A040	Variable Label	Important child qualities: religious faith
A040	-5	Missing; Unknown
A040	-4	Not asked in survey
A040	-3	Not applicable
A040	-2	No answer
A040	-1	Don´t know
A040	0	Not mentioned
A040	1	Important
A041	Variable Label	Important child qualities: unselfishness
A041	-5	Missing; Unknown
A041	-4	Not asked in survey
A041	-3	Not applicable
A041	-2	No answer
A041	-1	Don´t know
A041	0	Not mentioned
A041	1	Important
A042	Variable Label	Important child qualities: obedience
A042	-5	Missing; Unknown
A042	-4	Not asked in survey
A042	-3	Not applicable
A042	-2	No answer
A042	-1	Don´t know
A042	0	Not mentioned
A042	1	Important
A043_01	Variable Label	Important child qualities: none
A043_01	-5	Missing; Unknown
A043_01	-4	Not asked in survey
A043_01	-3	Not applicable
A043_01	-2	No answer
A043_01	-1	Don´t know
A043_01	0	Not mentioned
A043_01	1	Mentioned
A046	Variable Label	Abortion when the mothers health is at risk
A046	-5	Missing; Unknown
A046	-4	Not asked in survey
A046	-3	Not applicable
A046	-2	No answer
A046	-1	Don´t know
A046	0	Disapprove
A046	1	Approve
A047	Variable Label	Abortion when child physically handicapped
A047	-5	Missing; Unknown
A047	-4	Not asked in survey
A047	-3	Not applicable
A047	-2	No answer
A047	-1	Don´t know
A047	0	Disapprove
A047	1	Approve
A048	Variable Label	Abortion when woman not married
A048	-5	Missing; Unknown
A048	-4	Not asked in survey
A048	-3	Not applicable
A048	-2	No answer
A048	-1	Don´t know
A048	0	Disapprove
A048	1	Approve
A049	Variable Label	Abortion if not wanting more children
A049	-5	Missing; Unknown
A049	-4	Not asked in survey
A049	-3	Not applicable
A049	-2	No answer
A049	-1	Don´t know
A049	0	Disapprove
A049	1	Approve
A050_01	Variable Label	Leisure time: meeting nice people
A050_01	-5	Missing; Unknown
A050_01	-4	Not asked in survey
A050_01	-3	Not applicable
A050_01	-2	No answer
A050_01	-1	Don´t know
A050_01	1	Very important
A050_01	2	Quite important
A050_01	3	Not important
A050_01	4	Not important at all
A050_02	Variable Label	Leisure time: relaxing
A050_02	-5	Missing; Unknown
A050_02	-4	Not asked in survey
A050_02	-3	Not applicable
A050_02	-2	No answer
A050_02	-1	Don´t know
A050_02	1	Very important
A050_02	2	Quite important
A050_02	3	Not important
A050_02	4	Not important at all
A050_03	Variable Label	Leisure time: doing as I want
A050_03	-5	Missing; Unknown
A050_03	-4	Not asked in survey
A050_03	-3	Not applicable
A050_03	-2	No answer
A050_03	-1	Don´t know
A050_03	1	Very important
A050_03	2	Quite important
A050_03	3	Not important
A050_03	4	Not important at all
A050_04	Variable Label	Leisure time: learning something new
A050_04	-5	Missing; Unknown
A050_04	-4	Not asked in survey
A050_04	-3	Not applicable
A050_04	-2	No answer
A050_04	-1	Don´t know
A050_04	1	Very important
A050_04	2	Quite important
A050_04	3	Not important
A050_04	4	Not important at all
A058	Variable Label	Spend time with friends
A058	-5	Missing; Unknown
A058	-4	Not asked in survey
A058	-3	Not applicable
A058	-2	No answer
A058	-1	Don´t know
A058	1	Every week
A058	2	Once or twice a month
A058	3	Few times a year
A058	4	Not at all
