variable	value	Label
"acountry"	"Variable Label"	"Country"
"acountry"	"21"	"Austria"
"age"	"Variable Label"	"Age of Respondent"
"asex"	"Variable Label"	"Sex of Respondent"
"asex"	"1"	"1. Male"
"asex"	"2"	"2. Female"
"asex"	"3"	"3. Divers"
"att01"	"Variable Label"	"general Trust"
"att01"	"1"	"1. Most people can be trusted"
"att01"	"2"	"2. Need to be very careful"
"att02"	"Variable Label"	"Planning Scale"
"att02"	"0"	"0 I plan my future as much as possible"
"att02"	"1"	"1"
"att02"	"2"	"2"
"att02"	"3"	"3"
"att02"	"4"	"4"
"att02"	"5"	"5"
"att02"	"6"	"6"
"att02"	"7"	"7"
"att02"	"8"	"8"
"att02"	"9"	"9"
"att02"	"10"	"10 I take each day as it comes"
"att03a"	"Variable Label"	"Values: Marriage Outdated"
"att03a"	"1"	"1. Strongly Disagree"
"att03a"	"2"	"2. Disagree"
"att03a"	"3"	"3. Neither Agree nor Disagree"
"att03a"	"4"	"4. Agree"
"att03a"	"5"	"5. Strongly Agree"
"att03b"	"Variable Label"	"Values: Unmarried Cohabitation"
"att03b"	"1"	"1. Strongly Disagree"
"att03b"	"2"	"2. Disagree"
"att03b"	"3"	"3. Neither Agree nor Disagree"
"att03b"	"4"	"4. Agree"
"att03b"	"5"	"5. Strongly Agree"
"att03d"	"Variable Label"	"Values: Divorce is permissible"
"att03d"	"1"	"1. Strongly Disagree"
"att03d"	"2"	"2. Disagree"
"att03d"	"3"	"3. Neither Agree nor Disagree"
"att03d"	"4"	"4. Agree"
"att03d"	"5"	"5. Strongly Agree"
"att03e"	"Variable Label"	"Values: Women need children to be fulfilled"
"att03e"	"1"	"1. Strongly Disagree"
"att03e"	"2"	"2. Disagree"
"att03e"	"3"	"3. Neither Agree nor Disagree"
"att03e"	"4"	"4. Agree"
"att03e"	"5"	"5. Strongly Agree"
"att03g"	"Variable Label"	"Values: Child needs a father and mother"
"att03g"	"1"	"1. Strongly Disagree"
"att03g"	"2"	"2. Disagree"
"att03g"	"3"	"3. Neither Agree nor Disagree"
"att03g"	"4"	"4. Agree"
"att03g"	"5"	"5. Strongly Agree"
"att03h"	"Variable Label"	"Values: Men need children to be fulfilled"
"att03h"	"1"	"1. Strongly Disagree"
"att03h"	"2"	"2. Disagree"
