variable	value	Label
"alterrec"	"Variable Label"	"Alter"
"alterrec"	"1"	"bis 35 Jahre"
"alterrec"	"2"	"36-50 Jahre"
"alterrec"	"3"	"ab 51 Jahre"
"bildrec"	"Variable Label"	"Bildung"
"bildrec"	"1"	"Pflichtschule ohne weitere Ausbildung"
"bildrec"	"2"	"Pflichtschule mit weiterer Ausbildung"
"bildrec"	"3"	"Mittelschule/abgeschlossene Hochschule"
"bildung2"	"Variable Label"	"Bildung"
"bildung2"	"1"	"Matura, Universität"
"bildung2"	"2"	"Pflichtschule mit weiterer Ausbildung"
"bildung2"	"3"	"Pflichtschule ohne weitere Ausbildung"
"doi"	"Variable Label"	"digital object identifier"
"gesamt"	"Variable Label"	"<keine>"
"gesamt"	"1"	"Gesamt"
"gewicht"	"Variable Label"	"<keine>"
"v1"	"Variable Label"	"Soll Österreich Mitglied der EU bleiben?"
"v1"	"1"	"bei der EU bleiben"
"v1"	"2"	"wieder austreten"
"v1"	"3"	"W.N./K.A."
"v10"	"Variable Label"	"Wären Sie bereit, für Strom aus alternativen Energiequellen mehr zu bezahlen?"
"v10"	"1"	"ja"
"v10"	"2"	"nein"
"v10"	"3"	"W.N./K.A."
"v11"	"Variable Label"	"Wird der technische Fortschritt der Menschheit eher nützen oder eher schaden?"
"v11"	"1"	"sehr nützen"
"v11"	"2"	"eher nützen"
"v11"	"3"	"eher schaden"
"v11"	"4"	"sehr schaden"
"v11"	"5"	"W.N./K.A."
"v12"	"Variable Label"	"Wird die Gentechnik der Menschheit eher nützen oder eher schaden?"
"v12"	"1"	"sehr nützen"
"v12"	"2"	"eher nützen"
"v12"	"3"	"eher schaden"
"v12"	"4"	"sehr schaden"
"v12"	"5"	"W.N./K.A."
"v13"	"Variable Label"	"Haben Sie Bedenken, gentechnisch veränderte Lebensmittel zu konsumieren?"
"v13"	"1"	"ja"
"v13"	"2"	"nein"
"v13"	"3"	"W.N./K.A."
"v14"	"Variable Label"	"Mit welcher Aussage zur Gentechnik stimmen Sie eher überein?"
"v14"	"1"	"Biotechnik (Gentechnik) sollte generell verboten werden"
"v14"	"2"	"Die kontrollierte Anwendung von Biotechnik (Gentechnik) soll"
"v14"	"3"	"W.N./K.A."
"v15"	"Variable Label"	"Gefühle gegenüber Biotechnik (Gentechnik)"
"v15"	"1"	"eher positive"
"v15"	"2"	"widersprüchliche"
"v15"	"3"	"eher negative"
"v15"	"4"	"keine"
"v15"	"5"	"W.N./K.A."
"v16"	"Variable Label"	"Sind Sie über Gentechnik ausreichend informiert?"
"v16"	"1"	"ja"
"v16"	"2"	"eher ja"
"v16"	"3"	"eher nein"
"v16"	"4"	"nein"
"v16"	"5"	"W.N./K.A."
"v17a"	"Variable Label"	"Neue Kronen Zeitung"
"v17a"	"Variable Label"	"nicht genannt"
"v17a"	"1"	"genannt"
"v17b"	"Variable Label"	"Kurier"
"v17b"	"Variable Label"	"nicht genannt"
"v17b"	"1"	"genannt"
"v17c"	"Variable Label"	"Standard"
"v17c"	"Variable Label"	"nicht genannt"
"v17c"	"1"	"genannt"
"v17d"	"Variable Label"	"Kleine Zeitung"
"v17d"	"Variable Label"	"nicht genannt"
"v17d"	"1"	"genannt"
"v17e"	"Variable Label"	"OÖ-Nachrichten"
"v17e"	"Variable Label"	"nicht genannt"
"v17e"	"1"	"genannt"
"v17f"	"Variable Label"	"Salzburger Nachrichten"
"v17f"	"Variable Label"	"nicht genannt"
"v17f"	"1"	"genannt"
"v17g"	"Variable Label"	"Tiroler Tageszeitung"
"v17g"	"Variable Label"	"nicht genannt"
"v17g"	"1"	"genannt"
"v17h"	"Variable Label"	"Vorarlberger Nachrichten"
"v17h"	"Variable Label"	"nicht genannt"
"v17h"	"1"	"genannt"
"v17i"	"Variable Label"	"Fernsehen"
"v17i"	"Variable Label"	"nicht genannt"
"v17i"	"1"	"genannt"
"v17j"	"Variable Label"	"Radio"
"v17j"	"Variable Label"	"nicht genannt"
"v17j"	"1"	"genannt"
"v17k"	"Variable Label"	"Anderes"
"v17k"	"Variable Label"	"nicht genannt"
"v17k"	"1"	"genannt"
"v17l"	"Variable Label"	"W.N./K.A."
"v17l"	"Variable Label"	"nicht genannt"
"v17l"	"1"	"genannt"
"v18a1"	"Variable Label"	"W.N./K.A."
"v18a1"	"Variable Label"	"nicht genannt"
"v18a1"	"1"	"genannt"
"v18a10"	"Variable Label"	"Dr. Ferrero-Waldner"
"v18a10"	"Variable Label"	"nicht genannt"
"v18a10"	"1"	"genannt"
"v18a11"	"Variable Label"	"Dr. Fischer"
"v18a11"	"Variable Label"	"nicht genannt"
"v18a11"	"1"	"genannt"
"v18a12"	"Variable Label"	"Dr. Fischler"
"v18a12"	"Variable Label"	"nicht genannt"
"v18a12"	"1"	"genannt"
"v18a2"	"Variable Label"	"Niemand"
"v18a2"	"Variable Label"	"nicht genannt"
"v18a2"	"1"	"genannt"
"v18a3"	"Variable Label"	"Andere"
"v18a3"	"Variable Label"	"nicht genannt"
"v18a3"	"1"	"genannt"
"v18a4"	"Variable Label"	"Dr. Androsch"
"v18a4"	"Variable Label"	"nicht genannt"
"v18a4"	"1"	"genannt"
"v18a5"	"Variable Label"	"Dr. Bartenstein"
"v18a5"	"Variable Label"	"nicht genannt"
"v18a5"	"1"	"genannt"
"v18a6"	"Variable Label"	"Dr. Böhmdorfer"
"v18a6"	"Variable Label"	"nicht genannt"
"v18a6"	"1"	"genannt"
"v18a7"	"Variable Label"	"Dr. Busek"
"v18a7"	"Variable Label"	"nicht genannt"
"v18a7"	"1"	"genannt"
"v18a8"	"Variable Label"	"Edlinger"
"v18a8"	"Variable Label"	"nicht genannt"
"v18a8"	"1"	"genannt"
"v18a9"	"Variable Label"	"Dr. Einem"
"v18a9"	"Variable Label"	"nicht genannt"
"v18a9"	"1"	"genannt"
"v18b1"	"Variable Label"	"Dr. Forstinger"
"v18b1"	"Variable Label"	"nicht genannt"
"v18b1"	"1"	"genannt"
"v18b10"	"Variable Label"	"Dr. Leitl"
"v18b10"	"Variable Label"	"nicht genannt"
"v18b10"	"1"	"genannt"
"v18b11"	"Variable Label"	"Mag. Molterer"
"v18b11"	"Variable Label"	"nicht genannt"
"v18b11"	"1"	"genannt"
"v18b12"	"Variable Label"	"Dr. Pilz"
"v18b12"	"Variable Label"	"nicht genannt"
"v18b12"	"1"	"genannt"
"v18b2"	"Variable Label"	"BM Gehrer"
"v18b2"	"Variable Label"	"nicht genannt"
"v18b2"	"1"	"genannt"
"v18b3"	"Variable Label"	"Mag. Grasser"
"v18b3"	"Variable Label"	"nicht genannt"
"v18b3"	"1"	"genannt"
"v18b4"	"Variable Label"	"Dr. Gusenbauer"
"v18b4"	"Variable Label"	"nicht genannt"
"v18b4"	"1"	"genannt"
"v18b5"	"Variable Label"	"Dr. Haider"
"v18b5"	"Variable Label"	"nicht genannt"
"v18b5"	"1"	"genannt"
"v18b6"	"Variable Label"	"Mag. Haupt"
"v18b6"	"Variable Label"	"nicht genannt"
"v18b6"	"1"	"genannt"
"v18b7"	"Variable Label"	"Bgm. Dr. Häupl"
"v18b7"	"Variable Label"	"nicht genannt"
"v18b7"	"1"	"genannt"
"v18b8"	"Variable Label"	"Dr. Khol"
"v18b8"	"Variable Label"	"nicht genannt"
"v18b8"	"1"	"genannt"
"v18b9"	"Variable Label"	"Dr. Klestil"
"v18b9"	"Variable Label"	"nicht genannt"
"v18b9"	"1"	"genannt"
"v18c1"	"Variable Label"	"Dipl. Ing. Prinzhorn"
"v18c1"	"Variable Label"	"nicht genannt"
"v18c1"	"1"	"genannt"
"v18c10"	"Variable Label"	"Dr. Van der Bellen"
"v18c10"	"Variable Label"	"nicht genannt"
"v18c10"	"1"	"genannt"
"v18c11"	"Variable Label"	"Präs. Verzetnitsch"
"v18c11"	"Variable Label"	"nicht genannt"
"v18c11"	"1"	"genannt"
"v18c12"	"Variable Label"	"Ing. Westenthaler"
"v18c12"	"Variable Label"	"nicht genannt"
"v18c12"	"1"	"genannt"
"v18c2"	"Variable Label"	"Dr. Pröll"
"v18c2"	"Variable Label"	"nicht genannt"
"v18c2"	"1"	"genannt"
"v18c3"	"Variable Label"	"Rauch-Kallat"
"v18c3"	"Variable Label"	"nicht genannt"
"v18c3"	"1"	"genannt"
"v18c4"	"Variable Label"	"Dr. Riess-Passer"
"v18c4"	"Variable Label"	"nicht genannt"
"v18c4"	"1"	"genannt"
"v18c5"	"Variable Label"	"Präs. Sallmutter"
"v18c5"	"Variable Label"	"nicht genannt"
"v18c5"	"1"	"genannt"
"v18c6"	"Variable Label"	"BM Scheibner"
"v18c6"	"Variable Label"	"nicht genannt"
"v18c6"	"1"	"genannt"
"v18c7"	"Variable Label"	"Dr. Schüssel"
"v18c7"	"Variable Label"	"nicht genannt"
"v18c7"	"1"	"genannt"
"v18c8"	"Variable Label"	"Dr. Strasser"
"v18c8"	"Variable Label"	"nicht genannt"
"v18c8"	"1"	"genannt"
"v18c9"	"Variable Label"	"Mag. Tumpel"
"v18c9"	"Variable Label"	"nicht genannt"
"v18c9"	"1"	"genannt"
"v19"	"Variable Label"	"Geschlecht"
"v19"	"1"	"männlich"
"v19"	"2"	"weiblich"
"v2"	"Variable Label"	"Persönliche Erwartung bzgl. Einführung des EURO"
"v2"	"1"	"eher Vorteile"
"v2"	"2"	"eher Nachteile"
"v2"	"3"	"weder noch"
"v2"	"4"	"W.N./K.A."
"v20"	"Variable Label"	"Beruf"
"v20"	"1"	"Hilfsarbeiter"
"v20"	"2"	"Facharbeiter"
"v20"	"3"	"leit. Angestellter od. leit. Beamter"
"v20"	"4"	"Angestellter"
"v20"	"5"	"Beamter"
"v20"	"6"	"Rentner od. Pensionist"
"v20"	"7"	"Hausfrau"
"v20"	"8"	"Selbständiger"
