variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v1"	"Variable Label"	"Sollte Österreich bei der EU bleiben?"
"v1"	"1"	"Bei EU bleiben"
"v1"	"2"	"Wieder austreten"
"v1"	"3"	"W.N./K.A."
"v10"	"Variable Label"	"Stimmt die Teuerungsrate für 2002 von 1,8%?"
"v10"	"1"	"Der Prozentsatz von 1,8% Teuerung stimmt im Allgemeinen"
"v10"	"2"	"Diese Schätzung scheint zu hoch"
"v10"	"3"	"Diese Schätzung scheint zu niedrig"
"v10"	"4"	"W.N./K.A."
"v11"	"Variable Label"	"Haben die EURO-Preiskontrollen in Österreich etwas bewirkt?"
"v11"	"1"	"Haben etwas bewirkt"
"v11"	"2"	"Haben nichts bewirkt"
"v11"	"3"	"W.N./K.A."
"v12"	"Variable Label"	"Werden Preiserhöhungen zu Recht oder zu Unrecht dem EURO angelastet?"
"v12"	"1"	"Zu Recht angelastet"
"v12"	"2"	"Teil-Teils"
"v12"	"3"	"Zu Unrecht angelastet"
"v12"	"4"	"W.N./K.A."
"v13"	"Variable Label"	"Werden Firmen ihre Preise wieder senken müssen?"
"v13"	"1"	"Wird in vielen Fällen dazu führen"
"v13"	"2"	"Wird nur vereinzelt dazu führen"
"v13"	"3"	"wird nie dazu führen"
"v13"	"4"	"W.N./K.A."
"v14"	"Variable Label"	"Benotung des Auskommens mit dem Haushaltseinkommen"
"v14"	"1"	"1 (sehr gut)"
"v14"	"2"	"2"
"v14"	"3"	"3"
"v14"	"4"	"4"
"v14"	"5"	"5 (sehr schlecht)"
"v14"	"6"	"W.N./K.A."
"v15"	"Variable Label"	"Entwicklung der Preise in den großen Supermarktketten nach Einführung des EURO"
"v15"	"1"	"Die Preise sind erhöht worden"
"v15"	"2"	"Die Preise sind gesenkt worden"
"v15"	"3"	"Die Preise sind gleich geblieben"
"v15"	"4"	"W.N./K.A."
"v16"	"Variable Label"	"Geschlecht"
"v16"	"1"	"männlich"
"v16"	"2"	"weiblich"
"v17"	"Variable Label"	"Alter"
"v17"	"1"	"bis 25 Jahre"
"v17"	"2"	"26-35 Jahre"
"v17"	"3"	"36-50 Jahre"
"v17"	"4"	"51-65 Jahre"
"v17"	"5"	"ab 66 Jahre"
"v18"	"Variable Label"	"Schulbildung"
"v18"	"1"	"Hochschule"
"v18"	"2"	"Mittelschule"
"v18"	"3"	"Berufs- oder Handelsschule"
"v18"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v19"	"Variable Label"	"Tätigkeit"
"v19"	"1"	"In Ausbildung (Schule, Lehre, Universität)"
"v19"	"2"	"Pension"
"v19"	"3"	"Nur im Haushalt tätig"
"v19"	"4"	"Arbeitslos"
"v19"	"5"	"Selbständig"
"v19"	"6"	"Landwirt"
"v19"	"7"	"Hilfsarbeiter"
"v19"	"8"	"Facharbeiter"
"v19"	"9"	"Angestellter"
"v19"	"10"	"Beamter"
"v19"	"11"	"Anderes"
"v2"	"Variable Label"	"Haben Sie sich an den EURO schon......?"
"v2"	"1"	"ganz gewöhnt"
"v2"	"2"	"ziemlich gewöhnt"
"v2"	"3"	"noch nicht recht gewöhnt"
"v2"	"4"	"gar nicht gewöhnt"
"v2"	"5"	"W.N./K.A."
"v20a"	"Variable Label"	"Personenanzahl im Haushalt"
"v20b"	"Variable Label"	"Haushaltsnettoeinkommen"
"v20b"	"1"	"Bis EURO 1000,-"
"v20b"	"2"	"Bis EURO 2000,-"
"v20b"	"3"	"Bis EURO 3000,-"
"v20b"	"4"	"Bis EURO 4000,-"
"v20b"	"5"	"Mehr als EURO 4000,-"
"v20b"	"6"	"K.A."
"v21"	"Variable Label"	"Aktuelle Parteipräferenz"
"v21"	"1"	"SPÖ"
"v21"	"2"	"FPÖ"
"v21"	"3"	"ÖVP"
"v21"	"4"	"Grüne"
"v21"	"5"	"LIF"
"v21"	"6"	"KPÖ"
"v21"	"7"	"Keine"
"v21"	"8"	"K.A."
"v22"	"Variable Label"	"Bundesland"
"v22"	"1"	"Wien"
"v22"	"2"	"Burgenland"
"v22"	"3"	"Niederösterreich"
"v22"	"4"	"Oberösterreich"
"v22"	"5"	"Salzburg"
"v22"	"6"	"Tirol"
