variable	value	Label
"Bundesland"	"Variable Label"	"Bundesland der Schule"
"Bundesland"	"1"	"Burgenland"
"Bundesland"	"2"	"Kärnten"
"Bundesland"	"3"	"Niederösterreich"
"Bundesland"	"4"	"Oberösterreich"
"Bundesland"	"5"	"Salzburg"
"Bundesland"	"6"	"Steiermark"
"Bundesland"	"7"	"Tirol"
"Bundesland"	"8"	"Vorarlberg"
"Bundesland"	"9"	"Wien"
"CODE"	"Variable Label"	"Grad der Urbanisierung"
"CODE"	"1"	"dicht besiedelte Gebiete"
"CODE"	"2"	"Gebiete mittlerer Besiedlungsdichte"
"CODE"	"3"	"gering besiedelte Gebiete"
"doi"	"Variable Label"	"digital object identifier"
"EE1_SQ001"	"Variable Label"	"[Wie bewerten Sie allgemein die Corona-Selbsttest an den Schulen?] Die folgenden Fragen beziehen sich auf Ihre Meinung als Elternteil bzw. Erziehungsberechtigten.  Zuerst interessiert uns Ihre Meinung zum Ablauf der Corona-Selbsttests in den Schulen."
"EE1_SQ001"	"1"	"Sehr schlecht"
"EE1_SQ001"	"2"	"Eher schlecht"
"EE1_SQ001"	"3"	"Eher gut"
"EE1_SQ001"	"4"	"Sehr gut"
"EE1_SQ002"	"Variable Label"	"[Wie gut wurden Sie vorab über die Tests informiert?] Die folgenden Fragen beziehen sich auf Ihre Meinung als Elternteil bzw. Erziehungsberechtigten.  Zuerst interessiert uns Ihre Meinung zum Ablauf der Corona-Selbsttests in den Schulen."
"EE1_SQ002"	"1"	"Sehr schlecht"
"EE1_SQ002"	"2"	"Eher schlecht"
"EE1_SQ002"	"3"	"Eher gut"
"EE1_SQ002"	"4"	"Sehr gut"
"EE1_SQ003"	"Variable Label"	"[Wie finden Sie die Organisation und Durchführung der Tests?] Die folgenden Fragen beziehen sich auf Ihre Meinung als Elternteil bzw. Erziehungsberechtigten.  Zuerst interessiert uns Ihre Meinung zum Ablauf der Corona-Selbsttests in den Schulen."
"EE1_SQ003"	"1"	"Sehr schlecht"
"EE1_SQ003"	"2"	"Eher schlecht"
"EE1_SQ003"	"3"	"Eher gut"
"EE1_SQ003"	"4"	"Sehr gut"
"EE10"	"Variable Label"	"Sind sie alleinerziehend?"
"EE10"	"1"	"Ja"
"EE10"	"2"	"Nein"
"EE11"	"Variable Label"	"Was ist Ihr höchster Bildungsabschluss?"
"EE11"	"1"	"höchstens Pflichtschule"
"EE11"	"2"	"Berufsbildung ohne Matura (Lehre, Fachschule, Handelsschule)"
"EE11"	"3"	"Matura"
"EE11"	"4"	"Hochschulverwandte Lehranstalt"
"EE11"	"5"	"Hochschule (Uni, FH, PH)"
"EE11b"	"Variable Label"	"Was ist Ihr höchster Bildungsabschluss?"
"EE11b"	"1"	"höchstens Pflichtschule"
"EE11b"	"2"	"Berufsbildung ohne Matura"
"EE11b"	"3"	"Matura"
"EE11b"	"4"	"Hochschule oder hochschulverwandte Lehranstalt"
"EE12"	"Variable Label"	"In welchem Bundesland wohnen Sie und Ihre Familie?"
"EE12"	"1"	"Burgenland"
"EE12"	"2"	"Kärnten"
"EE12"	"3"	"Niederösterreich"
"EE12"	"4"	"Oberösterreich"
"EE12"	"5"	"Salzburg"
"EE12"	"6"	"Steiermark"
"EE12"	"7"	"Tirol"
"EE12"	"8"	"Vorarlberg"
"EE12"	"9"	"Wien"
"EE13"	"Variable Label"	"Wie viele Einwohner*innen hat die Gemeinde, in der Sie und Ihre Familie leben?"
"EE13"	"1"	"1 - 500"
"EE13"	"2"	"501 - 2.000"
"EE13"	"3"	"2.001 - 5.000"
"EE13"	"4"	"5.001 - 20.000"
"EE13"	"5"	"20.001 - 50.000"
"EE13"	"6"	"> 50.001 Einwohner*innen"
"EE3"	"Variable Label"	"Wie beurteilen Sie die Häufigkeit, mit der die Tests durchgeführt werden?"
"EE3"	"1"	"Zu selten"
"EE3"	"2"	"Passend"
"EE3"	"3"	"Zu oft"
