variable	value	Label
"country"	"Variable Label"	"Country"
"country"	"1"	"AT"
"country"	"2"	"BE"
"country"	"3"	"DE"
"country"	"4"	"FR"
"country"	"5"	"IT"
"Dcareer"	"Variable Label"	"Career stage"
"Dcareer"	"1"	"First Stage Researcher"
"Dcareer"	"2"	"Recognized Researcher"
"Dcareer"	"3"	"Established Researcher"
"Dcareer"	"4"	"Leading Researcher"
"DcareerdriverA"	"Variable Label"	"Importance for career success: Number of Publications"
"DcareerdriverA"	"1"	"Completely unimportant"
"DcareerdriverA"	"2"	"Unimportant"
"DcareerdriverA"	"3"	"Somewhat unimportant"
"DcareerdriverA"	"4"	"Neutral"
"DcareerdriverA"	"5"	"Somewhat important"
"DcareerdriverA"	"6"	"Important"
"DcareerdriverA"	"7"	"Very important"
"DcareerdriverA"	"77"	"Don't know"
"DcareerdriverB"	"Variable Label"	"Importance for career success: Quality of Publications"
"DcareerdriverB"	"1"	"Completely unimportant"
"DcareerdriverB"	"2"	"Unimportant"
"DcareerdriverB"	"3"	"Somewhat unimportant"
"DcareerdriverB"	"4"	"Neutral"
"DcareerdriverB"	"5"	"Somewhat important"
"DcareerdriverB"	"6"	"Important"
"DcareerdriverB"	"7"	"Very important"
"DcareerdriverB"	"77"	"Don't know"
"DcareerdriverC"	"Variable Label"	"Importance for career success: Publication of data"
"DcareerdriverC"	"1"	"Completely unimportant"
"DcareerdriverC"	"2"	"Unimportant"
"DcareerdriverC"	"3"	"Somewhat unimportant"
"DcareerdriverC"	"4"	"Neutral"
"DcareerdriverC"	"5"	"Somewhat important"
"DcareerdriverC"	"6"	"Important"
"DcareerdriverC"	"7"	"Very important"
"DcareerdriverC"	"77"	"Don't know"
"DcareerdriverD"	"Variable Label"	"Importance for career success: Good teaching evaluation"
"DcareerdriverD"	"1"	"Completely unimportant"
"DcareerdriverD"	"2"	"Unimportant"
"DcareerdriverD"	"3"	"Somewhat unimportant"
"DcareerdriverD"	"4"	"Neutral"
"DcareerdriverD"	"5"	"Somewhat important"
"DcareerdriverD"	"6"	"Important"
"DcareerdriverD"	"7"	"Very important"
"DcareerdriverD"	"77"	"Don't know"
"DcareerdriverE"	"Variable Label"	"Importance for career success: Societal Outreach"
"DcareerdriverE"	"1"	"Completely unimportant"
"DcareerdriverE"	"2"	"Unimportant"
"DcareerdriverE"	"3"	"Somewhat unimportant"
"DcareerdriverE"	"4"	"Neutral"
"DcareerdriverE"	"5"	"Somewhat important"
"DcareerdriverE"	"6"	"Important"
"DcareerdriverE"	"7"	"Very important"
"DcareerdriverE"	"77"	"Don't know"
"DDisc"	"Variable Label"	"Discipline"
"DDisc"	"1"	"Agricultural Sciences"
"DDisc"	"2"	"Engineering / Tech"
"DDisc"	"3"	"Humanities"
"DDisc"	"4"	"Medical / Health"
"DDisc"	"5"	"Natural Sciences"
"DDisc"	"6"	"Social Sciences"
"Dgender"	"Variable Label"	"Please indicate your gender"
"Dgender"	"1"	"female"
"Dgender"	"2"	"male"
"Dgender"	"3"	"prefer not to say"
"Dgender"	"4"	"prefer to self-describe"
"DGroup"	"Variable Label"	"Survey group"
"Dinstitution"	"Variable Label"	"Institutional Affiliation"
"Dinstitution"	"1"	"Austria-University of Vienna"
"Dinstitution"	"2"	"Italy-CNR"
"Dinstitution"	"3"	"Italy-INAF"
"Dinstitution"	"4"	"France-CNRS"
"Dinstitution"	"5"	"France-INSERM"
"Dinstitution"	"6"	"France-IFREMER"
"Dinstitution"	"7"	"Germany-Heidelberg University"
"Dinstitution"	"8"	"Germany-Hohenheim University"
"Dinstitution"	"9"	"Germany-University of Freiburg"
"Dinstitution"	"77"	"Other"
"DinstotherDum"	"Variable Label"	"Affiliation with other universities y/n"
"doi"	"Variable Label"	"digital object identifier"
"DPhD"	"Variable Label"	"Have you completed a doctoral degree/PhD?"
"DPhD"	"1"	"No"
"DPhD"	"2"	"Yes"
"DPrizes"	"Variable Label"	"Have you received any grants or awards for your research activities?"
"DPrizes"	"1"	"No"
"DPrizes"	"2"	"Yes, on an institutional or regional level"
"DPrizes"	"3"	"Yes, on a national level"
"DPrizes"	"4"	"Yes, on a European level"
"DPrizes"	"5"	"Yes, on an international level"
"DResearcher"	"Variable Label"	"DResearcher"
"Dyear"	"Variable Label"	"Years in research"
"Dyear"	"1"	"0 - 5"
"Dyear"	"2"	"6 - 10"
"Dyear"	"3"	"11 - 15"
"Dyear"	"4"	"16 - 20"
"Dyear"	"5"	"21 - 25"
"Dyear"	"6"	"26 - 30"
"Dyear"	"7"	"31 - 35"
"Dyear"	"8"	"36 or more"
"EEOSCfamiliar"	"Variable Label"	"Familiarity with EOSC"
"EEOSCfamiliar"	"1"	"Very familiar"
"EEOSCfamiliar"	"2"	"Familiar"
"EEOSCfamiliar"	"3"	"Not very familiar"
"EEOSCfamiliar"	"4"	"Not familiar at all"
"EFAIRfamiliar"	"Variable Label"	"Familiarity with FAIR principles"
"EFAIRfamiliar"	"1"	"Very familiar"
"EFAIRfamiliar"	"2"	"Familiar"
"EFAIRfamiliar"	"3"	"Not very familiar"
"EFAIRfamiliar"	"4"	"Not familiar at all"
"EFindA"	"Variable Label"	"Importance: A search engine on the internet"
"EFindA"	"1"	"Completely unimportant"
"EFindA"	"2"	"Unimportant"
"EFindA"	"3"	"Somewhat unimportant"
"EFindA"	"4"	"Neutral"
"EFindA"	"5"	"Somewhat important"
"EFindA"	"6"	"Important"
"EFindA"	"7"	"Very important"
"EFindA"	"77"	"Don't know"
"EFindB"	"Variable Label"	"Importance: Specific search engines for research data"
"EFindB"	"1"	"Completely unimportant"
"EFindB"	"2"	"Unimportant"
"EFindB"	"3"	"Somewhat unimportant"
"EFindB"	"4"	"Neutral"
"EFindB"	"5"	"Somewhat important"
"EFindB"	"6"	"Important"
"EFindB"	"7"	"Very important"
"EFindB"	"77"	"Don't know"
"EFindC"	"Variable Label"	"Importance: References to data in publications"
"EFindC"	"1"	"Completely unimportant"
"EFindC"	"2"	"Unimportant"
"EFindC"	"3"	"Somewhat unimportant"
"EFindC"	"4"	"Neutral"
"EFindC"	"5"	"Somewhat important"
"EFindC"	"6"	"Important"
"EFindC"	"7"	"Very important"
"EFindC"	"77"	"Don't know"
"EFindD"	"Variable Label"	"Importance: Institutional repositories"
"EFindD"	"1"	"Completely unimportant"
"EFindD"	"2"	"Unimportant"
"EFindD"	"3"	"Somewhat unimportant"
"EFindD"	"4"	"Neutral"
"EFindD"	"5"	"Somewhat important"
"EFindD"	"6"	"Important"
"EFindD"	"7"	"Very important"
"EFindD"	"77"	"Don't know"
"EFindE"	"Variable Label"	"Importance: Discipline-specific repositories"
"EFindE"	"1"	"Completely unimportant"
"EFindE"	"2"	"Unimportant"
"EFindE"	"3"	"Somewhat unimportant"
"EFindE"	"4"	"Neutral"
"EFindE"	"5"	"Somewhat important"
"EFindE"	"6"	"Important"
"EFindE"	"7"	"Very important"
"EFindE"	"77"	"Don't know"
"EFindF"	"Variable Label"	"Importance: Catch-all data repositories"
"EFindF"	"1"	"Completely unimportant"
"EFindF"	"2"	"Unimportant"
"EFindF"	"3"	"Somewhat unimportant"
"EFindF"	"4"	"Neutral"
"EFindF"	"5"	"Somewhat important"
"EFindF"	"6"	"Important"
"EFindF"	"7"	"Very important"
"EFindF"	"77"	"Don't know"
"EFindG"	"Variable Label"	"Importance: Your own academic network"
"EFindG"	"1"	"Completely unimportant"
"EFindG"	"2"	"Unimportant"
"EFindG"	"3"	"Somewhat unimportant"
"EFindG"	"4"	"Neutral"
"EFindG"	"5"	"Somewhat important"
"EFindG"	"6"	"Important"
"EFindG"	"7"	"Very important"
"EFindG"	"77"	"Don't know"
"EFindH"	"Variable Label"	"Importance: Aggregated platforms"
"EFindH"	"1"	"Completely unimportant"
"EFindH"	"2"	"Unimportant"
"EFindH"	"3"	"Somewhat unimportant"
"EFindH"	"4"	"Neutral"
"EFindH"	"5"	"Somewhat important"
"EFindH"	"6"	"Important"
"EFindH"	"7"	"Very important"
"EFindH"	"77"	"Don't know"
"EGenerate"	"Variable Label"	"Have you or your core research team generated/collected research data/material?"
"EGenerate"	"1"	"No"
"EGenerate"	"2"	"Yes"
"EintercollA"	"Variable Label"	"Importance: Writing joint publications"
"EintercollA"	"1"	"Completely unimportant"
"EintercollA"	"2"	"Unimportant"
"EintercollA"	"3"	"Somewhat unimportant"
"EintercollA"	"4"	"Neutral"
"EintercollA"	"5"	"Somewhat important"
"EintercollA"	"6"	"Important"
"EintercollA"	"7"	"Very important"
"EintercollA"	"77"	"Don't know"
"EintercollB"	"Variable Label"	"Importance: Collecting research data/material"
"EintercollB"	"1"	"Completely unimportant"
"EintercollB"	"2"	"Unimportant"
"EintercollB"	"3"	"Somewhat unimportant"
"EintercollB"	"4"	"Neutral"
"EintercollB"	"5"	"Somewhat important"
"EintercollB"	"6"	"Important"
"EintercollB"	"7"	"Very important"
"EintercollB"	"77"	"Don't know"
"EintercollC"	"Variable Label"	"Importance: Using data/material collected by others"
"EintercollC"	"1"	"Completely unimportant"
"EintercollC"	"2"	"Unimportant"
"EintercollC"	"3"	"Somewhat unimportant"
"EintercollC"	"4"	"Neutral"
"EintercollC"	"5"	"Somewhat important"
"EintercollC"	"6"	"Important"
"EintercollC"	"7"	"Very important"
"EintercollC"	"77"	"Don't know"
"EintercollD"	"Variable Label"	"Importance: Using resources and services from shared research facilities"
"EintercollD"	"1"	"Completely unimportant"
"EintercollD"	"2"	"Unimportant"
"EintercollD"	"3"	"Somewhat unimportant"
"EintercollD"	"4"	"Neutral"
"EintercollD"	"5"	"Somewhat important"
"EintercollD"	"6"	"Important"
"EintercollD"	"7"	"Very important"
"EintercollD"	"77"	"Don't know"
"EServiceA"	"Variable Label"	"Importance: Computing services"
"EServiceA"	"1"	"Completely unimportant"
"EServiceA"	"2"	"Unimportant"
"EServiceA"	"3"	"Somewhat unimportant"
"EServiceA"	"4"	"Neutral"
"EServiceA"	"5"	"Somewhat important"
"EServiceA"	"6"	"Important"
"EServiceA"	"7"	"Very important"
"EServiceA"	"77"	"Don't know"
"EServiceB1"	"Variable Label"	"Importance: Long-term data repositories"
"EServiceB1"	"1"	"Completely unimportant"
"EServiceB1"	"2"	"Unimportant"
"EServiceB1"	"3"	"Somewhat unimportant"
"EServiceB1"	"4"	"Neutral"
"EServiceB1"	"5"	"Somewhat important"
"EServiceB1"	"6"	"Important"
"EServiceB1"	"7"	"Very important"
"EServiceB1"	"77"	"Don't know"
"EServiceB2"	"Variable Label"	"Importance: Short-term and mid-term storage"
"EServiceB2"	"1"	"Completely unimportant"
"EServiceB2"	"2"	"Unimportant"
"EServiceB2"	"3"	"Somewhat unimportant"
"EServiceB2"	"4"	"Neutral"
"EServiceB2"	"5"	"Somewhat important"
"EServiceB2"	"6"	"Important"
"EServiceB2"	"7"	"Very important"
"EServiceB2"	"77"	"Don't know"
"EServiceC"	"Variable Label"	"Importance: Support for research data management"
"EServiceC"	"1"	"Completely unimportant"
"EServiceC"	"2"	"Unimportant"
"EServiceC"	"3"	"Somewhat unimportant"
"EServiceC"	"4"	"Neutral"
"EServiceC"	"5"	"Somewhat important"
"EServiceC"	"6"	"Important"
"EServiceC"	"7"	"Very important"
"EServiceC"	"77"	"Don't know"
"EServiceD"	"Variable Label"	"Importance: Support for publishing data"
"EServiceD"	"1"	"Completely unimportant"
"EServiceD"	"2"	"Unimportant"
"EServiceD"	"3"	"Somewhat unimportant"
"EServiceD"	"4"	"Neutral"
"EServiceD"	"5"	"Somewhat important"
"EServiceD"	"6"	"Important"
"EServiceD"	"7"	"Very important"
"EServiceD"	"77"	"Don't know"
"EServiceE1"	"Variable Label"	"Importance: Support concerning intellectual property right"
"EServiceE1"	"1"	"Completely unimportant"
"EServiceE1"	"2"	"Unimportant"
"EServiceE1"	"3"	"Somewhat unimportant"
"EServiceE1"	"4"	"Neutral"
"EServiceE1"	"5"	"Somewhat important"
"EServiceE1"	"6"	"Important"
"EServiceE1"	"7"	"Very important"
"EServiceE1"	"77"	"Don't know"
"EServiceE2"	"Variable Label"	"Importance: Support concerning data protection/GDPR"
"EServiceE2"	"1"	"Completely unimportant"
"EServiceE2"	"2"	"Unimportant"
"EServiceE2"	"3"	"Somewhat unimportant"
"EServiceE2"	"4"	"Neutral"
"EServiceE2"	"5"	"Somewhat important"
"EServiceE2"	"6"	"Important"
"EServiceE2"	"7"	"Very important"
"EServiceE2"	"77"	"Don't know"
"EServiceEOSCA"	"Variable Label"	"Importance: Computing services"
"EServiceEOSCA"	"1"	"Completely unimportant"
"EServiceEOSCA"	"2"	"Unimportant"
"EServiceEOSCA"	"3"	"Somewhat unimportant"
"EServiceEOSCA"	"4"	"Neutral"
"EServiceEOSCA"	"5"	"Somewhat important"
"EServiceEOSCA"	"6"	"Important"
"EServiceEOSCA"	"7"	"Very important"
"EServiceEOSCA"	"77"	"Don't know"
"EServiceEOSCB1"	"Variable Label"	"Importance: Long-term data"
"EServiceEOSCB1"	"1"	"Completely unimportant"
"EServiceEOSCB1"	"2"	"Unimportant"
"EServiceEOSCB1"	"3"	"Somewhat unimportant"
