variable	value	Label
"country"	"Variable Label"	"country"
"country"	"10"	"Denmark"
"country"	"20"	"France"
"country"	"30"	"Germany"
"country"	"40"	"Hungary"
"country"	"50"	"Poland"
"country"	"60"	"Spain"
"countrycode"	"Variable Label"	"Country (ISO code)"
"DataCollection_FinishTime"	"Variable Label"	"At what time did this interview finish?"
"DataCollection_StartTime"	"Variable Label"	"At what time did this interview start?"
"doi"	"Variable Label"	"digital object identifier"
"id"	"Variable Label"	"Respondent ID"
"interview_date"	"Variable Label"	"Date of interview (in yyyymmdd)"
"interview_length_min"	"Variable Label"	"Interview length (in minutes)"
"interview_length_sec"	"Variable Label"	"Duration of interview"
"panel"	"Variable Label"	"Panelpartner"
"panel"	"1"	"LifePoints"
"panel"	"2"	"Market Cube"
"panel"	"3"	"Peanut Lab"
"panel"	"4"	"Dynata"
"panel"	"5"	"CINT/TalkOnline"
"panel"	"6"	"Bilendi"
"q0_1b"	"Variable Label"	"Age (metric)"
"q0_1c"	"Variable Label"	"Age group"
"q0_1c"	"1"	"18-24"
"q0_1c"	"2"	"25-34"
"q0_1c"	"3"	"35-44"
"q0_1c"	"4"	"45-54"
"q0_1c"	"5"	"55+"
"q0_2"	"Variable Label"	"Gender"
"q0_2"	"1"	"Male"
"q0_2"	"2"	"Female"
"q0_2"	"3"	"Other / n.a."
"q0_3a_10"	"Variable Label"	"Education (Denmark)"
"q0_3a_10"	"1"	"Jeg har ikke færdiggjort folkeskolen"
"q0_3a_10"	"2"	"Jeg har ikke færdiggjort folkeskolen / Folkeskole"
"q0_3a_10"	"3"	"Gymnasium (STX) / Højere handelseksamen (HHX) / Højere teknisk eksamen (HTX) /"
"q0_3a_10"	"4"	"EUD-enkeltfag / Social- og sundhedsuddannelserne (SOSU) / Eksamensuddannelser (S"
"q0_3a_10"	"5"	"Korte videregående uddannelser af mere end 2 års varighed, herunder teknikere"
"q0_3a_10"	"6"	"Universitet/Højere Uddannelsesinstitution (Bachelor B.A., B.Sc / Cand. mag., ca"
"q0_3a_20"	"Variable Label"	"Education (France)"
"q0_3a_20"	"1"	"Jamais scolarisé"
"q0_3a_20"	"2"	"Jamais scolarisé / École Élémentaire"
"q0_3a_20"	"3"	"Brevet des collèges"
"q0_3a_20"	"4"	"CAP, BEP"
"q0_3a_20"	"5"	"Baccalauréat"
"q0_3a_20"	"6"	"Bac + 2 (BTS, DEUG, DUT, autres)"
"q0_3a_20"	"7"	"Bac +3/+4 (Licence, Maîtrise, Master 1)"
"q0_3a_20"	"8"	"Bac +5 et plus (Grandes Écoles, DESS, DEA, Doctorat, Master 2)"
"q0_3a_30"	"Variable Label"	"Education (Germany)"
"q0_3a_30"	"1"	"Keine abgeschlossene Schulbildung"
"q0_3a_30"	"2"	"Grundschule"
"q0_3a_30"	"3"	"Keine / Grundschule / Volks-/ Hauptschulabschluss oder Polytechnische Oberschule"
"q0_3a_30"	"4"	"Mittlere Reife / Fachoberschulreife/ Mittlerer Abschluss/ Qualifizierter Sekunda"
"q0_3a_30"	"5"	"Abgeschlossene Lehre/ beruflicher Abschluss ohne Fachschul- oder Fachhochschulab"
"q0_3a_30"	"6"	"Fachhochschulreife/ fachgebundene Hochschulreife/ Fachabitur"
"q0_3a_30"	"7"	"Allgemeine Hochschulreife/ Abitur"
"q0_3a_30"	"8"	"Abschluss einer Fachschule oder Berufsakademie (z.B. staatlich geprüfter Gestal"
"q0_3a_30"	"9"	"Universität/ Fachhochschule/ Kunsthochschule Musikhochschule (Diplom, Staatsexa"
"q0_3a_40"	"Variable Label"	"Education (Hungary)"
"q0_3a_40"	"1"	"Nem jártam iskolába"
"q0_3a_40"	"2"	"7 vagy kevesebb általános iskolai osztály"
"q0_3a_40"	"3"	"Nem jártam iskolába / 7 vagy kevesebb általános iskolai osztáy / 8 általános iskolai osztály"
"q0_3a_40"	"4"	"Szakmunkásképzo, szakiskola (érettségi nélkül)"
"q0_3a_40"	"5"	"Szakközépiskola, gimnázium, technikum (érettségivel)"
"q0_3a_40"	"6"	"Foiskolai diploma, felsofokú technikum, BA"
"q0_3a_40"	"7"	"Egyetemi diploma (MA), egyéb posztgraduális képzés"
"q0_3a_50"	"Variable Label"	"Education (Poland)"
"q0_3a_50"	"1"	"Nieukonczona szkola podstawowa"
"q0_3a_50"	"2"	"Szkola podstawowa"
"q0_3a_50"	"3"	"Szkola podstawowa / Gimnazjum"
"q0_3a_50"	"4"	"Zasadnicze zawodowe"
"q0_3a_50"	"5"	"Srednie zawodowe (ukonczone technikum, liceum zawodowe)"
"q0_3a_50"	"6"	"Srednie ogólnoksztalcace (ukonczone liceum ogólnoksztalcace)"
"q0_3a_50"	"7"	"Policealne"
"q0_3a_50"	"8"	"Wyzsze (tytul licencjata, inzyniera, magistra, lekarza)"
"q0_3a_60"	"Variable Label"	"Education (Spain)"
"q0_3a_60"	"1"	"Sin estudios o sin acabar educación primaria"
"q0_3a_60"	"2"	"Sin estudios o sin acabar educación primaria / Educación primaria"
"q0_3a_60"	"3"	"Educación secundaria obligatoria (Graduado en educación secundaria)"
"q0_3a_60"	"4"	"Formación profesional de grado medio (Técnico)"
"q0_3a_60"	"5"	"Bachillerato"
"q0_3a_60"	"6"	"Formación profesional de grado superior (Técnico superior)"
"q0_3a_60"	"7"	"Enseñanzas universitarias / Enseñanzas artísticas de grado superior (Diplomad"
"q0_3b"	"Variable Label"	"Education"
"q0_3b"	"1"	"Low"
"q0_3b"	"2"	"Medium"
"q0_3b"	"3"	"High"
"q1_1a"	"Variable Label"	"Statisfaction: life as a whole"
"q1_1a"	"-8"	"Don't know"
"q1_1a"	"1"	"1 Very dissatisfied"
"q1_1a"	"2"	"2"
"q1_1a"	"3"	"3"
"q1_1a"	"4"	"4"
"q1_1a"	"5"	"5"
"q1_1a"	"6"	"6 Very satisfied"
"q1_1b"	"Variable Label"	"Satisfaction: economy"
"q1_1b"	"-8"	"Don't know"
"q1_1b"	"1"	"1 Very dissatisfied"
"q1_1b"	"2"	"2"
"q1_1b"	"3"	"3"
"q1_1b"	"4"	"4"
