variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"f1"	"Variable Label"	"Wie groß schätzen Sie die gesundheitliche Gefahr ein, die vom Coronavirus ausgeht?"
"f1"	"1"	"sehr groß"
"f1"	"2"	"groß"
"f1"	"3"	"mittelmäßig"
"f1"	"4"	"klein"
"f1"	"5"	"sehr klein"
"f1"	"6"	"weiß nicht"
"f10"	"Variable Label"	"Würden Sie lebensverlängernde intensivmedizinische Maßnahmen in Anspruch nehmen"
"f10"	"1"	"ja"
"f10"	"2"	"nein"
"f10"	"3"	"weiß nicht"
"f11"	"Variable Label"	"Haben Sie von der Aufhebung der Strafbarkeit beim assistierten Suizid gehört"
"f11"	"1"	"hab davon gehört oder gelesen"
"f11"	"2"	"höre davon zum ersten Mal"
"f12_1"	"Variable Label"	"Soll auf Wunsch von Patienten medizinisch mögliche lebensverlängernde Behandlung abgebrochen werden"
"f12_1"	"1"	"dafür"
"f12_1"	"2"	"dagegen"
"f12_1"	"3"	"weiß nicht, kann ich nicht sagen"
"f12_2"	"Variable Label"	"Soll auf Wunsch von Patienten von Arzt ein Mittel verabreicht werden das Tod herbeiführt"
"f12_2"	"1"	"dafür"
"f12_2"	"2"	"dagegen"
"f12_2"	"3"	"weiß nicht, kann ich nicht sagen"
"f12_3"	"Variable Label"	"Diese Personen nimmt ein Mittel ein, das ein Fachpersonal zur Verfügung stellt"
"f12_3"	"1"	"dafür"
"f12_3"	"2"	"dagegen"
"f12_3"	"3"	"weiß nicht, kann ich nicht sagen"
"f13"	"Variable Label"	"Wie viele Menschen sind Ihnen so nahe, dass Sie auf sie zählen können, wenn Sie ein ernstes persönliches Problem haben?"
"f13"	"1"	"niemand, keiner"
"f13"	"2"	"1 oder 2 Menschen"
"f13"	"3"	"3 bis 5 Menschen"
"f13"	"4"	"mehr als 5 Menschen"
"f13"	"5"	"weiß nicht"
"f13_1_008"	"Variable Label"	"Chronische Erkrankung - Chronische Atemwegs- bzw. Lungenerkrankung"
"f13_1_008"	"0"	"nein"
"f13_1_008"	"1"	"ja"
"f13_2_008"	"Variable Label"	"Chronische Erkrankung - Diabetes"
"f13_2_008"	"0"	"nein"
"f13_2_008"	"1"	"ja"
"f13_3_008"	"Variable Label"	"Chronische Erkrankung - Herzkreislauferkrankung oder Schlaganfall"
"f13_3_008"	"0"	"nein"
"f13_3_008"	"1"	"ja"
"f13_4_008"	"Variable Label"	"Chronische Erkrankung - Krebserkrankung"
"f13_4_008"	"0"	"nein"
"f13_4_008"	"1"	"ja"
"f13_5_008"	"Variable Label"	"Chronische Erkrankung - Bluthochdruck"
"f13_5_008"	"0"	"nein"
"f13_5_008"	"1"	"ja"
"f13_6_008"	"Variable Label"	"Chronische Erkrankung - Erkrankung und Therapien, die das Immunsystem schwächen"
"f13_6_008"	"0"	"nein"
"f13_6_008"	"1"	"ja"
"f13_7_008"	"Variable Label"	"Chronische Erkrankung - psychische Erkrankung oder Problem"
"f13_7_008"	"0"	"nein"
"f13_7_008"	"1"	"ja"
"f13_8_008"	"Variable Label"	"Chronische Erkrankung - andere schwerere Erkrankungen"
"f13_8_008"	"0"	"nein"
"f13_8_008"	"1"	"ja"
"f13_9_008"	"Variable Label"	"Chronische Erkrankung - nein, nichts davon"
"f13_9_008"	"0"	"nein"
"f13_9_008"	"1"	"ja"
"f14"	"Variable Label"	"Wieviel Interesse und Anteilnahme zeigen andere Menschen an dem, was Sie tun?"
"f14"	"1"	"sehr viel Interesse und Anteilnahme"
"f14"	"2"	"ziemlich viel"
