variable	value	Label
"datum"	"Variable Label"	"<keine>"
"doi"	"Variable Label"	"digital object identifier"
"f1"	"Variable Label"	"Was ist Ihre derzeitige berufliche Situation? Was haben Sie im letzten Monat hauptsächlich gemacht?"
"f1"	"1"	"In Kurzarbeit"
"f1"	"2"	"Vollzeit beschäftigt"
"f1"	"3"	"Teilzeit beschäftigt"
"f1"	"4"	"Geringfügig erwerbstätig"
"f1"	"5"	"Karenz / Elternteilzeit (aufrechtes Dienstverhältnis)"
"f1"	"6"	"Selbstständig / freiberuflich tätig"
"f1"	"8"	"In Ausbildung, Lehrling, Schüler(in), Student(in)"
"f1"	"9"	"Arbeitslos / AMS-Schulung"
"f1"	"10"	"Arbeitsunfähig (Erkrankung, Behinderung)"
"f1"	"11"	"Hausarbeit und / oder Kinderbetreuung"
"f1"	"12"	"In Pension"
"f1"	"13"	"Sonstiges"
"f10"	"Variable Label"	"Wie viele Stunden arbeitet Ihr Partner / Ihre Partnerin derzeit durchschnittlich pro Woche? [...]"
"f10"	"0"	"0 Stunden"
"f10"	"1"	"1 bis 9 Stunden"
"f10"	"2"	"10 bis 19 Stunden"
"f10"	"3"	"20 bis 29 Stunden"
"f10"	"4"	"30 bis 39 Stunden"
"f10"	"5"	"40 bis 49 Stunden"
"f10"	"6"	"50 Stunden und mehr"
"f10"	"7"	"Kann ich nicht sagen, das ist jede Woche anders."
"f11"	"Variable Label"	"Wie oft arbeitet Ihr Partner / Ihre Partnerin derzeit von zu Hause aus?"
"f11"	"1"	"täglich"
"f11"	"2"	"mehrmals pro Woche"
"f11"	"3"	"mehrmals pro Monat"
"f11"	"4"	"seltener"
"f11"	"5"	"nie"
"f12"	"Variable Label"	"Wie viele Stunden pro Woche würden Sie gerne arbeiten, wenn Sie es sich aussuchen könnten? Bedenken Sie dabei, dass sich Ihr Einkommen je nach Anzahl der Arbeitstunden erhöhen oder verringern würde."
"f12"	"1"	"1 bis 10 Stunden"
"f12"	"2"	"11 bis 19 Stunden"
"f12"	"3"	"20 bis 29 Stunden"
"f12"	"4"	"30 bis 39 Stunden"
"f12"	"5"	"40 bis 49 Stunden"
"f12"	"6"	"50 bis 70 Stunden"
"f12"	"8"	"Ich möchte gar nicht arbeiten."
"f12"	"9"	"(Weiß nicht)"
"f13"	"Variable Label"	"Wenn Sie wählen könnten: Wie viele Stunden pro Woche sollte Ihr Partner/Ihre Partnerin derzeit arbeiten, wenn überhaupt? Bitte denken Sie daran, dass das Einkommen Ihres Partners/Ihrer Partnerin mit der Anzahl der Arbeitsstunden zu- oder abnimmt."
"f13"	"1"	"1 bis 15 Stunden"
"f13"	"2"	"16 bis 20 Stunden"
"f13"	"3"	"21 bis 29 Stunden"
"f13"	"4"	"30 bis 39 Stunden"
"f13"	"5"	"40 bis 70 Stunden"
"f13"	"8"	"Keine Erwerbstätigkeit des Partners / der Partnerin gewünscht."
"f13"	"9"	"(Weiß nicht)"
"f14"	"Variable Label"	"Wie viele Sorgen machen Sie sich, dass Sie aufgrund der Corona-Krise Ihren Arbeitsplatz / Job verlieren?"
"f14"	"-3"	"trifft nicht zu"
"f14"	"0"	"0-gar keine Sorgen"
"f14"	"1"	"1"
"f14"	"2"	"2"
"f14"	"3"	"3"
"f14"	"4"	"4"
"f14"	"5"	"5"
"f14"	"6"	"6"
"f14"	"7"	"7"
"f14"	"8"	"8"
"f14"	"9"	"9"
"f14"	"10"	"10-sehr große Sorgen"
"f15"	"Variable Label"	"Wie viele Sorgen machen Sie sich, dass Ihr Partner / Ihre Partnerin aufgrund der Corona-Krise den Arbeitsplatz / Job verliert?"
"f15"	"-3"	"trifft nicht zu"
"f15"	"0"	"0-gar keine Sorgen"
"f15"	"1"	"1"
"f15"	"2"	"2"
"f15"	"3"	"3"
"f15"	"4"	"4"
"f15"	"5"	"5"
"f15"	"6"	"6"
"f15"	"7"	"7"
"f15"	"8"	"8"
"f15"	"9"	"9"
"f15"	"10"	"10-sehr große Sorgen"
