variable	value	Label
"A1"	"Variable Label"	"candidate's party"
"A1"	"1"	"SPO"
"A1"	"2"	"OVP"
"A1"	"3"	"FPO"
"A1"	"4"	"BZO"
"A1"	"5"	"GRUNE"
"A1"	"6"	"KPO"
"A1"	"7"	"NEOS"
"A1"	"8"	"PIRAT"
"A1"	"9"	"FRANK"
"A1"	"10"	"CPO"
"A1"	"11"	"WANDL"
"A1"	"12"	"EUAUS"
"A1"	"13"	"M"
"A1"	"14"	"SLP"
"A1"	"88"	"not codable"
"A1"	"99"	"not answered"
"A3_1"	"Variable Label"	"member of another party"
"A3_1"	"0"	"no"
"A3_1"	"1"	"yes"
"A3_1"	"88"	"not codable"
"A3_1"	"99"	"not answered"
"A4_1"	"Variable Label"	"personal cause"
"A4_1"	"0"	"no"
"A4_1"	"1"	"yes"
"A4_1"	"88"	"not codable"
"A4_1"	"99"	"not answered"
"A4_2"	"Variable Label"	"personal causes"
"A5_a"	"Variable Label"	"win a mandate"
"A5_a"	"0"	"not at all important"
"A5_a"	"1"	"not very important"
"A5_a"	"2"	"fairly important"
"A5_a"	"3"	"very important"
"A5_a"	"88"	"not codable"
"A5_a"	"99"	"not answered"
"A5_b"	"Variable Label"	"take step forward in political career"
"A5_b"	"0"	"not at all important"
"A5_b"	"1"	"not very important"
"A5_b"	"2"	"fairly important"
"A5_b"	"3"	"very important"
"A5_b"	"88"	"not codable"
"A5_b"	"99"	"not answered"
"A5_c"	"Variable Label"	"show loyalty with party"
"A5_c"	"0"	"not at all important"
"A5_c"	"1"	"not very important"
"A5_c"	"2"	"fairly important"
"A5_c"	"3"	"very important"
"A5_c"	"88"	"not codable"
"A5_c"	"99"	"not answered"
"A5_d"	"Variable Label"	"support real political alternative"
"A5_d"	"0"	"not at all important"
"A5_d"	"1"	"not very important"
"A5_d"	"2"	"fairly important"
"A5_d"	"3"	"very important"
"A5_d"	"88"	"not codable"
"A5_d"	"99"	"not answered"
"A6_a"	"Variable Label"	"local party office"
"A6_a"	"0"	"no, never"
"A6_a"	"1"	"yes, previously"
"A6_a"	"2"	"yes, currently"
"A6_a"	"88"	"not codable"
"A6_a"	"99"	"not answered"
"A6_b"	"Variable Label"	" regional party office - Land"
"A6_b"	"0"	"no, never"
"A6_b"	"1"	"yes, previously"
"A6_b"	"2"	"yes, currently"
"A6_b"	"88"	"not codable"
"A6_b"	"99"	"not answered"
"A6_c"	"Variable Label"	" national party office"
"A6_c"	"0"	"no, never"
"A6_c"	"1"	"yes, previously"
"A6_c"	"2"	"yes, currently"
"A6_c"	"88"	"not codable"
"A6_c"	"99"	"not answered"
"A6_d"	"Variable Label"	"mayor"
"A6_d"	"0"	"no, never"
"A6_d"	"1"	"yes, previously"
"A6_d"	"2"	"yes, currently"
"A6_d"	"88"	"not codable"
"A6_d"	"99"	"not answered"
"A6_e"	"Variable Label"	"member local assembly"
"A6_e"	"0"	"no, never"
"A6_e"	"1"	"yes, previously"
"A6_e"	"2"	"yes, currently"
"A6_e"	"88"	"not codable"
"A6_e"	"99"	"not answered"
"A6_f"	"Variable Label"	"member regional parliament - Land"
"A6_f"	"0"	"no, never"
"A6_f"	"1"	"yes, previously"
"A6_f"	"2"	"yes, currently"
"A6_f"	"88"	"not codable"
"A6_f"	"99"	"not answered"
"A6_g"	"Variable Label"	"member regional governance - Land"
"A6_g"	"0"	"no, never"
"A6_g"	"1"	"yes, previously"
"A6_g"	"2"	"yes, currently"
"A6_g"	"88"	"not codable"
"A6_g"	"99"	"not answered"
"A6_h"	"Variable Label"	"political office EU"
"A6_h"	"0"	"no, never"
"A6_h"	"1"	"yes, previously"
"A6_h"	"2"	"yes, currently"
"A6_h"	"88"	"not codable"
"A6_h"	"99"	"not answered"
"A6_i"	"Variable Label"	"employed by politician (state, federal or EU level)"
"A6_i"	"0"	"no, never"
"A6_i"	"1"	"yes, previously"
"A6_i"	"2"	"yes, currently"
"A6_i"	"88"	"not codable"
"A6_i"	"99"	"not answered"
"A6_j"	"Variable Label"	"employed by party or related organization"
"A6_j"	"0"	"no, never"
"A6_j"	"1"	"yes, previously"
"A6_j"	"2"	"yes, currently"
"A6_j"	"88"	"not codable"
"A6_j"	"99"	"not answered"
"A7_a_1"	"Variable Label"	"labour union meetings"
"A7_a_1"	"0"	"never"
"A7_a_1"	"1"	"once or twice a year"
"A7_a_1"	"2"	"every 3 months"
"A7_a_1"	"3"	"once a month"
"A7_a_1"	"4"	"once a week"
"A7_a_1"	"88"	"not codable"
"A7_a_1"	"99"	"not answered"
"A7_a_2"	"Variable Label"	"labour union member"
"A7_a_2"	"0"	"no"
"A7_a_2"	"1"	"yes"
"A7_a_2"	"88"	"not codable"
"A7_a_2"	"99"	"not answered"
"A7_b_1"	"Variable Label"	"Meetings Chamber of Labour"
"A7_b_1"	"0"	"never"
"A7_b_1"	"1"	"once or twice a year"
"A7_b_1"	"2"	"every 3 months"
"A7_b_1"	"3"	"once a month"
"A7_b_1"	"4"	"once a week"
"A7_b_1"	"88"	"not codable"
"A7_b_1"	"99"	"not answered"
"A7_b_2"	"Variable Label"	"MemberChamber of Labour"
"A7_b_2"	"0"	"no"
"A7_b_2"	"1"	"yes"
"A7_b_2"	"88"	"not codable"
"A7_b_2"	"99"	"not answered"
"A7_c_1"	"Variable Label"	"Meetings Chamber of Agriculture"
"A7_c_1"	"0"	"never"
"A7_c_1"	"1"	"once or twice a year"
"A7_c_1"	"2"	"every 3 months"
"A7_c_1"	"3"	"once a month"
"A7_c_1"	"4"	"once a week"
"A7_c_1"	"88"	"not codable"
"A7_c_1"	"99"	"not answered"
"A7_c_2"	"Variable Label"	"Member Chamber of Agriculture"
"A7_c_2"	"0"	"no"
"A7_c_2"	"1"	"yes"
"A7_c_2"	"88"	"not codable"
"A7_c_2"	"99"	"not answered"
"A7_d_1"	"Variable Label"	"Meetings of Austrian Federal Economic Chamber"
"A7_d_1"	"0"	"never"
"A7_d_1"	"1"	"once or twice a year"
"A7_d_1"	"2"	"every 3 months"
"A7_d_1"	"3"	"once a month"
"A7_d_1"	"4"	"once a week"
"A7_d_1"	"88"	"not codable"
"A7_d_1"	"99"	"not answered"
"A7_d_2"	"Variable Label"	"Member of Austrian Federal Economic Chamber"
"A7_d_2"	"0"	"no"
"A7_d_2"	"1"	"yes"
"A7_d_2"	"88"	"not codable"
"A7_d_2"	"99"	"not answered"
"A7_e_1"	"Variable Label"	"Meetings other chamber"
"A7_e_1"	"0"	"never"
"A7_e_1"	"1"	"once or twice a year"
"A7_e_1"	"2"	"every 3 months"
"A7_e_1"	"3"	"once a month"
"A7_e_1"	"4"	"once a week"
"A7_e_1"	"88"	"not codable"
"A7_e_1"	"99"	"not answered"
"A7_e_2"	"Variable Label"	"Member other chamber"
"A7_e_2"	"0"	"no"
"A7_e_2"	"1"	"yes"
"A7_e_2"	"88"	"not codable"
"A7_e_2"	"99"	"not answered"
"A7_f_1"	"Variable Label"	"Meetings Federation of Austrian Industries"
"A7_f_1"	"0"	"never"
"A7_f_1"	"1"	"once or twice a year"
"A7_f_1"	"2"	"every 3 months"
"A7_f_1"	"3"	"once a month"
"A7_f_1"	"4"	"once a week"
"A7_f_1"	"88"	"not codable"
"A7_f_1"	"99"	"not answered"
"A7_f_2"	"Variable Label"	"Member Federation of Austrian Industries"
"A7_f_2"	"0"	"no"
"A7_f_2"	"1"	"yes"
"A7_f_2"	"88"	"not codable"
"A7_f_2"	"99"	"not answered"
"A7_g_1"	"Variable Label"	"Meetings interest group NGO"
"A7_g_1"	"0"	"never"
"A7_g_1"	"1"	"once or twice a year"
"A7_g_1"	"2"	"every 3 months"
"A7_g_1"	"3"	"once a month"
"A7_g_1"	"4"	"once a week"
"A7_g_1"	"88"	"not codable"
"A7_g_1"	"99"	"not answered"
"A7_g_2"	"Variable Label"	"Member interest group NGO"
"A7_g_2"	"0"	"no"
"A7_g_2"	"1"	"yes"
"A7_g_2"	"88"	"not codable"
"A7_g_2"	"99"	"not answered"
"A7_h_1"	"Variable Label"	"Meetings citizen action group"
"A7_h_1"	"0"	"never"
"A7_h_1"	"1"	"once or twice a year"
"A7_h_1"	"2"	"every 3 months"
"A7_h_1"	"3"	"once a month"
"A7_h_1"	"4"	"once a week"
"A7_h_1"	"88"	"not codable"
"A7_h_1"	"99"	"not answered"
"A7_h_2"	"Variable Label"	"Member citizen action group"
"A7_h_2"	"0"	"no"
"A7_h_2"	"1"	"yes"
"A7_h_2"	"88"	"not codable"
"A7_h_2"	"99"	"not answered"
"A7_i_1"	"Variable Label"	"Meetings voluntary aid organisation"
"A7_i_1"	"0"	"never"
"A7_i_1"	"1"	"once or twice a year"
"A7_i_1"	"2"	"every 3 months"
"A7_i_1"	"3"	"once a month"
"A7_i_1"	"4"	"once a week"
"A7_i_1"	"88"	"not codable"
"A7_i_1"	"99"	"not answered"
"A7_i_2"	"Variable Label"	"Member voluntary aid organisation."
"A7_i_2"	"0"	"no"
"A7_i_2"	"1"	"yes"
"A7_i_2"	"88"	"not codable"
"A7_i_2"	"99"	"not answered"
"A7_j_1"	"Variable Label"	"Meetings cultural organisation"
"A7_j_1"	"0"	"never"
"A7_j_1"	"1"	"once or twice a year"
"A7_j_1"	"2"	"every 3 months"
"A7_j_1"	"3"	"once a month"
"A7_j_1"	"4"	"once a week"
