variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"id"	"Variable Label"	"Identifier"
"klasse"	"Variable Label"	"Klasse"
"klasse"	"1"	"1. Klasse"
"klasse"	"4"	"4. Klasse"
"klasse"	"5"	"5. Klasse"
"klasse"	"8"	"8. Klasse"
"region"	"Variable Label"	"Region"
"region"	"1"	"West (Tirol ohne Osttirol, Vorarlberg, Salzburg)"
"region"	"2"	"Ost (Niederösterreich, Nord- und Mittelburgenland)"
"region"	"3"	"Süd (Osttirol, Südburgenland, Kärnten, Steiermark)"
"region"	"4"	"Nord (Oberösterreich)"
"region"	"5"	"Wien"
"schulart"	"Variable Label"	"Schulart"
"schulart"	"1"	"Volksschule"
"schulart"	"2"	"Hauptschule"
"schulart"	"3"	"AHS"
"schulart"	"4"	"BMS"
"schulart"	"5"	"BHS"
"schulart"	"6"	"Polytechnische Schule"
"schulart"	"7"	"Berufsschule"
"stufe"	"Variable Label"	"Schulstufe"
"v01_1_a"	"Variable Label"	"Information Ausbildungsmöglichkeiten"
"v01_1_a"	"1"	"sehr gut"
"v01_1_a"	"2"	"gut"
"v01_1_a"	"3"	"mittel"
"v01_1_a"	"4"	"weniger gut"
"v01_1_a"	"5"	"gar nicht gut"
"v01_1_a"	"99"	"k.A."
"v01_1_b"	"Variable Label"	"Information Arbeitsmarktchancen"
"v01_1_b"	"1"	"sehr gut"
"v01_1_b"	"2"	"gut"
"v01_1_b"	"3"	"mittel"
"v01_1_b"	"4"	"weniger gut"
"v01_1_b"	"5"	"gar nicht gut"
"v01_1_b"	"99"	"k.A."
"v01_a"	"Variable Label"	"eigenständige Informationssuche"
"v01_a"	"1"	"ja"
"v01_a"	"2"	"nein"
"v01_a"	"3"	"sehr hilfreich"
"v01_a"	"99"	"k.A."
"v01_b"	"Variable Label"	"selbständige Informationssuche Kind"
"v01_b"	"1"	"ja"
"v01_b"	"2"	"nein"
"v01_b"	"3"	"sehr hilfreich"
"v01_b"	"99"	"k.A."
"v01_c"	"Variable Label"	"persönliche Beratung"
"v01_c"	"1"	"ja"
"v01_c"	"2"	"nein"
"v01_c"	"3"	"sehr hilfreich"
"v01_c"	"99"	"k.A."
"v01_d"	"Variable Label"	"Broschüren gelesen"
"v01_d"	"1"	"ja"
"v01_d"	"2"	"nein"
"v01_d"	"3"	"sehr hilfreich"
"v01_d"	"99"	"k.A."
"v01_e"	"Variable Label"	"schulische Angebote"
"v01_e"	"1"	"ja"
"v01_e"	"2"	"nein"
