variable	value	Label
"A1x01"	"Variable Label"	"Bitte geben Sie das Alter des Kindes an, das in die/das {TOKEN:ATTRIBUTE_2} geht."
"A1x01"	"6"	"6 Jahre"
"A1x01"	"7"	"7 Jahre"
"A1x01"	"8"	"8 Jahre"
"A1x01"	"9"	"9 Jahre"
"A1x01"	"10"	"10 Jahre"
"A1x01"	"11"	"11 Jahre"
"A1x01"	"12"	"12 Jahre"
"A1x01"	"13"	"13 Jahre"
"A1x01"	"14"	"14 Jahre"
"A1x01"	"15"	"15 Jahre"
"A1x01"	"16"	"16 Jahre"
"A1x01"	"17"	"17 Jahre"
"A1x01"	"18"	"18 Jahre"
"A1x01"	"19"	"19 Jahre"
"A1x01"	"20"	"20 Jahre"
"A1x02"	"Variable Label"	"Bitte geben Sie das Geschlecht des Kindes an."
"A1x02"	"Variable Label"	"weiblich"
"A1x02"	"2"	"männlich"
"A1x02"	"3"	"sonstiges/keine Angabe"
"A1x03"	"Variable Label"	"Welchen Schultyp besucht das Kind?"
"A1x03"	"Variable Label"	"Volksschule"
"A1x03"	"2"	"Mittelschule"
"A1x03"	"3"	"Sonderschule"
"A1x03"	"4"	"Polytechnische Schule"
"A1x03"	"5"	"AHS-Unterstufe"
"A1x03"	"6"	"AHS-Oberstufe"
"A1x03"	"7"	"Berufsbildende Mittlere Schule"
"A1x03"	"8"	"Berufsbildende Höhere Schule"
"A1x03"	"999"	"anderes"
"A1x04"	"Variable Label"	"Nimmt/Nahm das Kind im aktuellen/letzten Lockdown (November/Dezember 2021) am Unterricht in der Schule teil?"
"A1x04"	"Variable Label"	"Ja"
"A1x04"	"2"	"Nein"
"A1x04"	"3"	"Teilweise"
"A1x04a"	"Variable Label"	"Warum nimmt/nahm das Kind nicht am Unterricht in der Schule teil?"
"A1x04a"	"Variable Label"	"Die Schule oder Klasse meines Kindes ist/war geschlossen"
"A1x04a"	"2"	"Wegen der Möglichkeit des Fernbleibens von der Schule, auch ohne ärztliche Bestätigung"
"A1x04a"	"3"	"Krankheit des Kindes"
"A1x04a"	"999"	"Sonstiges"
"A1x05"	"Variable Label"	"Nun zu den Selbsttests in der Schule  Wie gut kann/konnte das Kind die Antigentests mittels vorderem Nasenabstrich (Nasenbohrtest) selbstständig durchführen?"
"A1x05"	"Variable Label"	"Sehr schlecht"
"A1x05"	"2"	"Eher schlecht"
"A1x05"	"3"	"Eher gut"
"A1x05"	"4"	"Sehr gut"
"A1x06"	"Variable Label"	"Wie gut kann/konnte das Kind die PCR-Tests an der Schule mittels Spülen/Gurgeln selbstständig durchführen?"
