variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Sichere Pensionen"
"v01"	"1"	"ja"
"v01"	"2"	"nein"
"v01"	"3"	"W.N./K.A."
"v03"	"Variable Label"	"Wer von Pensionsreform betroffen?"
"v03"	"1"	"Heutige Pensionisten"
"v03"	"2"	"Künftige Pensionisten"
"v03"	"3"	"Sowohl als auch"
"v03"	"4"	"W.N./K.A."
"v04"	"Variable Label"	"Beamte sind nicht besser gestellt"
"v04"	"1"	"stimme voll zu"
"v04"	"2"	"stimme eher zu"
"v04"	"3"	"steimme eher nicht zu"
"v04"	"4"	"stimme gar nicht zu"
"v04"	"5"	"W.N./K.A."
"v07"	"Variable Label"	"Volksbegehren über EURO"
"v07"	"1"	"sinnvoll"
"v07"	"2"	"sinnlos"
"v07"	"3"	"ist mir egal"
"v07"	"4"	"W.N./K.A."
"v08"	"Variable Label"	"Zufriedenheit mit Bundeskanzler Vranitzky"
"v08"	"1"	"sehr zufrieden"
"v08"	"2"	"eher schon zufrieden"
"v08"	"3"	"eher nicht zufrieden"
"v08"	"4"	"gar nicht zufrieden"
"v08"	"5"	"W.N./K.A."
"v09"	"Variable Label"	"Soll Vranitzky wieder eine Rolle spielen?"
"v09"	"1"	"ja"
"v09"	"2"	"nein"
"v09"	"3"	"W.N./K.A."
"v10"	"Variable Label"	"Chancen von Dr. Klestil"
"v10"	"1"	"würde mit großer Mehrheit gewinnen"
"v10"	"2"	"Würde knapp gewinnen"
"v10"	"3"	"Würde verlieren"
"v10"	"4"	"Kommt auf Gegenkandidaten an"
"v10"	"5"	"W.N./K.A."
"v11"	"Variable Label"	"Soll Österreich Mitglied der EU bleiben?"
"v11"	"1"	"Bei der EU bleiben"
"v11"	"2"	"Wieder austreten"
"v11"	"3"	"W.N./K.A."
"v12"	"Variable Label"	"Geschlecht"
"v12"	"1"	"Männlich"
"v12"	"2"	"Weiblich"
"v13"	"Variable Label"	"Alter"
"v13"	"1"	"16 bis 24 Jahre"
"v13"	"2"	"25 bis 39 Jahre"
"v13"	"3"	"40 bis 59 Jahre"
"v13"	"4"	"Ab 60 Jahre"
"v14"	"Variable Label"	"Bildung"
"v14"	"1"	"Matura/Universität"
"v14"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v14"	"3"	"Pflichtschule ohne weiterer Ausbildung"
"v15"	"Variable Label"	"Tätigkeit"
"v15"	"1"	"In Ausbildung"
"v15"	"2"	"Nicht berufstätig"
"v15"	"3"	"Pension"
"v15"	"4"	"Selbständig/Landwirt"
"v15"	"5"	"Arbeiter"
"v15"	"6"	"Angestellte"
"v15"	"7"	"Beamte"
"v16"	"Variable Label"	"Parteipräferenz"
"v16"	"1"	"SPÖ"
"v16"	"2"	"ÖVP"
"v16"	"3"	"FPÖ"
"v16"	"4"	"KPÖ"
"v16"	"5"	"GAL"
"v16"	"6"	"LIF"
"v16"	"7"	"Keine"
"v16"	"8"	"K.A."
"v17"	"Variable Label"	"Bundesland"
"v17"	"1"	"Wien"
"v17"	"2"	"Niederösterreich"
"v17"	"3"	"Burgenland"
"v17"	"4"	"Steiermark"
"v17"	"5"	"Kärnten"
"v17"	"6"	"Oberösterreich"
"v17"	"7"	"Salzburg"
"v17"	"8"	"Tirol"
"v17"	"9"	"Vorarlberg"
"v2a"	"Variable Label"	"Wenn Aktive höhere Beiträge zahlen"
"v2a"	"1"	"ja"
"v2a"	"2"	"nein"
"v2a"	"3"	"W.N./K.A."
