variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"f1"	"Variable Label"	"Altersklausel"
"f1"	"1"	"ausnahmslos anwenden"
"f1"	"2"	"Ausnahmemöglichkeiten"
"f1"	"3"	"abschaffen"
"f1"	"4"	"anderes"
"f1"	"5"	"weiß nicht"
"f10"	"Variable Label"	"Informiert über Erdbeben in Italien"
"f10"	"1"	"ja"
"f10"	"2"	"nein"
"f11"	"Variable Label"	"Hilfe Österreichs für Erdbebenopfer"
"f11"	"1"	"zuwenig"
"f11"	"2"	"genug"
"f11"	"3"	"zuviel"
"f11"	"4"	"anderes"
"f11"	"5"	"weiß nicht"
"f2"	"Variable Label"	"Altersklausel Kreisky"
"f2"	"1"	"Klausel anwenden"
"f2"	"2"	"Bundeskanzler bleiben"
"f2"	"3"	"anderes"
"f2"	"4"	"weiß nicht"
"f3"	"Variable Label"	"Minderheiten"
"f3"	"1"	"gut, daß es sie gibt"
"f3"	"2"	"besser ohne Minderheiten"
"f3"	"3"	"teilweise gut"
"f3"	"4"	"anderes"
"f3"	"5"	"weiß nicht"
"f4_1"	"Variable Label"	"Minderheitenrechte Amtssprache"
"f4_1"	"Variable Label"	"nein"
"f4_1"	"1"	"ja"
"f4_2"	"Variable Label"	"Minderheitenrechte Ortstafeln zweisprachig"
"f4_2"	"Variable Label"	"nein"
"f4_2"	"1"	"ja"
"f4_3"	"Variable Label"	"Minderheitenrechte Schulen zweisprachig"
"f4_3"	"Variable Label"	"nein"
"f4_3"	"1"	"ja"
"f4_4"	"Variable Label"	"Minderheitenrechte ist mir egal"
"f4_4"	"Variable Label"	"nein"
"f4_4"	"1"	"ja"
"f4_5"	"Variable Label"	"Minderheitenrechte keine Ausnahmen machen"
"f4_5"	"Variable Label"	"nein"
"f4_5"	"1"	"ja"
"f4_6"	"Variable Label"	"Minderheitenrechte anderes"
"f4_6"	"Variable Label"	"nein"
"f4_6"	"1"	"ja"
"f4_7"	"Variable Label"	"Minderheitenrechte weiß nicht"
"f4_7"	"Variable Label"	"nein"
"f4_7"	"1"	"ja"
"f5"	"Variable Label"	"Minderheitenrechte Bevölkerungsanteil"
"f5"	"1"	"unter 10%"
"f5"	"2"	"ab 10%"
"f5"	"3"	"ab 20%"
"f5"	"4"	"ab 25%"
"f5"	"5"	"ab 30%"
"f5"	"6"	"ab 50%"
"f5"	"7"	"anderes"
"f5"	"8"	"weiß nicht"
"f6"	"Variable Label"	"Beurteilung der Wirtschaftslage"
"f6"	"1"	"in einer Krise"
"f6"	"2"	"Krise überwunden"
"f6"	"3"	"Krise gab es nicht"
"f6"	"4"	"anderes"
"f6"	"5"	"weiß nicht"
"f7"	"Variable Label"	"Überwindung der Krise durch"
"f7"	"1"	"Regierung"
"f7"	"2"	"Sozialpartner"
"f7"	"3"	"Opposition (ÖVP und FPÖ)"
"f7"	"4"	"Nationalbank"
"f7"	"5"	"internationale Entwicklung"
"f7"	"6"	"anderes"
"f7"	"7"	"weiß nicht"
"f8"	"Variable Label"	"ÖGB beseitigen"
"f8"	"1"	"egal"
"f8"	"2"	"aktiv dagegen"
"f8"	"3"	"passiv dagegen"
"f8"	"4"	"aktiv dafür"
"f8"	"5"	"anderes"
"f8"	"6"	"weiß nicht"
"f9"	"Variable Label"	"Katholische Kirche beseitigen"
"f9"	"1"	"egal"
"f9"	"2"	"aktiv dagegen"
"f9"	"3"	"passiv dagegen"
"f9"	"4"	"aktiv dafür"
"f9"	"5"	"anderes"
"f9"	"6"	"weiß nicht"
"fileid"	"Variable Label"	"<keine>"
"s1"	"Variable Label"	"Sex"
"s1"	"1"	"männlich"
"s1"	"2"	"weiblich"
"s2"	"Variable Label"	"Beruf"
"s2"	"1"	"Hilfsarbeiter"
"s2"	"2"	"Facharbeiter"
"s2"	"3"	"Leitender Angestellter, Beamter"
"s2"	"4"	"andere Angestellte, Beamte"
"s2"	"5"	"Rentner, Pensionist"
"s2"	"6"	"Hausfrau"
"s2"	"7"	"Selbständiger"
"s2"	"8"	"Landwirt"
"s2"	"9"	"Andere"
"s3"	"Variable Label"	"Bundesland"
"s3"	"1"	"Wien"
"s3"	"2"	"Burgenland"
"s3"	"3"	"Niederösterreich"
"s3"	"4"	"Oberösterreich"
"s3"	"5"	"Salzburg"
"s3"	"6"	"Tirol"
"s3"	"7"	"Vorarlberg"
"s3"	"8"	"Steiermark"
"s3"	"9"	"Kärnten"
"s4"	"Variable Label"	"Alter"
"s4"	"1"	"unter 20"
"s4"	"2"	"20 bis 25"
"s4"	"3"	"26 bis 35"
"s4"	"4"	"36 bis 50"
"s4"	"5"	"51 bis 65"
"s4"	"6"	"über 65"
"s5"	"Variable Label"	"Schulbildung"
"s5"	"1"	"Volksschule"
"s5"	"2"	"Hauptschule"
"s5"	"3"	"Berufs- oder Handelsschule"
"s5"	"4"	"Mittelschule (Matura)"
"s5"	"5"	"abgeschlossene Hochschule"
"s6"	"Variable Label"	"Parteipräferenz"
"s6"	"1"	"FPÖ"
"s6"	"2"	"KPÖ"
"s6"	"3"	"ÖVP"
"s6"	"4"	"SPÖ"
"s6"	"5"	"keine"
"version"	"Variable Label"	"AUSSDA archive version"
