variable	value	Label
"datum"	"Variable Label"	"Zeitpunkt des Interviews"
"datum"	"1"	"17.5.-21.5.1995"
"datum"	"2"	"22.5.-24.5.1995"
"datum"	"3"	"25.5.-28.5.1995"
"datum"	"4"	"29.5.-31.5.1995"
"datum"	"5"	"1.6.- 6.6.1995"
"datum"	"6"	"K.A."
"doi"	"Variable Label"	"digital object identifier"
"v03"	"Variable Label"	"Rücktrittsforderung der Sicherheitsbeamten"
"v03"	"1"	"Habe vollstes Verständnis"
"v03"	"2"	"Habe ein gewisses Verständnis"
"v03"	"3"	"Habe überhaupt kein Verständnis"
"v03"	"4"	"Weiß nicht"
"v04"	"Variable Label"	"Notwendigkeit eines neuen Sparpakets"
"v04"	"1"	"Sparpaket ist nötig"
"v04"	"2"	"Sparpaket ist nicht nötig"
"v04"	"3"	"Weiß nicht"
"v05"	"Variable Label"	"Sozialpartner miteinbeziehen?"
"v05"	"1"	"Regierung soll allein beschließen"
"v05"	"2"	"Regierung soll Sozialpartner miteinbeziehen"
"v05"	"3"	"Weiß nicht"
"v06"	"Variable Label"	"Primäre Methode zur Verringerung des Budgetdefizits"
"v06"	"1"	"Durch Einsparungen"
"v06"	"2"	"Durch höhere Steuern"
"v06"	"3"	"Andere Antworten"
"v06"	"4"	"Weiß nicht"
"v07"	"Variable Label"	"Besteuerung von Urlaubs- und Weihnachtsgeld"
"v07"	"1"	"Vertretbar"
"v07"	"2"	"Nicht vertretbar"
"v07"	"3"	"Weiß nicht"
"v08"	"Variable Label"	"Von Besteuerung selbst betroffen?"
"v08"	"1"	"Wäre betroffen"
"v08"	"2"	"Wäre nicht betroffen"
"v08"	"3"	"Weiß nicht"
"v09"	"Variable Label"	"Verwendung der Einnahmen aus Energiesteuer"
"v09"	"1"	"Für Verringerung des Bidgetdefizits"
"v09"	"2"	"Für Umweltschutzmaßnahmen"
"v09"	"3"	"Weiß nicht"
"v10"	"Variable Label"	"Fürs Sparen, solange es einen nicht selber trifft"
"v10"	"1"	"Stimme voll zu"
"v10"	"2"	"Stimme teilweise zu"
"v10"	"3"	"Stimme gar nicht zu"
"v10"	"4"	"Weiß nicht"
"v11"	"Variable Label"	"Geschlecht"
"v11"	"1"	"Männlich"
