variable	value	Label
A1_1	Variable Label	Kennen: Bus- oder LKW-Fahrer/in
A1_1	1	Familienmitglied oder Verwandte/r
A1_1	2	Guter Freund / gute Freundin
A1_1	3	Bekannte/r
A1_1	4	Niemand
A1_1	8	[Kann ich nicht sagen]
A1_10	Variable Label	Kennen: Lehrer/in
A1_10	1	Familienmitglied oder Verwandte/r
A1_10	2	Guter Freund / gute Freundin
A1_10	3	Bekannte/r
A1_10	4	Niemand
A1_10	8	[Kann ich nicht sagen]
A1_2	Variable Label	Kennen: Mitglied Geschäftsführung großes Unternehmen
A1_2	1	Familienmitglied oder Verwandte/r
A1_2	2	Guter Freund / gute Freundin
A1_2	3	Bekannte/r
A1_2	4	Niemand
A1_2	8	[Kann ich nicht sagen]
A1_3	Variable Label	Kennen: Reinigungskraft
A1_3	1	Familienmitglied oder Verwandte/r
A1_3	2	Guter Freund / gute Freundin
A1_3	3	Bekannte/r
A1_3	4	Niemand
A1_3	8	[Kann ich nicht sagen]
A1_4	Variable Label	Kennen: Friseur/in
A1_4	1	Familienmitglied oder Verwandte/r
A1_4	2	Guter Freund / gute Freundin
A1_4	3	Bekannte/r
A1_4	4	Niemand
A1_4	8	[Kann ich nicht sagen]
A1_5	Variable Label	Kennen: Leiter/in Personalabteilung
A1_5	1	Familienmitglied oder Verwandte/r
A1_5	2	Guter Freund / gute Freundin
A1_5	3	Bekannte/r
A1_5	4	Niemand
A1_5	8	[Kann ich nicht sagen]
A1_6	Variable Label	Kennen: Rechtsanwalt/Rechtsanwältin
A1_6	1	Familienmitglied oder Verwandte/r
A1_6	2	Guter Freund / gute Freundin
A1_6	3	Bekannte/r
A1_6	4	Niemand
A1_6	8	[Kann ich nicht sagen]
A1_7	Variable Label	Kennen: Automechaniker/in
A1_7	1	Familienmitglied oder Verwandte/r
A1_7	2	Guter Freund / gute Freundin
A1_7	3	Bekannte/r
A1_7	4	Niemand
A1_7	8	[Kann ich nicht sagen]
A1_8	Variable Label	Kennen: Krankenpfleger/in
A1_8	1	Familienmitglied oder Verwandte/r
A1_8	2	Guter Freund / gute Freundin
A1_8	3	Bekannte/r
A1_8	4	Niemand
A1_8	8	[Kann ich nicht sagen]
A1_9	Variable Label	Kennen: Polizist/in
A1_9	1	Familienmitglied oder Verwandte/r
A1_9	2	Guter Freund / gute Freundin
A1_9	3	Bekannte/r
A1_9	4	Niemand
A1_9	8	[Kann ich nicht sagen]
A10	Variable Label	Fairness anderer Leute
A10	1	fast immer versuchen, mich auszunützen
A10	2	meistens versuchen, mich auszunützen
A10	3	meistens versuchen, sich mir gegenüber fair zu verhalten
