variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"leer"	"Variable Label"	"<keine>"
"v1"	"Variable Label"	"Wann sollte Ihrer Meinung nach die nächste Nationalratswahl stattfinden?"
"v1"	"1"	"nich heuer im Herbst"
"v1"	"2"	"Mitte 2009 gleichzeitig mit den Wahlen zum Europäischen Parl"
"v1"	"3"	"Im Herbst 2010 zum regulären Termin"
"v1"	"4"	"ist mir egal"
"v1"	"5"	"werde sowieso nicht wählen"
"v1"	"6"	"W.N.K.A."
"v10a"	"Variable Label"	"Für mich wird es Steuererleichterungen geben"
"v10a"	"Variable Label"	"nicht genannt"
"v10a"	"1"	"genannt"
"v10b"	"Variable Label"	"Für mich wird dabei nichts herausschauen"
"v10b"	"Variable Label"	"nicht genannt"
"v10b"	"1"	"genannt"
"v10c"	"Variable Label"	"Nach den nächsten Wahlen wird es ein Sparpaket geben, das mich mehr belasten wird als mir die Steuerreform bringt"
"v10c"	"Variable Label"	"nicht genannt"
"v10c"	"1"	"genannt"
"v10d"	"Variable Label"	"W.N./K.A."
"v10d"	"Variable Label"	"nicht genannt"
"v10d"	"1"	"genannt"
"v11_o_1"	"Variable Label"	"W.N./K.A."
"v11_o_1"	"Variable Label"	"nicht genannt"
"v11_o_1"	"1"	"genannt"
"v11_o_2"	"Variable Label"	"Anderes"
"v11_o_2"	"Variable Label"	"nicht genannt"
"v11_o_2"	"1"	"genannt"
"v11_o_3"	"Variable Label"	"Solarenergie (zur Warmwassererzeugung/Heizung)"
"v11_o_3"	"Variable Label"	"nicht genannt"
"v11_o_3"	"1"	"genannt"
"v11_o_4"	"Variable Label"	"Energie-Sparen / Sparsame Geräte"
"v11_o_4"	"Variable Label"	"nicht genannt"
"v11_o_4"	"1"	"genannt"
"v11_o_5"	"Variable Label"	"Photovoltaik (zur Stromproduktion)"
"v11_o_5"	"Variable Label"	"nicht genannt"
"v11_o_5"	"1"	"genannt"
"v11_o_6"	"Variable Label"	"Biomasse-(Kraftwerke)"
"v11_o_6"	"Variable Label"	"nicht genannt"
"v11_o_6"	"1"	"genannt"
"v11_o_7"	"Variable Label"	"Atomkraftwerke / Kernenergie"
"v11_o_7"	"Variable Label"	"nicht genannt"
"v11_o_7"	"1"	"genannt"
"v11a"	"Variable Label"	"Ausbau der Wasserkraft in den Gebirgslagen"
"v11a"	"1"	"sehr"
"v11a"	"2"	"etwas"
"v11a"	"3"	"gar nicht"
"v11a"	"4"	"W.N./K.A."
"v11b"	"Variable Label"	"Bau des Wasserkraftwerks in Hainburg an der Donau"
"v11b"	"1"	"sehr"
"v11b"	"2"	"etwas"
"v11b"	"3"	"gar nicht"
"v11b"	"4"	"W.N./K.A."
"v11c"	"Variable Label"	"Windräder, so genannte Windparks"
"v11c"	"1"	"sehr"
"v11c"	"2"	"etwas"
"v11c"	"3"	"gar nicht"
"v11c"	"4"	"W.N./K.A."
"v11d"	"Variable Label"	"Kraftwerke auf Erdgasbasis"
"v11d"	"1"	"sehr"
"v11d"	"2"	"etwas"
"v11d"	"3"	"gar nicht"
"v11d"	"4"	"W.N./K.A."
"v12"	"Variable Label"	"Falls der Weltwirtschaft Erdöl und Erdgas ausgehen, sollten wir dann in Österreich Kernkraftwerke zur Stromversorgung errichten?"
"v12"	"1"	"Ja"
"v12"	"2"	"Nein"
"v12"	"3"	"W.N./K.A."
"v13"	"Variable Label"	"Ist der EURO aus diesem Umstand heraus für uns sehr wichtig, wichtig, weniger wichtig oder unwichtig?"
"v13"	"1"	"sehr wichtig"
"v13"	"2"	"wichtig"
"v13"	"3"	"weniger wichtig"
"v13"	"4"	"unwichtig"
"v13"	"5"	"W.N./K.A."
"v14"	"Variable Label"	"Geschlecht"
"v14"	"1"	"männlich"
"v14"	"2"	"weiblich"
"v15"	"Variable Label"	"Alter"
"v15"	"1"	"bis 25 Jahre"
"v15"	"2"	"26-35 Jahre"
"v15"	"3"	"36-50 Jahre"
"v15"	"4"	"51-65 Jahre"
"v15"	"5"	"66-70 Jahre"
"v15"	"6"	"ab 71 Jahre"
"v16"	"Variable Label"	"Schulbildung"
"v16"	"1"	"Hochschule"
"v16"	"2"	"Mittelschule"
"v16"	"3"	"Berufs- oder Handelsschule"
"v16"	"4"	"Pflichtschule ohne weitere Ausbildung (Volks- u. Hauptsch.)"
"v17"	"Variable Label"	"Tätigkeit"
"v17"	"1"	"In Ausbildung (Schule, Lehre, Universität)"
"v17"	"2"	"Pension"
"v17"	"3"	"Nur im Haushalt tätig"
"v17"	"4"	"Arbeitslos"
"v17"	"5"	"Selbständig"
"v17"	"6"	"Landwirt"
"v17"	"7"	"Hilfsarbeiter"
"v17"	"8"	"Facharbeiter"
"v17"	"9"	"Angestellter"
"v17"	"10"	"Beamter"
"v17"	"11"	"Anderes"
"v18"	"Variable Label"	"Aktuelle Parteipräferenz"
"v18"	"1"	"SPÖ"
"v18"	"2"	"ÖVP"
"v18"	"3"	"Grüne"
"v18"	"4"	"FPÖ"
"v18"	"5"	"BZÖ"
"v18"	"6"	"KPÖ"
"v18"	"7"	"Andere"
"v18"	"8"	"Keine"
"v18"	"9"	"K.A."
"v19"	"Variable Label"	"Parteipräferenz früher"
"v19"	"1"	"SPÖ"
"v19"	"2"	"ÖVP"
"v19"	"3"	"Grüne"
"v19"	"4"	"FPÖ"
"v19"	"5"	"BZÖ"
"v19"	"6"	"KPÖ"
"v19"	"7"	"Andere"
"v19"	"8"	"Keine"
"v19"	"9"	"K.A."
"v2"	"Variable Label"	"Hätten Sie eine Volksabstimmung über den EU-Reformvetrag gewollt?"
"v2"	"1"	"Ja"
"v2"	"2"	"Nein"
"v2"	"3"	"Ist mir egal"
"v2"	"4"	"W.N./K.A."
"v20"	"Variable Label"	"Bundesland"
"v20"	"1"	"Wien"
"v20"	"2"	"Burgenland"
"v20"	"3"	"Niederösterreich"
"v20"	"4"	"Oberösterreich"
"v20"	"5"	"Salzburg"
"v20"	"6"	"Tirol"
"v20"	"7"	"Vorarlberg"
"v20"	"8"	"Steiermark"
"v20"	"9"	"Kärnten"
"v3"	"Variable Label"	"Verhalten, falls es eine Volksabstimmung über den EU-Reformvertrag gegeben hätte"
"v3"	"1"	"dem Vertrag zugestimmt"
"v3"	"2"	"hätte nicht teilgenommen"
"v3"	"3"	"den Vertrag abgelehnt"
"v4a"	"Variable Label"	"Weil er die Neutralität Österreichs gefährdet"
"v4a"	"Variable Label"	"nicht genannt"
"v4a"	"1"	"genannt"
"v4b"	"Variable Label"	"Weil er der EU mehr Macht gibt"
"v4b"	"Variable Label"	"nicht genannt"
"v4b"	"1"	"genannt"
"v4c"	"Variable Label"	"Weil die österreichischen Politiker dann weniger als jetzt zu bestimmen hätten"
"v4c"	"Variable Label"	"nicht genannt"
"v4c"	"1"	"genannt"
"v4d"	"Variable Label"	"Weil ich der österreichischen Regierung und den Parteien einen Denkzettel hätte geben können"
"v4d"	"Variable Label"	"nicht genannt"
"v4d"	"1"	"genannt"
"v4e"	"Variable Label"	"Weil ich überhaupt gegen die EU bin"
"v4e"	"Variable Label"	"nicht genannt"
"v4e"	"1"	"genannt"
"v4f"	"Variable Label"	"W.N./K.A."
"v4f"	"Variable Label"	"nicht genannt"
"v4f"	"1"	"genannt"
"v5_1"	"Variable Label"	"W.N./K.A./Nein"
"v5_1"	"Variable Label"	"nicht genannt"
"v5_1"	"1"	"genannt"
"v5_10"	"Variable Label"	"EU-Parlamentarier/Hans Peter Martin etc."
"v5_10"	"Variable Label"	"nicht genannt"
"v5_10"	"1"	"genannt"
"v5_11"	"Variable Label"	"Kronen Zeitung"
"v5_11"	"Variable Label"	"nicht genannt"
"v5_11"	"1"	"genannt"
"v5_2"	"Variable Label"	"Anderes"
"v5_2"	"Variable Label"	"nicht genannt"
"v5_2"	"1"	"genannt"
"v5_3"	"Variable Label"	"FPÖ/Strache"
"v5_3"	"Variable Label"	"nicht genannt"
"v5_3"	"1"	"genannt"
"v5_4"	"Variable Label"	"BZÖ/Westenthaler/Haider"
"v5_4"	"Variable Label"	"nicht genannt"
"v5_4"	"1"	"genannt"
"v5_6"	"Variable Label"	"SPÖ"
"v5_6"	"Variable Label"	"nicht genannt"
"v5_6"	"1"	"genannt"
"v5_7"	"Variable Label"	"ÖVP"
"v5_7"	"Variable Label"	"nicht genannt"
"v5_7"	"1"	"genannt"
"v5_8"	"Variable Label"	"Grüne"
"v5_8"	"Variable Label"	"nicht genannt"
"v5_8"	"1"	"genannt"
"v5_9"	"Variable Label"	"(Oppositions-)Parteien/Parlament/Nationalrat"
"v5_9"	"Variable Label"	"nicht genannt"
"v5_9"	"1"	"genannt"
"v6a"	"Variable Label"	"Gemeinderatswahlen"
"v6a"	"1"	"nehme sicher teil"
"v6a"	"2"	"nehme eher teil"
"v6a"	"3"	"nehme eher nicht teil"
"v6a"	"4"	"nehme sicher nicht teil"
"v6a"	"5"	"W.N./K.A."
"v6b"	"Variable Label"	"Landtagswahlen"
"v6b"	"1"	"nehme sicher teil"
"v6b"	"2"	"nehme eher teil"
"v6b"	"3"	"nehme eher nicht teil"
"v6b"	"4"	"nehme sicher nicht teil"
"v6b"	"5"	"W.N./K.A."
"v6c"	"Variable Label"	"Nationalratswahlen"
"v6c"	"1"	"nehme sicher teil"
"v6c"	"2"	"nehme eher teil"
"v6c"	"3"	"nehme eher nicht teil"
"v6c"	"4"	"nehme sicher nicht teil"
"v6c"	"5"	"W.N./K.A."
"v6d"	"Variable Label"	"Wahlen zum Europäischen Parlament"
"v6d"	"1"	"nehme sicher teil"
"v6d"	"2"	"nehme eher teil"
"v6d"	"3"	"nehme eher nicht teil"
"v6d"	"4"	"nehme sicher nicht teil"
"v6d"	"5"	"W.N./K.A."
"v7"	"Variable Label"	"Gibt es in Ihrem Bekanntenkreis Personen, die eine Partei, die aus der Initiative \"Rettet Österreich\" hervorgeht, wählen würden?"
"v7"	"1"	"niemanden"
"v7"	"2"	"einige"
"v7"	"3"	"mehrere"
"v7"	"4"	"W.N./K.A."
"v8a"	"Variable Label"	"Jede demokratische Institution - auch die EU - braucht ein Parlament"
"v8a"	"1"	"stimme zu"
"v8a"	"2"	"stimme nicht zu"
"v8a"	"3"	"W.N./K.A."
"v8b"	"Variable Label"	"Die EU-Bürokratie muss vom EU-Parlament kontrolliert werden"
"v8b"	"1"	"stimme zu"
"v8b"	"2"	"stimme nicht zu"
"v8b"	"3"	"W.N./K.A."
"v8c"	"Variable Label"	"Die europäischen Parteien benötigen das Europäische Parlament als ein Forum für die Suche nach Kompromissen und grundsätzliche Auseinandersetzungen"
"v8c"	"1"	"stimme zu"
"v8c"	"2"	"stimme nicht zu"
"v8c"	"3"	"W.N./K.A."
"v9"	"Variable Label"	"Zufriedenheit mit der derzeitigen Koalitionsregierung von SPÖ und ÖVP"
"v9"	"1"	"sehr zufrieden"
"v9"	"2"	"eher zufrieden"
"v9"	"3"	"eher unzufrieden"
"v9"	"4"	"sehr unzufrieden"
"v9"	"5"	"W.N./K.A."
"version"	"Variable Label"	"AUSSDA archive version"
