variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"GESIS_doi"	"Variable Label"	"digital object identifier"
"GESIS_version"	"Variable Label"	"GESIS archive version"
"GESIS_za_nr"	"Variable Label"	"study number"
"i_browser_identifier"	"Variable Label"	"BROWSER IDENTIFIER"
"i_hardware"	"Variable Label"	"HARDWARE/DEVICE TYPE"
"i_operatingsystem_id"	"Variable Label"	"OPERATING SYSTEM ID"
"i_operatingsystem_version"	"Variable Label"	"OPERATING SYSTEM VERSION"
"i_smart"	"Variable Label"	"SMARTPHONE USED NO/YES"
"i_smart"	"1"	"1"
"i_smart"	"2"	"2"
"i_tablet"	"Variable Label"	"TABLET USED NO/YES"
"i_tablet"	"1"	"1"
"i_tablet"	"2"	"2"
"id"	"Variable Label"	"RESPONDENT ID"
"panelid"	"Variable Label"	"UNIQUE ID ACROSS WAVES"
"version"	"Variable Label"	"AUSSDA archive version"
"w1_interview_end"	"Variable Label"	"END OF INTERVIEW WAVE 1"
"w1_interview_start"	"Variable Label"	"BEGINNING OF INTERVIEW WAVE 1"
"w1_q1"	"Variable Label"	"POLITICAL INTEREST"
"w1_q1"	"1"	"very interested"
"w1_q1"	"2"	"fairly interested"
"w1_q1"	"3"	"a little interested"
"w1_q1"	"4"	"not at all interested"
"w1_q1"	"88"	"don't know"
"w1_q1"	"99"	"refused"
"w1_q10"	"Variable Label"	"LEFT-RIGHT SELF-PLACEMENT"
"w1_q10"	"0"	"left"
"w1_q10"	"10"	"right"
"w1_q10"	"88"	"don't know"
"w1_q10"	"99"	"refused"
"w1_q11_1"	"Variable Label"	"ASSESSMENT OF IMMIGRATION - CONFIDENT"
"w1_q11_1"	"1"	"very"
"w1_q11_1"	"2"	"fairly"
"w1_q11_1"	"3"	"a little"
"w1_q11_1"	"4"	"not at all"
"w1_q11_1"	"88"	"don't know"
"w1_q11_1"	"99"	"refused"
"w1_q11_2"	"Variable Label"	"ASSESSMENT OF IMMIGRATION - WORRIED"
"w1_q11_2"	"1"	"very"
"w1_q11_2"	"2"	"fairly"
"w1_q11_2"	"3"	"a little"
"w1_q11_2"	"4"	"not at all"
"w1_q11_2"	"88"	"don't know"
"w1_q11_2"	"99"	"refused"
"w1_q11_3"	"Variable Label"	"ASSESSMENT OF IMMIGRATION - ANGRY"
"w1_q11_3"	"1"	"very"
"w1_q11_3"	"2"	"fairly"
"w1_q11_3"	"3"	"a little"
"w1_q11_3"	"4"	"not at all"
"w1_q11_3"	"88"	"don't know"
"w1_q11_3"	"99"	"refused"
"w1_q12"	"Variable Label"	"CHANGES IN THE LIVING TOGETHER OF AUSTRIANS AND IMMIGRANTS (PAST 3 YEARS)"
"w1_q12"	"1"	"got much better"
"w1_q12"	"2"	"got somewhat better"
"w1_q12"	"3"	"stayed the same"
"w1_q12"	"4"	"got somewhat worse"
"w1_q12"	"5"	"got much worse"
"w1_q12"	"88"	"don't know"
"w1_q12"	"99"	"refused"
"w1_q13"	"Variable Label"	"CHANGES IN THE ECONOMIC SITUATION IN AUSTRIA (PAST 3 YEARS)"
"w1_q13"	"1"	"got much better"
"w1_q13"	"2"	"got somewhat better"
"w1_q13"	"3"	"stayed the same"
"w1_q13"	"4"	"got somewhat worse"
"w1_q13"	"5"	"got much worse"
"w1_q13"	"88"	"don't know"
"w1_q13"	"99"	"refused"
"w1_q14"	"Variable Label"	"ASSESSMENT OF THE ECONOMIC SITUATION IN THE REGION (IN COMPARISON TO AUSTRIA)"
"w1_q14"	"1"	"much better"
"w1_q14"	"2"	"somewhat better"
"w1_q14"	"3"	"about the same"
"w1_q14"	"4"	"somewhat worse"
"w1_q14"	"5"	"much worse"
"w1_q14"	"88"	"don't know"
"w1_q14"	"99"	"refused"
"w1_q15"	"Variable Label"	"CHANGES IN THE PERSONAL ECONOMIC SITUATION (PAST 1-2 YEARS)"
"w1_q15"	"1"	"got much better"
"w1_q15"	"2"	"got somewhat better"
"w1_q15"	"3"	"stayed the same"
"w1_q15"	"4"	"got somewhat worse"
"w1_q15"	"5"	"got much worse"
"w1_q15"	"88"	"don't know"
"w1_q15"	"99"	"refused"
"w1_q16_1"	"Variable Label"	"POSITION ISSUE: POLITICS SHOULD KEEP OUT OF ECONOMY"
"w1_q16_1"	"1"	"completely agree"
"w1_q16_1"	"2"	"somewhat agree"
"w1_q16_1"	"3"	"partly agree/disagree"
"w1_q16_1"	"4"	"somewhat disagree"
"w1_q16_1"	"5"	"completely disagree"
"w1_q16_1"	"88"	"don't know"
"w1_q16_1"	"99"	"refused"
"w1_q16_10"	"Variable Label"	"POSITION ISSUE: MUSLIMS ARE RESPONSIBLE FOR RACIAL TENSION"
"w1_q16_10"	"1"	"completely agree"
"w1_q16_10"	"2"	"somewhat agree"
"w1_q16_10"	"3"	"partly agree/disagree"
"w1_q16_10"	"4"	"somewhat disagree"
"w1_q16_10"	"5"	"completely disagree"
"w1_q16_10"	"88"	"don't know"
"w1_q16_10"	"99"	"refused"
"w1_q16_11"	"Variable Label"	"POSITION ISSUE: FEEL UNCOMFORTABLE IF CHILDREN MARRIED A MUSLIM"
