variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"Meinung über AK"
"v01"	"1"	"1"
"v01"	"2"	"2"
"v01"	"3"	"3"
"v01"	"4"	"4"
"v01"	"5"	"5"
"v01"	"6"	"W.N."
"v03"	"Variable Label"	"Bedeutung der AK"
"v03"	"1"	"wichtig"
"v03"	"2"	"überflüssig"
"v03"	"3"	"W.N./K.A."
"v04"	"Variable Label"	"Forderung Schwimmers"
"v04"	"1"	"stimme zu"
"v04"	"2"	"lehne ab"
"v04"	"3"	"W.N./K.A."
"v05"	"Variable Label"	"Wahrnehmung der AK-Reform"
"v05"	"1"	"ist durchgeführt worden"
"v05"	"2"	"ist nicht durchgeführt worden"
"v05"	"3"	"W.N./K.A."
"v09"	"Variable Label"	"Geschlecht"
"v09"	"1"	"Männlich"
"v09"	"2"	"Weiblich"
"v10"	"Variable Label"	"Alter"
"v10"	"1"	"16 bis 24 Jahre"
"v10"	"2"	"25 bis 39 Jahre"
"v10"	"3"	"40 bis 59 Jahre"
"v10"	"4"	"Ab 60 Jahre"
"v11"	"Variable Label"	"Bildung"
"v11"	"1"	"Matura/Universität"
"v11"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v11"	"3"	"Pflichtschule ohne weiterer Ausbildung"
"v12"	"Variable Label"	"Tätigkeit"
"v12"	"1"	"In Ausbildung"
"v12"	"2"	"Nicht berufstätig"
"v12"	"3"	"Pension"
"v12"	"4"	"Selbständig/Landwirt"
"v12"	"5"	"Arbeiter"
"v12"	"6"	"Angestellte"
"v13"	"Variable Label"	"Parteipräferenz"
"v13"	"1"	"SPÖ"
"v13"	"2"	"ÖVP"
"v13"	"3"	"FPÖ"
"v13"	"4"	"KPÖ"
"v13"	"5"	"GAL"
"v13"	"6"	"LIF"
"v13"	"7"	"Keine"
"v13"	"8"	"K.A."
"v14"	"Variable Label"	"Bundesland"
"v14"	"1"	"Wien"
"v14"	"2"	"Niederösterreich"
"v14"	"3"	"Burgenland"
"v14"	"4"	"Steiermark"
"v14"	"5"	"Kärnten"
"v14"	"6"	"Oberösterreich"
"v14"	"7"	"Salzburg"
"v14"	"8"	"Tirol"
"v14"	"9"	"Vorarlberg"
"v2a"	"Variable Label"	"Erfolgreich/Erfolglos"
"v2a"	"1"	"sehr erfolgreich"
"v2a"	"2"	"eher erfolgreich"
"v2a"	"3"	"weder noch"
"v2a"	"4"	"eher erfolglos"
"v2a"	"5"	"sehr erfolglos"
"v2a"	"6"	"K.A."
"v2b"	"Variable Label"	"Hilfsbereit/Selbstsüchtig"
"v2b"	"1"	"sehr hilfsbereit"
"v2b"	"2"	"eher hilfsbereit"
"v2b"	"3"	"weder noch"
"v2b"	"4"	"eher selbstüchtig"
"v2b"	"5"	"sehr selbstüchtig"
"v2b"	"6"	"K.A."
"v2c"	"Variable Label"	"Sparsam/Verschwenderisch"
"v2c"	"1"	"sehr sparsam"
"v2c"	"2"	"eher sparsam"
"v2c"	"3"	"weder noch"
"v2c"	"4"	"eher verschwenderisch"
"v2c"	"5"	"sehr verschwenderisch"
"v2c"	"6"	"K.A."
"v2d"	"Variable Label"	"Sachkundig/Unwissend"
"v2d"	"1"	"sehr sachkundig"
"v2d"	"2"	"eher sachkundig"
"v2d"	"3"	"weder noch"
"v2d"	"4"	"eher unwissend"
"v2d"	"5"	"sehr unwissend"
"v2d"	"6"	"K.A."
"v2e"	"Variable Label"	"Ehrlich/Korrupt"
"v2e"	"1"	"sehr ehrlich"
"v2e"	"2"	"eher ehrlich"
"v2e"	"3"	"weder noch"
"v2e"	"4"	"eher korrupt"
"v2e"	"5"	"sehr korrupt"
"v2e"	"6"	"K.A."
"v6a"	"Variable Label"	"Bessere Gesetze"
"v6a"	"1"	"stimmt"
"v6a"	"2"	"stimmt nicht"
"v6a"	"3"	"W.N./K.A."
"v6b"	"Variable Label"	"Größere Macht der Wähler"
"v6b"	"1"	"stimmt"
"v6b"	"2"	"stimmt nicht"
"v6b"	"3"	"W.N./K.A."
"v6c"	"Variable Label"	"Chaotische Zustände"
"v6c"	"1"	"stimmt"
"v6c"	"2"	"stimmt nicht"
"v6c"	"3"	"W.N./K.A."
"v6d"	"Variable Label"	"Überforderung der Wähler"
"v6d"	"1"	"stimmt"
"v6d"	"2"	"stimmt nicht"
"v6d"	"3"	"W.N./K.A."
"v6e"	"Variable Label"	"Ende der Demokratie"
"v6e"	"1"	"stimmt"
"v6e"	"2"	"stimmt nicht"
"v6e"	"3"	"W.N./K.A."
"v7a"	"Variable Label"	"Ruhe und Sicherheit ausgestrahlt"
"v7a"	"1"	"stimme voll zu"
"v7a"	"2"	"stimme teilweise zu"
"v7a"	"3"	"stimme nicht zu"
"v7a"	"4"	"W.N./K.A."
"v7b"	"Variable Label"	"sich vor Entscheidunge gedrückt"
"v7b"	"1"	"stimme voll zu"
"v7b"	"2"	"stimme teilweise zu"
"v7b"	"3"	"stimme nicht zu"
"v7b"	"4"	"W.N./K.A."
"v7c"	"Variable Label"	"viele Mißstände beseitigt"
"v7c"	"1"	"stimme voll zu"
"v7c"	"2"	"stimme teilweise zu"
"v7c"	"3"	"stimme nicht zu"
"v7c"	"4"	"W.N./K.A."
"v7d"	"Variable Label"	"Ermüdungserscheinungen gezeigt"
"v7d"	"1"	"stimme voll zu"
"v7d"	"2"	"stimme teilweise zu"
"v7d"	"3"	"stimme nicht zu"
"v7d"	"4"	"W.N./K.A."
"v7e"	"Variable Label"	"Wirtschaft durch Krisen hindurchgesteuert"
"v7e"	"1"	"stimme voll zu"
"v7e"	"2"	"stimme teilweise zu"
"v7e"	"3"	"stimme nicht zu"
"v7e"	"4"	"W.N./K.A."
"v8a"	"Variable Label"	"Frauenprobleme"
"v8a"	"1"	"große Rolle"
"v8a"	"2"	"geringe Rolle"
"v8a"	"3"	"keine Rolle"
"v8a"	"4"	"werde nicht wählen"
"v8a"	"5"	"nicht wahlberechtigt"
"v8a"	"6"	"K.A."
"v8b"	"Variable Label"	"Arbeiterkammer"
"v8b"	"1"	"große Rolle"
"v8b"	"2"	"geringe Rolle"
"v8b"	"3"	"keine Rolle"
"v8b"	"4"	"werde nicht wählen"
"v8b"	"5"	"nicht wahlberechtigt"
"v8b"	"6"	"K.A."
"v8c"	"Variable Label"	"Kampf gegen Kriminalität und Verbrechen"
"v8c"	"1"	"große Rolle"
"v8c"	"2"	"geringe Rolle"
"v8c"	"3"	"keine Rolle"
"v8c"	"4"	"werde nicht wählen"
"v8c"	"5"	"nicht wahlberechtigt"
"v8c"	"6"	"K.A."
"v8d"	"Variable Label"	"Falsche Versprechen hinsichtlich der EU"
"v8d"	"1"	"große Rolle"
"v8d"	"2"	"geringe Rolle"
"v8d"	"3"	"keine Rolle"
"v8d"	"4"	"werde nicht wählen"
"v8d"	"5"	"nicht wahlberechtigt"
"v8d"	"6"	"K.A."
"version"	"Variable Label"	"AUSSDA archive version"
