variable	value	Label
"doi"	"Variable Label"	"digital object identifier"
"v01"	"Variable Label"	"In Bad Sauerbrunn aufgewachsen?"
"v01"	"1"	"schon hier aufgewachsen"
"v01"	"2"	"erst später hinzugezogen"
"v02"	"Variable Label"	"Beschäftigt in Bad Sauerbrunn?"
"v02"	"1"	"ja"
"v02"	"2"	"nein"
"v02"	"3"	"studiere noch"
"v02"	"4"	"nicht berufstätig"
"v02"	"5"	"W.N./K.A."
"v04"	"Variable Label"	"Beurteilung von Viktor Konwicsny"
"v04"	"1"	"1"
"v04"	"2"	"2"
"v04"	"3"	"3"
"v04"	"4"	"4"
"v04"	"5"	"5"
"v04"	"6"	"K.A."
"v08"	"Variable Label"	"Geschlecht"
"v08"	"1"	"Männlich"
"v08"	"2"	"Weiblich"
"v09"	"Variable Label"	"Alter"
"v09"	"1"	"16 bis 24 Jahre"
"v09"	"2"	"25 bis 39 Jahre"
"v09"	"3"	"40 bis 59 Jahre"
"v09"	"4"	"Ab 60 Jahre"
"v10"	"Variable Label"	"Bildung"
"v10"	"1"	"Matura/Universität"
"v10"	"2"	"Pflichtschule mit weiterer Ausbildung"
"v10"	"3"	"Pflichtschule ohne weiterer Ausbildung"
"v11"	"Variable Label"	"Tätigkeit"
"v11"	"1"	"In Ausbildung"
"v11"	"2"	"Nicht berufstätig"
"v11"	"3"	"Pension"
"v11"	"4"	"Selbständig/Landwirt"
"v11"	"5"	"Arbeiter"
"v11"	"6"	"Angestelllte"
"v11"	"7"	"Beamte"
"v12"	"Variable Label"	"Parteipräferenz"
"v12"	"1"	"SPÖ"
"v12"	"2"	"ÖVP"
"v12"	"3"	"FPÖ"
"v12"	"4"	"KPÖ"
"v12"	"5"	"GAL"
"v12"	"6"	"LIF"
"v12"	"7"	"Keine"
"v12"	"8"	"K.A."
"v3a"	"Variable Label"	"Verkehrseindämmung am Hauptplatz"
"v3a"	"1"	"wichtig"
"v3a"	"2"	"weniger wichtig"
"v3a"	"3"	"unwichtig"
"v3a"	"4"	"W.N./K.A."
"v3b"	"Variable Label"	"Verschönerung des Ortsbildes"
"v3b"	"1"	"wichtig"
"v3b"	"2"	"weniger wichtig"
"v3b"	"3"	"unwichtig"
"v3b"	"4"	"W.N./K.A."
"v3c"	"Variable Label"	"Stärkere Unterstützung der Vereine"
"v3c"	"1"	"wichtig"
"v3c"	"2"	"weniger wichtig"
"v3c"	"3"	"unwichtig"
"v3c"	"4"	"W.N./K.A."
"v3d"	"Variable Label"	"Schaffung neuer Arbeitsplätze im Ort"
"v3d"	"1"	"wichtig"
"v3d"	"2"	"weniger wichtig"
"v3d"	"3"	"unwichtig"
"v3d"	"4"	"W.N./K.A."
"v3e"	"Variable Label"	"Ausbau des Kurzentrums"
"v3e"	"1"	"wichtig"
"v3e"	"2"	"weniger wichtig"
"v3e"	"3"	"unwichtig"
"v3e"	"4"	"W.N./K.A."
"v5a"	"Variable Label"	"Beurteilung von Otmar Florian"
"v5a"	"1"	"1"
"v5a"	"2"	"2"
"v5a"	"3"	"3"
"v5a"	"4"	"4"
"v5a"	"5"	"5"
"v5a"	"6"	"K.A."
"v5b"	"Variable Label"	"Beurteilung von Karl Praller"
"v5b"	"1"	"1"
"v5b"	"2"	"2"
"v5b"	"3"	"3"
"v5b"	"4"	"4"
"v5b"	"5"	"5"
"v5b"	"6"	"K.A."
"v5c"	"Variable Label"	"Beurteilung von Sylvia Linc"
"v5c"	"1"	"1"
"v5c"	"2"	"2"
"v5c"	"3"	"3"
"v5c"	"4"	"4"
"v5c"	"5"	"5"
"v5c"	"6"	"K.A."
"version"	"Variable Label"	"AUSSDA archive version"
